id,name,image,email,website,facebook,twitter,other_name
102,Carwyn Jones,http://senedd.assembly.wales/UserData/2/0/1/Info00000102/bigpic.jpg,Carwyn.Jones@assembly.wales,"","","",
130,Mohammad Asghar,http://senedd.assembly.wales/UserData/0/3/1/Info00000130/bigpic.jpg,Mohammad.Asghar@assembly.wales,http://www.mohammadasghar.org.uk,"",http://www.twitter.com/MohammadAsghar,Oscar
135,Angela Burns,http://senedd.assembly.wales/UserData/5/3/1/Info00000135/bigpic.jpg,Angela.Burns@assembly.wales,"","","",
143,Andrew RT Davies,http://senedd.assembly.wales/UserData/3/4/1/Info00000143/bigpic.jpg,AndrewRT.Davies@assembly.wales,http://www.AndrewRTDavies.co.uk,http://www.facebook.com/AndrewRTDavies,http://www.twitter.com/AndrewRTDavies,
145,Paul Davies,http://senedd.assembly.wales/UserData/5/4/1/Info00000145/bigpic.jpg,Paul.Davies@assembly.wales,http://www.pauldaviesam.co.uk,"","",
146,Dafydd Elis-Thomas,http://senedd.assembly.wales/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,http://www.dafyddelisthomas.org,"",http://www.twitter.com/ElisThomasD,
146,Dafydd Elis-Thomas,http://senedd.assembly.wales/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,http://www.dafyddelisthomas.org,"",http://www.twitter.com/ElisThomasD,
153,John Griffiths,http://senedd.assembly.wales/UserData/3/5/1/Info00000153/bigpic.jpg,John.Griffiths@assembly.wales,http://www.johngriffithslabour.wordpress.com/,"",http://twitter.com/JGriffithsLab,
154,Lesley Griffiths,http://senedd.assembly.wales/UserData/4/5/1/Info00000154/bigpic.jpg,Lesley.Griffiths@assembly.wales,"",http://www.facebook.com/lesley4wrexham,http://www.twitter.com/lesley4wrexham,
156,Jane Hutt,http://senedd.assembly.wales/UserData/6/5/1/Info00000156/bigpic.jpg,Jane.Hutt@assembly.wales,http://www.janehutt.wales,http://www.facebook.com/Jane.Hutt714,http://www.twitter.com/JaneHutt,
157,Mark Isherwood,http://senedd.assembly.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Mark.Isherwood@assembly.wales,http://www.MarkIsherwood.co.uk,"",http://www.twitter.com/MarkIsherwoodAM,
159,Bethan Sayed,http://senedd.assembly.wales/UserData/9/5/1/Info00000159/bigpic.jpg,Bethan.Sayed@assembly.wales,"",http://www.facebook.com/bethanjenkinsam,http://twitter.com/bethanjenkins,
161,Ann Jones,http://senedd.assembly.wales/UserData/1/6/1/Info00000161/bigpic.jpg,Ann.Jones@assembly.wales,"","",http://twitter.com/ann_jonesam,
162,Elin Jones,http://senedd.assembly.wales/UserData/2/6/1/Info00000162/bigpic.jpg,Elin.Jones@assembly.wales,"","","",
164,Helen Mary Jones,http://senedd.assembly.wales/UserData/4/6/1/Info00000164/bigpic.jpg,HelenMary.Jones@assembly.wales,"","","",
167,Dai Lloyd,http://senedd.assembly.wales/UserData/7/6/1/Info00000167/bigpic.jpg,Dai.Lloyd@assembly.wales,"","",http://www.twitter.com/DaiLloydAM,
169,David Melding,http://senedd.assembly.wales/UserData/9/6/1/Info00000169/bigpic.jpg,David.Melding@assembly.wales,"","",http://twitter.com/%40DavidMeldingAM,
171,Darren Millar,http://senedd.assembly.wales/UserData/1/7/1/Info00000171/bigpic.jpg,Darren.Millar@assembly.wales,http://www.darrenmillar.wales,http://www.facebook.com/DarrenMillarAM,http://www.twitter.com/DarrenMillarAM,
174,Lynne Neagle,http://senedd.assembly.wales/UserData/4/7/1/Info00000174/bigpic.jpg,Lynne.Neagle@assembly.wales,"","","",
175,Nick Ramsay,http://senedd.assembly.wales/UserData/5/7/1/Info00000175/bigpic.jpg,Nicholas.Ramsay@assembly.wales,http://www.nickramsay.org.uk,"",http://www.twitter.com/NickRamsayAM,
178,Carl Sargeant,http://senedd.assembly.wales/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,"","","",
178,Carl Sargeant,http://senedd.assembly.wales/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,"","","",
178,Carl Sargeant,http://senedd.assembly.wales/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,"","","",
182,Joyce Watson,http://senedd.assembly.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Joyce.Watson@assembly.wales,http://www.JoyceWatson.org.uk,"",http://www.twitter.com/JoyceWatsonam,
184,Kirsty Williams,http://senedd.assembly.wales/UserData/4/8/1/Info00000184/bigpic.jpg,Kirsty.Williams@assembly.wales,http://www.KirstyWilliams.org.uk,"",http://www.twitter.com/Kirsty_Williams,
185,Leanne Wood,http://senedd.assembly.wales/UserData/5/8/1/Info00000185/bigpic.jpg,Leanne.Wood@assembly.wales,"",http://www.facebook.com/leannerhondda,http://twitter.com/leannewood,
205,David Rees,http://senedd.assembly.wales/UserData/5/0/2/Info00000205/bigpic.jpg,David.Rees@assembly.wales,http://www.David-Rees.com,http://www.facebook.com/DavidReesAMAberavon,http://www.twitter.com/DavidReesAM,
