id,name,sort_name,district,mandate_start,mandate_end,party,term,source,image,phone,email,end_date,start_date
oaguad,OSCAR RAUL AGUAD,"AGUAD, OSCAR RAUL",CORDOBA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/oaguad/,http://www4.hcdn.gob.ar/fotos/oaguad.jpg,4127-7100,oaguad@diputados.gob.ar,,
laguilar,LINO WALTER AGUILAR,"AGUILAR, LINO WALTER",SAN LUIS,2011-12-10,2015-12-09,COMPROMISO FEDERAL,133,http://www.hcdn.gob.ar/diputados/laguilar/,http://www4.hcdn.gob.ar/fotos/laguilar.jpg,4127-7100,laguilar@diputados.gob.ar,2015-12-09,
malonso,MARIA LUZ ALONSO,"ALONSO, MARIA LUZ",LA PAMPA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/malonso/,http://www4.hcdn.gob.ar/fotos/malonso.jpg,4127-7100,malonso@diputados.gob.ar,2015-12-09,
lalonso,LAURA ALONSO,"ALONSO, LAURA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/lalonso/,http://www4.hcdn.gob.ar/fotos/lalonso.jpg,4127-7100,lalonso@diputados.gob.ar,,
aarregui,ANDRES ROBERTO ARREGUI,"ARREGUI, ANDRES ROBERTO",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/aarregui/,http://www4.hcdn.gob.ar/fotos/aarregui.jpg,4127-7100,aarregui@diputados.gob.ar,2015-12-09,
aasseff,ALBERTO EMILIO ASSEFF,"ASSEFF, ALBERTO EMILIO",BUENOS AIRES,2011-12-10,2015-12-09,UNIR,133,http://www.hcdn.gob.ar/diputados/aasseff/,http://www4.hcdn.gob.ar/fotos/aasseff.jpg,4127-7100,aasseff@diputados.gob.ar,2015-12-09,
havoscan,HERMAN HORACIO AVOSCAN,"AVOSCAN, HERMAN HORACIO",RIO NEGRO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/havoscan/,http://www4.hcdn.gob.ar/fotos/havoscan.jpg,4127-7100,havoscan@diputados.gob.ar,2015-12-09,
mbalcedo,MARIA ESTER BALCEDO,"BALCEDO, MARIA ESTER",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mbalcedo/,http://www4.hcdn.gob.ar/fotos/mbalcedo.jpg,4127-7100,mbalcedo@diputados.gob.ar,2015-12-09,
obarchetta,OMAR SEGUNDO BARCHETTA,"BARCHETTA, OMAR SEGUNDO",SANTA FE,2011-12-10,2015-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/obarchetta/,http://www4.hcdn.gob.ar/fotos/obarchetta.jpg,4127-7100,obarchetta@diputados.gob.ar,2015-12-09,
nbedano,NORA ESTHER BEDANO,"BEDANO, NORA ESTHER",CORDOBA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/nbedano/,http://www4.hcdn.gob.ar/fotos/nbedano.jpg,4127-7100,nbedano@diputados.gob.ar,2015-12-09,
