id,name__ar,name__en,name,wikipedia__ar,gender,original_wikiname,death_date,given_name,name__de,name__fr,wikipedia__en,occupation,birth_date,name__cs,name__es,name__hu,name__he,wikipedia__cs,name__nl,name__it,name__tr,wikipedia__tr,wikipedia__commons,image,name__el,name__en_ca,name__en_gb,name__ko,wikipedia__el,wikipedia__ko,wikipedia__de,wikipedia__fr,identifier__freebase,name__ja,wikipedia__fawikiquote
Q12209969,خالد المعولي,Khalid Al Ma'awali,Khalid Al Ma'awali,خالد المعولي,male,خالد المعولي,,,,,,,1975-03-02,,,,,,,,,,,,,,,,,,,,,,
Q12216112,سعيد بن خليفة,,سعيد بن خليفة,سعيد بن خليفة,male,سعيد بن خليفة,,Sa'id,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12223052,عبد العزيز بن محمد الرواس,,عبد العزيز بن محمد الرواس,عبد العزيز بن محمد الرواس,male,عبد العزيز بن محمد الرواس,,,,,,,1945-10-18,,,,,,,,,,,,,,,,,,,,,,
Q12223576,عبد الله بن محمد الطائي,,عبد الله بن محمد الطائي,عبد الله بن محمد الطائي,male,عبد الله بن محمد الطائي,1973-07-18,Abdullah,,,,,1924-06-15,,,,,,,,,,,,,,,,,,,,,,
Q12250314,هيثم بن طارق آل سعيد,Haitham bin Tariq Al Said,Haitham bin Tariq Al Said,هيثم بن طارق آل سعيد,male,هيثم بن طارق آل سعيد,,Haitham,,,Haitham bin Tariq Al Said,,,,,,,,Haitham bin Tariq Al Said,,,,,,,,,,,,,,,,
Q16120011,تيمور بن أسعد,,تيمور بن أسعد,تيمور بن أسعد,male,تيمور بن أسعد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16121184,نادر بن فيصل,Nadir bin Faisal,Nadir bin Faisal,نادر بن فيصل,male,نادر بن فيصل,1971,,Nadir bin Faisal,,,,1887,,,,,,,,,,,,,,,,,,,,,,
Q16126525,طارق بن تيمور,Tariq bin Taimur,Tariq bin Taimur,طارق بن تيمور,male,طارق بن تيمور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17011081,,Samira bint Mohamed Al-Moosa,Samira bint Mohamed Al-Moosa,,female,Samira bint Mohamed Al-Moosa,,Samira,,,Samira bint Mohamed Al-Moosa,diplomat,,,,,סמירה בינת מוחמד אל-מוסה,,,Samira bint Mohamed Al-Moosa,,,,,,,,,,,,,,,
Q20398968,طالب المعمري,Talib bin Ahmed Al Maamari,Talib bin Ahmed Al Maamari,طالب المعمري,male,طالب المعمري,,,,,,,1972-05-24,,,,,,,,,,,,,,,,,,,,,,
