id,name__en,name__de,name,wikipedia__en,image,gender,given_name,name__es,name__fr,birth_date,name__nl,name__it,name__ru,name__pt,name__ar,wikipedia__ar,wikipedia__de,wikipedia__fr,wikipedia__nl,wikipedia__pt,wikipedia__ru,identifier__freebase,identifier__IIAF,website,death_date,name__cy,original_wikiname,name__sw,name__ht,name__pl,name__nb,name__en_gb,wikipedia__enwikiquote,wikipedia__es,wikipedia__ht,wikipedia__no,wikipedia__pl,wikipedia__sw,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__MGP,name__zh_hans,name__zh_hant,name__zh_hk,name__sv,name__zh,wikipedia__commons,wikipedia__sv,wikipedia__zh,name__da,name__nn,name__vec,name__so,name__he,name__be,name__ko,name__oc,name__yo,name__hu,name__gl,name__et,name__id,name__ja,name__br,name__vi,name__rw,name__el,name__am,name__bcl,name__tr,name__th,name__ro,name__ca,name__fi,name__uk,name__sl,name__cs,name__bg,name__io,name__mr,name__ka,name__nds,name__pt_br,name__fa,name__sco,wikipedia__am,wikipedia__bcl,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__mr,wikipedia__nds,wikipedia__oc,wikipedia__plwikiquote,wikipedia__ro,wikipedia__rw,wikipedia__sco,wikipedia__simple,wikipedia__sl,wikipedia__so,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vec,wikipedia__vi,wikipedia__yo,identifier__GND,identifier__NNDB,identifier__Munzinger,identifier__FAST,name__en_ca,name__vmf,last_seen,wikipedia__ml,name__ml,occupation,identifier__snac,wikipedia__cawikiquote,wikipedia__pa,name__pa,identifier__Britannica,wikipedia__ig,name__ig,name__bn,name__de_ch,name__eo,name__la,name__lb,name__ms,name__sr,name__hi,name__ur,name__mk,name__ie,name__sh,name__xmf,wikipedia__bn,wikipedia__eo,wikipedia__hi,wikipedia__ie,wikipedia__la,wikipedia__lb,wikipedia__ms,wikipedia__ruwikinews,wikipedia__sh,wikipedia__sr,wikipedia__ur,wikipedia__xmf,identifier__IMDB,identifier__quora,name__eu,identifier__ISNI,twitter,electoral_district,identifier__GTAA,identifier__ne_se,identifier__BIBSYS,identifier__NTA,name__bo,name__qu,name__bs,name__ta,name__ia,name__pnb,name__is,name__be_tarask,name__hr,name__kk,name__nan,name__lv,name__sc,name__sk,name__ku,name__jv,name__te,name__ga,name__ne,name__my,name__mai,name__ast,name__ace,wikipedia__ast,wikipedia__be_x_old,wikipedia__bo,wikipedia__bs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__dewikiquote,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fawikiquote,wikipedia__ga,wikipedia__hr,wikipedia__ia,wikipedia__is,wikipedia__jv,wikipedia__kk,wikipedia__ku,wikipedia__lv,wikipedia__mai,wikipedia__my,wikipedia__ne,wikipedia__nn,wikipedia__pnb,wikipedia__qu,wikipedia__sc,wikipedia__sk,wikipedia__svwikiquote,wikipedia__ta,wikipedia__tawikiquote,wikipedia__te,wikipedia__zh_min_nan,identifier__NDL,identifier__BNF,identifier__NLI,identifier__BNE,identifier__OLID,identifier__nobel_prize,identifier__GNC,identifier__SELIBR,name__hy,identifier__wikitree,identifier__politifact,facebook,name__de_at,wikipedia__itwikiquote,identifier__NUKAT,identifier__TED,identifier__ioc_athlete,honorific_prefix,identifier__google_knowledge,pseudonym,identifier__bigenc_ru,name__ba,wikipedia__ba,wikipedia__din,wikipedia__an,wikipedia__sd,family_name,wikipedia__hy,name__sd,name__an,name__din,name__fy,name__sq,wikipedia__fy,wikipedia__sq,wikipedia__tl,name__tl,identifier__NKC
Q1030776,Mohamed Yusuf Haji,Yusuf Mohammed Haji,Mohamed Yusuf Haji,Mohamed Yusuf Haji,https://upload.wikimedia.org/wikipedia/commons/9/9a/Yusufhaji.jpg,male,Yusuf,Mohamed Yusuf Haji,Yusuf Mohammed Haji,1940-12-23,Mohamed Yusuf Haji,,,,,,Yusuf Mohammed Haji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,モハメド・ユスフ・ハジ,,,,,,,,,,,,,Mohamed Yusuf Haji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senator,,,,,,,,,,,,,,,,,,,,
Q1175814,David Musila,David Musila,David Musila,David Musila,,male,David,David Musila,David Musila,1943-02-24,David Musila,,,,,,David Musila,,,,,/m/047lf01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Musila,,,,,,,,,,,,,,,,,David Musila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12053090,Najib Balala,Najib Balala,Najib Balala,Najib Balala,https://upload.wikimedia.org/wikipedia/commons/b/b1/Najibu_Balala_-_MP_for_Mvita.JPG,male,,Najib Balala,Najib Balala,1967-09-20,Najib Balala,,,,,,,,,,,,,http://www.najibbalala.com,,,,,,,,,,,,,,,,,,,,,,,,Category:Najib Balala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Najib Balala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Najib Balala,Najib Balala,Najib Balala,Najib Balala,,,
Q121708,Moses Mudavadi,Moses Mudavadi,Moses Mudavadi,Moses Mudavadi,,male,Moses,Moses Mudavadi,Moses Mudavadi,1923,Moses Mudavadi,Moses Mudavadi,,,,,Moses Mudavadi,,,,,,,,1989-02,,,,,,Moses Mudavadi,,,,,,,,305410158,n2013062483,,,,,,Moses Mudavadi,,,,,Moses Mudavadi,Moses Mudavadi,,,,,,Moses Mudavadi,,,,,,,,,,,,,,,,Moses Mudavadi,,,Moses Mudavadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1372633,Gitobu Imanyara,Gitobu Imanyara,Gitobu Imanyara,Gitobu Imanyara,,male,,Gitobu Imanyara,Gitobu Imanyara,1954,Gitobu Imanyara,,,,,,,Gitobu Imanyara,,,,/m/0466j68,,,,,,Gitobu Imanyara,,,,,,,,,,Gitobu Imanyara,,,,,,,,,吉托布·伊馬尼亞拉,,,,,,,,,,,,,,,,,ギトブ・イマニャラ,,Gitobu Imanyara,,,,,,,,,,,Gitobu Imanyara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gitobu Imanyara,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1395018,Kalonzo Musyoka,Kalonzo Musyoka,Kalonzo Musyoka,Kalonzo Musyoka,https://upload.wikimedia.org/wikipedia/commons/e/e5/Kalonzo_Musyoka1.jpg,male,,Kalonzo Musyoka,Kalonzo Musyoka,1953-12-24,Kalonzo Musyoka,,"Мусьока, Калонзо",,,,Kalonzo Musyoka,Kalonzo Musyoka,,,"Мусьока, Калонзо",/m/03b5f7,,http://www.mykalonzomusyoka.com,,,Kalonzo Musyoka,Kalonzo Musyoka,,Kalonzo Musyoka,Kalonzo Musyoka,,,,,Kalonzo Musyoka,Kalonzo Musyoka,Kalonzo Musyoka,4733594,,,,卡隆佐·穆西约卡,卡隆佐·穆西約卡,卡隆佐·穆西約卡,Kalonzo Musyoka,卡隆佐·穆西约卡,Category:Kalonzo Musyoka,Kalonzo Musyoka,卡隆佐·穆西约卡,,,,,,,,,,Kalonzo Musyoka,,,,カロンゾ・ムショカ,,,,,,,,,,,,,Kalonzo Musyoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,biography/Kalonzo-Musyoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 5403 7651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1507950,George Muhoho,George Muhoho,George Muhoho,George Muhoho,,male,George,George Muhoho,George Muhoho,1938,George Muhoho,,,,,,George Muhoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Muhoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15733971,Ali Rasso Dido,Ali Rasso Dido,Ali Rasso Dido,Ali Rasso Dido,,male,Ali,,Ali Rasso Dido,1961-10-23,Ali Rasso Dido,Ali Rasso Dido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Rasso Dido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Honourable,,,,,,,,,,,,,,,,,,,,
Q15993157,Mutula Kilonzo,Mutula Kilonzo,Mutula Kilonzo,Mutula Kilonzo,https://upload.wikimedia.org/wikipedia/commons/c/cf/Mutula_Kilonzo_UNDP_2009.jpg,male,,,Mutula Kilonzo,1948-07-02,Mutula Kilonzo,,,,,,,,,,,,,,2013-04-27,Mutula Kilonzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutula Kilonzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16007821,Thomas Johnson Kuto Kalume,Thomas Johnson Kuto Kalume,Thomas Johnson Kuto Kalume,Thomas Johnson Kuto Kalume,https://upload.wikimedia.org/wikipedia/commons/a/ae/The_Rt.Rev.Thomas_Johnson_Kalume.jpg,male,Thomas,,Thomas Johnson Kuto Kalume,,,,,,,,,,,,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Johnson Kuto Kalume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
