id,name,party,area,image,email,tel,facebook,twitter,term,source
10,DAVID ALEJANDRO BARGUIL ASSIS,Partido Conservador Colombiano,CORDOBA,http://www.camara.gov.co/portal2011/images/stories/representantes/BARGUIL%20ASSIS%20DAVID%20ALEJANDRO.jpg,david.barguil@camara.gov.co,(57+1) 382 3195 - 382 3307 - 382 3310 - 382 3785,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=10
103,JORGE ENRIQUE ROZO RODRÍGUEZ,Partido Cambio Radical,CUNDINAMARCA,http://www.camara.gov.co/portal2011/images/stories/representantes/Rozo%20Rodriguez%20Jorge%20Enrique.jpg,jorge.rozo@camara.gov.co,(57+1) 382 3494 - 382 3495 - 3823629,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=103
105,HERNÁN PENAGOS GIRALDO,Partido Social De Unidad Nacional,CALDAS,http://www.camara.gov.co/portal2011/images/stories/representantes/PENAGOS%20GIRALDO%20HERNAN.jpg,hernan.penagos@camara.gov.co,(57+1) 382 5292 - 382 5293,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=105
107,EDUARDO AGATÓN DÍAZ GRANADOS ABADIA,Partido Social De Unidad Nacional,MAGDALENA,http://www.camara.gov.co/portal2011/images/stories/representantes/DIAZ%20GRANADOS%20ABADIA%20EDUARDO%20AGATON.1.jpg,eduardo.diazgranados@camara.gov.co,(57+1) 3823375 - 3823376 - 3823377,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=107
115,JAIME ARMANDO YEPES MARTÍNEZ,Partido Social De Unidad Nacional,TOLIMA,http://www.camara.gov.co/portal2011/images/stories/representantes/YEPES%20MARTINEZ%20JAIME%20ARMANDO.jpg,jaime.yepes@camara.gov.co,(57+1) 382 3666 - 382 3667,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=115
119,ALFREDO GUILLERMO MOLINA TRIANA,Partido Social De Unidad Nacional,CUNDINAMARCA,http://www.camara.gov.co/portal2011/images/stories/representantes/MOLINA%20TRIANA%20ALFREDO%20GUILLERMO.jpg,alfredo.molina@camara.gov.co,(57+1) 382 3115 - 382 3152 - 382 3153,https://www.facebook.com/molina101,https://twitter.com/Unidosconmolina,2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=119
123,TELESFORO PEDRAZA ORTEGA,Partido Conservador Colombiano,BOGOTA,http://www.camara.gov.co/portal2011/images/stories/representantes/PEDRAZA%20ORTEGA%20TELESFORO.1.jpg,telesforo.pedraza@camara.gov.co,(57+1) 382 3146 - 382 3147,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=123
124,HUMPHREY ROA SARMIENTO,Partido Conservador Colombiano,BOYACA,http://www.camara.gov.co/portal2011/images/stories/representantes/ROA%20SARMIENTO%20HUMPHREY.jpg,humphrey.roa@camara.gov.co,(57+1) 382 3327 - 4168 Fax 382 3326,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=124
131,CARLOS EDWARD OSORIO AGUIAR,Partido Social De Unidad Nacional,TOLIMA,http://www.camara.gov.co/portal2011/images/stories/representantes/OSORIO%20AGUIAR%20CARLOS%20EDWARD.jpg,carlos.osorio@camara.gov.co,(57+1) 382 5347 - 382 5348 - 382 5349,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=131
133,HERNANDO JOSÉ PADAUI ÁLVAREZ,Partido Cambio Radical,BOLIVAR,http://www.camara.gov.co/portal2011/images/stories/representantes/PADAUI%20ALVAREZ%20HERNANDO%20JOSE.jpg,hernando.padaui@camara.gov.co,(57+1) 382 4088 - 382 4089 - 382 4350,"","",2014,http://www.camara.gov.co/portal2011/representantes/honorables-representantes?option=com_representantes&view=representante&idrpr=133
