name,wikiname,party,party_wikiname,term,start_date,end_date,id
Agnes Mulder,Agnes Mulder,CDA,Christen-Democratisch Appèl,2012,"","",agnes_mulder
Agnes Wolbert,Agnes Wolbert,PvdA,Partij van de Arbeid (Nederland),2012,"","",agnes_wolbert
Ahmed Marcouch,Ahmed Marcouch,PvdA,Partij van de Arbeid (Nederland),2012,"","",ahmed_marcouch
Albert de Vries,Albert de Vries,PvdA,Partij van de Arbeid (Nederland),2012,"","",albert_de_vries
Alexander Pechtold,Alexander Pechtold,D66,Democraten 66,2012,"","",alexander_pechtold
Amma Asante,Amma Asante (politica),PvdA,Partij van de Arbeid (Nederland),2012,2016-09-07,"",amma_asante
André Bosman,André Bosman,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",andré_bosman
Angelien Eijsink,Angelien Eijsink,PvdA,Partij van de Arbeid (Nederland),2012,"","",angelien_eijsink
Anne Mulder,Anne Mulder,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",anne_mulder
Anne-Wil Lucas-Smeerdijk,Anne-Wil Lucas-Smeerdijk,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2016-09-07,anne-wil_lucas-smeerdijk
Anouchka van Miltenburg,Anouchka van Miltenburg,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",anouchka_van_miltenburg
Anoushka Schut-Welkzijn,Anoushka Schut-Welkzijn,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",anoushka_schut-welkzijn
Ard van der Steur,Ard van der Steur,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2015-03-20,ard_van_der_steur
Arie Slob,Arie Slob,ChristenUnie,ChristenUnie,2012,"",2015-12-02,arie_slob
Arno Rutte,Arno Rutte,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",arno_rutte
Arnold Merkies,Arnold Merkies,SP,Socialistische Partij (Nederland),2012,"","",arnold_merkies
Astrid Oosenbrug,Astrid Oosenbrug,PvdA,Partij van de Arbeid (Nederland),2012,"","",astrid_oosenbrug
Attje Kuiken,Attje Kuiken,PvdA,Partij van de Arbeid (Nederland),2012,"","",attje_kuiken
Aukje de Vries,Aukje de Vries,VVD,Volkspartij voor Vrijheid en Democratie,2012,2012-11-08,"",aukje_de_vries
Barbara Visser,Barbara Visser (politicus),VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",barbara_visser
Barry Madlener,Barry Madlener,PVV,Partij voor de Vrijheid,2012,"","",barry_madlener
Bart de Liefde,Bart de Liefde,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2016-02-19,bart_de_liefde
Bas van 't Wout,Bas van 't Wout,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",bas_van_'t_wout
Betty de Boer,Betty de Boer,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",betty_de_boer
Bram van Ojik,Bram van Ojik,GroenLinks,GroenLinks,2012,"",2015-05-19,bram_van_ojik
Brigitte van der Burg,Brigitte van der Burg,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",brigitte_van_der_burg
Carla Dik-Faber,Carla Dik-Faber,ChristenUnie,ChristenUnie,2012,"","",carla_dik-faber
Carola Schouten,Carola Schouten,ChristenUnie,ChristenUnie,2012,"","",carola_schouten
Chantal Nijkerken-de Haan,Chantal Nijkerken-de Haan,VVD,Volkspartij voor Vrijheid en Democratie,2012,2015-03-31,"",chantal_nijkerken-de_haan
Cora van Nieuwenhuizen,Cora van Nieuwenhuizen,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2014-07-01,cora_van_nieuwenhuizen
Corinne Ellemeet,Corinne Ellemeet,GroenLinks,GroenLinks,2012,2014-11-18,2015-03-09,corinne_ellemeet
Daniël van der Ree,Daniël van der Ree,VVD,Volkspartij voor Vrijheid en Democratie,2012,2016-09-07,"",daniël_van_der_ree
Diederik Samsom,Diederik Samsom,PvdA,Partij van de Arbeid (Nederland),2012,"",2016-12-12,diederik_samsom
Dion Graus,Dion Graus,PVV,Partij voor de Vrijheid,2012,"","",dion_graus
Duco Hoogland,Duco Hoogland,PvdA,Partij van de Arbeid (Nederland),2012,2012-11-08,"",duco_hoogland
Désirée Bonis,Désirée Bonis,PvdA,Partij van de Arbeid (Nederland),2012,"",2013-06-13,désirée_bonis
Ed Groot,Ed Groot,PvdA,Partij van de Arbeid (Nederland),2012,"","",ed_groot
Eddy van Hijum,Eddy van Hijum,CDA,Christen-Democratisch Appèl,2012,"",2014-11-11,eddy_van_hijum
Edith Schippers,Edith Schippers,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2012-11-05,edith_schippers
Elbert Dijkgraaf,Elbert Dijkgraaf,SGP,Staatkundig Gereformeerde Partij,2012,"","",elbert_dijkgraaf
Emile Roemer,Emile Roemer,SP,Socialistische Partij (Nederland),2012,"","",emile_roemer
Emre Ünver,Emre Ünver,PvdA,Partij van de Arbeid (Nederland),2012,"","",emre_Ünver
Eppo Bruins,Eppo Bruins,ChristenUnie,ChristenUnie,2012,2015-12-02,"",eppo_bruins
Eric Smaling,Eric Smaling,SP,Socialistische Partij (Nederland),2012,2013-05-14,"",eric_smaling
Erik Ronnes,Erik Ronnes,CDA,Christen-Democratisch Appèl,2012,2015-05-20,"",erik_ronnes
Erik Ziengs,Erik Ziengs,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",erik_ziengs
Esther Ouwehand,Esther Ouwehand,Partij voor de Dieren,Partij voor de Dieren,2012,2015-11-17,"",esther_ouwehand
Farshad Bashir,Farshad Bashir,SP,Socialistische Partij (Nederland),2012,"","",farshad_bashir
Fatma Koşer Kaya,Fatma Koşer Kaya,D66,Democraten 66,2012,2015-08-19,"",fatma_koşer_kaya
Fleur Agema,Fleur Agema,PVV,Partij voor de Vrijheid,2012,"",2015-01-13,fleur_agema
Fleur Agema,Fleur Agema,PVV,Partij voor de Vrijheid,2012,2015-05-05,"",fleur_agema
Foort van Oosten,Foort van Oosten,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",foort_van_oosten
Frank Wassenberg,Frank Wassenberg,Partij voor de Dieren,Partij voor de Dieren,2012,"",2015-11-17,frank_wassenberg
Frans Timmermans,Frans Timmermans (politicus),PvdA,Partij van de Arbeid (Nederland),2012,"",2012-11-05,frans_timmermans
Frans Weekers,Frans Weekers,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2012-11-05,frans_weekers
Fred Teeven,Fred Teeven,VVD,Volkspartij voor Vrijheid en Democratie,2012,"",2012-11-05,fred_teeven
Fred Teeven,Fred Teeven,VVD,Volkspartij voor Vrijheid en Democratie,2012,2015-03-26,"",fred_teeven
Geert Wilders,Geert Wilders,PVV,Partij voor de Vrijheid,2012,"","",geert_wilders
Gerard Schouw,Gerard Schouw,D66,Democraten 66,2012,"",2015-07-31,gerard_schouw
Gert-Jan Segers,Gert-Jan Segers,ChristenUnie,ChristenUnie,2012,"","",gert-jan_segers
Grace Tanamal,Grace Tanamal,PvdA,Partij van de Arbeid (Nederland),2012,2012-11-08,"",grace_tanamal
Halbe Zijlstra,Halbe Zijlstra,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",halbe_zijlstra
Han ten Broeke,Han ten Broeke,VVD,Volkspartij voor Vrijheid en Democratie,2012,"","",han_ten_broeke
Hanke Bruins Slot,Hanke Bruins Slot,CDA,Christen-Democratisch Appèl,2012,"","",hanke_bruins_slot
