id,name__fr,name__en,name__nl,name,wikipedia__en,wikipedia__fr,gender,birth_date,original_wikiname,given_name,name__de,name__it,name__sv,name__es,name__hu,wikipedia__sv,name__zh,image,name__en_ca,name__en_gb,occupation,identifier__freebase,death_date
Q16195146,Jeannette Kavira Mapera,Jeannette Kavira Mapera,,Jeannette Kavira Mapera,Jeannette Kavira Mapera,,female,1963-04-08,Jeannette Kavira Mapera,Jeannette,Jeannette Kavira Mapera,,,,,,,,,,,,
Q17631305,Juvénal Munubo Mubi,Juvénal Munubo Mubi,Juvenal Munubo,Juvénal Munubo Mubi,Juvenal Munubo,Juvénal Munubo Mubi,male,1979-07-01,Juvenal Munubo,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Honorable_Juvenal_Munubo_Mubi.jpg,,,politician,,
Q18019786,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,male,,Jean-Bertrand Ewanga,Jean,,,,,,,,,,,politician,,
Q18353237,Aimé Boji Sangara,Aimé Boji,Aimé Boji,Aimé Boji,Aimé Boji,Aimé Boji,male,,Aimé Boji,Aimé,,,,,,,,,Aimé Boji,Aimé Boji,politician,,
Q19629165,Zoé Kabila,Zoé Kabila,Zoé Kabila,Zoé Kabila,Zoé Kabila,Zoé Kabila,male,1979-06-26,Zoé Kabila,,,,,,,,,,,,politician,,
Q20740600,Jean-Marie Bamporiki,Jean-Marie Bamporiki,Jean-Marie Bamporiki,Jean-Marie Bamporiki,Jean-Marie Bamporiki,,male,,Jean-Marie Bamporiki,Jean-Marie,,,,,,,,,,,,,
Q20740642,Justin Bitakwira,Justin Bitakwira,Justin Bitakwira,Justin Bitakwira,Justin Bitakwira,,male,,Justin Bitakwira,Justin,,,,,,,,,,,,,
Q20810501,Arome Bigabwa,Arome Bigabwa,Arome Bigabwa,Arome Bigabwa,Arome Bigabwa,,male,1952-03-30,Arome Bigabwa,,,,,,,,,,,,,,
Q20810516,Sam Bokolombe,Sam Bokolombe,Sam Bokolombe,Sam Bokolombe,Sam Bokolombe,,male,,Sam Bokolombe,Sam,,,,,,,,,,,,,
Q20982168,Edouard Kiove Kola,Edouard Kiove Kola,Edouard Kiove Kola,Edouard Kiove Kola,Edouard Kiove Kola,,male,,Edouard Kiove Kola,Edouard,,,,,,,,,,,,,
Q20982169,Eric Katolo,Eric Katolo,Eric Katolo,Eric Katolo,Eric Katolo,,male,,Eric Katolo,Eric,,,,,,,,,,,,,
Q20982172,Claudel-André Lubaya,Claudel Andre Lubaya,Claudel Andre Lubaya,Claudel Andre Lubaya,Claudel Andre Lubaya,,male,,Claudel Andre Lubaya,,Claudel Andre Lubaya,,,,,,,,,,politician,,
Q20982173,Jason Luneno,Jason Luneno,Jason Luneno,Jason Luneno,Jason Luneno,,male,,Jason Luneno,Jason,,,,,,,,,,,,,
Q20982179,,Jean-Baudouin Mayo Mambeke,Jean-Baudouin Mayo Mambeke,Jean-Baudouin Mayo Mambeke,Jean-Baudouin Mayo Mambeke,,male,,Jean-Baudouin Mayo Mambeke,Jean,,,,,,,,,,,,,
Q20982180,Crispin Mbindule,Crispin Mbindule,Crispin Mbindule,Crispin Mbindule,Crispin Mbindule,,male,,Crispin Mbindule,Crispin,,,,,,,,,,,,,
Q20982181,Gregoire Mirindi,Gregoire Mirindi,Gregoire Mirindi,Gregoire Mirindi,Gregoire Mirindi,,male,,Gregoire Mirindi,,,,,,,,,,,,,,
Q20982184,Roger Mpanano,Roger Mpanano,Roger Mpanano,Roger Mpanano,Roger Mpanano,,male,,Roger Mpanano,Roger,,,,,,,,,,,,,
Q20982185,Kizito Mushizi,Kizito Mushizi,Kizito Mushizi,Kizito Mushizi,Kizito Mushizi,,male,,Kizito Mushizi,,,,,,,,,,,,,,
Q20982196,Martin Ntenda,Martin Ntenda,Martin Ntenda,Martin Ntenda,Martin Ntenda,,male,,Martin Ntenda,Martin,,,,,,,,,,,,,
Q2980757,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,male,1931,Cléophas Kamitatu,,,,,,,,,,,,politician,,2008
Q3163304,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,female,1971-06-04,Jaynet Kabila,,,,,,,,珍妮特·卡比拉,,,,politician,,
Q3421171,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,male,1950-11-20,Raymond Tshibanda,Raymond,Raymond Tshibanda,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/Raymond_Tshibanda.jpg,,,diplomat,,
Q5111780,,Christophe Lutundula,Christophe Lutundula,Christophe Lutundula,Christophe Lutundula,,male,,Christophe Lutundula,Christophe,Christophe Lutundula,Christophe Lutundula,,,,,,,,,,,
Q586135,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,male,1946-07-10,Pierre Pay-Pay wa Syakasighe,Pierre,,,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,,,,,politician,/m/0bgc90,
