iddiputado,name,sort_name,given_name,family_name,gender,party,faction_id,faction,source,dob,term,start_date,end_date,email,twitter,facebook,phone,fax,constituency,photo,id
,José Manuel García-Margallo y Marfil,"García-Margallo y Marfil, José Manuel",José Manuel,García-Margallo y Marfil,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=44,,11,,,"","","","","",Alicante/Alacant,"",0_261
,Susana Sumelzo Jordán,"Sumelzo Jordán, Susana",Susana,Sumelzo Jordán,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=338&idLegislatura=11,,11,,,"","","","","",Zaragoza,"",10_102
,María González Veracruz,"González Veracruz, María",María,González Veracruz,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=329,,11,,,"","","","","",Murcia,"",10_104
,Manuel Gabriel González Ramos,"González Ramos, Manuel Gabriel",Manuel Gabriel,González Ramos,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=266,,11,,,"","","","","",Albacete,"",10_11
,María Pilar Lucio Carrasco,"Lucio Carrasco, María Pilar",María Pilar,Lucio Carrasco,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=326&idLegislatura=11,,11,,,"","","","","",Cáceres,"",10_111
,Antonio Pradas Torres,"Pradas Torres, Antonio",Antonio,Pradas Torres,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=102&idLegislatura=11,,11,,,"","","","","",Sevilla,"",10_117
,Felipe Jesús Sicilia Alférez,"Sicilia Alférez, Felipe Jesús",Felipe Jesús,Sicilia Alférez,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=12&idLegislatura=11,,11,,,"","","","","",Jaén,"",10_122
,María del Puerto Gallego Arriola,"Gallego Arriola, María del Puerto",María del Puerto,Gallego Arriola,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=112,,11,,,"","","","","",Cantabria,"",10_127
,Sebastián Franquis Vera,"Franquis Vera, Sebastián",Sebastián,Franquis Vera,male,PSOE-NCa,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=289,,11,,,"","","","","",Palmas (Las),"",10_132
,Irene Garrido Valenzuela,"Garrido Valenzuela, Irene",Irene,Garrido Valenzuela,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=18,,11,,,"","","","","",Pontevedra,"",10_138
,Sofía Hernanz Costa,"Hernanz Costa, Sofía",Sofía,Hernanz Costa,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=11&idDiputado=330,,11,,,"","","","","",Balears (Illes),"",10_141
,María Teresa Angulo Romero,"Angulo Romero, María Teresa",María Teresa,Angulo Romero,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=299&idLegislatura=11,,11,,,"","","","","",Badajoz,"",10_148
,Leopoldo Barreda de los Ríos,"Barreda de los Ríos, Leopoldo",Leopoldo,Barreda de los Ríos,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=315&idLegislatura=11,,11,,,"","","","","",Bizkaia,"",10_149
,Beatriz Marta Escudero Berzal,"Escudero Berzal, Beatriz Marta",Beatriz Marta,Escudero Berzal,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=16&idLegislatura=11,,11,,,"","","","","",Segovia,"",10_15
,Guillermo Antonio Meijón Couselo,"Meijón Couselo, Guillermo Antonio",Guillermo Antonio,Meijón Couselo,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=180&idLegislatura=11,,11,,,"","","","","",Pontevedra,"",10_153
