id,name__pt,name__eo,name__eu,name__ru,name__fr,name__en,name__ast,name__es,name__ca,name__fi,name__it,name__be_tarask,name__gl,name__de,name__cs,name__nl,name__nb,name__da,name__nn,name__sv,name,wikipedia__ast,wikipedia__be_x_old,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__it,wikipedia__pt,wikipedia__ru,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,name__pl,name__arz,name__oc,name__uk,wikipedia__arz,wikipedia__nl,wikipedia__oc,wikipedia__pl,wikipedia__sv,wikipedia__uk,identifier__ISNI,identifier__SUDOC,identifier__Munzinger,identifier__BNF,identifier__CANTIC,name__ja,wikipedia__ja,identifier__BNE,name__tr,wikipedia__tr,name__la,name__fa,wikipedia__la,name__zh,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ro,name__ar,name__af,name__et,name__hr,name__hu,name__is,name__lt,name__sk,name__sl,name__sq,name__gsw,wikipedia__ar,wikipedia__eswikiquote,wikipedia__euwikiquote,wikipedia__ro,wikipedia__cawikiquote,identifier__GNC,name__en_ca,name__en_gb,identifier__EuroparlMEP,wikipedia__itwikiquote,name__eml,wikipedia__eml,wikipedia__sq,wikipedia__simple,death_date,identifier__NTA,name__el,name__he,wikipedia__he,name__an,name__br,name__ga,name__lb,name__lmo,name__nds_nl,name__pms,name__wa,wikipedia__no,identifier__parlement,name__ko,wikipedia__fa,wikipedia__ko,wikipedia__el,name__mg,wikipedia__mg,wikipedia__an,wikipedia__hu,wikipedia__sk,family_name,twitter,website,facebook,linkedin,wikipedia__hr,identifier__IMDB,identifier__AlloCine,name__be,name__bg,name__cy,name__ext,name__gd,name__hy,name__id,name__io,name__ka,name__mr,name__ms,name__nah,name__sh,name__sr,name__ta,name__vi,name__war,name__yo,name__lad,name__pt_br,name__gn,name__lv,name__az,name__hak,name__tt,name__ie,name__th,name__yue,name__mk,name__sco,wikipedia__az,wikipedia__bcl,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__cy,wikipedia__da,wikipedia__enwikinews,wikipedia__eowikinews,wikipedia__et,wikipedia__ext,wikipedia__frwikinews,wikipedia__gd,wikipedia__gn,wikipedia__hak,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__ka,wikipedia__lad,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nah,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tt,wikipedia__vi,wikipedia__war,wikipedia__yo,wikipedia__zh_yue,name__bcl,wikipedia__eswikinews,original_wikiname,identifier__allmovie,wikipedia__cswikiquote,identifier__MusicBrainz,name__bar,name__co,name__de_at,name__de_ch,name__frp,name__fur,name__ia,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nrm,name__pcd,name__rm,name__sc,name__scn,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wo,name__zu,wikipedia__glwikiquote,identifier__FAST,wikipedia__ga,name__bs,last_seen,electoral_district,identifier__SELIBR,identifier__NUKAT,identifier__NKC,identifier__PTBNP,identifier__dialnet,identifier__google_scholar,identifier__BVMC,second_surname,identifier__SFDb,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__DNF,identifier__filmportal_de,identifier__elonet,identifier__PACE,identifier__NDL,wikipedia__hsb,name__hsb,wikipedia__sc,identifier__google_knowledge,occupation,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,identifier__quora,identifier__snac,identifier__OLID,wikipedia__cawikinews,wikipedia__dewikinews,wikipedia__ptwikinews,wikipedia__srwikinews,wikipedia__enwikiquote,noble_title,identifier__BNC,identifier__CiNii,identifier__NLI,name__bn,instagram,wikipedia__ml,name__ml,identifier__BIBSYS,identifier__NLP,identifier__Britannica,identifier__youtube,pseudonym,name__hi,wikipedia__lmo,identifier__ORCID,name__nys,wikipedia__is,name__ha,wikipedia__ha,name__kn,weblog,wikipedia__als,identifier__ULAN,wikipedia__nn,wikipedia__uz,name__uz,name__lfn,honorific_prefix,wikipedia__af,wikipedia__bewikiquote,wikipedia__ig,wikipedia__nov,wikipedia__olo,wikipedia__pms,wikipedia__sl,wikipedia__vec,wikipedia__ne,wikipedia__xmf,name__nov,name__ig,name__olo,wikipedia__tl,name__tl,wikipedia__fy,wikipedia__hi,name__fy,wikipedia__wa
Q1040591,,,,"Бласко, Мириам",Miriam Blasco Soto,Miriam Blasco,,Miriam Blasco,Miriam Blasco Soto,,Miriam Blasco,,,Miriam Blasco,Miriam Blascová,Miriam Blasco,,,,Miriam Blasco,Miriam Blasco,,,Miriam Blasco Soto,,Miriam Blascová,Míriam Blasco,Miriam Blasco,,Miriam Blasco,,,Miriam Blasco Soto,,Miriam Blasco,,"Бласко, Мириам",https://upload.wikimedia.org/wikipedia/commons/5/5d/Miriam_Blasco_(mural_en_Valladolid).jpg,female,,,,1963-12-12,/m/0g9036,Miriam,Miriam Blasco,,,,,,,Miriam Blasco,Miriam Blasco,,,,,,,ミリアム・ブラスコ,ミリアム・ブラスコ,XX1195027,,,,,,,,,,,,,,,مريم بلاسكو,,,,Miriam Blasco,,,,Miriam Blasco,,,مريم بلاسكو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miriam Blasco,,Blasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miriam Blasco,,,,,,,,,,,,,,,,Miriam Blasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10819,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Мариано Рахой,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy Brey,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Мар’яна Рахой,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy Brey,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy Brey,Мар’яна Рахой,Mariano Rajoy Brey,,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,"Рахой, Мариано",https://upload.wikimedia.org/wikipedia/commons/3/35/Rajoy_anuncia_elecciones_en_Cataluña_05_(cropped).jpg,male,7079434,137037457,no2003052380,1955-03-27,/m/02k6pd,Mariano,Mariano Rajoy,ماريانو راخوى,Mariano Rajoy Brey,Маріано Рахой Брей,ماريانو راخوى,Mariano Rajoy Brey,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Маріано Рахой,0000 0001 0534 9699,070955018,00000023733,16223389w,a11632495,マリアーノ・ラホイ・ブレイ,マリアーノ・ラホイ・ブレイ,XX1079922,Mariano Rajoy,Mariano Rajoy,Marianus Rajoy,ماریانا راخوی,Marianus Rajoy,马里亚诺·拉霍伊,马里亚诺·拉霍伊,,,,,,,Mariano Rajoy,ماريانو راخوي,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,štátnik,Mariano Rajoy,,Mariano Rajoy,ماريانو راخوي,Mariano Rajoy,,Mariano Rajoy,Mariano Rajoy Brey,0242444,Mariano Rajoy,Mariano Rajoy,,Mariano Rajoy,,,,Mariano Rajoy,,,Μαριάνο Ραχόι,מריאנו רחוי,מריאנו רחוי,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy Brey,Mariano Rajoy,Mariano Rajoy Brey,,Mariano Rajoy,,Mariano Rajoy,viumdina80zg,마리아노 라호이,ماریانو راخوی,마리아노 라호이,Μαριάνο Ραχόι,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Rajoy,marianorajoy,http://www.rajoy.es/,,,Mariano Rajoy,nm1775577,,Марыяна Рахой,Мариано Рахой,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy Brey,Մարիանո Ռախոյ,Mariano Rajoy,Mariano Rajoy Brey,მარიანო რახოი,मार्यानो राहॉय,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Маријано Рахој Бреј,மாரியானோ ரஜோய்,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Marjano Rahojs,Mariano Rahoy,Mariano Rajoy,Mariano Raxoy,Mariano Rajoy,มาเรียโน ราฆอย,馬里亞諾·拉霍伊,Маријано Рахој,Mariano Rajoy,Mariano Rahoy,Mariano Rajoy,Марыяна Рахой,Мариано Рахой,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Category:Mariano Rajoy,Kategorio:Mariano RAJOY,Mariano Rajoy,Mariano Rajoy,Catégorie:Mariano Rajoy,Mariano Rajoy Brey,Mariano Rajoy,Mariano Rajoy,Մարիանո Ռախոյ,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy Brey,მარიანო რახოი,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Marjano Rahojs,मार्यानो राहॉय,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Категория:Мариано Рахой,Mariano Rajoy,Mariano Rajoy,Маријано Рахој Бреј,மாரியானோ ரஜோய்,มาเรียโน ราฆอย,Mariano Raxoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,馬里亞諾·拉霍伊,Mariano Rajoy,Categoría:Mariano Rajoy,Mariano Rajoy,,,,,,,,,,,,,,,,Mariano Rajoy,,,,Mariano Rajoy,,,,Mariano Rajoy,,,,,,494653,Mariano Rajoy Brey,,,,,,,,53656,,,Brey,,,,,,,,,,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,,statesperson,,,,,,,,,Mariano-Rajoy,,,Categoria:Mariano Rajoy,Kategorie:Mariano Rajoy,Categoria:Mariano Rajoy,Категорија:Маријано Рахој,Mariano Rajoy,,,,004869766,মারিয়ানো রাহোয়,,,,,,biography/Mariano-Rajoy,,,,Mariano Rajoy Brey,,,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,,,,,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,,,Mariano Rajoy,Марыяна Рахой,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,,,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,Mariano Rajoy,,Mariano Rajoy,Mariano Rajoy
Q10949778,Fernando Maura,Fernando Maura,Fernando Maura,,Fernando Maura,Fernando Maura,,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,,,Fernando Maura Barandiarán,,,Fernando Maura,Fernando Maura Barandiarán,,Fernando Maura,Fernando Maura,,Fernando Maura Barandiarán,,,,,"https://upload.wikimedia.org/wikipedia/commons/d/dc/Fernando_Maura_(UPyD)_propone_""que_una_Europa_de_estados_se_transforme_en_una_Europa_de_ciudadanos"".png",male,58451758,,n2003041377,1955-04-30,,Fernando,Fernando Maura,,,,,,,Fernando Maura,,,0000 0000 5931 884X,,,,,,,XX1151579,Fernando Maura,,,,,,,,,,,,,Fernando Maura,فرناندو مورا,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,,,,,,,,,125039,,,,,,,,,,,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,Fernando Maura,,,,,,,,,,,,Maura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Maura,,,,,,,,,,,,,,,,Fernando Maura,,,,,,,,,,,,,,,,,,,,,,,1711949,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10975364,,,Xabier Mikel Errekondo,,Xabier Mikel Errekondo,Xabier Mikel Errekondo,,Xabier Mikel Errekondo,,,Xabier Mikel Errekondo,,,Xabier Mikel Errekondo,,Xabier Mikel Errekondo,,,,,Xabier Mikel Errekondo,,,,,,,,,Xabier Mikel Errekondo,Xabier Mikel Errekondo,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Xabier_Mikel_Errekondo_en_la_noche_electoral_del_20_de_noviembre_de_2011.jpg,male,,,,1964-08-12,,Xabier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xabier Mikel Errekondo,,,,Xabier Mikel Errekondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xabier Mikel Errekondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11037498,,,,,Jorge Moragas,Jorge Moragas,,Jorge Moragas,Jorge Moragas Sánchez,,Jorge Moragas,,,Jorge Moragas,,Jorge Moragas,,,,,Jorge Moragas,,,Jorge Moragas Sánchez,Category:Jorge Moragas,,,Jorge Moragas,,Jorge Moragas,,,Jorge Moragas,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/5_Jorge_Moragas.jpg,male,205018252,,,1965-06-21,,Jorge,Jorge Moragas,,,,,,,Jorge Moragas,,,,139964738,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Moragas,,,,Jorge Moragas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Moragas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11038990,José Luis Ayllón,José Luis Ayllón,,,José Luis Ayllón,José Luis Ayllón,,José Luis Ayllón,José Luis Ayllón Manso,José Luis Ayllón,José Luis Ayllón,,,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,,José Luis Ayllón,José Luis Ayllón,,,José Luis Ayllón Manso,Category:José Luis Ayllón,,,,,José Luis Ayllón,,,José Luis Ayllón,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Jose_Luis_Ayllón_2.jpg,male,,,,1970-07-05,,José Luis,José Luis Ayllón,,,,,,,,,,,,,,,,,,José Luis Ayllón,,,,,,,,,,,,,José Luis Ayllón,,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,José Luis Ayllón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jlayllon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Luis Ayllón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11055661,,,,,Francisco Jorquera,Francisco Jorquera,,Francisco Jorquera,Francisco Jorquera,,Francisco Jorquera,,Francisco Jorquera,Francisco Jorquera,,Francisco Jorquera,,,,,Francisco Jorquera,,,Francisco Jorquera,,,,,,Francisco Jorquera,,,Francisco Jorquera,Francisco Jorquera,,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Francisco_Jorquera.JPG,male,,,,1961-08-31,,Francisco,,,,,,,,,,,,,,,,フランシスコ・ホルケーラ,,,,,,,,,,,,,,,,,,,,,Francisco Jorquera,,,,Francisco Jorquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jorqueracaselas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Jorquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11681287,,,Eduardo Madina,,Eduardo Madina,Eduardo Madina,,Eduardo Madina,Eduardo Madina,,,,Eduardo Madina,,,Eduardo Madina,,,,,Eduardo Madina,,,Eduardo Madina Muñoz,Category:Eduardo Madina,,,Eduardo Madina,,Eduardo Madina,Eduardo Madina,,Eduardo Madina,Eduardo Madina,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Jornadas_de_Juventudes_Socialistas_de_Olivenza_con_Eduardo_Madina_y_Guillermo_Fernández_Vara_(3).jpg,male,285064445,,,1976-01-11,,Eduardo,,,,,,,,,,,,161030246,,,,,,XX4722386,,,,,,,,,,,,,,,,,,,Eduardo Madina,,,,Eduardo Madina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Madina,,,,,,,,,,,,,,,,Eduardo Madina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,Eduardo-Madina,,,,,,,,,,,000375594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11691076,,,,,Mario Flores Lanuza,Mario Flores Lanuza,,Mario Flores Lanuza,Mario Francisco José Flores Lanuza,,,,,Mario Flores Lanuza,,Mario Flores Lanuza,,,,,Mario Flores Lanuza,,,Mario Francisco José Flores Lanuza,,,,,,Mario Flores Lanuza,,,,,,,,,male,,,,1956-03-20,,Mario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ماريو فلوريس,,,,Mario Flores Lanuza,,,,Mario Flores Lanuza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Flores Lanuza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11692631,Miguel Barrachina,,Miguel Barrachina,,Miguel Barrachina,Miguel Barrachina,Miguel Barrachina,Miguel Barrachina,Miguel Barrachina Ros,,Miguel Barrachina,,Miguel Barrachina,Miguel Barrachina,,Miguel Barrachina,,,Miguel Barrachina,Miguel Barrachina,Miguel Barrachina,,,Miguel Barrachina Ros,,,,,,Miguel Barrachina,,,Miguel Barrachina,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Presidente_Miguel_Barrachina.jpg,male,,,,1969-01-30,,Miguel,Miguel Barrachina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Barrachina,,,,,Miguel Barrachina,,,,Miguel Barrachina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barrachinam,,miguel.barrachina.ros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Barrachina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
