name,party_id,wikiname,term,party,end_date,start_date
Pia Adelsteen,DF,Pia Adelsteen,2011,Dansk Folkeparti,,
Karina Adsbøl,DF,Karina Adsbøl,2011,Dansk Folkeparti,,
Alex Ahrendtsen,DF,Alex Ahrendtsen,2011,Dansk Folkeparti,,
Simon Emil Ammitzbøll,LA,Simon Emil Ammitzbøll,2011,Liberal Alliance,,
Eigil Andersen,SF,Eigil Andersen,2011,Socialistisk Folkeparti,,
Hans Andersen,V,Hans Andersen (politiker),2011,Venstre,,
Kim Andersen,V,Kim Andersen (politiker),2011,Venstre,,
Liv Holm Andersen,R,Liv Holm Andersen,2011,Det Radikale Venstre,,
Sophie Hæstorp Andersen,S,Sophie Hæstorp Andersen,2011,Socialdemokraterne,2014-01-01,
Christine Antorini,S,Christine Antorini,2011,Socialdemokraterne,,
Jørgen Arbo-Bæhr,EL,Jørgen Arbo-Bæhr,2011,Enhedslisten,,
Ida Auken,SF,Ida Auken,2011,Socialistisk Folkeparti,,
Christian Friis Bach,R,Christian Friis Bach,2011,Det Radikale Venstre,,
Pernille Vigsø Bagge,SF,Pernille Vigsø Bagge,2011,Socialistisk Folkeparti,,
Lars Barfoed,K,Lars Barfoed,2011,Det Konservative Folkeparti,,
Gitte Lillelund Bech,V,Gitte Lillelund Bech,2011,Venstre,2013-08-15,
Tom Behnke,K,Tom Behnke,2011,Det Konservative Folkeparti,,
Jacob Bjerregaard,S,Jacob Bjerregaard,2011,Socialdemokraterne,2014-01-01,
Liselott Blixt,DF,Liselott Blixt,2011,Dansk Folkeparti,,
Mette Bock,LA,Mette Bock,2011,Liberal Alliance,,
Erling Bonnesen,V,Erling Bonnesen,2011,Venstre,,
Trine Bramsen,S,Trine Bramsen,2011,Socialdemokraterne,,
Stine Brix,EL,Stine Brix,2011,Enhedslisten,,
Kirsten Brosbøl,S,Kirsten Brosbøl,2011,Socialdemokraterne,,
Jeppe Bruus,S,Jeppe Bruus,2011,Socialdemokraterne,,
Morten Bødskov,S,Morten Bødskov,2011,Socialdemokraterne,,
Bent Bøgsted,DF,Bent Bøgsted,2011,Dansk Folkeparti,,
Anne Baastrup,SF,Anne Baastrup,2011,Socialistisk Folkeparti,,
Özlem Sara Cekic,SF,Özlem Sara Cekic,2011,Socialistisk Folkeparti,,
Anita Christensen,DF,Anita Christensen (politiker),2011,Dansk Folkeparti,,
Jens Ejner Christensen,V,Jens Ejner Christensen,2011,Venstre,,
Peter Christensen,V,Peter Christensen (politiker),2011,Venstre,,
René Christensen,DF,René Christensen,2011,Dansk Folkeparti,,
Villum Christensen,LA,Villum Christensen,2011,Liberal Alliance,,
Anne-Mette Winther Christiansen,V,Anne-Mette Winther Christiansen,2011,Venstre,,
Kim Christiansen,DF,Kim Christiansen (politiker),2011,Dansk Folkeparti,,
Per Clausen,EL,Per Clausen,2011,Enhedslisten,,
Bjarne Corydon,S,Bjarne Corydon,2011,Socialdemokraterne,,
Jens Henrik Thulesen Dahl,DF,Jens Henrik Thulesen Dahl,2011,Dansk Folkeparti,,
Jonas Dahl,SF,Jonas Dahl,2011,Socialistisk Folkeparti,,
Kristian Thulesen Dahl,DF,Kristian Thulesen Dahl,2011,Dansk Folkeparti,,
Lennart Damsbo-Andersen,S,Lennart Damsbo-Andersen,2011,Socialdemokraterne,,
Thomas Danielsen,V,Thomas Danielsen,2011,Venstre,,
Mette Dencker,DF,Mette Dencker,2011,Dansk Folkeparti,,
Mikkel Dencker,DF,Mikkel Dencker,2011,Dansk Folkeparti,,
Lars Dohn,EL,Lars Dohn,2011,Enhedslisten,,
Jørn Dohrmann,DF,Jørn Dohrmann,2011,Dansk Folkeparti,2014-06-21,
Pia Olsen Dyhr,SF,Pia Olsen Dyhr,2011,Socialistisk Folkeparti,,
Charlotte Dyremose,K,Charlotte Dyremose,2011,Det Konservative Folkeparti,,2014-01-01
Uffe Elbæk,UFG,Uffe Elbæk,2011,Uden for partierne,2013-09-17,
Louise Schack Elholm,V,Louise Schack Elholm,2011,Venstre,,
Jakob Ellemann-Jensen,V,Jakob Ellemann-Jensen,2011,Venstre,,
Karen Ellemann,V,Karen Ellemann,2011,Venstre,,
Jakob Engel-Schmidt,V,Jakob Engel-Schmidt,2011,Venstre,,2013-08-15
Benny Engelbrecht,S,Benny Engelbrecht,2011,Socialdemokraterne,,
Lene Espersen,K,Lene Espersen,2011,Det Konservative Folkeparti,,
Søren Espersen,DF,Søren Espersen,2011,Dansk Folkeparti,,
Nadeem Farooq,R,Nadeem Farooq,2011,Det Radikale Venstre,,
Dennis Flydtkjær,DF,Dennis Flydtkjær,2011,Dansk Folkeparti,,
Thyra Frank,LA,Thyra Frank,2011,Liberal Alliance,,
Claus Hjort Frederiksen,V,Claus Hjort Frederiksen,2011,Venstre,,
Mette Frederiksen,S,Mette Frederiksen,2011,Socialdemokraterne,,
Lykke Friis,V,Lykke Friis,2011,Venstre,2013-06-01,
Steen Gade,SF,Steen Gade,2011,Socialistisk Folkeparti,,
Martin Geertsen,V,Martin Geertsen,2011,Venstre,,
Mette Gjerskov,S,Mette Gjerskov,2011,Socialdemokraterne,,
Karin Gaardsted,S,Karin Gaardsted,2011,Socialdemokraterne,,
Ane Halsboe-Larsen,S,Ane Halsboe-Larsen,2011,Socialdemokraterne,,
Carsten Hansen,S,Carsten Hansen,2011,Socialdemokraterne,,
Eva Kjer Hansen,V,Eva Kjer Hansen,2011,Venstre,,
Torben Hansen,S,Torben Hansen (folketingsmedlem),2011,Socialdemokraterne,,
Orla Hav,S,Orla Hav,2011,Socialdemokraterne,,
Jane Heitmann,V,Jane Heitmann,2011,Venstre,,
Mai Henriksen,K,Mai Mercado,2011,Det Konservative Folkeparti,,
Martin Henriksen,DF,Martin Henriksen,2011,Dansk Folkeparti,,
Preben Bang Henriksen,V,Preben Bang Henriksen,2011,Venstre,,
Camilla Hersom,R,Camilla Hersom,2011,Det Radikale Venstre,,
Magnus Heunicke,S,Magnus Heunicke,2011,Socialdemokraterne,,
Birthe Rønn Hornbech,V,Birthe Rønn Hornbech,2011,Venstre,,
Henning Hyllested,EL,Henning Hyllested,2011,Enhedslisten,,
Karen Hækkerup,S,Karen Hækkerup,2011,Socialdemokraterne,,
Nick Hækkerup,S,Nick Hækkerup,2011,Socialdemokraterne,,
Ole Hækkerup,S,Ole Hækkerup,2011,Socialdemokraterne,,
Henrik Høegh,V,Henrik Høegh,2011,Venstre,,
Bertel Haarder,V,Bertel Haarder,2011,Venstre,,
Doris Jakobsen,SIU,Doris Jakobsen,2011,Siumut (Grønland),,
Marianne Jelved,R,Marianne Jelved,2011,Det Radikale Venstre,,
Jacob Jensen,V,Jacob Jensen (født 1973),2011,Venstre,,
Kristian Jensen,V,Kristian Jensen,2011,Venstre,,
Leif Lahn Jensen,S,Leif Lahn Jensen,2011,Socialdemokraterne,,
Michael Aastrup Jensen,V,Michael Aastrup Jensen,2011,Venstre,,
Mogens Jensen,S,Mogens Jensen,2011,Socialdemokraterne,,
Peter Juel Jensen,V,Peter Juel Jensen,2011,Venstre,,
Thomas Jensen,S,Thomas Jensen (politiker),2011,Socialdemokraterne,,
Karen Jespersen,V,Karen Jespersen,2011,Venstre,,
Jens Joel Nielsen,S,Jens Joel Nielsen,2011,Socialdemokraterne,,
Edmund Joensen,SaF,Edmund Joensen,2011,Sambandsflokkurin (Færøerne),,
Jan Johansen,S,Jan Johansen,2011,Socialdemokraterne,,
Birgitte Josefsen,V,Birgitte Josefsen,2011,Venstre,,
Christian Juhl,EL,Christian Juhl,2011,Enhedslisten,,
Jan E. Jørgensen,V,Jan E. Jørgensen,2011,Venstre,,
Morten Marinus Jørgensen,DF,Morten Marinus Jørgensen,2011,Dansk Folkeparti,,
Benedikte Kiær,K,Benedikte Kiær,2011,Det Konservative Folkeparti,2014-01-01,
Pia Kjærsgaard,DF,Pia Kjærsgaard,2011,Dansk Folkeparti,,
Karen J. Klint,S,Karen J. Klint,2011,Socialdemokraterne,,
Jeppe Kofod,S,Jeppe Kofod,2011,Socialdemokraterne,2014-07-01,
Simon Kollerup,S,Simon Kollerup,2011,Socialdemokraterne,,
Astrid Krag,SF,Astrid Krag Kristensen,2011,Socialistisk Folkeparti,,
Marie Krarup,DF,Marie Krarup,2011,Dansk Folkeparti,,
Henrik Dam Kristensen,S,Henrik Dam Kristensen,2011,Socialdemokraterne,,
Christian Langballe,DF,Christian Langballe,2011,Dansk Folkeparti,,
Rasmus Horn Langhoff,S,Rasmus Horn Langhoff,2011,Socialdemokraterne,,
Esben Lunde Larsen,V,Esben Lunde Larsen,2011,Venstre,,
Flemming Damgaard Larsen,V,Flemming Damgaard Larsen,2011,Venstre,,
Henrik Sass Larsen,S,Henrik Sass Larsen,2011,Socialdemokraterne,,
Karsten Lauritzen,V,Karsten Lauritzen,2011,Venstre,,
Bjarne Laustsen,S,Bjarne Laustsen,2011,Socialdemokraterne,,
Mike Legarth,K,Mike Legarth,2011,Det Konservative Folkeparti,,
Lars Christian Lilleholt,V,Lars Christian Lilleholt,2011,Venstre,,
Annette Lind,S,Annette Lind,2011,Socialdemokraterne,,
Lone Loklindt,R,Lone Loklindt,2011,Det Radikale Venstre,,
Karina Lorentzen,SF,Karina Lorentzen,2011,Socialistisk Folkeparti,,
Kristian Pihl Lorentzen,V,Kristian Pihl Lorentzen,2011,Venstre,,
Marlene Lorentzen,R,Marlene Lorentzen,2011,Det Radikale Venstre,,
Jacob Lund,S,Jacob Lund,2011,Socialdemokraterne,,
Rosa Lund,EL,Rosa Lund,2011,Enhedslisten,,
Mogens Lykketoft,S,Mogens Lykketoft,2011,Socialdemokraterne,,
Sophie Løhde,V,Sophie Løhde,2011,Venstre,,
Trine Pertou Mach,SF,Trine Pertou Mach,2011,Socialistisk Folkeparti,,2013-12-21
Anni Matthiesen,V,Anni Matthiesen,2011,Venstre,,
Brian Mikkelsen,K,Brian Mikkelsen,2011,Det Konservative Folkeparti,,
Jeppe Mikkelsen,R,Jeppe Mikkelsen,2011,Det Radikale Venstre,,
Leif Mikkelsen,LA,Leif Mikkelsen (politiker),2011,Liberal Alliance,,
Flemming Møller Mortensen,S,Flemming Møller Mortensen,2011,Socialdemokraterne,,
Per Stig Møller,K,Per Stig Møller,2011,Det Konservative Folkeparti,,
Tina Nedergaard,V,Tina Nedergaard,2011,Venstre,,
Holger K. Nielsen,SF,Holger K. Nielsen,2011,Socialistisk Folkeparti,,
Sofie Carsten Nielsen,R,Sofie Carsten Nielsen,2011,Det Radikale Venstre,,
Karsten Nonbo,V,Karsten Nonbo,2011,Venstre,,
Karin Nødgaard,DF,Karin Nødgaard,2011,Dansk Folkeparti,,
Ellen Trane Nørby,V,Ellen Trane Nørby,2011,Venstre,,
Ole Birk Olesen,LA,Ole Birk Olesen,2011,Liberal Alliance,,
Joachim B. Olsen,LA,Joachim B. Olsen,2011,Liberal Alliance,,
Sara Olsvig,IA,Sara Olsvig,2011,Inuit Ataqatigiit (Grønland),,
Maja Panduro,S,Maja Panduro,2011,Socialdemokraterne,,
John Dyrby Paulsen,S,John Dyrby Paulsen,2011,Socialdemokraterne,,
Torsten Schack Pedersen,V,Torsten Schack Pedersen,2011,Venstre,,
Rasmus Helveg Petersen,R,Rasmus Helveg Petersen,2011,Det Radikale Venstre,,
Jesper Petersen,S,Jesper Petersen,2011,Socialdemokraterne,2013-03-19,
