id,name,constituency,photo,party_id,term,house,aph_id,full_name,electorate,party,profile_page,contact_page,photo_url,email,facebook,twitter,website,chamber
2L6,Senator Mark Bishop,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/2L6/upload_ref_binary/2L6.jpg,australian_labor_party,44,senate,2L6,Senator Mark Bishop,Western Australia,Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=2L6,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=2L6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/2L6/upload_ref_binary/2L6.jpg,senator.bishop@aph.gov.au,,,http://www.senatormarkbishop.com.au,
YE4,Senator the Hon Ronald Boswell,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/YE4/upload_ref_binary/YE4.JPG,the_nationals,44,senate,YE4,Senator the Hon Ronald Boswell,Queensland,The Nationals,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=YE4,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=YE4,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/YE4/upload_ref_binary/YE4.JPG,senator.boswell@aph.gov.au,,,http://www.ronboswell.com/,
H6V,Senator Sue Boyce,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/H6V/upload_ref_binary/H6V.jpg,liberal_party_of_australia,44,senate,H6V,Senator Sue Boyce,Queensland,Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=H6V,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=H6V,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/H6V/upload_ref_binary/H6V.jpg,,,,http://www.sueboyce.com.au/,
4L6,Senator Alan Eggleston,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/4L6/upload_ref_binary/4L6.JPG,liberal_party_of_australia,44,senate,4L6,Senator Alan Eggleston,Western Australia,Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=4L6,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=4L6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/4L6/upload_ref_binary/4L6.JPG,senator.eggleston@aph.gov.au,,,http://www.senatoralaneggleston.com/,
I0N,Senator the Hon Don Farrell,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0N/upload_ref_binary/I0N.JPG,australian_labor_party,44,senate,I0N,Senator the Hon Don Farrell,South Australia,Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0N,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=I0N,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0N/upload_ref_binary/I0N.JPG,,,,,
I0P,Senator Mark Furner,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0P/upload_ref_binary/I0P.JPG,australian_labor_party,44,senate,I0P,Senator Mark Furner,Queensland,Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0P,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=I0P,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0P/upload_ref_binary/I0P.JPG,,,,http://www.markfurner.com/,
7L6,Senator the Hon John Hogg,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/7L6/upload_ref_binary/7L6.JPG,australian_labor_party,44,senate,7L6,Senator the Hon John Hogg,Queensland,Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=7L6,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=7L6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/7L6/upload_ref_binary/7L6.JPG,senator.hogg@aph.gov.au,,,,
G1N,Senator Helen Kroger,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/G1N/upload_ref_binary/G1N.JPG,liberal_party_of_australia,44,senate,G1N,Senator Helen Kroger,Victoria,Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=G1N,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=G1N,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/G1N/upload_ref_binary/G1N.JPG,,,,,
I0T,Senator Louise Pratt,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0T/upload_ref_binary/I0T.JPG,australian_labor_party,44,senate,I0T,Senator Louise Pratt,Western Australia,Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0T,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=I0T,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/I0T/upload_ref_binary/I0T.JPG,,,,,
00AOS,Senator the Hon Ursula Stephens,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/00AOS/upload_ref_binary/00AOS.jpg,australian_labor_party,44,senate,00AOS,Senator the Hon Ursula Stephens,New South Wales,Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AOS,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=00AOS,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/00AOS/upload_ref_binary/00AOS.jpg,senator.stephens@aph.gov.au,,,http://www.ursulastephens.com/,
