id,name__de,name__pl,name__el,name__ru,name__fr,name__en,name__it,name__nl,name__es,name__nb,name__da,name__nn,name__sv,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__it,wikipedia__pl,wikipedia__ru,image,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__be,name__sr,name__be_tarask,wikipedia__be_x_old,wikipedia__be,wikipedia__sr,name__et,wikipedia__es,wikipedia__et,name__pt_br,name__ca,name__oc,wikipedia__nn,name__gl,name__ba,name__yo,wikipedia__ba,wikipedia__gl,wikipedia__yo,name__cy,death_date,name__tr,name__uk,wikipedia__tr,wikipedia__uk,name__sh,wikipedia__sh,wikipedia__oc,family_name,name__hu,identifier__VIAF,identifier__SUDOC,name__pt,wikipedia__pt,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SBN_it,identifier__NLA,identifier__BAV,identifier__NUKAT,wikipedia__nl,name__id,wikipedia__id,name__lt,name__fi,wikipedia__lt,name__sr_el,name__sr_ec,name__nds,name__zh,name__ar,wikipedia__ar,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__mg,wikipedia__mg,name__eo,wikipedia__eo,wikipedia__commons,identifier__OLID,last_seen,identifier__treccani,name__zh_cn,name__ja,identifier__PACE,name__ro,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__sco,occupation,name__la,wikipedia__la,identifier__snac,name__ty,wikipedia__lmo,name__lmo,name__dsb,name__hsb,name__is,name__jv,name__pdc,name__stq,name__tl,name__war,name__fit,name__fo,name__kl
Q1071091,Domenico Fattori,Domenico Fattori,,,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,Domenico Fattori,,,Domenico Fattori,,Domenico Fattori,Domenico Fattori,,,male,,/m/0400fs,Domenico,Domenico Fattori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domenico Fattori,,,,,,,,,,,,,Domenico Fattori,,,,,,,,,,,,,,,,,,,,,,,domenico-fattori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,w6pg48gz,,,,,,,,,,,,,,
Q1090389,Gian Marco Marcucci,,,,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,,Gian Marco Marcucci,Gian Marco Marcucci,Gian Marco Marcucci,,,,male,1954-07-25,/m/02q4m66,Gian,Gian Marco Marcucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gian Marco Marcucci,,,,,,,,,,,,,,,,,,,,,,詹·馬爾科·馬爾庫奇,,,詹·馬爾科·馬爾庫奇,詹·马尔科·马尔库奇,詹·馬爾科·馬爾庫奇,詹·馬爾科·馬爾庫奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,
Q1091341,Pio Chiaruzzi,,,,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,,,Pio Chiaruzzi,Pio Chiaruzzi,Pio Chiaruzzi,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Pio_chiaruzzi.jpg,male,1949-08-11,/m/0lqgvrc,Pio,Pio Chiaruzzi,,,,,,,,Pio Chiaruzzi,,,,,,,,,,,,,,,,,,,,,,Pio Chiaruzzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q1093721,Giuliano Gozi,Giuliano Gozi,,,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,Giuliano Gozi,,,Giuliano Gozi,,Giuliano Gozi,Giuliano Gozi,,,male,1894-08-07,/m/0b84sp,Giuliano,Giuliano Gozi,,,,,,,,,,,,,,,,,,,,,1965,,,,,,,,,Giuliano Gozi,,,,,,,,,,,,,Giuliano Gozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q1112792,Anna Maria Muccioli,Anna Maria Muccioli,,"Муччоли, Анна Мария",Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,"Муччоли, Анна Мария",,female,1964-08-15,/m/0yt28jy,Anna,Anna Maria Muccioli,,,,,,,Anna Maria Muccioli,Anna Maria Muccioli,Anna Maria Muccioli,,,,,,,,,,,,,,,,,,,,,Anna Maria Muccioli,,,,,,,,,,,,,,,,,,,,,,,,,,,安娜·瑪麗亞·穆喬利,,,,,,,,,,安娜·玛丽亚·穆乔利,アンナ・マリア・ムッチョーリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q1124340,Pier Paolo Gasperoni,,,,Pier Paolo Gasperoni,Pier Paolo Gasperoni,Pier Paolo Gasperoni,Pier Paolo Gasperoni,,Pier Paolo Gasperoni,Pier Paolo Gasperoni,Pier Paolo Gasperoni,Pier Paolo Gasperoni,Pier Paolo Gasperoni,,,,Pier Paolo Gasperoni,Pier Paolo Gasperoni,,,,male,1950-06-29,,Pier,Pier Paolo Gasperoni,,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q11769984,Marino Fattori,Marino Fattori,,,,Marino Fattori,Marino Fattori,Marino Fattori,,,,,,Marino Fattori,,,,,Marino Fattori,Marino Fattori,,,male,1832-03-25,,Marino,Marino Fattori,,,,,,,,,,,,,,,,,,,,,1896-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL2300471A,,marino-fattori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,,,,,
Q11795906,,Oddone Scarito,,,Oddone Scarito,Oddone Scarito,Oddone Scarito,,,,,,,Oddone Scarito,,,,Oddone Scarito,Oddone Scarito,Oddone Scarito,,,male,1243-10-01,,,Oddone Scarito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q1353628,Italo Righi,Italo Righi,,"Риги, Итало",Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,Italo Righi,,Italo Righi,Italo Righi,Italo Righi,Italo Righi,"Риги, Итало",,male,1959-06-14,/m/0j7hq3b,Italo,Italo Righi,,,,,,,,Italo Righi,,,,,,,,,,,,,,Italo Righi,,Italo Righi,,,,,,Italo Righi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q15039600,Gian Carlo Capicchioni,Gian Carlo Capicchioni,,"Капикьони, Джан-Карло",Gian Carlo Capicchioni,Gian Carlo Capicchioni,Gian Carlo Capicchioni,Gian Carlo Capicchioni,Gian Carlo Capicchioni,,,,,Gian Carlo Capicchioni,Gian Carlo Capicchioni,,Gian Carlo Capicchioni,Gian Carlo Capicchioni,Gian Carlo Capicchioni,Gian Carlo Capicchioni,"Капикьони, Джан-Карло",,male,1956-02-19,,Gian,Gian Carlo Capicchioni,,,,,,,Gian Carlo Capicchioni,Gian Carlo Capicchioni,Gian Carlo Capicchioni,,,,,,,,,,,,,,,,,,,,,Gian Carlo Capicchioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q15998324,Luca Beccari,Luca Beccari,,Лука Беккари,Luca Beccari,Luca Beccari,Luca Beccari,Luca Beccari,Luca Beccari,,,,,Luca Beccari,Luca Beccari,,Luca Beccari,Luca Beccari,Luca Beccari,Luca Beccari,"Беккари, Лука",https://upload.wikimedia.org/wikipedia/commons/4/41/Napolitano_Ciavatta_Beccari.jpg,male,1974-10-29,,Luca,Luca Beccari,,,,,,,Luca Beccari,Luca Beccari,Luca Beccari,,,,,,,,,,,,,Luca Beccari,Лука Беккарі,Luca Beccari,Лука Беккарі,,,,,Luca Beccari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Luca Beccari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q16064803,Gian Carlo Venturini,,,,Gian Carlo Venturini,Gian Carlo Venturini,Gian Carlo Venturini,Gian Carlo Venturini,,,,,,Gian Carlo Venturini,Gian Carlo Venturini,,,,,,,,male,1962-02-25,,Gian,Gian Carlo Venturini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q16189465,Gloriana Ranocchini,,,,Gloriana Ranocchini,Gloriana Ranocchini,Gloriana Ranocchini,Gloriana Ranocchini,,,,,,Gloriana Ranocchini,Gloriana Ranocchini,,Gloriana Ranocchini,Gloriana Ranocchini,,,,,female,1957,,,Gloriana Ranocchini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,格羅利亞納·拉諾基尼,,,,,,,,,,格罗利亚纳·拉诺基尼,グロリアーナ・ラノッキーニ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q16545227,,Filippo da Sterpeto,,,Filippo da Sterpeto,,Filippo da Sterpeto,,,,,,,Filippo da Sterpeto,,,,Filippo da Sterpeto,Filippo da Sterpeto,Filippo da Sterpeto,,,male,,,Filippo,Filippo da Sterpeto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q16549371,Gian Nicola Berti,Gian Nicola Berti,,"Берти, Джан Никола",Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,,,,,Gian Nicola Berti,Gian Nicola Berti,,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,Gian Nicola Berti,"Берти, Джан Никола",,male,1960-08-09,,Gian,Gian Nicola Berti,,,,,,,,Gian Nicola Berti,,,,,,,,,,,,,,Gian Nicola Berti,Джан Нікола Берті,Gian Nicola Berti,Джан Нікола Берті,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安·尼古拉·貝爾蒂,,,吉安·尼古拉·貝爾蒂,,,,,,,,,,,,,ジャン・ニコラ・ベルティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q167075,Valeria Ciavatta,Valeria Ciavatta,,"Чаватта, Валерия",Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,"Чаватта, Валерия",https://upload.wikimedia.org/wikipedia/commons/4/41/Napolitano_Ciavatta_Beccari.jpg,female,1959-01-16,/m/02303x,Valeria,Valeria Ciavatta,,,,,,,Valeria Ciavatta,Valeria Ciavatta,Valeria Ciavatta,,,,,,,,,,,,,Valeria Ciavatta,Валерія Чаватта,Valeria Ciavatta,Валерія Чаватта,,,,,Valeria Ciavatta,,,,,,,,,,,,,,,,,,,,,,,,,,,瓦萊里爾·恰瓦塔,,,,,,Category:Valeria Ciavatta,,,,瓦莱里娅·恰瓦塔,ヴァレリア・チャバッタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q18119638,Guerrino Zanotti,Guerrino Zanotti,,"Дзанотти, Гуеррино",Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,"Дзанотти, Гуэррино",,male,1962-10-24,,Guerrino,Guerrino Zanotti,,,,,,,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,,,Guerrino Zanotti,,,,,,,,,,,Гуерріно Дзанотті,,Гуерріно Дзанотті,,,Guerrino Zanotti,Zanotti,,,,,,,,,,,,,,,,,Guerrino Zanotti,Guerrino Zanotti,Guerrino Zanotti,,,Guerrino Zanotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
