id,position,label,description,start_date,end_date,replaces,replaced_by
Q1112792,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q1353628,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q1353628,Q258045,Captain Regent of San Marino,position,"",,,
Q15998324,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q167075,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q167075,Q258045,Captain Regent of San Marino,position,2014-04-01,2014-10-01,Gian Carlo Capicchioni,Gianfranco Terenzi
Q18119638,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q18746990,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q19691256,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q19691303,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q2252615,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q2252615,Q258045,Captain Regent of San Marino,position,"",,,
Q28870189,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,2006,,,
Q28870189,Q7614320,finance minister,position in the government responsible for economic and financial policies,2016-12-27,,,
Q28934165,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,2012,,,
Q28934165,Q3273722,health minister,minister in charge of health matters,2016-12-27,,Francesco Mussoni,
Q28934165,Q670556,,"",2009,2012,,
Q289413,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q289413,Q258045,Captain Regent of San Marino,position,"",,,
Q3749433,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q3804697,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q3846151,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q3895838,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q3895838,Q258045,Captain Regent of San Marino,position,"",,,
Q495277,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q495277,Q258045,Captain Regent of San Marino,position,"",,,
Q557019,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q557019,Q258045,Captain Regent of San Marino,position,2016-10-01,,,
Q57546,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q57546,Q258045,Captain Regent of San Marino,position,"",,,
Q58075,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q58075,Q258045,Captain Regent of San Marino,position,"",,,
Q878336,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q878336,Q258045,Captain Regent of San Marino,position,"",,,
Q879064,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q879064,Q258045,Captain Regent of San Marino,position,"",,,
Q885363,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q885363,Q258045,Captain Regent of San Marino,position,"",,,
Q887674,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q887674,Q258045,Captain Regent of San Marino,position,"",,,
Q888414,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q888414,Q258045,Captain Regent of San Marino,position,"",,,
Q888420,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q888420,Q258045,Captain Regent of San Marino,position,"",,,
Q888482,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q888482,Q258045,Captain Regent of San Marino,position,"",,,
Q888508,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q888508,Q258045,Captain Regent of San Marino,position,"",,,
Q9160318,Q20968670,member of the Grand and General Council of San Marino,member of the parliament of the Republic of San Marino,"",,,
Q9160318,Q258045,Captain Regent of San Marino,position,"",,,
