id,name,image,party,birth_date,constituency,term,start_date,end_date,source
4728,Ingrid Antičević Marinović,http://www.sabor.hr/lgs.axd?t=16&id=19522,SDP,1957-10-04,9th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4728
4848,Krešimir Bubalo,http://www.sabor.hr/lgs.axd?t=16&id=41480,HDSSB,1973-11-05,4th,7,2013-09-11,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4848
4858,Ada Damjanac,http://www.sabor.hr/lgs.axd?t=16&id=19547,SDP,1956-01-29,8th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4858
4859,Ante Babić,http://www.sabor.hr/lgs.axd?t=16&id=19523,HDZ,1966-05-26,10th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4859
4863,Šima Đurđević,http://www.sabor.hr/lgs.axd?t=16&id=19551,HDZ,1957-10-22,5th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4863
4869,Igor Češek,http://www.sabor.hr/lgs.axd?t=16&id=19545,HDSSB,1980-09-21,4th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4869
4971,Vedran Babić,http://www.sabor.hr/lgs.axd?t=16&id=19524,SDP,1976-12-10,2nd,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4971
4973,Branko Bačić,http://www.sabor.hr/lgs.axd?t=16&id=19525,HDZ,1959-06-07,10th,7,2011-12-23,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4973
4975,Jakša Baloević,http://www.sabor.hr/lgs.axd?t=16&id=19527,New Wave,1955-10-15,10th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4975
4977,Martina Banić,http://www.sabor.hr/lgs.axd?t=16&id=19528,HDZ,1980-05-01,2nd,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4977
4979,Petar Baranović,http://www.sabor.hr/lgs.axd?t=16&id=19529,Reformisti,1969-03-12,9th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4979
4981,Milorad Batinić,http://www.sabor.hr/lgs.axd?t=16&id=19530,HNS,1957-09-07,3rd,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4981
4985,Nevenka Bečić,http://www.sabor.hr/lgs.axd?t=16&id=19531,HGS,1958-03-05,9th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4985
4987,Davor Bernardić,http://www.sabor.hr/lgs.axd?t=16&id=19533,SDP,1980-01-05,1st,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4987
4989,Goran Beus Richembergh,http://www.sabor.hr/lgs.axd?t=16&id=19534,HNS,1965-07-31,6th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4989
4991,Vladimir Bilek,http://www.sabor.hr/lgs.axd?t=16&id=19535,HNS,1979-07-10,12th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4991
4993,Boris Blažeković,http://www.sabor.hr/lgs.axd?t=16&id=19536,HNS,1955-02-24,6th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4993
4995,Valter Boljunčić,http://www.sabor.hr/lgs.axd?t=16&id=19537,IDS,1960-03-18,8th,7,2011-12-22,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=4995
