id,name,area,party,email,term,source,party_id,area_id,executive,image
"","Neville Tyrrell","Warwick South Central",Independent,,2012,"",Independent,26,"",
Bob_Richards,"E. T. Bob Richards","Devonshire East",OBA,brichards@parliament.bm,2012,http://www.parliament.bm/Bob_Richards.aspx,OBA,11,"Deputy Premier & Minister of Finance",http://www.parliament.bm/uploadedImages/Image_Gallery/RICHARDS%20ET.jpg
Cole_Simons,"N. Cole Simons","Smiths South",OBA,nsimons@parliament.bm,2012,http://www.parliament.bm/Cole_Simons.aspx,OBA,08,"Minister of Environment, Planning & Parks","http://www.parliament.bm/uploadedImages/Image_Gallery/SIMONS,%20N.H.%20COLE(2).jpg"
Craig_Cannonier,"Craig Cannonier","Devonshire South Central",OBA,ccannionier@gov.bm,2012,http://www.parliament.bm/Craig_Cannonier.aspx,OBA,12,"Minister of Public Works",http://www.parliament.bm/uploadedImages/Image_Gallery/3216HOACRAIGCANNON7EE40(1).jpg
Dennis_Lister,"Dennis Lister","Sandys North Central",PLP,dlister@parliament.bm,2012,http://www.parliament.bm/Dennis_Lister.aspx,PLP,35,"Shadow Minister of Public Works","http://www.parliament.bm/uploadedImages/Image_Gallery/LISTER,%20DENNIS.jpeg"
Derrick_Burgess,"Derrick Burgess","Hamilton East",PLP,dburgess@parliament.bm,2012,http://www.parliament.bm/Derrick_Burgess.aspx,PLP,05,"",http://www.parliament.bm/uploadedImages/Image_Gallery/BURGESS2c%20D%2008.jpg
Diallo_Rabain,"Diallo Rabain","Devonshire North Central",PLP,drabain@parliament.bm,2012,http://www.parliament.bm/Diallo_Rabain.aspx,PLP,13,"Shadow Minister of Environment and Planning",http://www.parliament.bm/uploadedImages/Content/About_Parliament/Senate/Members_of_Senate/DIALLORABAINVSR0155x7.jpeg
Dr._Grant_Gibbons,"Grant Gibbons","Paget East",OBA,ggibbons@parliament.bm,2012,http://www.parliament.bm/Dr._Grant_Gibbons.aspx,OBA,22,"Minister of Economic Development",http://www.parliament.bm/uploadedImages/Image_Gallery/GIBBONS%20GRANT.jpg
E._David_Burt,"David Burt","Pembroke West Central",PLP,dburt@parliament.bm,2012,http://www.parliament.bm/E._David_Burt.aspx,PLP,18,"Opposition Leader",http://www.parliament.bm/uploadedImages/Content/About_Parliament/Senate/Members_of_Senate/2243CABSENATORSFO27F4E3.jpeg
Glen_Smith,"Glen Smith","Devonshire North West",OBA,gsmith@parliament.bm,2012,http://www.parliament.bm/Glen_Smith.aspx,OBA,14,"",http://www.parliament.bm/uploadedImages/Image_Gallery/SMITH%20GLEN.jpg
