id,name__de,name__en,name__sv,name__es,name__fr,name__nl,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__sv,gender,birth_date,given_name,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__id,name__pl,name__el,name__he,name__ru,name__ms,name__fi,name__zh,name__cy,name__zh_cn,wikipedia__el,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__id,wikipedia__ms,wikipedia__pl,wikipedia__ru,wikipedia__zh,identifier__VIAF,identifier__LCAuth,death_date,identifier__freebase,identifier__Britannica,name__eu,name__tr,name__yo,name__uk,name__et,name__nb,name__ja,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__ja,wikipedia__no,wikipedia__tr,wikipedia__uk,wikipedia__yo,image,identifier__NLAtrove,identifier__FAST,identifier__SUDOC,name__zh_sg,name__zh_tw,name__ko,name__gl,name__pt,name__bi,name__sr_el,name__sr_ec,name__war,name__tpi,name__da,name__bn,name__sr,name__nn,wikipedia__bi,wikipedia__bn,wikipedia__da,wikipedia__gl,wikipedia__ko,wikipedia__nl,wikipedia__pt,wikipedia__sr,wikipedia__tpi,wikipedia__war,name__ca,name__oc,identifier__ISNI,identifier__GND,identifier__NTA,identifier__BNF,identifier__catholic_hierarchy,name__it,name__sh,wikipedia__sh,family_name,identifier__Munzinger,name__cs,name__vi,wikipedia__cs,wikipedia__vi,name__bg,wikipedia__bg,name__ro,wikipedia__ro,name__en_ca,name__en_gb,wikipedia__commons,identifier__AuDB,name__ar,wikipedia__ar
Q1070420,Cherubim Dambui,Cherubim Dambui,,Cherubim Dambui,Cherubim Dambui,Cherubim Dambui,,Cherubim Dambui,Cherubim Dambui,Cherubim Dambui,,male,1948-02-23,,Cherubim Dambui,,,,,,,,,,,,Cherubim Dambui,,,,,,,,,,,,,2010-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dambui,,,,,,,,,,,,,,,,,,,
Q1189612,Dennis Young,Dennis Young,Dennis Young,Dennis Young,Dennis Young,Dennis Young,Dennis Young,Dennis Young,Dennis Young,Dennis Young (Papua New Guinea politician),Dennis Young,male,1938,Dennis,Dennis Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1239419,Don Polye,Don Polye,Don Polye,Don Polye,Don Polye,Don Polye,Don Polye,Don Polye,Don Polye,Don Polye,,male,1967-02-01,Don,Don Polye,,,,,Don Polye,,,,,,,,,,,Don Polye,,,,Don Polye,,,,,,,,,,,,,Don Polye,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Don_Polye.jpg,,,,,,,,,,,,,,Don Polye,,,Don Polye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don Polye,Don Polye,,,,
Q1288522,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,Wiwa Korowi,male,1948-07-07,,Wiwa Korowi,,,,,,,,,,,维瓦·科罗维,,,,,Wiwa Korowi,,,,,,维瓦·科罗维,156121931,n99003608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1312080,John Momis,John Momis,John Momis,John Momis,John Momis,John Momis,,John Momis,John Momis,John Momis,John Momis,male,1942,John,John Momis,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0cc5j0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1381425,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,Mekere Morauta,male,1946-06-12,,Μεκέρε Μοράουτα,梅克雷·莫劳塔,梅克雷·莫勞塔,梅克雷·莫勞塔,,,Μεκέρε Μοράουτα,,"Мораута, Мекере",,Mekere Morauta,梅克雷·莫劳塔,,,Μεκέρε Μοράουτα,Mekere Morauta,Mekere Morauta,,,,,"Мораута, Мекере",梅克雷·莫劳塔,,,,/m/068np3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1385996,Ezekiel Massat,Ezekiel Massat,,Ezekiel Massat,Ezekiel Massat,Ezekiel Massat,Ezekiel Massat,Ezekiel Massat,Ezekiel Massat,Ezekiel Massat,,male,"",Ezekiel,Ezekiel Massat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1409221,Serei Eri,Vincent Eri,Serei Eri,Vincent Eri,Serei Eri,Serei Eri,,Vincent Eri,Serei Eri,Vincent Eri,Serei Eri,male,1936-09-12,Vincent,Vincent Eri,,,,,,,,,,,,,,,,Vincent Eri,,,,,,,69982496,n84803740,1993-05-25,/m/06mfm6,,,,,,,,,Vincent Eri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8258 7159,128490810,,,,,,,,,,,,,,,Vincent Eri,Vincent Eri,,,,,,
Q16225191,Kila Haoda,Kila Haoda,,,,Kila Haoda,,Kila Haoda,,Kila Haoda,,male,,,Kila Haoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1657357,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,Ignatius Kilage,male,1941,Ignatius,Ignatius Kilage,,,,,,,,"Килаге, Игнейшес",,,,,,,,Ignatius Kilage,,,,,"Килаге, Игнейшес",,202350082,,1989-12-31,/m/09pm0p,,,,,,,,,,,,,,,,,,,,154056081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
