id,name,name__en,name__el,email,image,gender,birth_date,facebook,twitter,identifier__wikidata,source,identifier__parliament_cy,identifier__openpatata,term,start_date,end_date,area,area__el,faction_id,faction,faction__el,wikipedia
305,Adamou Adamos,Adamou Adamos,Αδάμου Αδάμος,aadamou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Adamou%20Adamos%20a.jpg,male,1950-10-30,,,Q351655,http://www.parliament.cy/easyconsole.cfm/id/305,305,mps,2011,2011-06-02,,Lemesos,Λεμεσός,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
909,Anastasiadis Nikos,Anastasiadis Nikos,Αναστασιάδης Νίκος,,http://www.parliament.cy/assets/image/imageoriginal/Anastasiades%20Nikos.jpg,male,1946-09-27,,,Q2112764,http://www.parliament.cy/easyconsole.cfm/id/909,909,mps,2011,2011-06-02,2013-02-28,Lemesos,Λεμεσός,disy,Democratic Rally,Δημοκρατικός Συναγερμός,
307,Antoniou Antonis,Antoniou Antonis,Αντωνίου Αντώνης,aantoniou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/ANTONIOU%20ANTONIS.jpg,male,1959-11-30,,,Q12873774,http://www.parliament.cy/easyconsole.cfm/id/307,307,mps,2011,2011-06-02,,Pafos,Πάφος,diko,Democratic Party,Δημοκρατικό Κόμμα,
1226,Champoullas Evgenios,Champoullas Evgenios,Χαμπουλλάς Ευγένιος,ehamboullas@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Hamboullas-mikri.jpg,male,1969-01-12,,,,http://www.parliament.cy/easyconsole.cfm/id/1226,1226,mps,2011,2014-11-06,,Ammochostos,Αμμόχωστος,disy,Democratic Rally,Δημοκρατικός Συναγερμός,
420,Charalampidou Eirini,Charalampidou Eirini,Χαραλαμπίδου Ειρήνη,icharalambides@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Charalambidou%20Eirini%20a.jpg,female,1964-03-19,,,Q12876791,http://www.parliament.cy/easyconsole.cfm/id/420,420,mps,2011,2011-06-02,,Lefkosia,Λευκωσία,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
421,Chatzigiannis Kyriakos,Chatzigiannis Kyriakos,Χατζηγιάννης Κυριάκος,khadjiyianni@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/HADJIGIANNIS%20Kiriakos.jpg,male,1963-08-22,,,,http://www.parliament.cy/easyconsole.cfm/id/421,421,mps,2011,2011-06-02,,Ammochostos,Αμμόχωστος,disy,Democratic Rally,Δημοκρατικός Συναγερμός,
422,Christoforou Lefteris,Christoforou Lefteris,Χριστοφόρου Λευτέρης,lchristoforou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/CHRISTOFOROU%20Lefteris.jpg,male,1963-08-31,https://www.facebook.com/ChristoforouLefteris,https://twitter.com/LefChristoforou,,http://www.parliament.cy/easyconsole.cfm/id/422,422,mps,2011,2011-06-02,2014-10-31,Ammochostos,Αμμόχωστος,disy,Democratic Rally,Δημοκρατικός Συναγερμός,
360,Damianou Aristos,Damianou Aristos,Δαμιανού Άριστος,adamianou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Damianou%20Aristos%20a.jpg,male,1972-06-03,,https://twitter.com/AristosDamianou,Q12872352,http://www.parliament.cy/easyconsole.cfm/id/360,360,mps,2011,2011-06-02,,Lefkosia,Λευκωσία,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
361,Dimitriou Misiaouli Stella,Dimitriou Misiaouli Stella,Δημητρίου Μισιαούλη Στέλλα,smisiaouli@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Dimitriou-Misiaouli%20Stella%20a.jpg,female,1954-10-18,,,Q16329024,http://www.parliament.cy/easyconsole.cfm/id/361,361,mps,2011,2011-06-02,,Lefkosia,Λευκωσία,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
362,Diplaros Efthymios,Diplaros Efthymios,Δίπλαρος Ευθύμιος,ediplaros@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/DIPLAROS%20Efthymios.jpg,male,1980-03-18,,https://twitter.com/ediplaros,,http://www.parliament.cy/easyconsole.cfm/id/362,362,mps,2011,2011-06-02,,Lemesos,Λεμεσός,disy,Democratic Rally,Δημοκρατικός Συναγερμός,
363,Evagorou Stavros,Evagorou Stavros,Ευαγόρου Σταύρος,sevagorou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Evagorou%20Stavros%20a.jpg,male,1959-09-23,,,Q15950881,http://www.parliament.cy/easyconsole.cfm/id/363,363,mps,2011,2011-06-02,,Ammochostos,Αμμόχωστος,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
418,Fakontis Antreas,Fakontis Antreas,Φακοντής Αντρέας,afakontis@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Fakontis%20Andreas%20a.jpg,male,1964-10-22,,,Q12873769,http://www.parliament.cy/easyconsole.cfm/id/418,418,mps,2011,2011-06-02,,Pafos,Πάφος,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
419,Fyttis Sofoklis,Fyttis Sofoklis,Φυττής Σοφοκλής,sfittis@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/FITTIS%20SOFOKLIS.jpg,male,1947-03-31,,,,http://www.parliament.cy/easyconsole.cfm/id/419,419,mps,2011,2011-06-02,,Keryneia,Κερύνεια,diko,Democratic Party,Δημοκρατικό Κόμμα,
310,Gavriil Giannakis,Gavriil Giannakis,Γαβριήλ Γιαννάκης,ycavriel@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Gavriel%20Giannakis%20a.jpg,male,1961-07-17,,,Q12875278,http://www.parliament.cy/easyconsole.cfm/id/310,310,mps,2011,2011-06-02,,Ammochostos,Αμμόχωστος,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,
