id,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__en,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,name,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Munzinger,identifier__journalisted,identifier__hansard,name__be,name__gl,name__id,name__bn,name__ar,name__pt,name__eo,name__uk,name__be_tarask,name__cs,name__bg,name__fa,name__ckb,name__az,name__ko,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__ko,wikipedia__nn,wikipedia__no,wikipedia__pt,wikipedia__uk,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,family_name,identifier__NTA,identifier__EuroparlMEP,name__gd,name__yo,name__et,name__ja,name__pnb,name__sk,name__ku_arab,name__ku_latn,name__tr,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ja,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__tr,wikipedia__ur,wikipedia__yo,identifier__SELIBR,identifier__NNDB,identifier__parliamentDOTuk,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__is,name__ro,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__ro,wikipedia__zh_min_nan,identifier__GTAA,death_date,identifier__Oxforddnb,name__el,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,name__af,wikipedia__af,wikipedia__el,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__sco,wikipedia__sr,identifier__NLA,identifier__NPG,name__en_ca,name__en_gb,name__tl,wikipedia__tl,name__de_ch,honorific_prefix,name__an,name__bs,name__ceb,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__sq,name__vec,name__wa,name__vmf,name__ta,wikipedia__ta,identifier__MusicBrainz,identifier__discogs,twitter,name__yue,identifier__GNC,wikipedia__plwikiquote,identifier__publicwhip,original_wikiname,wikipedia__hiwikiquote,identifier__FAST,identifier__Britannica,wikipedia__sh,last_seen,identifier__TWFY,identifier__bbc_democracy_live,identifier__CSPAN,identifier__parliamentary_record,identifier__N6I,name__sh,identifier__OLID,identifier__BNE,name__fit,identifier__senate_nl,identifier__PACE,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vi,name__vls,name__vo,name__wo,name__zu,identifier__guardian_topic,wikipedia__enwikinews,occupation,identifier__nobel_prize,identifier__nlg,wikipedia__cawikiquote,identifier__snac,facebook,wikipedia__sl,noble_title,identifier__DoUB,identifier__wikitree,wikipedia__bgwikiquote,identifier__BBC_things,identifier__MGP,wikipedia__nrm,wikipedia__vi,name__aa,name__ace,name__ak,name__ang,name__ay,name__bcl,name__bi,name__bjn,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dsb,name__dtp,name__ee,name__egl,name__eml,name__ext,name__ff,name__fj,name__fo,name__frr,name__fy,name__gag,name__gn,name__gv,name__ha,name__hak,name__hif_latn,name__hil,name__ho,name__hsb,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__jv,name__kaa,name__ki,name__kk_latn,name__kk_tr,name__ksh,name__lad,name__nah,name__qu,name__rup,name__sn,name__su,name__tpi,name__uz,name__war,name__zea,identifier__quora,identifier__ITF,identifier__ne_se,parlid
Q10999286,,,,Paul Berry,,Paul Berry,Paul Berry,,Paul Berry,,,,,Paul Berry,,,Paul Berry,,,,,,,,Paul Berry,,,,,Paul Berry (politician),,,,,,,,,,,,,,,,,,male,,,,1976-06-03,,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,பவுல் பெர்ரி,பவுல் பெர்ரி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1116655,,,,Alex Maskey,"Мэски, Алекс",Alex Maskey,Alex Maskey,,Alex Maskey,Alex Maskey,,,,Alex Maskey,,,Alex Maskey,Alex Maskey,,,,,,,Alex Maskey,,,,Alex Maskey,Alex Maskey,,,,,,,,,,,,,"Мэски, Алекс",,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alex_Maskey.jpg,male,41788422,,nr2004002503,1952-01-08,/m/066g03,Alex,http://www.sinnfein.ie/contents/14957/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 5316 5598,,,,Maskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlexMaskeyMLA,,,,,,,1586834,,,,,,,,,,,,Alex Maskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1164704,,,Danny Morrison,Daniel Gerard Morrison,,Danny Morrison,Danny Morrison,,Danny Morrison,,Danny Morrison,,,Danny Morrison,,,Danny Morrison,,,,,,,,Danny Morrison,,,,Danny Morrison,Danny Morrison (Irish republican),,Danny Morrison,,Daniel Gerard Morrison,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/23/Danny_Morrison_2012.jpg,male,93104482,121013367,n85824205,1953-01-09,/m/05g0p4,Daniel,http://www.dannymorrison.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Morrison,,,,,,,,,,0000 0000 6684 9374,,087592711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q116719,,Diane Dodds,,Diane Dodds,,Diane Dodds,Diane Dodds,Diane Dodds,Diane Dodds,,,,,Diane Dodds,,,Diane Dodds,Diane Dodds,,Diane Dodds,Diane Dodds,Diane Dodds,Diane Dodds,,Diane Dodds,,,,Diane Dodds,Diane Dodds,,,,Diane Dodds,,,,,,,Diane Dodds,Diane Dodds,,,,,"https://upload.wikimedia.org/wikipedia/commons/7/76/Diane_Dodds_MEP,_Strasbourg_-_Diliff.jpg",female,,,,1958-08-16,/m/026jxn9,Diane,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Diane Dodds,,Diane Dodds,,,,,,,,,,,,,,,,,96951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11682348,,,,Harry West,,Harry West,Harry West,,Harry West,,Harry West,,,Harry West,,,Harry West,Harry West,,,,,,,Harry West,,,,,Harry West,Harry West,,,,,,,,,,,,,,,,,male,3534072,,,1917-03-27,,Harry,,,,mr-harry-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哈里·韋斯特,,哈里·韦斯特,,,,,,,,,,,,,2004-02-05,101093348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1303976,,Eileen Paisley,Eileen Paisley,Eileen Paisley,,"Eileen Paisley, Baroness Paisley of St George's","Eileen Paisley, Baroness Paisley of St George's",Eileen Paisley,"Eileen Paisley, Baroness Paisley of St George's",Eileen Paisley,Eileen Paisley,,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,,"Eileen Paisley, Baroness Paisley of St George's",,,,Eileen Paisley,"Eileen Paisley, Baroness Paisley of St George's",,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/EileenPaisley.jpg,female,,,,1931-11-02,/m/0cjbtn,Eileen,,,,,,Eileen Paisley,Eileen Paisley,,,Eileen Paisley,Eileen Paisley,,,Eileen Paisley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paisley,,,Eileen Paisley,,Eileen Paisley,,,Eileen Paisley,,,Eileen Paisley,,,,,,,,,,,,,,,lords/baroness-paisley-of-st-george&#39;s/3807,,,,,,,,,Eileen Paisley,,Eileen Paisley,,,,,,,,,,Eileen Paisley,,Eileen Paisley,Eileen Paisley,,Eileen Paisley,Eileen Paisley,,,,,,,,,,Eileen Paisley,Eileen Paisley,,,Eileen Paisley,,Eileen Paisley,,,Eileen Paisley,,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,,,Eileen Paisley,Eileen Paisley,Eileen Paisley,,,,,,,,,,,,,,,,,,,,,,,,,,,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,Eileen Paisley,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3807
Q13586248,,,Máirtín Ó Muilleoir,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,,,,Máirtín Ó Muilleoir,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,Máirtín Ó Muilleoir,,,,,,,,Máirtín Ó Muilleoir,,,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,,Máirtín Ó Muilleoir,,,Máirtín Ó Muilleoir,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Belfast_Lord_Mayor_Máirtín_Ó_Muilleoir_welcoming_participants_of_the_2013_Horasis_Global_India_Business_Meeting.jpg,male,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15054230,,,,Ian Milne,"Милн, Иан",,Ian Milne,,Ian Milne,,Ian Milne,,,Ian Milne,,,Ian Milne,,,,,,,,Ian Milne,,,,,Ian Milne,,,,,,,,,,,,,"Милн, Иан",,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Ian_Milne_MLA.jpg,male,,,,1954-04-08,,Ian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16012796,,,,Herbert Heslip,,,Herbert Heslip,,Herbert Heslip,,Herbert Heslip,,,Herbert Heslip,,,Herbert Heslip,,,,,,,,Herbert Heslip,,,,,Herbert Heslip,,,,,,,,,,,,,,,,,,male,,,,1924,,Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16014018,,,,William Brownlow,,,William Brownlow,,William Brownlow,,,,,William Brownlow,,,William Brownlow,,,,,,,,William Brownlow,,,,,William Brownlow (British Army officer),,,,,,,,,,,,,,,,,,male,,,,1921-10-09,,William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
