id,position,label,description,start_date,end_date,replaces,replaced_by,term
Q10891440,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q11252625,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q11686373,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q1403199,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q14614551,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q15993808,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q1628673,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q1628673,Q18882653,member of the Senate of Chile,"","",,,,
Q16295677,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16297362,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16297719,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16297876,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16297943,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298070,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298311,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298404,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298705,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298729,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298729,Q18882653,member of the Senate of Chile,"","",,,,
Q16298769,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16298967,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16299093,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16300481,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16300717,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16300930,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301023,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301053,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301161,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301408,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301478,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301588,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301594,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16301870,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16302060,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16302157,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16302186,Q18067639,member of the Chamber of Deputies of Chile,"",1990,2002,,,
Q16302203,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16302287,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16302287,Q18882653,member of the Senate of Chile,"","",,,,
Q16302326,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
Q16302468,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,
