id,name__bg,name__mk,name__fr,name__en,name__de,name__nb,name__nn,name,wikipedia__bg,wikipedia__mk,gender,birth_date,original_wikiname,name__sq,name__es,name__nl,name__uk,name__ru,wikipedia__bgwikiquote,wikipedia__de,wikipedia__en,wikipedia__ru,wikipedia__sq,wikipedia__uk,identifier__VIAF,identifier__GND,identifier__LCAuth,death_date,given_name,name__ie,wikipedia__ie,name__sr,wikipedia__sr,name__sr_el,name__sr_ec,name__el,wikipedia__el,wikipedia__fr,image,identifier__freebase,name__et,wikipedia__et,name__id,name__pl,name__bs,name__fi,name__hsb,name__it,wikipedia__bs,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__pl,name__cs,wikipedia__cs,name__ja,wikipedia__ja,name__hu,last_seen,wikipedia__hr,name__hr,wikipedia__mg,name__mg,name__zh_hant,name__zh_cn,identifier__PACE,wikipedia__fa,name__fa,occupation,wikipedia__tr,name__tr,wikipedia__commons,wikipedia__sh,name__sh,identifier__BNF,name__ka,wikipedia__ka,name__zh_hans,name__zh_hk,name__zh,wikipedia__zh,identifier__IMDB,identifier__NSK,identifier__ISNI,name__da,wikipedia__da,wikipedia__es,identifier__Munzinger,name__la,name__fo,name__kl,wikipedia__la,wikipedia__nl,name__hy,name__pt,wikipedia__hy,wikipedia__pt,name__he,name__oc,name__yo,name__ms,name__gl,name__vi,name__sv,name__ar,name__sk,name__ro,name__ca,name__io,name__be,name__lmo,wikipedia__ar,wikipedia__ca,wikipedia__gl,wikipedia__he,wikipedia__hsb,wikipedia__io,wikipedia__lmo,wikipedia__ms,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__ro,wikipedia__sk,wikipedia__sv,wikipedia__vi,wikipedia__yo,name__nds,wikipedia__enwikiquote,name__cy,identifier__SUDOC,identifier__OLID,identifier__FAST,identifier__google_knowledge,identifier__nlg
Q1023595,Любиша Георгиевски,Љубиша Георгиевски,,Ljubisa Georgievski,,Ljubisja Georgijevski,Ljubisja Georgijevski,Љубиша Георгиевски,Любиша Георгиевски,Љубиша Георгиевски,male,1937-05-30,,Lubisha Georgievski,,Ljubisa Georgievski,Любиша Георгіївський,Любиша Георгиевский,,,,"Георгиевский, Любиша",Lubisha Georgievski,Любиша Георгиєвський,80324085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,柳比沙·蓋奧爾吉埃夫斯基,,,,,politician,,,,,,,,,柳比沙·盖奥尔吉埃夫斯基,柳比沙·蓋奧爾吉埃夫斯基,柳比沙·盖奥尔吉埃夫斯基,柳比沙·盖奥尔吉埃夫斯基,nm0313779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11033753,Вулнет Старова,Вулнет Старова,,,,Vulnet Starova,Vulnet Starova,Вулнет Старова,Вулнет Старова,Вулнет Старова,male,1934-05-06,,Vulnet Starova,,,,,,,,,,,,,,1994-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11043121,Абдурахман Алити,Абдурахман Алити,,,,Abdurahman Aliti,Abdurahman Aliti,Абдурахман Алити,Абдурахман Алити,Абдурахман Алити,male,1945-07-12,,,,,,,,,,,,,,,,2013-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11838886,Фазли Велиу,Фазли Велиу,,,,,,Фазли Велиу,Фазли Велиу,Фазли Велиу,male,1959-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11838913,Г’зим Острени,Г’зим Острени,,,,,,Г’зим Острени,Гъзим Острени,Г’зим Острени,male,1942-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11838962,Даут Реџепи,Даут Реџепи,,,,Daut Redzjepi,Daut Redzjepi,Даут Реџепи,Даут Реджепи,Даут Реџепи,male,1966-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11838963,Исмет Рамадани,,Ismet Ramadani,,,,,,Исмет Рамадани,,male,1954,,,,Ismet Ramadani,,,,,,,,,,,,,Ismet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11843457,Андрей Жерновски,Андреј Жерновски,,Andrej Žernovski,,Andrej Zjernovski,Andrej Zjernovski,Андреј Жерновски,Андрей Жерновски,Андреј Жерновски,male,1968-11-26,,,,Andrej Žernovski,,,,,Andrej Žernovski,,,,,,,,Andrej,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Andrejzernovski.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12271184,Агрон Буджаку,Агрон Буџаку,,,,,,Агрон Буџаку,Агрон Буджаку,Агрон Буџаку,male,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12271251,Азис Положани,Азис Положани,,,,Azis Polozjani,Azis Polozjani,Азис Положани,Азис Положани,Азис Положани,male,1957-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
