id,name__en,name__de,name__ru,name,wikipedia__en,gender,given_name,original_wikiname,name__fr,name__nl,wikipedia__fr,identifier__VIAF,birth_date,death_date,identifier__Oxforddnb,name__pl,wikipedia__pl,name__da,name__es,name__pt,name__sv,name__it,name__el,name__hu,wikipedia__da,wikipedia__de,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__es,wikipedia__it,wikipedia__pt,wikipedia__sv,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NLA,identifier__freebase,identifier__OLID,identifier__PTBNP,identifier__NTA,identifier__BAV,identifier__CANTIC,identifier__NLAtrove,identifier__NPG,identifier__CERL,identifier__N6I,identifier__FAST,image,name__la,name__pt_br,name__nb,name__nn,name__ja,wikipedia__ja,wikipedia__la,wikipedia__nl,wikipedia__ru,identifier__NNDB,name__en_ca,name__en_gb,wikipedia__el,name__cy,name__nds,name__ca,family_name,name__zh,name__eo,identifier__NLI,identifier__wikitree,occupation
Q20872869,Martin Storey,,,Martin Storey,Martin Storey (politician),male,Martin,Martin Storey (politician),Martin Storey,,,,,2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Storey,,,,,,,,politician
Q27517421,Gavin St Pier,,,Gavin St Pier,Gavin St Pier,male,,Gavin St Pier,,Gavin St Pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2959131,Charles Frossard,,,Charles Frossard,,male,Charles,Charles Frossard,Charles Frossard,Charles Frossard,Charles Frossard,,1922,2012-07-15,,,,,,,,Charles Frossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q3063520,Fabian Malbon,Fabian Malbon,,Fabian Malbon,Fabian Malbon,male,Fabian,Fabian Malbon,Fabian Malbon,Fabian Malbon,Fabian Malbon,,1946,,,,,,Fabian Malbon,,Fabian Malbon,,,Fabian Malbon,,,,,,,,Fabian Malbon,,,,,,,/m/0bmhr_q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q3219658,Laurie Morgan,Laurie Morgan,,Laurie Morgan,Laurie Morgan,male,Laurie,Laurie Morgan,Laurie Morgan,Laurie Morgan,Laurie Morgan,,1930-12-17,,,Laurie Morgan,Laurie Morgan,,Laurie Morgan,,,,,Laurie Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q3269515,Lyndon Trott,Lyndon Trott,,Lyndon Trott,Lyndon Trott,male,Lyndon,Lyndon Trott,Lyndon Trott,Lyndon Trott,Lyndon Trott,,1964-07-17,,,Lyndon Trott,Lyndon Trott,,,,,,,Lyndon Trott,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Guernseys_finansminister_Lyndon_Trott_vid_Nordiska_radets_session_i_Helsingfors_2008-10-28.jpg,,,,,,,,,,,,,,,,,,,,,,politician
Q3376710,Peter Le Cheminant,Peter Le Cheminant,,Peter Le Cheminant,Peter Le Cheminant,male,Peter,Peter Le Cheminant,Peter Le Cheminant,Peter Le Cheminant,Peter Le Cheminant,,1920-06-17,,,,,Peter Le Cheminant,,,Peter Le Cheminant,,,Peter Le Cheminant,,,,,,,,,,,,,,,,,,,,,,,,,463518,"https://upload.wikimedia.org/wikipedia/commons/a/a6/Royal_Air_Force_Operations_in_the_Middle_East_and_North_Africa,_1939-1943._CNA804.jpg",,,Peter Le Cheminant,Peter Le Cheminant,,,,,,,,,,,,,,,,,,military personnel
Q3525344,Thomas Leighton,Thomas Leighton,,Thomas Leighton,Thomas Leighton (Governor),male,Thomas,Thomas Leighton (gouverneur),Thomas Leighton,Thomas Leighton,Thomas Leighton (gouverneur),88462284,1530,1610,101068015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leighton-1074,politician
Q5271507,Diane Lewis,Diane Lewis,Дайан Льюис,Diane Lewis,Diane Lewis (Guernsey legislator),female,Diane,Diane Lewis (Guernsey legislator),,Diane Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q637730,William Francis Patrick Napier,William Francis Patrick Napier,,William Francis Patrick Napier,William Francis Patrick Napier,male,William,William Francis Patrick Napier,William Francis Patrick Napier,William Francis Patrick Napier,William Francis Patrick Napier,25337800,1785-12-07,1860-02-12,101019772,William Francis Patrick Napier,William Francis Patrick Napier,William Napier,William Francis Patrick Napier,William Francis Patrick Napier,William Napier,William Francis Patrick Napier,Γουίλιαμ Φράνσις Πάτρικ Νάπιερ,William Francis Patrick Napier,William Napier,William Francis Patrick Napier,William Francis Patrick Napier,Author:William Francis Patrick Napier,William Francis Patrick Napier,William Francis Patrick Napier,William Francis Patrick Napier,William Napier,0000 0001 1129 8832,115730281,n85300668,13012062t,068539738,35372757,/m/02yv1y,OL5895318A,88387,147906512,ADV10969874,a10386762,929699,mp03251,cnp00380495,vtls000022506,1774650,,,,,,ウィリアム・フランシス・パトリック・ネイピア,,,,,,,,,,,,,,,000474924,Napier-600,historian
