id,name,image,district,party,term,source
106001,Louis Jean,http://www.alderney.gov.gg/media/image/7/2/140913_Alderney-731.jpg,Alderney,Independent,2017,http://www.alderney.gov.gg/article/106001/Louis-Jean
157567,Alexander Snowdon,http://www.alderney.gov.gg/media/image/a/a/AlexSnowdon.jpg,Alderney,Independent,2017,http://www.alderney.gov.gg/article/157567/Alexander-Snowdon
157568,James Dent,"",Alderney,Independent,2017,http://www.alderney.gov.gg/article/157568/James-Dent
169884,Annie Burgess,"",Alderney,Independent,2017,http://www.alderney.gov.gg/article/169884/Annie-Burgess
169887,Christian Harris,"",Alderney,Independent,2017,http://www.alderney.gov.gg/article/169887/Christian-Harris
169888,David Earl,"",Alderney,Independent,2017,http://www.alderney.gov.gg/article/169888/David-Earl
169889,Kevin Gentle,http://www.alderney.gov.gg/media/image/l/7/KevinGentle2.jpg,Alderney,Independent,2017,http://www.alderney.gov.gg/article/169889/Kevin-Gentle
169890,Mike Dean,"",Alderney,Independent,2017,http://www.alderney.gov.gg/article/169890/Mike-Dean
4386,Steve Roberts,http://www.alderney.gov.gg/media/image/l/h/SteveRoberts2.jpg,Alderney,Independent,2017,http://www.alderney.gov.gg/article/4386/Steve-Roberts
4387,Graham McKinley,"",Alderney,Independent,2017,http://www.alderney.gov.gg/article/4387/Graham-McKinley
