id,honorific_prefix,name,gender,role,party_id,party,area_id,area,term,image,source
carl-greenidge,"",Carl B. Greenidge,,"",APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/122/carl_greenidge.png,http://parliament.gov.gy/about-parliament/parliamentarian/carl-greenidge/
dr-barton-scotland,Dr.,"Barton U.A. Scotland, C.C.H",,Speaker of the National Assembly,unkown,Unknown,"","",11,http://parliament.gov.gy/images/member_photos/3880/sam_0969-2.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/dr-barton-scotland/
dr-george-norton,Dr.,George Norton,,Minister of Social Cohesion,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/211/norton.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/dr-george-norton/
dr-rupert-roopnarine,"",Rupert Roopnarine,,Minister of Education,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/135/ropert.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/dr-rupert-roopnarine/
hon-david-petterson,"",David Patterson,,Minister of Public Infrastructure,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3879/david_patterson.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-david-petterson/
hon-mr-noel-holder,"",Noel Holder,,Minister of Agriculture,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3877/noel.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-mr-noel-holder/
kathy-hughes,"",Catherine Hughes,,Minster of Tourism,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/215/cathy.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/kathy-hughes/
khemraj-ramjattan,"",Khemraj Ramjattan,,Second Vice President and Minister of Security,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/144/khemraj_ramjattan.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/khemraj-ramjattan/
lt-col-ret-joseph-harmon,Lt. Col. (Ret’),Joseph Harmon,,Minister of State,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/121/joseph_harmon.png,http://parliament.gov.gy/about-parliament/parliamentarian/lt-col-ret-joseph-harmon/
moses-v-nagamootoo,"",Moses Nagamootoo,,Prime Minister and First Vice President,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/149/moses__v._nagamootoo.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/moses-v-nagamootoo/
mr-basil-williams,"",Basil Williams,,Attorney General and Minister of Legal Affairs,APNU-AFC,A Party For National Unity + Alliance For Change,4,Demerara/Mahaica,11,http://parliament.gov.gy/images/member_photos/98/basil_williams.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-basil-williams/
mrs-volda-lawrence,Mrs.,Volda Lawrence,female,Minister of Health,APNU-AFC,A Party For National Unity + Alliance For Change,4,Demerara/Mahaica,11,http://parliament.gov.gy/images/member_photos/99/volda.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mrs-volda-lawrence/
ms-amna-ally,"",Amna Ally,,Minister of Social Protection and Government Chief Whip,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/124/amna_ally.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms-amna-ally/
ronald-bulkan,"",Ronald A. Bulkan,,Minister of Communities,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/156/ronald_bulkan.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ronald-bulkan/
sydney-c-allicock,"",Sydney C. Allicock,,Minister of Indigenous Peoples Affairs,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/158/syndney.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/sydney-c-allicock/
