name,id
Andre Hylton,84a9a8d8-c4fb-4fc4-bb15-dcdaaa3a0c12
Andrew Holness,3eeb8130-3b7e-4e63-9dc0-3459527c4719
Andrew Wheatley,ceb54a82-6f64-4172-b72d-3d93fd47508b
Anthony Hylton,da1da651-8b41-4979-a5b7-860659725f79
Arnaldo Brown,a059bb7d-216b-4c03-a902-736edb3e57d8
Audley Shaw,712b8a15-469e-45ba-8be7-060ac1a54282
Colin Fagan,5548ed58-e210-4a90-9e61-ecb2d5bb4c74
Damion Crawford,e2bc88a3-2707-43e1-8e33-f6ce8f832ff5
Daryl Vaz,9ecee95b-ed5c-4d85-9aea-c72fac67ee4c
Dayton Campbell,ddabaa5d-89af-4326-a3d0-8050a0109a89
Delroy Chuck,6e96ab1b-8307-4d60-a144-9323efb374bb
Denise Daley,f4ac077f-b2c2-4c33-a840-5da984a16d46
Derrick C. Smith,c23a2048-b55b-4716-a89e-a750eb08b4e3
Derrick Kellier,49406c93-37a8-482d-83d6-324964aaea02
Desmond McKenzie,fc4c4c19-6318-4325-b985-93885f6148cf
"Donald K. ""D.K."" Duncan",f6bda39c-8fcb-493f-8e00-2dd97ecbc850
Edmund Bartlett,ad13b121-99ae-4c05-a547-2a588cffc96d
Everald Warmington,ecfb5da3-111f-435c-9af1-52591f0631a5
Fenton Ferguson,ab4f0811-1dba-4c90-a3ad-634bdee43b56
Fitz Jackson,60672256-b448-4b02-b6cf-7987b7ec96d2
Gregory Mair,b000f683-b8fc-408f-b8c5-9b4d60cf7961
Horace Chang,88963dad-6e8b-4550-85b0-7ac78d75e3af
Horace Dalley,785b6564-8e1d-4ce0-a9b3-077e0e8bd86b
Hugh Buchanan,2ea66af2-3106-448a-a88e-28125adf1534
Ian Hayles,cb1a615b-4403-4c72-aa93-f097d14ffae5
James Robertson,54976d0f-6ac8-42aa-933c-ccdd949b5da7
Joylan Silvera,f92936d5-91de-4196-957c-940271c9874e
Julian Robinson,4642d32b-b96e-44e2-a099-36dac5705622
K. Wykeham McNeil,480dcd7c-2519-4dc9-9ee8-759abd3ca53f
Karl Samuda,f74b6441-ff6a-4ea3-b849-9d0e63af69b7
Keith Walford,0ee4757d-8b24-4969-9786-b4d01637a65d
Kenneth Baugh,13765ef7-68bc-4df7-ad8d-0cc8b8026640
Lisa Hanna,e48ba893-ed9b-4db2-88e8-6ec52b49e113
Lloyd B. Smith,d338a7db-ac2a-43f1-b5d9-7532bf38751d
Luther Buchanan,fc32ea85-d6ae-4f88-9a47-f4436babb4dd
Lynvale Bloomfield,c2478951-0260-4896-9ca4-eafc391c1dc6
Marisa Dalrymple-Philibert,ea79771d-802c-438e-b592-08055584324e
Michael Henry,1b03c43f-a144-4dcc-b1fc-679b40f4e8fa
Michael Peart,e1aaf349-e277-40e0-82ec-0f6c088e6aed
Mikael Phillips,1f3bbe16-7412-4f0b-a3bb-ad4f6287ee95
Morais Guy,63e7f30b-a31e-460f-a0b6-0ce4e69dc3cf
Natalie Neita-Headley,8a89dbb0-7634-46fc-b008-97056f35234f
Noel Arscott,828368f6-cf12-4d1d-9cbe-88b4b8f3f377
Olivia Grange,ca813b63-4bf0-40b3-becf-f4fb6b57d833
Omar Davies,0a8bc903-b520-44a2-81f8-19c78e9e05ef
Patrick Atkinson,fff2a010-64d1-4300-b2f7-a968d1d6144c
Paul Buchanan,0d2b5c68-4552-43ff-8340-bf337ed604a4
Pearnel Charles,7cc8fc5b-74ef-4420-9939-f936155c4450
Peter Bunting,60c76011-9607-47c1-ae9b-62e5518f8956
Peter Phillips,01f1cd19-387b-443f-9525-06cadf8e7776
Phillip Paulwell,9fbda4d6-ec13-48bd-87cf-7bfe9bfd3af0
Portia Simpson Miller,04ba6529-249f-43e1-bc41-1e22f9870490
Portia Simpson-Miller,04ba6529-249f-43e1-bc41-1e22f9870490
Raymond Pryce,7cb2b1a8-c3d1-4064-af7b-78c33f79b040
Richard Azan,c9b6adf4-a688-48c8-8c67-c53b5bddec9c
Richard Parchment,93701a07-47f5-40b0-b5cb-a723a5717c6e
Robert Pickersgill,887ebbdd-4167-4633-b298-9b62aeca57b4
Roger Clarke,5ff6684a-1be0-4797-8462-9ff54c407f2e
Ronald Thwaites,af96ba47-f7f5-4eaf-a301-1cb384fd31f0
Rudyard Spencer,84300ea2-3203-4629-b5a9-dbe5420399f9
Shahine Robinson,7559e492-a878-46e9-898b-a62bd097206f
Sharon Ffolkes-Abrahams,9f5e358b-2b80-4399-bbb4-4aa29ba9a9a7
William J.C. Hutchinson,42422736-cc95-4ca7-a8ea-c8723ca781ea
Winston Green,18ee12d8-870a-447a-8126-e9f1172e0298
Άντριου Χόλνες,3eeb8130-3b7e-4e63-9dc0-3459527c4719
Πόρσια Σίμσον Μίλερ,04ba6529-249f-43e1-bc41-1e22f9870490
Джеймс Робертсон,54976d0f-6ac8-42aa-933c-ccdd949b5da7
Лиза Ханна,e48ba893-ed9b-4db2-88e8-6ec52b49e113
Портиа Симсон Милер,04ba6529-249f-43e1-bc41-1e22f9870490
Поршия Симпсон-Миллер,04ba6529-249f-43e1-bc41-1e22f9870490
Поршія Сімпсон-Міллер,04ba6529-249f-43e1-bc41-1e22f9870490
"Симпсон-Миллер, Поршия",04ba6529-249f-43e1-bc41-1e22f9870490
"Холнесс, Эндрю",3eeb8130-3b7e-4e63-9dc0-3459527c4719
פורשיה סימפסון-מילר,04ba6529-249f-43e1-bc41-1e22f9870490
أندرو هولنيس,3eeb8130-3b7e-4e63-9dc0-3459527c4719
لیسا هنا,e48ba893-ed9b-4db2-88e8-6ec52b49e113
پورتیا سیمپسون-میلر,04ba6529-249f-43e1-bc41-1e22f9870490
पोर्टिया सिम्पसन-मिलर,04ba6529-249f-43e1-bc41-1e22f9870490
പോർഷ്യ സിംസൺ-മില്ലർ,04ba6529-249f-43e1-bc41-1e22f9870490
პორტია სიმპსონ-მილერი,04ba6529-249f-43e1-bc41-1e22f9870490
ポーシャ・シンプソン＝ミラー,04ba6529-249f-43e1-bc41-1e22f9870490
安德鲁·霍尼斯,3eeb8130-3b7e-4e63-9dc0-3459527c4719
波蒂亚·辛普森-米勒,04ba6529-249f-43e1-bc41-1e22f9870490
포르티아 심프슨 밀러,04ba6529-249f-43e1-bc41-1e22f9870490
