id,name__nn,name__en,name__se,name__es,name__de,name__fr,name__nb,name__eo,name__nl,name__da,name__sv,name__hu,name,wikipedia__da,wikipedia__en,wikipedia__nn,wikipedia__no,wikipedia__se,image,gender,birth_date,identifier__freebase,given_name,identifier__storting,original_wikiname,death_date,wikipedia__de,wikipedia__sv,name__lb,name__zh,name__eu,name__pl,name__qu,name__ta,name__af,name__oc,name__ms,name__sw,name__et,name__el,name__bcl,name__ga,name__ar,name__pt,name__is,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__io,name__kk,name__an,name__ko,name__he,name__be,name__yo,name__lv,name__it,name__gl,name__id,name__ja,name__vi,name__sh,name__ku,name__ro,name__ca,name__la,name__fo,name__cs,name__mr,name__bg,name__fa,name__lt,name__pt_br,name__lmo,name__en_gb,name__ka,name__sco,name__ml,name__hi,name__az,name__br,name__ie,name__hy,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__ga,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nowikiquote,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sw,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__BIBSYS,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,twitter,facebook,identifier__FAST,name__bs,wikipedia__bswikiquote,name__nds,name__cy,identifier__OLID,identifier__polsys,name__ceb,name__hr,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gsw,website,identifier__wikitree,identifier__N6I,wikipedia__nowikisource,identifier__NTA,family_name,name__mg,wikipedia__mg,noble_title,identifier__bigenc_ru,identifier__PACE,identifier__CERL,name__ast,name__bar,name__bm,name__co,name__de_at,name__de_ch,name__en_ca,name__frc,name__frp,name__fur,name__gd,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__vls,name__vmf,name__vo,name__wo,name__zu,name__bn,name__mk,name__pdc,wikipedia__ast,wikipedia__bn,wikipedia__sk,identifier__NSK,name__ur,wikipedia__nnwikiquote,wikipedia__ur,identifier__NLAtrove,name__zh_hant,name__zh_cn,identifier__GNC,wikipedia__enwikisource,name__ty,name__sr_ec,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__AlloCine,identifier__SFDb,identifier__kinopoisk,identifier__TED,identifier__Gutenberg,wikipedia__species,wikipedia__hy,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,identifier__Britannica,name__war,name__new,name__sa,wikipedia__new,wikipedia__ptwikiquote,wikipedia__sa,wikipedia__war,identifier__NLI,identifier__NPG,name__vep,wikipedia__vep,name__tl,name__ku_arab,name__ku_latn,name__ne,wikipedia__cy,wikipedia__eswikiquote,wikipedia__frwikiquote,wikipedia__hr,wikipedia__ia,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,identifier__NDL,identifier__NLA,name__szl,wikipedia__szl,name__fit,name__kl,wikipedia__nds,wikipedia__sq,identifier__NUKAT,name__ch,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,name__pa,wikipedia__arz,wikipedia__bs,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__pa,wikipedia__te,wikipedia__th,identifier__SELIBR,wikipedia__bar,name__frr,name__fy,name__hsb,name__dsb,name__eml,name__as,name__lad,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__dtp,name__ee,name__ext,name__ff,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__iu,name__jbo,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mt,name__mus,name__mwl,name__na,name__nah,name__ng,name__nl_informal,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdt,name__pfl,name__pih,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__srn,name__st,name__stq,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ug_latn,name__uz,name__ve,name__vot,name__xh,name__za,name__zea,occupation,wikipedia__hsb,identifier__ne_se,name__tt,identifier__snac,name__sje,name__smj,wikipedia__zh_min_nan,name__ace,name__egl,name__gv,name__hil,name__su,name__nan,identifier__quora,identifier__persee,wikipedia__itwikiquote,wikipedia__dewikinews,wikipedia__mai,electoral_district,name__mai,identifier__google_knowledge,wikipedia__hrwikiquote,weblog,identifier__NLP,identifier__zbMATH,identifier__CONOR,wikipedia__zh_yue,wikipedia__mk,wikipedia__uz,name__lfn,name__yue,married_name,wikipedia__wuu,name__wuu,instagram,email,identifier__BNE,wikipedia__azb,identifier__LNB,identifier__MGP,name__ps,name__lzh,identifier__nlg,name__azb,name__no,identifier__DBNL,identifier__SBN_it,identifier__elonet,identifier__DNF,identifier__PORT,identifier__allmovie
Q1019331,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,Bård Vegar Solhjell,,https://upload.wikimedia.org/wikipedia/commons/3/39/Stopdld_demo_oslo_Bård_Vegar_Solhjell_2.jpg,male,1971-12-22,/m/03ck1zw,Bård,BVS,,,Bård Vegar Solhjell,Bård Vegar Solhjell,,,,,,,,,,Bård Vegar Solhjell,,,,,,,Bård Vegar Solhjell,,,,,,,,,,,,,,,,,,ボード・ベーガル・ソールエル,,,,,,,Bård Vegar Solhjell,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Bård Vegar Solhjell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bård Vegar Solhjell,,,,,,,,,,,,,,,,,,,,0000 0003 6584 7408,230337208,1018548106,,,,,5448,,,,,,,,,,,,,31302,,,,,,Bård Vegar Solhjell,,,,,,,,,,Solhjell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bård Vegar Solhjell,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Bård Vegar Solhjell,Bård Vegar Solhjell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1039034,Carl Joachim Hambro,Carl Joachim Hambro,,C. J. Hambro,Carl Joachim Hambro,Joachim Hambro,Carl Joachim Hambro,Carl Joachim Hambro,C. J. Hambro,Carl Joachim Hambro,Carl Joachim Hambro,C. J. Hambro,Carl Joachim Hambro,Carl Joachim Hambro (politiker),C. J. Hambro,Carl Joachim Hambro (1885-1964),C.J. Hambro,,https://upload.wikimedia.org/wikipedia/commons/5/5f/33519_C.J._Hambro.jpg,male,1885-01-05,/m/04x26r,Carl,CAHM,,1964-12-15,Carl Joachim Hambro,Carl Joachim Hambro (politiker),,卡爾·漢布洛,,,,,,,,,,,,,,,,"Хамбро, Карл Йоаким",,,Carl Joachim Hambro,,,,Хамбро Карл Йоаким,,,,,,,,,Carl Joachim Hambro,カール・ヨアヒム・ハンブロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Carl Joachim Hambro,,,,,,Carl Joachim Hambro,,,,,,Carl Joachim Hambro,,Joachim Hambro,,,,,,Carl Joachim Hambro,,,,,,,Хамбро Карл Йоаким,,,,,,,,,,,,C.J. Hambro,,,,,,,"Хамбро, Карл Йоаким",,,,,,,,,,,,,0000 0001 0972 0117,52497376,119361027,n85011901,,098238019,,90105608,,00000000797,,,,,148811,,,,,OL845744A,279,,,,,,Carl Joachim Hambro,,,,,,Hambro-7,,,071035745,Hambro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C·J·漢布羅,C·J·汉布罗,,,,,,,,,,,,,,,C·J·汉布罗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,w63r44xm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10642130,Kjell Arvid Svendsen,Kjell Arvid Svendsen,Kjell Arvid Svendsen,,Kjell Arvid Svendsen,Kjell Arvid Svendsen,Kjell Arvid Svendsen,,Kjell Arvid Svendsen,Kjell Arvid Svendsen,Kjell Arvid Svendsen,,Kjell Arvid Svendsen,,Kjell Arvid Svendsen,Kjell Arvid Svendsen,Kjell Arvid Svendsen,,,male,1953-08-27,,Kjell,KSV,,,,,,,,,,,,,,Kjell Arvid Svendsen,,,,,,,Kjell Arvid Svendsen,,,,,,,,,,,,,,,,,,,,,,,,,Kjell Arvid Svendsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30956,,,,,,Kjell Arvid Svendsen,,,,,,,,,,Svendsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kjell Arvid Svendsen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Kjell Arvid Svendsen,Kjell Arvid Svendsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1082481,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,Per-Kristian Foss,,https://upload.wikimedia.org/wikipedia/commons/2/23/Per-Kristian_Foss_20090913-1.JPG,male,1950-07-19,/m/04jc9c,Per,PKF,,,Per-Kristian Foss,Per-Kristian Foss,,,,Per-Kristian Foss,,,,,,Per-Kristian Foss,,,,,,,Per-Kristian Foss,,,,,,,,,,,,,,,,,Per-Kristian Foss,,,,,,,,Per-Kristian Foss,,,,پر کریستین فس,,,,,,,,,,,,,,,,,,,,,,,Category:Per-Kristian Foss,,,,,,,,,,پر کریستین فس,,,,,,,,,Per-Kristian Foss,Per-Kristian Foss,,,,,,,,,,,,,,,,,,,Per-Kristian Foss,,Per-Kristian Foss,,,,,,,,,,,,,,,,,,0000 0001 1218 4837,163375326,,,,,,51610,,,,,,,,,,,,,204,,,,,,Per-Kristian Foss,,,,,,,,,,Foss,,,,,5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per-Kristian Foss,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Per-Kristian Foss,Per-Kristian Foss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11056928,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,Helge André Njåstad,,Helge André Njåstad,Helge Andre Njåstad,Helge Andre Njåstad,,https://upload.wikimedia.org/wikipedia/commons/2/21/Helge_André_Njåstad_(crop).jpg,male,1980-06-05,,Helge,HNJ,,,,,,,,,,,,,,,,,,,,,Helge André Njåstad,,,,,,,,,,,,,,,,,,,,,,,,,Helge André Njåstad,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Helge André Njåstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31435,,,,,,Helge André Njåstad,,,,,,,,,,Njåstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11197085,Aksel Kloster,Aksel Kloster,Aksel Kloster,,Aksel Kloster,Aksel Kloster,Aksel Kloster,,Aksel Kloster,Aksel Kloster,Aksel Kloster,,Aksel Kloster,,,Aksel Kloster,Aksel Kloster,,,male,1948-08-18,,Aksel,AKKL,,2006-05-11,,,,,,,,,,,,Aksel Kloster,,,,,,,Aksel Kloster,,,,,,,,,,,,,,,,,,,,,,,,,Aksel Kloster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,Aksel Kloster,,,,,,,,,,Kloster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aksel Kloster,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Aksel Kloster,Aksel Kloster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11211432,Solfrid Borge,Solfrid Borge,,,Solfrid Borge,Solfrid Borge,Solfrid Borge,,Solfrid Borge,Solfrid Borge,Solfrid Borge,,Solfrid Borge,,,Solfrid Borge,Solfrid Borge,,,female,1959-05-10,,Solfrid,SBO,,,,,,,,,,,,,,,,,,,,,,Сольфрид Борге,,,,,,,,,,,,,,,,,,,,,,,,Solfrid Borge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31575,,,,,,Solfrid Borge,,,,,,,,,,Borge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solfrid Borge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11212577,Olaug Vervik Bollestad,Olaug Vervik Bollestad,Olaug Vervik Bollestad,Olaug Bollestad,Olaug Bollestad,Olaug Bollestad,Olaug Vervik Bollestad,,Olaug Bollestad,Olaug Vervik Bollestad,Olaug Vervik Bollestad,Olaug Bollestad,Olaug Vervik Bollestad,,Olaug Bollestad,Olaug Bollestad,Olaug Bollestad,,https://upload.wikimedia.org/wikipedia/commons/6/62/Olaug_Bollestad_(KrF).JPG,female,1961-11-04,,Olaug,OVB,,,,,,,,,,,,,,Olaug Vervik Bollestad,,,,,,,Olaug Vervik Bollestad,,,,,,,,,,,,,,,,,,,,,,,,,Olaug Vervik Bollestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31551,,,,,,Olaug Vervik Bollestad,,,,,,,,,,Bollestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olaug Vervik Bollestad,,,,,,,,,,,,,,,,,,,,,,,,nurse,,,,,Olaug Vervik Bollestad,Olaug Vervik Bollestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11217303,Einar Berner Silset,Einar Berner Silset,,,,Einar Berner Silseth,Einar Silset,,Einar Berner Silset,,,,Einar Berner Silset,,,Einar Berner Silset,Einar Silset,,,male,1945-04-04,,Einar,ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30357,,,,,,Einar Berner Silset,,,,,,,,,,Silset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11235163,Helge Orten,Helge Orten,Helge Orten,Helge Orten,Helge Orten,Helge Orten,Helge Orten,,Helge Orten,Helge Orten,Helge Orten,Helge Orten,Helge Orten,,Helge Orten,Helge Orten,Helge Orten,,https://upload.wikimedia.org/wikipedia/commons/2/26/Helge_Orten_(2017-03-11_bilde01).jpg,male,1966-10-25,,Helge,HELO,,,,,,,,,,,,,,Helge Orten,,,,,,,Helge Orten,,,,,,,,,,,,,,,,,,,,,,,,,Helge Orten,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Helge Orten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31941,,,,,,Helge Orten,,,,,,,,,,Orten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helge Orten,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Helge Orten,Helge Orten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
