id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__pl,name__fr,name__ko,name__he,name__es,name__ta,name__ms,name__it,name__ps,name__et,name__de,name__id,name__ja,name__ml,name__bn,name__br,name__yue,name__en,name__sv,name__nl,name__ar,name__hi,name__pt,name__eo,name__ru,name__ast,name__tr,name__ro,name__fi,name__uk,name__cs,name__fa,name__mr,name__ka,name__ur,name__az,name__da,name__zh,name__nb,name__sco,name__ca,name__th,name__sh,name,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__bn,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ps,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__zh_yue,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,death_date,identifier__freebase,given_name,name__de_ch,name__el,name__en_ca,name__en_gb,name__pt_br,wikipedia__el,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,name__pa,wikipedia__pa,wikipedia__plwikiquote,name__mg,wikipedia__mg,name__hu,website,name__nds,identifier__IMDB,wikipedia__hu,twitter,name__cy,identifier__FAST,original_wikiname,identifier__Britannica,name__gl,last_seen,wikipedia__bg,name__nn,name__bg,identifier__OLID,name__tg,wikipedia__ckb,wikipedia__tg,identifier__wikitree,name__ckb,occupation,wikipedia__fawikiquote,name__qu,wikipedia__qu,family_name,identifier__DNF,identifier__ne_se,name__sq
Q14972445,,,,,,,Qayum Karzai,,,,,Qayum Karzai,,,,,,Qayum Karzai,,,,,,,Qayum Karzai,,Qayum Karzai,قيوم كرزاي,,Qayum Karzai,,Каюм Карзай,,,,Qayum Karzai,,,عبدالقیوم کرزی,,,,,,,Qayum Karzai,,,,,Qayum Karzai,قيوم كرزاي,,,,,,,,,,Qayum Karzai,,,,,عبدالقیوم کرزی,,,,,,,,,,,,,,,,,Quayum Karzai,,,,,,,,,,,,,,,male,,,,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qayum Karzai,,,,,,,,politician,,,,,,,
Q1521969,,,,,,,,,Ghulam Mohammad Farhad,,,Ghulam Mohammad Farhad,,,,غلام محمد فرهاد,,Ghulam Mohammad Farhad,,,,,,,Ghulam Mohammad Farhad,,Ghulam Mohammad Farhad,,,,,,,Ghulam Mohammad Farhad,,,,,,,,,,,,,,,,,Ghulam Mohammad Farhad,,,,,,,,,,Ghulam Mohammad Farhad,Ghulam Mohammad Farhad,,,,,,,,,,,,,,,,,,,,,غلام محمد فرهاد,,,,,,,,,,Gulam Muhammed Ferhad,,,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Ghulam_Mohammad_Farhad.jpg,male,21606014,,,1901,1984-10-06,/m/0cp717,,,,,,,,,,,,,,,,,Ghulam Mohammad Farhad,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q1569713,,,,,,,,,Hajji Muhammad Arif Zarif,,,Hajji Muhammad Arif Zarif,,,,,,Hajji Muhammad Arif Zarif,,,,,,,Hajji Muhammad Arif Zarif,,Hajji Muhammad Arif Zarif,,,,,,,,,,,,,,,,,,,,,,,,Hajji Muhammad Arif Zarif,,,,,,,,,,Hajji Muhammad Arif Zarif,Hajji Muhammad Arif Zarif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/AF-ZarifArif.jpg,male,,,,1942,2007-11-06,/m/03hh364,,,,,,,,,,,,,,,,,Hajji Muhammad Arif Zarif,,,,,,Hajji Muhammad Arif Zarif,,,,,,,,,,,,,,,politician,,,,,,,
Q16017889,,,,,,,,,,,,,,,Sahib Rahman,,,Sahib Rahman,,,,,,,Sahib Rahman,,Sahib Rahman,,,,,,,,,,,,,,,,,,,,,,,,Sahib Rahman,,,,,,,,,,,Sahib Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,2007-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q16018976,,,,,,,,,Alhaj Mutalib Baig,,,,,,,,,Alhaj Mutalib Baig,,,,,,,Alhaj Mutalib Baig,,Alhaj Mutalib Baig,,,,,,,,,,,,,,,,,,,,,,,,Alhaj Mutalib Baig,,,,,,,,,,,Alhaj Mutalib Baig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,2011-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q16149384,,,,,,,,,,,,,,,,,,Niyaz Mohammad Amiri,,,,,,,Niyaz Mohammad Amiri,,Niyaz Mohammad Amiri,,,,,,,,,,,,,,,,,,,,,,,,Niyaz Mohammad Amiri,,,,,,,,,,,Niyaz Mohammad Amiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q16190577,,,,,,,,,,,,,,,Hanif Shah al-Hussaini,,,,,,,,,,Hanif Shah al-Hussaini,,Hanif Shah al-Hussaini,,,,,,,,,,,,,,,,,,,,,,,,Hanif Shah al-Hussaini,,,,,,,,,,,Hanif Shah al-Hussaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,Hanif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q17305060,,,,,,,,,Farkhunda Zahra Naderi,,,,,,,,,Farkhunda Zahra Naderi,,,,,,,Farkhunda Zahra Naderi,,Farkhunda Zahra Naderi,,,,,,,,,,,,فرخنده زهرا نادری,,,,,,,,,,,,Farkhunda Zahra Naderi,,,,,,,,,,,Farkhunda Zahra Naderi,,,,,فرخنده زهرا نادری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/75/Portrait_of_Afghan_Parliamentarian_Farkhunda_Zahra_Naderi.jpg,female,,,,1981-04-19,,/m/0113k8dv,,,,,,,,,,,,,,,,,,http://www.fzn.af,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q18637795,,,,,,,,,,,,,,,,,,,,,,,,,Rangina Kargar,,Rangina Kargar,,,,,,,,,,,,,,,,,,,,,,,,Rangina Kargar,,,,,,,,,,,Rangina Kargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Rangina_Kargar.JPG,female,,,,1985-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q188667,布尔汉努丁·拉巴尼,布爾漢努丁·拉巴尼,布爾漢努丁·拉巴尼,布尔汉努丁·拉巴尼,布尔汉努丁·拉巴尼,布爾漢努丁·拉巴尼,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,부르하누딘 라바니,בורהנודין רבאני,Burhanuddin Rabbani,புர்ஹானுத்தீன் ரப்பானி,Burhanuddin Rabbani,Burhanuddin Rabbani,برهان الدين رباني,Burhānuddīn Rabbānī,Burhānuddin Rabbāni,Burhanuddin Rabbani,ブルハーヌッディーン・ラッバーニー,ബുർഹാനുദ്ദീൻ റബ്ബാനി,বুরহানউদ্দিন রব্বানী,Burhanuddin Rabbani,拉巴尼,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,برهان الدين رباني,बुरहानुद्दीन रब्बानी,Burhanuddin Rabbani,Burhanuddin Rabbani,"Раббани, Бурхануддин",Burhanuddin Rabbani,Burhaneddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,Бургануддін Раббані,Burhánuddín Rabbání,برهان‌الدین ربانی,बुरहानुद्दीन रब्बानी,ბურჰანუდინ რაბანი,برہان الدین ربانی,Bürhanəddin Rəbbani,Burhanuddin Rabbani,布爾漢努丁·拉巴尼,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,บูร์ฮานุดดีน รับบานี,Burnahudin Rabani,Burhanuddin Rabbani,برهان الدين رباني,Burhanuddin Rabbani,Bürhanəddin Rəbbani,বুরহানউদ্দিন রব্বানী,Burhanuddin Rabbani,Burhanuddin Rabbani,Category:Burhanuddin Rabbani,Burhánuddín Rabbání,Burhanuddin Rabbani,Burhānuddin Rabbāni,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhānuddīn Rabbānī,Burhanuddin Rabbani,برهان‌الدین ربانی,Burhanuddin Rabbani,Burhanuddin Rabbani,בורהנודין רבאני,बुरहानुद्दीन रब्बानी,Burhanuddin Rabbani,Burhanuddin Rabbani,ブルハーヌッディーン・ラッバーニー,ბურჰანუდინ რაბანი,부르하누딘 라바니,ബുർഹാനുദ്ദീൻ റബ്ബാനി,बुरहानुद्दीन रब्बानी,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,Burhanuddin Rabbani,برهان الدين رباني,Burhanuddin Rabbani,Burhanuddin Rabbani,"Раббани, Бурхануддин",Burhanuddin Rabbani,Burnahudin Rabani,Burhanuddin Rabbani,Burhanuddin Rabbani,புர்கானுத்தீன் ரப்பானி,บูร์ฮานุดดีน รับบานี,Burhaneddin Rabbani,Бургануддін Раббані,برہان الدین ربانی,拉巴尼,布爾漢努丁·拉巴尼,https://upload.wikimedia.org/wikipedia/commons/f/f1/Burhanuddin_Rabbani_-_VOA_-_11302001.jpg,male,23678384,1028171862,n88014696,1940-09-20,2011-09-20,/m/01gst,,,,,,,,,,,,,,,,,Burhanuddin Rabbani,,,,,,Burhanuddin Rabbani,237045,,biography/Burhanuddin-Rabbani,Burhanuddin Rabbani,,,,,,Бурҳонуддин Раббонӣ,بورھانوددین ڕەببانی,Бурҳонуддин Раббонӣ,Rabanni-1,بورھانوددین ڕەببانی,politician,برهان‌الدین ربانی,Burhanuddin Rabbani,Burhanuddin Rabbani,,,burhanuddin-rabbani,
