id,name__tr,name,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image,name__el,name__de,name__fr,name__pl,name__ru,name__az,name__ar,name__it,name__nl,name__es,name__nb,name__hu,wikipedia__ar,wikipedia__az,wikipedia__de,wikipedia__el,wikipedia__fr,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__ru,name__ja,name__ca,name__oc,wikipedia__ja,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nn,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh,wikipedia__zh,wikipedia__vi,original_wikiname,wikipedia__commons,occupation,wikipedia__ca,wikipedia__et,wikipedia__es,name__he,wikipedia__trwikinews,name__or,name__ko,wikipedia__ko
Q14330482,Sibel Siber,Sibel Siber,Sibel Siber,Sibel Siber,Sibel Siber,female,1960-12-13,Sibel,/m/0wfz7wy,https://upload.wikimedia.org/wikipedia/commons/4/42/Sibel_Siber_(cropped).jpg,,Sibel Siber,Sibel Siber,Sibel Siber,,,,,Sibel Siber,Sibel Siber,,Sibel Siber,,,Sibel Siber,,Sibel Siber,,,Sibel Siber,,シベル・シベル,Sibel Siber,,,,,,,,,,,,,,,,,,Sibel Siber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sibel Siber,Category:Sibel Siber,politician,Sibel Siber,,,סיבל סיבר,,ଶିବେଲ୍ ଶିବର୍,시벨 시베르,시벨 시베르
Q17046780,Özdil Nami,Özdil Nami,Özdil Nami,Özdil Nami,Özdil Nami,male,1967-05-23,,,,,,,,,,,,,,,Özdil Nami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Özdil Nami,Category:Özdil Nami,politician,,,,,,,,
Q20090577,,Doğuş Derya,,Doğuş Derya,Doğuş Derya,female,1978,,,,,,,,,,,,Doğuş Derya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doğuş Derya,,politician,,,,,,,,
Q20669153,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,male,1950,Ömer,,,,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,,,,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,,,Ömer Kalyoncu,,,,,Ömer Kalyoncu,,オメル・カルヨンジュ,Ömer Kalyoncu,Ömer Kalyoncu,,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,奧瑪·卡勒揚庫,奧瑪·卡勒揚庫,Ömer Kalyoncu,Ömer Kalyoncu,,politician,,,,,,,,
Q20744808,Zeki Çeler,Zeki Çeler,Zeki Çeler,Zeki Çeler,Zeki Çeler,male,1981-03-04,,,,,,,,,,,,Zeki Çeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeki Çeler,,politician,,,,,,,,
Q2272256,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,male,1959,Serdar,,https://upload.wikimedia.org/wikipedia/commons/8/85/Serdar_Denktaş.jpg,,Serdar Denktaş,Serdar Denktaş,,,,,,Serdar Denktaş,Serdar Denktaş,,Serdar Denktaş,,,Serdar Denktaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serdar Denktaş,Category:Serdar Denktaş,politician,,,,,,,,
Q2388336,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,male,1953,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Tahsin_Ertuğruloğlu.jpg,,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,,,,,,Tahsin Ertuğruloğlu,,,Tahsin Ertuğruloğlu,,,Tahsin Ertuğruloğlu,,,,,,,タフシン・エルトゥールロール,,,,,,,,,,,,,,,,,,Tahsin Ertuğruloğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahsin Ertuğruloğlu,,politician,,Tahsin Ertuğruloğlu,,,Kategori:Tahsin Ertuğruloğlu,,,
Q4696177,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,male,1950,Ahmet,,,Αχμέτ Κασίφ,Ahmet Kaşif,Ahmet Kaşif,,,,,,Ahmet Kaşif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmet Kaşif,,politician,,,,,Kategori:Ahmet Kaşif,,,
Q58174,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,male,1965,Hüseyin,/m/0bs8f6q,,Χουσεΐν Οζγκιουργκούν,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,"Озгюргюн, Хусейн",,,,Hüseyin Özgürgün,Hüseyin Özgürgün,,Hüseyin Özgürgün,,,Hüseyin Özgürgün,Χουσεΐν Οζγκιουργκούν,,,,Hüseyin Özgürgün,"Озгюргюн, Хусейн",フセイン・オズグルグン,Hüseyin Özgürgün,Hüseyin Özgürgün,フセイン・オズグルグン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,侯赛因·欧祖根,侯赛因·欧祖根,,Hüseyin Özgürgün,,politician,,,,,Kategori:Hüseyin Özgürgün,,,
Q6058134,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,Mehmet Çakıcı,male,1966-09-13,Mehmet,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Mehmet_Çakıcı.jpg,,,,,,,,,Mehmet Çakıcı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mehmet Çakıcı,,politician,,,,,,,,
