id,name__en,name__es,name__de,name__it,name__fr,name,wikipedia__en,gender,given_name,original_wikiname,occupation,name__nl,name__ja,birth_date,name__pl,wikipedia__pl,death_date,name__dv,name__ru,wikipedia__dv,wikipedia__ru,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,name__hu,wikipedia__fa,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,identifier__freebase,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__he,name__ta,name__yo,name__ms,name__et,name__id,name__ml,name__br,name__vi,name__el,name__sv,name__ar,name__hi,name__pt,name__eo,name__tr,name__fi,name__ksh,name__da,name__nb,name__bn,name__zh,name__uk,name__mk,name__sco,name__eu,wikipedia__ar,wikipedia__bn,wikipedia__br,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__ksh,wikipedia__lb,wikipedia__ml,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sco,wikipedia__sv,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__IMDB,website,identifier__Britannica,twitter,identifier__FAST,name__ne,wikipedia__ne,name__cs,name__gl,name__sk,name__hr,name__lt,name__en_ca,name__en_gb,name__pt_br,wikipedia__cs,wikipedia__gl,wikipedia__hr,wikipedia__lt,wikipedia__sk,name__cy,wikipedia__simple,name__ka,name__oc,name__min,name__mr,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__min,wikipedia__mr,wikipedia__oc,wikipedia__pa,name__hy,name__fo,name__kl,name__nn
Q11051353,Ilyas Ibrahim,,Ilyas Ibrahim,,Ilyas Ibrahim,Ilyas Ibrahim,Ilyas Ibrahim,male,,Ilyas Ibrahim,politician,Ilyas Ibrahim,,1945-12-18,,,,އަލްފާޟިލް އިލްޔާސް އިބްރާހިމް,,އަލްފާޟިލް އިލްޔާސް އިބްރާހިމް,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12300379,Abdulla Jihad,,,,,Abdulla Jihad,Abdulla Jihad,male,,Abdulla Jihad,,,,1963-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulla Jihad,Abdulla Jihad,,,,,,,,,,,Abdulla Jihad,,,,,,,,,,,,,,,,,,,Abdulla Jihad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1255051,Ahmed Shaheed,Ahmed Shaheed,Ahmed Shaheed,,Ahmed Shaheed,Ahmed Shaheed,Ahmed Shaheed,male,Ahmed,Ahmed Shaheed,politician,Ahmed Shaheed,,1964,,,,,,,,احمد شهید,Ahmed Šahid,Ahmed Šahid,Ахмед Шахид,Ахмед Шахид,Ahmed Shaheed,احمد شهید,Ahmed Shaheed,Ahmed Šahid,Ахмед Шахид,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Ahmed_Shaheed,_Human_Rights_Council_Special_Rapporteur_on_Iran_(cropped).jpg",/m/02q2_fx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1398138,Fatima Ibrahim Didi,,Fatima Ibrahim Didi,,Fatima Ibrahim Didi,Fatima Ibrahim Didi,Fatima Ibrahim Didi,female,Fatima,Fatima Ibrahim Didi,politician,Fatima Ibrahim Didi,,1918,,,2008,,,,,,,,,,,,,,,,/m/012srkfp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatima Ibrahim Didi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatima Ibrahim Didi,,,,,,,,,,,,,,,,,
Q152381,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,male,Mohamed,Mohamed Nasheed,politician,Mohamed Nasheed,モハメド・ナシード,1967-05-17,Mohamed Nasheed,Mohamed Nasheed,,މުޙައްމަދު ނަޝީދު,"Нашид, Мохамед",މުޙައްމަދު ނަޝީދު,"Нашид, Мохамед",محمد ناشید,Mohamed Nasheed,,,,Mohamed Nasheed,محمد نشید,Mohamed Nasheed,Mohamed Nasheed,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Mohamed_Nasheed_by_UNDP.jpg,/m/077h7y,Mohamed Nasheed,穆罕默德·纳希德,穆罕默德·納希德,穆罕默德·納希德,穆罕默德·纳希德,穆罕默德·纳希德,穆罕默德·納希德,모하메드 나시드,מוחמד נשיד,முகமது நசீது,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,മുഹമ്മദ് നഷീദ്,Mohamed Nasheed,Mohamed Nasheed,Μοχάμετ Νασίντ,Mohamed Nasheed,محمد نشيد,मोहम्मद नशीद,Mohamed Nasheed,Mohamed Naŝid,Muhammed Naşid,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,মোহাম্মদ নাশিদ,穆罕默德·纳希德,Мохамед Нашид,Мухамед Нашид,Mohamed Nasheed,Mohamed Nasheed,محمد نشيد,মোহাম্মদ নাশিদ,Mohamed Nasheed,Category:Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Μοχάμετ Νασίντ,Mohamed Nasheed,Mohamed Naŝid,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,מוחמד נשיד,मोहम्मद नशीद,Mohamed Nasheed,Mohamed Nasheed,モハメド・ナシード,모하메드 나시드,Mohamed Nasheed,Mohamed Nasheed,മുഹമ്മദ് നഷീദ്,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,Mohamed Nasheed,முகம்மது நசீது,Muhammed Naşid,Мохамед Нашид,Mohamed Nasheed,Mohamed Nasheed,穆罕默德·纳希德,29226230,no2003082829,nm4686829,http://raeesnasheed.com/,biography/Mohamed-Nasheed,mohamednasheed,1915644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15428017,Abdul Samad Abdulla,,Abdul Samad Abdulla,,Abdul Samad Abdulla,Abdul Samad Abdulla,Abdul Samad Abdulla,male,Abdul Samad,Abdul Samad Abdulla,politician,Abdul Samad Abdulla,,1946-03-10,,,2013-08-25,,"Абдулла, Абдул Самад",,"Абдулла, Абдул Самад",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Samad Abdulla,,,,,,,,,,,,,,,,,
Q16057942,Abdul Majeed Abdul Bari,,Abdul Majeed Abdul Bari,,,Abdul Majeed Abdul Bari,Abdul Majeed Abdul Bari,male,Abdul Majid,Abdul Majeed Abdul Bari,,Abdul Majeed Abdul Bari,,,,,,ޢަބުދުލް މަޖީދު ޢަބުދުލް ބާރީ,,ޢަބުދުލް މަޖީދު ޢަބުދުލް ބާރީ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146287,Asim Ahmed,,Asim Ahmed,Asim Ahmed,,Asim Ahmed,Asim Ahmed,male,Asim,Asim Ahmed,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146737,Ahmed Jamsheed Mohamed,,Ahmed Jamsheed Mohamed,,,Ahmed Jamsheed Mohamed,Ahmed Jamsheed Mohamed,male,Ahmed,Ahmed Jamsheed Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146747,Ahmed Mahloof,,Ahmed Mahloof,Ahmed Mahloof,Ahmed Mahloof,Ahmed Mahloof,Ahmed Mahloof,male,Ahmed,Ahmed Mahloof,association football player,,,1980-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
