id,name,area,image,email,phone,birth_date,term,source,facebook,twitter
allinsona,Dr Alexander John ALLINSON,Ramsey,http://www.tynwald.org.im/SiteCollectionImages/AllinsonA.jpg,alex.allinson2@gov.im,(01624)651517,,2016,http://www.tynwald.org.im/memoff/member/Pages/AllinsonAJ.aspx,"",""
ashfordd,David John ASHFORD,Douglas North,http://www.tynwald.org.im/SiteCollectionImages/AshfordD.jpg,david.ashford@gov.im,(07624) 427232,,2016,http://www.tynwald.org.im/memoff/member/Pages/AshfordDJ.aspx,"",""
bakert,Tim BAKER,Ayre and Michael,http://www.tynwald.org.im/SiteCollectionImages/BakerT.jpg,tim.baker@gov.im,685482,,2016,http://www.tynwald.org.im/memoff/member/Pages/BakerTS.aspx,"",""
beecroftkj,Kathleen Joan BEECROFT,Douglas South,http://www.tynwald.org.im/SiteCollectionImages/BeecroftKJ.jpg,kate.beecroft@liberalvannin.org,(01624) 686168,,2016,http://www.tynwald.org.im/memoff/member/Pages/BeecroftKJ.aspx,"",""
bettisonc,Clare Louise Bettison,Douglas East,http://www.tynwald.org.im/SiteCollectionImages/BettisonC.jpg,clare.bettison@gov.im,(07624)257947,2017-06-16,2016,http://www.tynwald.org.im/memoff/member/Pages/BettisonCL.aspx,"",""
bootgg,Geoffrey George BOOT,Glenfaba and Peel,http://www.tynwald.org.im/SiteCollectionImages/BootGG.jpg,geoffrey.boot@gov.im,(01624) 685485,,2016,http://www.tynwald.org.im/memoff/member/Pages/BootGG.aspx,"",""
cained,Daphne Hilary Penelope CAINE,Garff,http://www.tynwald.org.im/SiteCollectionImages/CaineD.jpg,daphne.caine@gov.im,(01624) 651519,,2016,http://www.tynwald.org.im/memoff/member/Pages/CaineDHP.aspx,https://www.facebook.com/CaineforGarff/,https://twitter.com/daffydowndilly
callisterr,"Rob Edward CALLISTER TEP, MICA, CMgr, MCMI,",Onchan,http://www.tynwald.org.im/SiteCollectionImages/CallisterR.jpg,rob.callister@gov.immailto:robcallister@manx.net,664475,,2016,http://www.tynwald.org.im/memoff/member/Pages/CallisterRE.aspx,"",""
cannanal,Alfred Louis CANNAN,Ayre and Michael,http://www.tynwald.org.im/SiteCollectionImages/CannanAL.jpg,alfred.cannan@gov.im,(01624) 685518,,2016,http://www.tynwald.org.im/memoff/member/Pages/CannanAF.aspx,"",""
corletta,Catherine Ann CORLETT,Douglas Central,http://www.tynwald.org.im/SiteCollectionImages/CorlettA.jpg,ann.corlett@gov.im,(01624) 651531,,2016,http://www.tynwald.org.im/memoff/member/Pages/CorlettCA.aspx,"",""
