id,name__en,name,wikipedia__en,image,gender,birth_date,given_name,name__de,name__fr,name__nl,name__es,name__de_ch,name__el,name__en_ca,name__en_gb,name__sv,name__pl,wikipedia__de,wikipedia__el,wikipedia__fr,wikipedia__pl,name__it,name__gv,wikipedia__gv,twitter,original_wikiname,name__hu,last_seen,name__nb,name__da,name__nn,name__fa,name__ru,identifier__VIAF,identifier__LCAuth,death_date,identifier__UScongress,identifier__FAST
Q25350177,Jonathan Joughin,Jonathan Joughin,Jonathan Joughin,,,,,,,,,,,,,,,,,,,,,,,Jonathan Joughin,,,,,,,,,,,,
Q5534099,Geoff Corkish,Geoff Corkish,Geoff Corkish,,male,1953-05-25,Geoff,Geoff Corkish,Geoff Corkish,Geoff Corkish,Geoff Corkish,,,,,,,,,,,Geoff Corkish,,,,Geoff Corkish,Geoff Corkish,,,,,,,,,,,
Q7613782,Steve Rodan,Steve Rodan,Steve Rodan,,male,1954-04-19,Steve,,Steve Rodan,,Steve Rodan,,,,,,,,,Steve Rodan,,,,,,Steve Rodan,Steve Rodan,,,,,,,,,,,
Q4910015,Bill Malarky,Bill Malarky,Bill Malarky,,male,1951-06-18,Bill,,,Bill Malarky,Bill Malarky,,,,,,,,,,,Bill Malarkey,,,,Bill Malarky,,,,,,,,,,,,
Q5107888,Chris Robertshaw,Chris Robertshaw,Chris Robertshaw,,male,1950,Chris,Chris Robertshaw,Chris Robertshaw,Chris Robertshaw,,,,,,,,,,,,,,,,Chris Robertshaw,,,,,,,,,,,,
Q4960645,Brenda Cannell,Brenda Cannell,Brenda Cannell,,female,1952,Brenda,Brenda Cannell,Brenda Cannell,Brenda Cannell,,,,,,,,,,,,Brenda Cannell,,,,Brenda Cannell,,,,,,,,,,,,
Q5336528,Eddie Teare,Eddie Teare,Eddie Teare,,male,1948-05-10,Eddie,Eddie Teare,Eddie Teare,Eddie Teare,Eddie Teare,,,,,,,,,,,Eddie Teare,,,,Eddie Teare,Eddie Teare,,,,,,,,,,,
Q1087070,Christopher Thomas,Christopher Thomas,Christopher Thomas,,male,1818-03-24,Christopher,Christopher Yancy Thomas,Christopher Thomas,Christopher Thomas,Christopher Thomas,,,,,Christopher Thomas,,Christopher Yancy Thomas,,,,Christopher Thomas,,,,Christopher Thomas,Christopher Thomas,,Christopher Thomas,Christopher Thomas,Christopher Thomas,کریستوفر توماس,Кристофер Томас,2106521,no99077697,1879-02-11,T000161,439955
Q6301157,Juan Watterson,Juan Watterson,Juan Watterson,,male,1980-07-04,Juan,Juan Watterson,Juan Watterson,Juan Watterson,Juan Watterson,,,,,,,,,,,Juan Watterson,,,,Juan Watterson,Juan Watterson,,,,,,,,,,,
Q19956065,Kate Beecroft,Kate Beecroft,Kate Beecroft,,female,,Kate,,,,,,,,,,,,,,,,,,,Kate Beecroft,,,,,,,,,,,,
Q976107,Allan Bell,Allan Bell,Allan Bell,https://upload.wikimedia.org/wikipedia/commons/6/64/Isle_of_Mans_finansministrar_Alan_Bell_skriver_under_avtal_tillsammans_med_sina_nordiska_kollegor_vid_Nordiska_Radets_session_i_Oslo._2007-10-30._Foto-_Magnus_Froderberg.jpg,male,1947-06-20,Allan,Allan Bell,Allan Bell,Allan Bell,Allan Bell,Allan Bell,Άλαν Μπελ,Allan Bell,Allan Bell,Allan Bell,Allan Bell,Allan Bell,Άλαν Μπελ,Allan Bell,Allan Bell,,,,,Allan Bell,Allan Bell,,,,,,,,,,,
Q7181908,Phil Gawne,Phil Gawne,Phil Gawne,,male,1965-02-19,Phil,Phil Gawne,Phil Gawne,Phil Gawne,Phil Gawne,,,,,,,,,,,Phil Gawne,Phil Gawne,Phil Gawne,,Phil Gawne,Phil Gawne,,,,,,,,,,,
Q6239980,John Houghton,John Houghton,John Houghton (politician),,male,,John,John Houghton,John Houghton,John Houghton,John Houghton,,,,,,,,,,,,,,,John Houghton (Isle of Man),John Houghton,,,,,,,,,,,
Q16195292,Richard Ronan,Richard Ronan,Richard Ronan,,male,1963-05-16,Richard,Richard Ronan,Richard Ronan,,,,,,,,,,,,,Richard Ronan,,,,Richard Ronan,,,,,,,,,,,,
Q6257692,John Shimmin,John Shimmin,John Shimmin,,male,1960,John,John Shimmin,John Shimmin,John Shimmin,John Shimmin,,,,,,,,,,,,,,,John Shimmin,,,,,,,,,,,,
Q5534463,Geoffrey Boot,Geoffrey Boot,Geoffrey Boot,,male,,Geoffrey,Geoffrey Boot,Geoffrey Boot,Geoffrey Boot,,,,,,,,,,,,,,,,Geoffrey Boot,Geoffrey Boot,,,,,,,,,,,
Q16221532,David Quirk,David Quirk,David Quirk,,male,1981-02-15,David,David Quirk,David Quirk,,,,,,,,,,,,,,,,mrdavidquirk,David Quirk,,,,,,,,,,,,
Q7175096,Peter Karran,Peter Karran,Peter Karran,,male,1960-05-20,Peter,Peter Karran,Peter Karran,Peter Karran,Peter Karran,,,,,,,,,,,Peter Karran,,,,Peter Karran,Peter Karran,,,,,,,,,,,
Q25350178,Ralph Peake,Ralph Peake,Ralph Peake,,,,,,,,,,,,,,,,,,,,,,,Ralph Peake,,,,,,,,,,,,
Q5230767,David Anderson,David Anderson,David Anderson (Manx politician),,male,1954-02-06,David,David Anderson,David Anderson,David Anderson,David Anderson,,,,,,,,,,,David Anderson,,,,David Anderson (Isle of Man),David Anderson,,,,,,,,,,,
Q6525733,Leonard Singer,Leonard Singer,Leonard Singer,,male,1943-01-27,Leonard,Leonard Singer,Leonard Singer,Leonard Singer,Leonard Singer,,,,,,,,,,,Leonard Singer,,,,Leonard Singer,Leonard Singer,,,,,,,,,,,
Q24852556,Laurence Skelly,Laurence Skelly,Laurence Skelly,,,,,,,,,,,,,,,,,,,,,,,Laurence Skelly,,,,,,,,,,,,
Q7803374,Tim Crookall,Tim Crookall,Tim Crookall,,male,,Tim,Tim Crookall,,Tim Crookall,,,,,,,,,,,,,,,,Tim Crookall,,,,,,,,,,,,
