id,type,iso_code,coat_of_arms,identifier__freebase,identifier__fips,identifier__geonames,website,identifier__tgn,identifier__britannica,identifier__bnf,identifier__gnd,identifier__viaf,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__wa,name__pl,name__eu,name__ko,name__fr,name__es,name__ace,name__ms,name__hu,name__it,name__gl,name__et,name__de,name__id,name__ja,name__sq,name__vi,name__en,name__pnb,name__sv,name__nl,name__pt,name__eo,name__sk,name__tg_latn,name__ru,name__sr_el,name__sr_ec,name__tr,name__ro,name__mk,name__ca,name__fi,name__uk,name__la,name__war,name__nn,name__cs,name__bg,name__hr,name__lt,name__da,name__an,name__tg,name__zh,name__sr,name__nb,name__ka,name__mn,name__fa,name__sh,name__gd,name__lad,name__ur,name__he,name__nan,name__ceb,name__te,name__ar,name__hi,name__th,name__ta,name__mr,name__bn,name__el,name__si,name__gu,name__kn,name__lv,name__ast,name__az,identifier__lcauth,start_date,name__vec,name__yi,name__rup,name__be,name__sco,name__se,identifier__openstreetmap,name__en_ca,name__en_gb,name__pt_br,name__myv,flag,identifier__dmoz,identifier__quora,name__szl,name__bs,name__mi,name__lij,name__oc,name__sw,name__am,name__ia,name__crh_latn,name__ga,name__my,name__ckb,name__be_tarask,name__frp,name__sah,name__tet,name__roa_tara,name__kv,name__ne,name__rm,name__lmo,name__nap,name__csb,name__pms,name__udm,name__arz,name__frr,name__yo,name__ie,name__hif,name__ps,name__ml,name__hsb,name__ht,name__ku,name__ext,name__fo,name__cy,name__rmy,name__sgs,name__os,name__gv,name__lb,name__bo,name__jv,name__qu,name__vo,name__af,name__br,name__na,name__is,name__ee,name__diq,name__kl,name__stq,name__io,name__ln,name__tl,name__kk,name__ug,name__li,name__scn,name__nov,name__hy,name__cv,name__fy,name__co,name__vep,name__sl,name__dsb,name__vro,name__tpi,name__pa,name__so,name__uz,name__mg,name__wo,name__ce,name__mhr,name__yue,name__cu,name__ky,name__tw,name__gag,name__kaa,name__mo,name__cdo,name__sc,name__lrc,name__tk,name__tt,name__ady,name__hak,name__kk_cyrl,name__tg_cyrl,name__ay,name__gsw,name__mt,name__crh,name__pap,name__av,name__lzh,name__xmf,name__azb,name__olo,name__ba,name__st,name__gn,name__mzn,name__wuu,name__bcl,name__hyw,name__bar,name__zh_mo,name__zh_my,name__tt_latn
Q1064264,ethnic group,,,,,,,,,,,,,,,,,,,,,루마니아 세르비아인,communauté serbe de Roumanie,,,,,Serbi di Romania,,,,,セルビア人,,,Serbs in Romania,,,,,,,,,Srbi u Rumuniji,Срби у Румунији,,Sârbii din România,,,,,,,,,,,,,,,,Срби у Румунији,,,,,Srbi u Rumuniji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q165459,județ,RO-SM,https://upload.wikimedia.org/wikipedia/commons/a/a2/Actual_Satu_Mare_county_CoA.png,/m/01nqx1,RO32,667869,http://www.prefecturasatumare.ro/,1000442,,,,,萨图马雷县,,,,,,Satu Mare,Okręg Satu Mare,,사투마레주,Satu Mare,Satu Mare,Propinsi Satu Mare,Wilayah Satu Mare,Szatmár megye,distretto di Satu Mare,Condado de Satu Mare,Satu Mare maakond,Kreis Satu Mare,Provinsi Satu Mare,サトゥ・マーレ県,,Hạt Satu Mare,Satu Mare County,ساتو مارے کاؤنٹی,Satu Mare,District Satu Mare,Satu Mare,Distrikto Satu Mare,Satu Mare,,Сату-Маре,,,Satu Mare ili,Satu Mare,,Província de Satu Mare,Satu Mare,Сату-Маре,Satmarinum,Kondado han Satu Mare,Satu Mare fylke,Satu Mare,Сату Маре,Satu Mare,Satu Marės apskritis,Satu Mare,Provincia de Satu Mare,Вилояти Сату Маре,薩圖馬雷縣,Сату Маре,Satu Mare,სატუ-მარეს ჟუდეცი,Сату-Маре аймаг,شهرستان ساتو ماره,Satu Mare,Satu Mare,Satu Mare,ساتو مارے کاؤنٹی,מחוז סאטו מארה,Satu Mare Koān,Satu Mare,సాటు మేర్ కౌంటీ,مقاطعة ساتو ماري,सातू मेअर काउंटी,เทศมณฑลซาตูมาเร,சாட்டு மாறே கவுண்டி,सातू मेअर काउंटी,সাতু মার কাউন্টি,επαρχία Σάτου Μάρε,සටුමරේ ප්‍රාන්තය,સતુ મેર કાઉન્ટી,ಸತು ಮೇರ್ ಕೌಂಟಿ,Satumares žudecs,,,,,,,,жудзец Сату-Марэ,,Satu Mare guovlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Սատու Մարե,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kroas Satu Mare,,,
Q167199,județ,RO-VS,https://upload.wikimedia.org/wikipedia/commons/a/a5/Stema_Vaslui.svg,/m/01nqqr,RO38,663116,http://www.prefectura.vaslui.ro/,1000469,place/Vaslui-county-Romania,,,,瓦斯卢伊县,,,,,,Vaslui,Okręg Vaslui,,바슬루이주,Vaslui,Vaslui,Propinsi Vaslui,Wilayah Vaslui,Vaslui megye,distretto di Vaslui,Condado de Vaslui,Vaslui maakond,Kreis Vaslui,Provinsi Vaslui,ヴァスルイ県,,Hạt Vaslui,Vaslui County,واسلوئی کاؤنٹی,Vaslui,District Vaslui,Vaslui,Distrikto Vaslui,Vaslui,,Васлуй,,,Vaslui ili,Vaslui,Васлуј,Província de Vaslui,Vaslui,Васлуй,Vaslui,Kondado han Vaslui,Vaslui fylke,Vaslui,Васлуй,Vaslui,Vaslujaus apskritis,Vaslui,Provincia de Vaslui,Вилояти Васлуи,瓦斯盧伊縣,Васлуј,Vaslui,ვასლუის ჟუდეცი,Васлуй аймаг,شهرستان وزلو,Vaslui,Siorrachd Vaslui,Vaslui,واسلوی کاؤنٹی,מחוז וסלוי,Vaslui Koān,Vaslui,వాస్లూయి కౌంటీ,إقليم فاسلوي,वास्लूय काउंटी,เทศมณฑลวัสลุย,வாசலுய் கவுண்டி,वास्लूय काउंटी,ভাস্লুয়ী কাউন্টি,Βασλούι,වස්ලුයි ප්‍රාන්තය,વાસ્લુઈ કાઉન્ટી,ವಾಸ್ಲುಯಿ ಕೌಂಟಿ,Vaslujas žudecs,,,,,,,Județul Vaslui,Васлуй,,Vaslui guovlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kroas Vaslui,,,
Q178861,județ,RO-BT,https://upload.wikimedia.org/wikipedia/commons/4/43/Stema_judetului_Botosani.svg,/m/01nqjx,RO07,684038,http://www.cjbotosani.ro,1000349,place/Botosani-county-Romania,,,,博托沙尼县,博托沙尼縣,博托沙尼縣,博托沙尼县,博托沙尼县,博托沙尼縣,Botoșani,Okręg Botoszany,,보토샤니주,Botoșani,Botoșani,Propinsi Botoșani,Wilayah Botoșani,Botoșani megye,distretto di Botoșani,Condado de Botoșani,Botoșani maakond,Kreis Botoșani,Provinsi Botoșani,ボトシャニ県,Qarku Botoșani,Botoșani,Botoșani County,بوتوشانی کؤنٹی,Botoșani,District Botoșani,Botoșani,Distrikto Botoșani,Botoșani,Vilojati Botoșan,Ботошани,Botošani,Ботошани,Botoșani ili,Botoșani,Ботошан,Província de Botoșani,Botoșani,Ботошань,Botoșani,Kondado han Botoșani,Botoșani fylke,Botoșani,Ботошани,Botoșani,Botošanio apskritis,Botoșani,Provincia de Botoșani,Вилояти Ботошан,博托沙尼縣,Ботошани,Botoșani,ბოტოშანის ჟუდეცი,Ботошани аймаг,شهرستان بوتوشانی,Botoșani,,,بوتوشانی کاؤنٹی,בוטושני,Botoșani Koān,Județul Botoșani,బోటోసాని కౌంటీ,إقليم بوتوشان,बोतोसानी काउंटी,เทศมณฑลบอตอชัน,போட்டோ அணி  கவுண்டி,बोटोसानी काउंटी,বোতোসানি কাউন্টি,Μποτοσάνι,බෝටෝසානි ප්‍රාන්තය,બોટોસાની કાઉન્ટી,ಬೊಟೊಸನಿ ಕೌಂಟಿ,Botošanu žudecs,,,,,,,Județul Botoșani,жудзец Баташані,Botoșani Coonty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Բոտոշանի,,,,,Botoșani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q179559,județ,RO-AR,,/m/01nqz6,RO02,686253,http://www.cjarad.ro,1000337,,123969671,10009961-0,,阿拉德县,阿拉德縣,阿拉德縣,阿拉德县,阿拉德县,阿拉德縣,Arad,Okręg Arad,Arad konderria,아라드주,Arad,Arad,Propinsi Arad,Daerah Arad,Arad megye,distretto di Arad,Condado de Arad,Aradi maakond,Kreis Arad,Provinsi Arad,アラド県,Qarku Arad,Arad,Arad County,اراد کاؤنٹی,Arad,District Arad,Arad,Distrikto Arad,Arad,Vilojati Arad,Арад,Arad,Арад,Arad ili,Arad,Арад,Província d'Arad,Arad,Арад,Aradinum,Kondado han Arad,Arad fylke,Arad,Арад,Arad,Arado apskritis,Arad,Provincia d'Arad,Вилояти Арад,阿拉德縣,Арад,Arad,არადის ჟუდეცი,Арад аймаг,شهرستان آراد,Arad,Arad,Arad,آراد کاؤنٹی,מחוז ארד,Arad Koān,Arad (lalawigan),అరద్ కౌంటీ,مقاطعة أراد,अराद काउंटी,เทศมณฑลอารัด,அரத்  கவுண்டி,आर्द काउंटी,আরাদ কাউন্টি,Αράντ,අරඩ් ප්‍රාන්තය,અરાદ કાઉન્ટી,ಅರಾದ್ ಕೌಂಟಿ,Aradas žudecs,,,,1968,,,,жудзец Арад,Arad Coonty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kreis Arad,,,,,,,,,,,,,,,,Kroas Arad,,,
Q179567,județ,RO-AG,https://upload.wikimedia.org/wikipedia/commons/b/bf/Actual_Arges_county_CoA.png,/m/01nw_0,RO03,686192,http://www.cjarges.ro,,,11960853w,,,阿尔杰什县,阿爾傑什縣,阿爾傑什縣,阿尔杰什县,阿尔杰什县,阿爾傑什縣,Argeș,Okręg Ardżesz,,아르제슈주,Argeș,Argeș,Propinsi Argeș,Daerah Argeș,Argeș megye,distretto di Argeș,Condado de Argeș,Argeși maakond,Kreis Argeș,Provinsi Argeș,アルジェシュ県,Qarku Argeș,Argeș,Arges,ارجش کاؤنٹی,Argeș,District Argeș,Argeș,Distrikto Argeș,Argeș,Vilojati Argeș,Арджеш,Arđeš,Арђеш,Argeș ili,Argeș,Арџеш,Província d'Argeș,Argeș,Арджеш,Argeș,Kondado han Argeș,Argeș fylke,Argeș,Арджеш,Argeș,Ardžešo apskritis,Argeș,Provincia d'Argeș,Вилояти Аргеш,阿爾傑什縣,Арђеш,Argeș,არჯეშის ჟუდეცი,Аржеш аймаг,شهرستان ارجش,Argeș,,Argeș,آرجش کاؤنٹی,מחוז ארג'ש,Argeș Koān,Județul Argeș,ఆర్జెస్ కౌంటీ,مقاطعة أرغيس,अर्जेस काउंटी,เทศมณฑลอาร์เจช,அர்கெஸ்  கவுண்டி,अर्जेस काउंटी,আর্জেস কাউন্টি,Άρτζες,අර්ගස් ප්‍රාන්තය,અર્જેસ કાઉન્ટી,ಅರ್ಗೆಸ್ ಕೌಂಟಿ,Ardžešas žudecs,,,,,,,,жудзец Арджэш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q179588,județ,RO-BH,https://upload.wikimedia.org/wikipedia/commons/c/c4/Actual_Bihor_county_CoA.png,/m/01nqh_,RO05,684878,http://www.cjbihor.ro,1000344,place/Bihor,12004526g,4208712-0,134608769,比霍尔县,比霍爾縣,比霍爾縣,比霍尔县,比霍尔县,比霍爾縣,Bihor,Okręg Bihor,Bihor konderria,비호르주,Bihor,Bihor,Propinsi Bihor,Wilayah Bihor,Bihar megye,distretto di Bihor,Condado de Bihor,Bihori maakond,Kreis Bihor,Provinsi Bihor,ビホル県,Qarku Bihor,Bihor,Bihor County,بیہور کاؤنٹی,Bihor,District Bihor,Bihor,Distrikto Bihor,Bihor,Vilojati Bihor,Бихор,Bihor,Бихор,Bihor ili,Bihor,Бихор,Província de Bihor,Bihor,Біхор,Bihor,Kondado han Bihor,Bihor fylke,Bihor,Бихор,Bihor,Bihoro apskritis,Bihor,Provincia de Bihor,Вилояти Биҳор,比霍爾縣,Бихор,Bihor,ბიჰორის ჟუდეცი,Бихор аймаг,شهرستان بیهور,Bihor,Bihor,Bihor,بیہور کاؤنٹی,מחוז ביחור,Bihor Koān,Bihor (lalawigan),బిహోర్ కౌంటీ,مقاطعة بيهور,बिहोर काउंटी,เทศมณฑลบีฮอร์,பிஹார்  கவுண்டி,बिहोर काउंटी,বিহোর কাউন্টি,Μπιχόρ,බිහෝර් ප්‍රාන්තය,બિહોર કાઉન્ટી,ಬಿಹೋರ್ ಕೌಂಟಿ,Bihoras žudecs,Bihor,Bihor judeçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q179779,județ,RO-BC,https://upload.wikimedia.org/wikipedia/commons/8/86/Stema_judetului_Bacau.svg,/m/01nr21,RO04,685947,http://www.csjbacau.ro,1000342,place/Bacau-county-Romania,,,,巴克乌县,巴克烏縣,巴克烏縣,巴克乌县,巴克乌县,巴克烏縣,Bacău,Okręg Bacău,,바커우주,Bacău,Bacău,Propinsi Bacău,Daerah Bacău,Bákó megye,distretto di Bacău,Condado de Bacău,Bacău maakond,Kreis Bacău,Provinsi Bacău,バカウ県,Qarku Bacău,Bacău,Bacău County,باکیؤ کاؤنٹی,Bacău,District Bacău,Bacău,Distrikto Bacău,Bacău,Vilojati Bakau,Бакэу,Bakau,Бакау,Bacău ili,Bacău,Бакау,Província de Bacău,Bacău,Бакеу,Bacău,Kondado han Bacău,Bacău fylke,Bacău,Бакъу,Bacău,Bakeu apskritis,Bacău,Provincia de Bacău,Вилояти Бакау,巴克烏縣,Бакау,Bacău,ბაკეუს ჟუდეცი,Бакау аймаг,شهرستان باکائو,Bacău,,Bacău,باکئو کاؤنٹی,מחוז בוזאו,Bacău Koān,Județul Bacău,,إقليم باكاو,,เทศมณฑลบาเกิว,,,,,,,,,,,,,,,Județul Bacău,жудзец Бакэу,Bacau Coonty,Bacău guovlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,okrožje Bacău,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kroas Bacău,,,
Q181209,județ,RO-SV,https://upload.wikimedia.org/wikipedia/commons/6/61/Actual_Suceava_county_CoA.png,/m/01nqw5,RO34,665849,http://www.prefecturasuceava.ro/,,place/Suceava-county-Romania,12306924w,4346870-6,124347063,苏恰瓦县,蘇恰瓦縣,蘇恰瓦縣,苏恰瓦县,苏恰瓦县,蘇恰瓦縣,Suceava,Okręg Suczawa,Suceava,수체아바주,Suceava,Suceava,Propinsi Suceava,Wilayah Suceava,Suceava megye,distretto di Suceava,Condado de Suceava,Suceava maakond,Kreis Suceava,Provinsi Suceava,スチャヴァ県,,Hạt Suceava,Suceava County,سوچاوا کاؤنٹی,Suceava,District Suceava,Suceava,Distrikto Suceava,Suceava,Vilojati Suceava,Сучава,Sučava,Сучава,Suceava ili,Suceava,,Província de Suceava,Suceava,Сучава,Suceava,Kondado han Suceava,Suceava fylke,Sučava,Сучава,Suceava,Sučavos apskritis,Suceava,Provincia de Suceava,Вилояти Сучеава,蘇恰瓦縣,Сучава,Suceava,სუჩავის ჟუდეცი,Сучава аймаг,شهرستان سوچاوا,Suceava,Suceava,Suceava,سوچاوا کاؤنٹی,מחוז סוצ'אבה,Suceava Koān,Suceava (lalawigan),సుకియావా కౌంటీ,إقليم سوتشيافا,सुसेवा काउंटी,เทศมณฑลซูชาวา,சுசாவா  கவுண்டி,सुसेवा काउंटी,সুচিভা কাউন্টি,Σουκεάβα,සුසේආවා ප්‍රාන්තය,સુસેવા કાઉન્ટી,ಸೂಸವ ಕೌಂಟಿ,Sučavas žudecs,,,n81102947,1925,Distreto de Suceava,שאץ פראווינץ,Județul Suceava,жудзец Сучава,Suceava Coonty,Suceava guovlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q181513,județ,RO-BN,https://upload.wikimedia.org/wikipedia/commons/3/33/Stema_Bistrita-Nasaud.svg,/m/01nqjf,RO06,684647,http://www.portalbn.ro/Pagini/default.aspx,1000345,place/Bistrita-Nasaud,15872952w,,,比斯特里察-讷瑟乌德县,比斯特里察-訥瑟烏德縣,比斯特里察-訥瑟烏德縣,比斯特里察-讷瑟乌德县,比斯特里察-讷瑟乌德县,比斯特里察-訥瑟烏德縣,Bistrița-Năsăud,Okręg Bistrița-Năsăud,Bistrița-Năsăud konderria,비스트리차너서우드주,Bistrița-Năsăud,Bistrița-Năsăud,Propinsi Bistrița-Năsăud,Wilayah Bistrița-Năsăud,Beszterce-Naszód megye,distretto di Bistrița-Năsăud,Condado de Bistrița-Năsăud,Bistrița-Năsăudi maakond,Kreis Bistrița-Năsăud,Provinsi Bistrița-Năsăud,ビストリツァ＝ナサウド県,Qarku Bistrița-Năsăud,Bistrița-Năsăud,Bistrița-Năsăud County,بستریتسا نیسیؤد کاؤنٹی,Bistrița-Năsăud,Bistrița-Năsăud,Bistrița-Năsăud,Distrikto Bistrița-Năsăud,Bistrița-Năsăud,Vilojati Bistritsa-Nasaud,Бистрица-Нэсэуд,Bistrica-Nasaud,Бистрица-Насауд,Bistrița-Năsăud ili,Bistrița-Năsăud,Бистрица-Насауд,Província de Bistrița-Năsăud,Bistrița-Năsăud,Бистриця-Несеуд,Bistrița-Năsăud,Kondado han Bistrița-Năsăud,Bistrița-Năsăud fylke,Bistrița-Năsăud,Бистрица-Нъсъуд,Bistrița-Năsăud,Bistricos-Neseudo apskritis,Bistrița-Năsăud,Provincia de Bistrița-Năsăud,Вилояти Бистритса-Насауд,比斯特里察-訥瑟烏德縣,Бистрица-Насауд,Bistrița-Năsăud,ბისტრიცა-ნესეუდის ჟუდეცი,Бистрица-Насауд аймаг,شهرستان بیستریتسا-نسئود,Bistrița-Năsăud,,Bistrița-Năsăud,بیستریتسا-ناسائود کاؤنٹی,ביסטריצה-נסאוד,Bistrița-Năsăud Koān,Județul Bistrița-Năsăud,బిస్ట్రిటా -నాసౌద్ కౌంటీ,مقاطعة بيستريتا-ناسود,बिस्ट्रिटा-नसाऊद काउंटी,เทศมณฑลบิสตริตซา-เนอเซออุด,பிஸ்டரிடா -நாசாவுட் கவுண்டி,बिस्त्रिया-नसाउड काउंटी,বিস্ত্রিৎসা-নাসাউদ কাউন্টি,Μπιστρίτα-Νασόντ,බිස්ට්‍ර්ටා-නාසාඋඩ් ප්‍රාන්තය,બિસ્ત્રિટા-નસૌદ કાઉન્ટી,ಬಿಸ್ಟ್ರಿಟಾ-ನಾಸೌಡ್ ಕೌಂಟಿ,Bistricas-Neseudas žudecs,,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
