id,name,constituency,photo,party_id,house,aph_id,full_name,electorate,party,profile_page,contact_page,photo_url,email,facebook,twitter,website
EZ5,Hon Tony Abbott MP,"Warringah, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/EZ5/upload_ref_binary/EZ5.JPG,liberal_party_of_australia,representatives,EZ5,Hon Tony Abbott MP,"Warringah, New South Wales",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=EZ5,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=EZ5,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/EZ5/upload_ref_binary/EZ5.JPG,,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://www.tonyabbott.com.au
R36,Hon Anthony Albanese MP,"Grayndler, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/R36/upload_ref_binary/R36.jpg,australian_labor_party,representatives,R36,Hon Anthony Albanese MP,"Grayndler, New South Wales",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=R36,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=R36,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/R36/upload_ref_binary/R36.jpg,A.Albanese.MP@aph.gov.au,,http://twitter.com/AlboMP,http://www.anthonyalbanese.com.au
M3M,"Mr John Alexander OAM, MP","Bennelong, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3M/upload_ref_binary/m3m.jpg,liberal_party_of_australia,representatives,M3M,"Mr John Alexander OAM, MP","Bennelong, New South Wales",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3M,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=M3M,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3M/upload_ref_binary/m3m.jpg,,http://www.facebook.com/profile.php?id=100001834307725,http://twitter.com/JohnAlexanderMP,http://www.johnalexander.net.au/
230886,Hon Karen Andrews MP,"McPherson, Queensland",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/230886/upload_ref_binary/230886.jpg,liberal_party_of_australia,representatives,230886,Hon Karen Andrews MP,"McPherson, Queensland",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230886,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=230886,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/230886/upload_ref_binary/230886.jpg,karen.andrews.mp@aph.gov.au,http://www.facebook.com/pages/Karen-Andrews-MP/150255771679533?ref=ts,http://twitter.com/karenandrewsmp,http://karenandrewsmp.com
HK5,Hon Kevin Andrews MP,"Menzies, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HK5/upload_ref_binary/HK5.jpg,liberal_party_of_australia,representatives,HK5,Hon Kevin Andrews MP,"Menzies, Victoria",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HK5,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=HK5,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HK5/upload_ref_binary/HK5.jpg,menzies@aph.gov.au,http://www.facebook.com/kevinandrewsmp,http://twitter.com/kevinandrewsmp,http://www.kevinandrews.com.au
LL6,Hon Bob Baldwin MP,"Paterson, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/LL6/upload_ref_binary/LL6.JPG,liberal_party_of_australia,representatives,LL6,Hon Bob Baldwin MP,"Paterson, New South Wales",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=LL6,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=LL6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/LL6/upload_ref_binary/LL6.JPG,Bob.Baldwin.MP@aph.gov.au,http://en-gb.facebook.com/bobbaldwinmp,http://twitter.com/bobbaldwinmp,http://www.bobbaldwin.com.au/
M3C,Mr Adam Bandt MP,"Melbourne, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3C/upload_ref_binary/m3c.jpg,australian_greens,representatives,M3C,Mr Adam Bandt MP,"Melbourne, Victoria",Australian Greens,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3C,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=M3C,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3C/upload_ref_binary/m3c.jpg,adam.bandt.mp@aph.gov.au,http://www.facebook.com/Adam.Bandt.MP,http://twitter.com/adambandt,http://adam-bandt.greensmps.org.au/
1K6,Hon Bruce Billson MP,"Dunkley, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/1K6/upload_ref_binary/1K6.JPG,liberal_party_of_australia,representatives,1K6,Hon Bruce Billson MP,"Dunkley, Victoria",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=1K6,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=1K6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/1K6/upload_ref_binary/1K6.JPG,B.Billson.MP@aph.gov.au,http://www.facebook.com/profile.php?id=100001833476620,http://twitter.com/BruceBillsonMP,http://www.billson4dunkley.com/
DZP,Hon Sharon Bird MP,"Cunningham, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DZP/upload_ref_binary/DZP.jpg,australian_labor_party,representatives,DZP,Hon Sharon Bird MP,"Cunningham, New South Wales",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZP,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=DZP,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DZP/upload_ref_binary/DZP.jpg,Sharon.Bird.MP@aph.gov.au,http://www.facebook.com/sharon.bird.mp,http://twitter.com/SharonBirdMP,http://www.sharonbird.com.au/
SE4,Hon Bronwyn Bishop MP,"Mackellar, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/SE4/upload_ref_binary/SE4.JPG,liberal_party_of_australia,representatives,SE4,Hon Bronwyn Bishop MP,"Mackellar, New South Wales",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=SE4,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=SE4,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/SE4/upload_ref_binary/SE4.JPG,Bronwyn.Bishop.MP@aph.gov.au,,,
83P,Hon Julie Bishop MP,"Curtin, Western Australia",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/83P/upload_ref_binary/83P.JPG,liberal_party_of_australia,representatives,83P,Hon Julie Bishop MP,"Curtin, Western Australia",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83P,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=83P,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/83P/upload_ref_binary/83P.JPG,Julie.Bishop.MP@aph.gov.au,http://www.facebook.com/julie.bishop.mp,http://twitter.com/JulieBishopMP,http://www.juliebishop.com.au/
DZS,Hon Chris Bowen MP,"McMahon, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DZS/upload_ref_binary/DZS.JPG,australian_labor_party,representatives,DZS,Hon Chris Bowen MP,"McMahon, New South Wales",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZS,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=DZS,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DZS/upload_ref_binary/DZS.JPG,Chris.Bowen.MP@aph.gov.au,http://www.facebook.com/chrisbowenmp,http://twitter.com/Bowenchris,http://www.chrisbowen.net
IYU,Hon Jamie Briggs MP,"Mayo, South Australia",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/IYU/upload_ref_binary/IYU.JPG,liberal_party_of_australia,representatives,IYU,Hon Jamie Briggs MP,"Mayo, South Australia",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=IYU,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=IYU,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/IYU/upload_ref_binary/IYU.JPG,,http://www.facebook.com/profile.php?id=1024460381,http://twitter.com/BriggsJamie,http://www.jamiebriggs.com.au
30379,Mr Andrew Broad MP,"Mallee, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/30379/upload_ref_binary/30379.jpg,the_nationals,representatives,30379,Mr Andrew Broad MP,"Mallee, Victoria",The Nationals,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=30379,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=30379,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/30379/upload_ref_binary/30379.jpg,,,https://twitter.com/broad4mallee,http://www.andrewbroad.com/
MT4,Mr Russell Broadbent MP,"McMillan, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/MT4/upload_ref_binary/MT4.jpg,liberal_party_of_australia,representatives,MT4,Mr Russell Broadbent MP,"McMillan, Victoria",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=MT4,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=MT4,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/MT4/upload_ref_binary/MT4.jpg,Russell.Broadbent.MP@aph.gov.au,,,http://www.russellbroadbent.com.au
30540,Ms Gai Brodtmann MP,"Canberra, Australian Capital Territory",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/30540/upload_ref_binary/30540.jpg,australian_labor_party,representatives,30540,Ms Gai Brodtmann MP,"Canberra, Australian Capital Territory",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=30540,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=30540,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/30540/upload_ref_binary/30540.jpg,gai.brodtmann.mp@aph.gov.au,http://www.facebook.com/pages/Gai-Brodtmann/139691649380518,,http://www.gaibrodtmann.com.au
2K6,Hon Mal Brough MP,"Fisher, Queensland",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/2K6/upload_ref_binary/2K6.jpg,liberal_party_of_australia,representatives,2K6,Hon Mal Brough MP,"Fisher, Queensland",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=2K6,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=2K6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/2K6/upload_ref_binary/2K6.jpg,,https://www.facebook.com/MalBroughMP,,http://malbrough.info/
230531,Mr Scott Buchholz MP,"Wright, Queensland",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/230531/upload_ref_binary/230531.jpg,liberal_party_of_australia,representatives,230531,Mr Scott Buchholz MP,"Wright, Queensland",Liberal Party of Australia,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230531,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=230531,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/230531/upload_ref_binary/230531.jpg,,http://www.facebook.com/ScottBuchholzMP,http://twitter.com/ScottBuchholzMP,http://www.scottbuchholz.com.au/
83S,Ms Anna Burke MP,"Chisholm, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/83S/upload_ref_binary/83S.jpg,australian_labor_party,representatives,83S,Ms Anna Burke MP,"Chisholm, Victoria",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83S,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=83S,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/83S/upload_ref_binary/83S.jpg,Anna.Burke.MP@aph.gov.au,http://www.facebook.com/pages/Anna-Burke-MP/184394935018499,,http://www.annaburke.com
DYW,Hon Tony Burke MP,"Watson, New South Wales",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DYW/upload_ref_binary/DYW.jpg,australian_labor_party,representatives,DYW,Hon Tony Burke MP,"Watson, New South Wales",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DYW,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=DYW,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DYW/upload_ref_binary/DYW.jpg,Tony.Burke.MP@aph.gov.au,http://www.facebook.com/tony.burke.mp,http://twitter.com/tony_burke,http://www.tonyburke.com.au/
HWK,Hon Mark Butler MP,"Port Adelaide, South Australia",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HWK/upload_ref_binary/HWK.jpg,australian_labor_party,representatives,HWK,Hon Mark Butler MP,"Port Adelaide, South Australia",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWK,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=HWK,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HWK/upload_ref_binary/HWK.jpg,,,http://twitter.com/Mark_Butler_MP,http://markbutler.alp.org.au/
248006,Ms Terri Butler MP,"Griffith, Queensland",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/248006/upload_ref_binary/248006.jpg,australian_labor_party,representatives,248006,Ms Terri Butler MP,"Griffith, Queensland",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=248006,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=248006,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/248006/upload_ref_binary/248006.jpg,Terri.Butler.MP@aph.gov.au,https://www.facebook.com/butler4griffith,https://twitter.com/terrimbutler,http://www.terributlermp.com/
008K0,Hon Anthony Byrne MP,"Holt, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/008K0/upload_ref_binary/008K0.jpg,australian_labor_party,representatives,008K0,Hon Anthony Byrne MP,"Holt, Victoria",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=008K0,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=008K0,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/008K0/upload_ref_binary/008K0.jpg,Anthony.Byrne.MP@aph.gov.au,http://www.facebook.com/anthonybyrne,http://twitter.com/AnthonyByrne_MP,http://www.anthonybyrnemp.com/
37998,Dr Jim Chalmers MP,"Rankin, Queensland",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/37998/upload_ref_binary/37998.jpg,australian_labor_party,representatives,37998,Dr Jim Chalmers MP,"Rankin, Queensland",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=37998,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=37998,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/37998/upload_ref_binary/37998.jpg,,https://www.facebook.com/jim4rankin,https://twitter.com/JEChalmers,http://www.jimchalmers.org/
HW9,Mr Nick Champion MP,"Wakefield, South Australia",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HW9/upload_ref_binary/HW9.jpg,australian_labor_party,representatives,HW9,Mr Nick Champion MP,"Wakefield, South Australia",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HW9,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=HW9,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HW9/upload_ref_binary/HW9.jpg,Nick.Champion.MP@aph.gov.au,http://www.facebook.com/pages/Nick-Champion-MP/325495831575,http://twitter.com/NickChampionMP,
IPZ,Hon Darren Chester MP,"Gippsland, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/IPZ/upload_ref_binary/IPZ.JPG,the_nationals,representatives,IPZ,Hon Darren Chester MP,"Gippsland, Victoria",The Nationals,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=IPZ,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=IPZ,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/IPZ/upload_ref_binary/IPZ.JPG,,https://www.facebook.com/darrenchestermp,https://twitter.com/DarrenChesterMP,http://www.darrenchester.com.au/
249710,Ms Lisa Chesters MP,"Bendigo, Victoria",http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/249710/upload_ref_binary/249710.jpg,australian_labor_party,representatives,249710,Ms Lisa Chesters MP,"Bendigo, Victoria",Australian Labor Party,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=249710,http://www.aph.gov.au/Senators_and_Members/Contact_Senator_or_Member?MPID=249710,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/249710/upload_ref_binary/249710.jpg,,https://www.facebook.com/LisaChestersBendigo,https://twitter.com/LMChesters,http://www.lisachesters.org/
