id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,family_name,death_date,name__en,identifier__freebase,identifier__senatDOTfr,name__fr,wikipedia__fr,wikipedia__en,identifier__SUDOC,name__nl,name__es,name__nb,name__da,name__nn,name__sv,name__de,name__pl,name__ko,name__ca,name__ms,wikipedia__ca,wikipedia__ko,wikipedia__ms,wikipedia__pl,name__el,wikipedia__el,identifier__FAST,name__oc,wikipedia__oc,name__it,name__hu,name__pt,name__cy,wikipedia__pt,identifier__ISNI,wikipedia__de,identifier__EuroparlMEP,wikipedia__es,wikipedia__no,original_wikiname,name__zh_hant,name__zh_cn,twitter,occupation,identifier__LCAuth
Q1134143,Harold Martin,male,,,1954-04-06,Harold,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Harold_Martin.jpg,Martin,,Harold Martin,/m/02x1cdc,,Harold Martin,Harold Martin,Harold Martin (New Caledonian politician),,Harold Martin,Harold Martin,Harold Martin,Harold Martin,Harold Martin,Harold Martin,Harold Martin,Harold Martin,해럴드 마틴,Harold Martin,Harold Martin,Harold Martin,해럴드 마틴,Harold Martin (ahli politik),Harold Martin,,,,,,,Harold Martin,,,,,,,,,Harold Martin,,,,politician,
Q16269011,Isabelle Lafleur,female,,,1954-09-17,Isabelle,,,,,,Isabelle Lafleur,,,Isabelle Lafleur,Isabelle Lafleur,,,Isabelle Lafleur,,,,,,,,,,,,,,,,,,,,Isabelle Lafleur,,,,,,,,,,Isabelle Lafleur,,,,businessperson,
Q16645364,Jean-Pierre Djaïwé,male,,,1955-09-03,Jean-Pierre,,,,,,Jean-Pierre Djaïwé,,,Jean-Pierre Djaïwé,Jean-Pierre Djaïwé,,,Jean-Pierre Djaïwé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Pierre Djaïwé,,,,politician,
Q20723748,Thierry Santa,male,,,1967-08-29,Thierry,,,,,,Thierry Santa,,,Thierry Santa,Thierry Santa,Thierry Santa,,Thierry Santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thierry Santa,,,,,
Q27707396,François Burck,,,,,,,,,,2014-10-09,,,,François Burck,François Burck,,,François Burck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,François Burck,,,,,
Q2829989,Alain Lazare,male,,,1952-03-23,Alain,,,,,,Alain Lazare,,,Alain Lazare,Alain Lazare,,,,,Alain Lazare,Alain Lazare,Alain Lazare,Alain Lazare,,Alain Lazare,,,,,,,Alain Lazare,,,,,,Alain Lazare,Alain Lazare,,,,,,,,Alain Lazare,Alain Lazare,,,,politician,
Q2851626,Annie Beustes,female,,,1945-06-15,Annie,,,,,,Annie Beustes,,,Annie Beustes,Annie Beustes,Annie Beustes,,Annie Beustes,,Annie Beustes,Annie Beustes,Annie Beustes,Annie Beustes,Annie Beustes,,,,,,,,,,,,,,,Annie Beustes,,,,,,,,,Annie Beustes,,,,politician,
Q2871747,Aukusitino Manuohalalo,male,,,1947-04-10,,,,,,,Aukusitino Manuohalalo,,,Aukusitino Manuohalalo,Aukusitino Manuohalalo,,,,,,,,,,,,,,,,,,,,,,,,Aukusitino Manuohalalo,,,,,,,,,Aukusitino Manuohalalo,,,,politician,
Q2940025,Caroline Machoro,female,,,1952-10-19,Caroline,,,,,,Caroline Machoro,,,Caroline Machoro,Caroline Machoro,,,Caroline Machoro,,,,,,,,,,,,,,,,,,,,Caroline Machoro,Caroline Machoro,,,,,,,,,Caroline Machoro,,,,politician,
Q2960011,Charles Pidjot,male,,,1962-07-17,Charles,,,,,2012-09-11,Charles Pidjot,,,Charles Pidjot,Charles Pidjot,Charles Pidjot,,Charles Pidjot,Charles Pidjot,,,,,Charles Pidjot,,,,,,,,,,,,,,,Charles Pidjot,,,,,,,Charles Pidjot,,Charles Pidjot,,,,politician,
Q2960425,Charles Washetine,male,,,1956-11-04,Charles,,,,,,Charles Washetine,,,Charles Washetine,Charles Washetine,,,,,,,,,,,,,,,,,,,,,,,,Charles Washetine,,,,,,,,,Charles Washetine,,,,politician,
