id,name__en,name__it,name,wikipedia__en,gender,given_name,original_wikiname,name__de,name__es,name__ru,name__fr,name__nl,name__cy,name__hu,wikipedia__de,wikipedia__ru,birth_date,death_date,name__nb,name__da,name__nn,name__sv,name__uk,wikipedia__uk,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__he,name__ko,name__ta,name__af,name__yo,name__oc,name__ms,name__gl,name__sw,name__et,name__id,name__ja,name__el,name__pt,name__eo,name__is,name__mn,name__ro,name__fi,name__cs,name__io,name__ka,name__hr,name__sr,name__ca,name__zh,name__fa,name__ar,name__tr,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__af,wikipedia__ar,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__mn,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__sw,wikipedia__ta,wikipedia__tr,wikipedia__yo,wikipedia__zh,image,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__freebase,identifier__NNDB,identifier__Munzinger,noble_title,name__br,name__vi,name__la,name__be,name__bn,name__lb,name__sh,name__vo,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__cy,wikipedia__la,wikipedia__lb,wikipedia__sh,wikipedia__vi,wikipedia__vo,facebook,name__bg,wikipedia__bg,identifier__ISNI,name__fy,wikipedia__fy,family_name,wikipedia__plwikiquote,occupation,identifier__quora,identifier__ne_se,identifier__Britannica,twitter,name__sl,name__mr,name__hi,name__ast,wikipedia__ast,wikipedia__hi,wikipedia__mr,website,identifier__BIBSYS,identifier__Oxforddnb,identifier__SUDOC,identifier__FAST,identifier__BNF,name__vec,name__eu,name__am,name__my,name__sr_el,name__sr_ec,name__nds,name__hy,name__qu,name__bar,name__de_at,wikipedia__am,wikipedia__enwikiquote,wikipedia__eu,wikipedia__hy,wikipedia__my,wikipedia__nds,wikipedia__qu,wikipedia__vec,identifier__NTA,identifier__NLA,identifier__SELIBR,identifier__IMDB,identifier__britishmuseum,identifier__GNC,identifier__NPG,identifier__bigenc_ru,identifier__snac,identifier__NUKAT,identifier__EGAXA
Q1051020,Catherine Namugala,Catherine Namugala,Catherine Namugala,Catherine Namugala,female,Catherine,Catherine Namugala,Catherine Namugala,Catherine Namugala,,Catherine Namugala,Catherine Namugala,,Catherine Namugala,Catherine Namugala,,1966-01-02,,Catherine Namugala,Catherine Namugala,Catherine Namugala,Catherine Namugala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0gjdqy6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q105480,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,male,Kenneth,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,"Каунда, Кеннет",Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,"Каунда, Кеннет",1924-04-28,,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Кеннет Каунда,Кеннет Каунда,肯尼思·卡翁达,肯尼思·卡翁達,肯尼思·卡翁達,肯尼思·卡翁达,肯尼思·卡翁达,肯尼思·卡翁達,Kenneth Kaunda,קנת קאונדה,케네스 카운다,கென்னத் கவுண்டா,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,ケネス・カウンダ,Κένεθ Καούντα,Kenneth Kaunda,Kenet Kaunda,,,,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,კენეთ კაუნდა,Kenneth Kaunda,Кенет Каунда,Kenneth Kaunda,肯尼思·卡翁达,کنت کائوندا,كينيث كاوندا,Kenneth Kaunda,,,,,Kenneth Kaunda,كينيث كاوندا,Kenneth Kaunda,,Kenneth Kaunda,Kenneth Kaunda,Κένεθ Καούντα,,Kenneth Kaunda,Kenneth Kaunda,کنت کائوندا,Kenneth Kaunda,Kenneth Kaunda,,קנת קאונדה,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,,Kenneth Kaunda,ケネス・カウンダ,კენეთ კაუნდა,케네스 카운다,,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,,Kenneth Kaunda,Кенет Каунда,Kenneth Kaunda,Kenneth Kaunda,கென்னத் கவுண்டா,Kenneth Kaunda,Kenneth Kaunda,肯尼思·卡翁达,https://upload.wikimedia.org/wikipedia/commons/5/52/Kenneth_David_Kaunda_detail_DF-SC-84-01864.jpg,34469417,118776924,n80037605,/m/04f60,165/000086904,00000009729,,,Kenneth Kaunda,Kennethus Kaunda,,,,,,,,,Kenneth Kaunda,Kennethus Kaunda,,,Kenneth Kaunda,,,,,0000 0000 8370 9437,,,,Kenneth Kaunda,politician,,,biography/Kenneth-Kaunda,,,केनेथ काँडा,केनेथ कुंडा,,,केनेथ कुंडा,केनेथ कौंडा,,90385117,,028379497,52459,12022651w,Kenneth Kaunda,Kenneth Kaunda,ኬኔት ካውንዳ,ကအွန်ဒါ ကင်းနက်,Kenet Kaunda,Кенет Каунда,Kenneth Kaunda,Քեննետ Կաունդա,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,ኬኔት ካውንዳ,Kenneth Kaunda,Kenneth Kaunda,Քեննետ Կաունդա,ကအွန်ဒါ ကင်းနက်,Kenneth Kaunda,Kenneth Kaunda,Kenneth Kaunda,069567344,36555348,193079,nm5423880,154486,0035458,mp62482,2053566,w66m57d2,n2015079978,002763989
Q1084438,Christon Tembo,,Christon Tembo,Christon Tembo,male,,Christon Tembo,Christon Tembo,Christon Tembo,"Тембо, Кирстон",Christon Tembo,Christin Tembo,Christon Tembo,Christon Tembo,Christon Tembo,"Тембо, Кристон",1944,2009-03-06,Christon Tembo,,,,,,,,,,,,,,,,,Christon Tembo,,,,,,Christon Tembo,クリストン・テンボ,Κρίστον Τέμπο,,,,,,,,,,,,,,,,,,,,,,,,,,,Κρίστον Τεμπό,,Christon Tembo,,,,,,,,Christon Tembo,,,,,,,,,,,,,,,,,,,,,Christon Tembo,,,,,,/m/0h1bnz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1161591,Daniel Lisulo,,Daniel Lisulo,Daniel Lisulo,male,Daniel,Daniel Lisulo,Daniel Lisulo,Daniel Lisulo,,Daniel Lisulo,Daniel Lisulo,,Daniel Lisulo,Daniel Lisulo,,1930-12-06,2000-08-21,,,,,Деніел Лісуло,Деніел Лісуло,,,,,,,Daniel Lisulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Lisulo,,,,,,,,,,,,,,,/m/05p184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1176125,David Phiri,,David Phiri,David Phiri,male,David,David Phiri,David Phiri,David Phiri,,David Phiri,David Phiri,,,David Phiri,,1937-05-22,2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1251953,Gladys Nyirongo,,Gladys Nyirongo,Gladys Nyirongo,female,Gladys,Gladys Nyirongo,Gladys Nyirongo,Gladys Nyirongo,,Gladys Nyirongo,Gladys Nyirongo,,Gladys Nyirongo,Gladys Nyirongo,,1974,,Gladys Nyirongo,Gladys Nyirongo,Gladys Nyirongo,Gladys Nyirongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/02r788g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1370616,Ronald Penza,,Ronald Penza,Ronald Penza,male,Ronald,Ronald Penza,Ronald Penza,,,Ronald Penza,Ronald Penza,,,Ronald Penza,,1949,1998-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0120wz83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1403691,Felix Mutati,,Felix Mutati,Felix Mutati,male,Felix,Felix Mutati,Felix Mutati,,,Felix Mutati,Felix Mutati,,,Felix Mutati,,1959-01-29,,,,,,,,,,,,,,Felix Mutati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felix Mutati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutati,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1507722,George Kunda,,George Kunda,George Kunda,male,George,George Kunda,George Kunda,George Kunda,"Кунда, Джордж",George Kunda,George Kunda,,George Kunda,George Kunda,"Кунда, Джордж",1956-02-26,2012-04-16,George Kunda,,,,,,,,,,,,,,,,,George Kunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Kunda,,,,,,,,,,,,,,,,,,,,,,,,,George Kunda,,,,,,/m/064q59z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1529107,Gladys Lundwe,,Gladys Lundwe,Gladys Lundwe,female,Gladys,Gladys Lundwe,Gladys Lundwe,,,Gladys Lundwe,Gladys Lundwe,,,Gladys Lundwe,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1533811,Godfrey Miyanda,,Godfrey Miyanda,Godfrey Miyanda,male,Godfrey,Godfrey Miyanda,Godfrey Miyanda,Godfrey Miyanda,,Godfrey Miyanda,Godfrey Miyanda,,Godfrey Miyanda,Godfrey Miyanda,,1944,,Godfrey Miyanda,,,,,,,,,,,,,,,,,Godfrey Miyanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godfrey Miyanda,,,,,,/m/04m_2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
