id,name,photo,constituency,party,party_id,source,email,birth_date,term
185,Whiteson Banda,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/banda%252C_whiteson.jpg?itok=CdQ4B1so,Milanzi,Patriotic Front,PF,http://www.parliament.gov.zm/node/185,"",1974-08-27,2016
186,Ephraim Kaang'andu Belemu,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/belemu%252C_ephraim_k.jpg?itok=Xh1eRrT2,Mbabala,United Party for National Development,UPND,http://www.parliament.gov.zm/node/186,"",1968-07-30,2016
187,Lazarous Bwalya Chungu,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/bwalya%252C_chungu_l.jpg?itok=6pyWjOg_,Lupososhi,Patriotic Front,PF,http://www.parliament.gov.zm/node/187,lcbwalya@parliament.gov.zm,1966-10-25,2016
190,Hastings Sensembeka Chansa,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/chansa%252C_hastings.jpg?itok=38dBjLKd,Chimbamilonga,Patriotic Front,PF,http://www.parliament.gov.zm/node/190,hschansa@parliament.gov.zm,1961-03-18,2016
193,Nickson Chilangwa,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/Hon%20N%20Chilangwa.JPG?itok=XHPzi4OT,Kawambwa,Patriotic Front,PF,http://www.parliament.gov.zm/node/193,nchilangwa@parliament.gov.zm,1969-01-10,2016
209,Ronald Kaoma Chitotela,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/chitotela%252C_ronald_k.jpg?itok=OxFmNRN6,Pambashe,Patriotic Front,PF,http://www.parliament.gov.zm/node/209,rkchitotela@parliament.gov.zm,1972-04-21,2016
218,Stephen Chungu,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/Stephen%20Chungu.JPG?itok=bZ9HGjEc,Luanshya,Patriotic Front,PF,http://www.parliament.gov.zm/node/218,schungu@parliament.gov.zm,1964-12-16,2016
222,Boyd Hamusonde,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/Hon%20B%20Hamusonde.JPG?itok=pw1IceM2,Nangoma,Independent,Independent,http://www.parliament.gov.zm/node/222,bhamusonde@parliament.gov.zm,1956-10-04,2016
224,Emerine Kabanshi,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/Hon%20E%20Kabanshi.JPG?itok=OeLGyXO0,Luapula,Patriotic Front,PF,http://www.parliament.gov.zm/node/224,ekabanshi@parliament.gov.zm,1964-11-27,2016
228,Harry Kalaba,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/kalaba%252C_harry.jpg?itok=66JOFXaZ,Bahati,Patriotic Front,PF,http://www.parliament.gov.zm/node/228,"",1976-06-12,2016
231,Christopher Kalila Kalila,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/Christopher%20Kalila%20Kalila.JPG?itok=jA8CJcYs,Lukulu East,United Party for National Development,UPND,http://www.parliament.gov.zm/node/231,ckalila@parliament.gov.zm,1966-01-06,2016
238,Victoria Kalima,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/Victoria%20Kalima.JPG?itok=188YSuss,Kasenengwa,Patriotic Front,PF,http://www.parliament.gov.zm/node/238,vkalima@parliament.gov.zm,1972-10-04,2016
240,Chishimba Kambwili,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/kambwili%252C_chishimba.jpg?itok=hjvADVqR,Roan,Patriotic Front,PF,http://www.parliament.gov.zm/node/240,kchishimba@parliament.gov.zm,1969-06-03,2016
242,Jean Kapata,http://www.parliament.gov.zm/sites/default/files/styles/mp_details/public/images/mp/kapata%252C_jean.jpg?itok=VEpYyeTs,Mandevu,Patriotic Front,PF,http://www.parliament.gov.zm/node/242,jkapata@parliament.gov.zm,1960-12-25,2016
