sort_name,source,phone,fax,email,id,name,area,party,tel,twitter,facebook,instagram,website,image,term,party_id,end_date
"Baker, George, P.C.",https://sencanada.ca/en/senators/baker-george-pc/,1-613-947-2517,613-947-1525,george.baker@sen.parl.gc.ca,baker-george-pc,"George Baker, P.C.",Newfoundland and Labrador (Newfoundland and Labrador),Liberal Party of Canada,613-947-2517,"","","","",https://sencanada.ca/media/16463/sen_174_large.jpg,42,liberal_party_of_canada,2017-09-04
"Cools, Anne C.",https://sencanada.ca/en/senators/cools-anne-c/,1-613-992-2808,613-992-8513,anne.cools@sen.parl.gc.ca,cools-anne-c,Anne C. Cools,Ontario (Toronto Centre-York),Non-affiliated (Independent Senators Group),613-992-2808,"","","",http://senatorcools.sencanada.ca/,https://sencanada.ca/media/26044/sen_21_large.jpg,42,non-affiliated_(independent_senators_group),2018-08-12
"Enverga, Tobias C. Jr.",https://sencanada.ca/en/senators/enverga-tobias-c-jr/,1-613-943-1945,613-943-1938,tobias.enverga@sen.parl.gc.ca,enverga-tobias-c-jr,Tobias C. Enverga Jr.,Ontario (Ontario),Conservative Party of Canada,613-943-1945,"",https://www.facebook.com/SenatorEnverga,"",http://senatorenverga.com/,https://sencanada.ca/media/26104/sen_3563_large.jpg,42,conservative_party_of_canada,2017-11-16
"Fraser, Joan",https://sencanada.ca/en/senators/fraser-joan/,1-613-943-9556,613-943-9558,joan.fraser@sen.parl.gc.ca,fraser-joan,Joan Fraser,Quebec (De Lorimier),Liberal Party of Canada,613-943-9556,"","","",http://sen.parl.gc.ca/jfraser,https://sencanada.ca/media/26109/sen_142_large.jpg,42,liberal_party_of_canada,2018-02-02
"Raine, Nancy Greene",https://sencanada.ca/en/senators/greene-raine-nancy/,1-613-947-4052,613-947-4054,nancy.raine@sen.parl.gc.ca,greene-raine-nancy,Nancy Greene Raine,British Columbia (Thompson-Okanagan-Kootenay),Conservative Party of Canada,613-947-4052,https://twitter.com/SenNGreeneRaine,https://www.facebook.com/SenatorGreeneRaine/,"",http://nancygreeneraine.ca/en/,https://sencanada.ca/media/26134/sen_2812_large.jpg,42,conservative_party_of_canada,2018-05-11
"Hubley, Elizabeth",https://sencanada.ca/en/senators/hubley-elizabeth/,1-613-992-1177,613-992-1516,elizabeth.hubley@sen.parl.gc.ca,hubley-elizabeth,Elizabeth Hubley,Prince Edward Island (Prince Edward Island),Liberal Party of Canada,613-992-1177,https://twitter.com/SenLibbeHubley,"","",http://senatorelizabethhubley.ca/,https://sencanada.ca/media/26149/sen_163_large.jpg,42,liberal_party_of_canada,2017-09-08
"Kenny, Colin",https://sencanada.ca/en/senators/kenny-colin/,1-613-996-2877,613-996-3737,colin.kenny@sen.parl.gc.ca,kenny-colin,Colin Kenny,Ontario (Rideau),Liberal Party of Canada,613-996-2877,"","","",http://colinkenny.ca/,https://sencanada.ca/media/26169/sen_50_large.jpg,42,liberal_party_of_canada,2018-02-02
"Lang, Daniel",https://sencanada.ca/en/senators/lang-daniel/,1-613-947-4050,613-947-4049,daniel.lang@sen.parl.gc.ca,lang-daniel,Daniel Lang,Yukon (Yukon),Conservative Party of Canada,613-947-4050,https://twitter.com/SenatorLang,"","",http://danlang.ca,https://sencanada.ca/media/26174/sen_2815_large.jpg,42,conservative_party_of_canada,2017-08-15
"Ogilvie, Kelvin Kenneth",https://sencanada.ca/en/senators/ogilvie-kelvin-kenneth/,1-613-992-0331,613-992-0334,kelvin.ogilvie@sen.parl.gc.ca,ogilvie-kelvin-kenneth,Kelvin Kenneth Ogilvie,Nova Scotia (Annapolis Valley - Hants),Conservative Party of Canada,613-992-0331,https://twitter.com/KelvinKOgilvie,"","",http://senatorkelvinogilvie.sencanada.ca,https://sencanada.ca/media/26298/sen_2855_large.jpg,42,conservative_party_of_canada,2017-11-06
"Runciman, Bob",https://sencanada.ca/en/senators/runciman-bob/,1-613-943-4020,613-943-4022,bob.runciman@sen.parl.gc.ca,runciman-bob,Bob Runciman,Ontario (Thousand Islands and Rideau Lakes),Conservative Party of Canada,613-943-4020,"","","",http://www.bobrunciman.com,https://sencanada.ca/media/26338/sen_2863_large.jpg,42,conservative_party_of_canada,2017-08-10
"Sibbeston, Nick G.",https://sencanada.ca/en/senators/sibbeston-nick-g/,1-613-943-7790,613-943-7792,sibnic@sen.parl.gc.ca,sibbeston-nick-g,Nick G. Sibbeston,Northwest Territories (Northwest Territories),Non-affiliated,613-943-7790,https://twitter.com/SenatorNickS,https://www.facebook.com/SenatorNickSibbeston/,"",http://sen.parl.gc.ca/nsibbeston,https://sencanada.ca/media/26348/sen_152_large.jpg,42,non-affiliated,2017-11-21
"Tardif, Claudette",https://sencanada.ca/en/senators/tardif-claudette/,1-613-947-3589,613-947-3609,claudette.tardif@sen.parl.gc.ca,tardif-claudette,Claudette Tardif,Alberta (Alberta),Liberal Party of Canada,613-947-3589,"","","",http://claudettetardif.ca,https://sencanada.ca/media/26376/sen_2780_large.jpg,42,liberal_party_of_canada,2018-02-02
"Unger, Betty",https://sencanada.ca/en/senators/unger-betty-e/,1-613-996-7420,613-996-7407,betty.unger@sen.parl.gc.ca,unger-betty-e,Betty Unger,Alberta (Alberta),Conservative Party of Canada,613-996-7420,https://twitter.com/BettyUngerAB,https://www.facebook.com/SenatorUnger/,"",http://www.bettyunger.ca,https://sencanada.ca/media/26386/sen_3549_large.jpg,42,conservative_party_of_canada,2018-08-21
"Watt, Charlie",https://sencanada.ca/en/senators/watt-charlie/,1-613-992-2981,613-990-5453,charlie.watt@sen.parl.gc.ca,watt-charlie,Charlie Watt,Quebec (Inkerman),Liberal Party of Canada,613-992-2981,"","","","",https://sencanada.ca/media/26406/sen_103_large.jpg,42,liberal_party_of_canada,2018-03-16
