id,name,image,given_name,family_name,sort_name,birth_date,gender,house,start_date,state,district,party,homepage,address,phone,fax,term,area_id,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr
A000055,Robert B. Aderholt,https://theunitedstates.io/images/congress/original/A000055.jpg,Robert,Aderholt,"Aderholt, Robert",1965-07-22,male,rep,2015-01-06,AL,4,Republican,https://aderholt.house.gov,235 Cannon HOB; Washington DC 20515-0104,202-225-4876,202-225-5587,114,ocd-division/country:us/state:al/cd:4,A000055,01460,,400004,N00003028,441,H6AL04098,45516,Robert Aderholt,8333,Robert B. Aderholt,127,gIQAw6QSAP,29701
A000367,Justin Amash,https://theunitedstates.io/images/congress/original/A000367.jpg,Justin,Amash,"Amash, Justin",1980-04-18,male,rep,2015-01-06,MI,3,Republican,http://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,202-225-5144,114,ocd-division/country:us/state:mi/cd:3,A000367,02029,,412438,N00031938,105566,H0MI03126,1033767,Justin Amash,8769,Justin Amash,1449,gIQAMkzZKP,21143
B001269,Lou Barletta,https://theunitedstates.io/images/congress/original/B001269.jpg,Lou,Barletta,"Barletta, Lou",1956-01-28,male,rep,2015-01-06,PA,11,Republican,http://barletta.house.gov,115 Cannon HOB; Washington DC 20515-3811,202-225-6511,202-225-0764,114,ocd-division/country:us/state:pa/cd:11,B001269,02054,,412469,N00025495,47143,H2PA11098,29618,Lou Barletta,10432,Lou Barletta,1474,gIQA3fVUKP,21171
B000213,Joe Barton,https://theunitedstates.io/images/congress/original/B000213.jpg,Joe,Barton,"Barton, Joe",1949-09-15,male,rep,2015-01-06,TX,6,Republican,http://joebarton.house.gov,2107 Rayburn HOB; Washington DC 20515-4306,202-225-2002,202-225-3052,114,ocd-division/country:us/state:tx/cd:6,B000213,00062,,400018,N00005656,27082,H4TX06117,5248,Joe Barton,9049,,139,gIQAhoxEAP,15085
B001270,Karen Bass,https://theunitedstates.io/images/congress/original/B001270.jpg,Karen,Bass,"Bass, Karen",1953-10-03,female,rep,2015-01-06,CA,37,Democrat,http://bass.house.gov,408 Cannon HOB; Washington DC 20515-0537,202-225-7084,202- 225-2422,114,ocd-division/country:us/state:ca/cd:37,B001270,01996,,412404,N00031877,28963,H0CA33117,62502,Karen Bass,10433,,1249,gIQA45LZKP,21110
B000287,Xavier Becerra,https://theunitedstates.io/images/congress/original/B000287.jpg,Xavier,Becerra,"Becerra, Xavier",1958-01-26,male,rep,2015-01-06,CA,34,Democrat,http://becerra.house.gov,1226 Longworth HOB; Washington DC 20515-0534,202-225-6235,202-225-2202,114,ocd-division/country:us/state:ca/cd:34,B000287,00070,,400021,N00009774,26754,H2CA30143,26567,Xavier Becerra,9147,Xavier Becerra,142,gIQAenAR9O,29316
B001271,Dan Benishek,https://theunitedstates.io/images/congress/original/B001271.jpg,Dan,Benishek,"Benishek, Dan",1952-04-20,male,rep,2015-01-06,MI,1,Republican,http://benishek.house.gov,514 Cannon HOB; Washington DC 20515-2201,202-225-4735,202- 225-4744,114,ocd-division/country:us/state:mi/cd:1,B001271,02027,,412436,N00031934,123056,H0MI01088,61860,Dan Benishek,10434,Dan Benishek,1447,gIQAOvErKP,21141
B001257,Gus M. Bilirakis,https://theunitedstates.io/images/congress/original/B001257.jpg,Gus,Bilirakis,"Bilirakis, Gus",1963-02-08,male,rep,2015-01-06,FL,12,Republican,https://bilirakis.house.gov,2112 Rayburn HOB; Washington DC 20515-0912,202-225-5755,202-225-4085,114,ocd-division/country:us/state:fl/cd:12,B001257,01838,,412250,N00027462,17318,H6FL09070,1022873,Gus Bilirakis,10413,Gus M. Bilirakis,731,gIQAjtHPAP,20758
B001250,Rob Bishop,https://theunitedstates.io/images/congress/original/B001250.jpg,Rob,Bishop,"Bishop, Rob",1951-07-13,male,rep,2015-01-06,UT,1,Republican,http://robbishop.house.gov,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,202-225-5857,114,ocd-division/country:us/state:ut/cd:1,B001250,01753,,400029,N00025292,50544,H2UT01094,1003621,Rob Bishop,10399,Rob Bishop,150,gIQALHQPAP,20357
B000490,Sanford D. Bishop Jr.,https://theunitedstates.io/images/congress/original/B000490.jpg,Sanford,Bishop,"Bishop, Sanford",1947-02-04,male,rep,2015-01-06,GA,2,Democrat,http://bishop.house.gov,2407 Rayburn HOB; Washington DC 20515-1002,202-225-3631,202-225-2203,114,ocd-division/country:us/state:ga/cd:2,B000490,00091,,400030,N00002674,26817,H2GA02031,26194,Sanford Bishop,7697,,148,gIQATrCOAP,29339
