id,name__es,name,wikipedia__es,name__en,wikipedia__en,gender,given_name,birth_date,name__de,name__it,name__pl,name__fr,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__pl,name__ca,name__gl,name__ru,wikipedia__commons,wikipedia__fr,wikipedia__it,wikipedia__ru,identifier__freebase,name__fi,name__id,wikipedia__fi,wikipedia__id,image,twitter,original_wikiname,name__hu,last_seen,second_surname,family_name,occupation,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu
Q16728826,,Emilia Molina Cruz,,Emilia Molina Cruz,Emilia Molina Cruz,female,Emilia,,Emilia Molina Cruz,Emilia Molina Cruz,,Emilia Molina Cruz,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/3/3d/Emilia_Molina_Cruz,_PAC_-_Costa_Rica.JPG",,Emilia Molina Cruz,,,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729085,,Franklin Corella Vargas,,Franklin Corella Vargas,Franklin Corella Vargas,male,Franklin,,Franklin Corella Vargas,,,Franklin Corella Vargas,,,,,,,,,,,,,,,,,,,,,Franklin Corella Vargas,,,Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730214,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,male,Javier,,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,,,,,,,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,,,,,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,,Arguedas,,,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas,Javier Francisco Cambronero Arguedas
Q16730301,Henry Mora Jiménez,Henry Mora Jiménez,Henry Mora Jiménez,Henry Mora Jiménez,Henry Mora Jiménez,male,Henry,,Henry Mora Jiménez,,,Henry Mora Jiménez,Henry Mora Jiménez,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/0/00/Henry_Mora_Jiménez,_PAC_-_Costa_Rica.jpg",,Henry Mora Jiménez,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731282,,Laura María Garro Sánchez,,Laura María Garro Sánchez,Laura María Garro Sánchez,female,Laura,,Laura María Garro Sánchez,,,Laura María Garro Sánchez,,,,,,,,,,,,,,,,,,,,,Laura María Garro Sánchez,,,Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731968,Marcela Guerrero Campos,Marcela Guerrero Campos,Marcela Guerrero Campos,Marcela Guerrero Campos,Marcela Guerrero Campos,female,Marcela,,Marcela Guerrero Campos,Marcela Guerrero Campos,,Marcela Guerrero Campos,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/e/ed/Marcela_Guerrero_Campos,_PAC_-_Costa_Rica.jpg",,Marcela Guerrero Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731974,,Marco Vinicio Redondo Quirós,,Marco Vinicio Redondo Quirós,Marco Vinicio Redondo Quirós,male,Marco,,Marco Vinicio Redondo Quirós,,,Marco Vinicio Redondo Quirós,,,,,,,,,,,,,,,,,,,,,Marco Vinicio Redondo Quirós,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732014,,Marlene Madrigal Flores,,Marlene Madrigal Flores,Marlene Madrigal Flores,female,Marlene,,Marlene Madrigal Flores,Marlene Madrigal Flores,,Marlene Madrigal Flores,,,,,,,,,,,,,,,,,,,,,Marlene Madrigal Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733363,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,female,Nidia,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,,,,,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,,,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,,Vásquez,Jiménez,,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez,Nidia María Jiménez Vásquez
Q17086999,,Ruperto Marvin Atencio Delgado,,Ruperto Marvin Atencio Delgado,Ruperto Marvin Atencio Delgado,male,,,Ruperto Marvin Atencio Delgado,Ruperto Marvin Atencio Delgado,,Ruperto Marvin Atencio Delgado,,,,,,,,,,,,,,,,,,,,,Ruperto Marvin Atencio Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
