id,name,wikiname,constituency,party,party_id,term
abram_kesupile,Abram Kesupile,"",Kanye South,UDC,Q18347306,2014
alfred_madigele,Alfred Madigele,"",Mmathethe-Molapowabojang,BDP,Q859825,2014
athaliah_molokomme,Athaliah Molokomme,Athaliah Molokomme,"",,,2014
bagalatia_arone,Bagalatia Arone,"",Okavango,BDP,Q859825,2014
biggie_butale,Biggie Butale,"",Tati West,BDP,Q859825,2014
botlogile_tshireletso,Botlogile Tshireletso,Botlogile Tshireletso,Mahalapye East,BDP,Q859825,2014
buti_billy,Buti Billy,"",Francistown East,BDP,Q859825,2014
christian_de_graaff,Christian de Graaff,Christian de Graaff,Ghanzi South,BDP,Q859825,2014
dikgang_phillip_makgalemele,Dikgang Phillip Makgalemele,"",Shoshong,BDP,Q859825,2014
dithapelo_keorapetse,Dithapelo Keorapetse,"",Selibe Phikwe West,UDC,Q18347306,2014
dorcus_makgatho-malesu,Dorcus Makgatho-Malesu,"",Sefhare-Ramokgonami,BDP,Q859825,2014
duma_gideon_boko,Duma Gideon Boko,"",Gaborone Bonnington North,UDC,Q18347306,2014
edwin_batshu,Edwin Batshu,Edwin Batshu,Nkange,BDP,Q859825,2014
eric_molale,Eric Molale,Eric Molale,"",BDP,Q859825,2014
fidelis_mmilili_molao,Fidelis Mmilili Molao,"",Shashe West,BDP,Q859825,2014
frans_van_der_westhuizen,Frans Van Der Westhuizen,"",Kgalagadi South,BDP,Q859825,2014
gilbert_mangole,Gilbert Mangole,"",Mochudi West,UDC,Q18347306,2014
haskins_nkaigwa,Haskins Nkaigwa,"",Gaborone North,AP,,2014
ian_khama,Ian Khama,Ian Khama,"",BDP,Q859825,2014
itumeleng_moipisi,Itumeleng Moipisi,"",Kgalagadi North,BDP,Q859825,2014
joseph_molefe,Joseph Molefe,"",Mahalapye West,BDP,Q859825,2014
kagiso_molatlhegi,Kagiso Molatlhegi,"",Gaborone South,BDP,Q859825,2014
kefentse_mzwinila,Kefentse Mzwinila,"",Mmadinare,BDP,Q859825,2014
kenneth_matambo,Kenneth Matambo,"","",BDP,Q859825,2014
kgosi_lotlaamoreng_montshioa,Kgosi Lotlaamoreng Montshioa,"",Goodhope-Mabule,UDC,Q18347306,2014
kgotla_autlwetse,Kgotla Autlwetse,"",Serowe North,BDP,Q859825,2014
kitso_mokaila,Kitso Mokaila,Kitso Mokaila,"",BDP,Q859825,2014
kostantinos_markus,Kostantinos Markus,"",Maun East,BDP,Q859825,2014
lelatisitswe_sethomo,Lelatisitswe Sethomo,"",Boteti East,BDP,Q859825,2014
liakat_kablay,Liakat Kablay,"",Letlhakeng-Lephephe,BDP,Q859825,2014
masego_segokgo,Masego Segokgo,"",Tlokweng,UDC,Q18347306,2014
moagi_molebatsi,Moagi Molebatsi,"",Mochudi East,UDC,Q18347306,2014
mohammed_i._khan,Mohammed I. Khan,"",Molepolole North,UDC,Q18347306,2014
moiseraela_master_goya,Moiseraela Master Goya,"",Palapye,BDP,Q859825,2014
mokgweetsi_masisi,Mokgweetsi Masisi,Mokgweetsi Masisi,Moshupa-Manyana,BDP,Q859825,2014
mokwaledi_ignatious_moswaane,Mokwaledi Ignatious Moswaane,"",Francistown West,BDP,Q859825,2014
ndaba_gaolathe,Ndaba Gaolathe,"",Gaborone Bonnington South,AP,,2014
ngaka_ngaka,Ngaka Ngaka,"",Takatokwane,BDP,Q859825,2014
noah_salakae,Noah Salakae,"",Ghanzi North,UDC,Q18347306,2014
nonofo_molefhi,Nonofo Molefhi,Nonofo Molefhi,Selibe Phikwe East,BDP,Q859825,2014
patrick_ralotsia,Patrick Ralotsia,"",Kanye North,BDP,Q859825,2014
pelonomi_venson-moitoi,Pelonomi Venson-Moitoi,Pelonomi Venson-Moitoi,Serowe South,BDP,Q859825,2014
phenyo_butale,Phenyo Butale,"",Gaborone Central,AP,,2014
pius_mokgware,Pius Mokgware,"",Gabane-Mmankgodi,AP,,2014
polson_majaga,Polson Majaga,"",Nata-Gweta,BDP,Q859825,2014
prince_maele,Prince Maele,"",Lerala-Maunatlala,BDP,Q859825,2014
ronald_shamukuni,Ronald Shamukuni,"",Chobe,BDP,Q859825,2014
sadique_kebonang,Sadique Kebonang,"",Lobatse,BDP,Q859825,2014
samson_guma_moyo,Samson Guma Moyo,"",Tati East,BDP,Q859825,2014
samuel_rantuana,Samuel Rantuana,"",Ramotswa,UDC,Q18347306,2014
sedirwa_kgoroba,Sedirwa Kgoroba,"",Mogodtishane,AP,,2014
shaw_kgathi,Shaw Kgathi,Shaw Kgathi,Bobonong,BDP,Q859825,2014
shawn_ntlhaile,Shawn Ntlhaile,"",Jwaneng-Mabutsane,UDC,Q18347306,2014
slumber_tsogwane,Slumber Tsogwane,Slumber Tsogwane,Boteti West,BDP,Q859825,2014
tawana_moremi,Tawana Moremi,"",Maun West,UDC,Q18347306,2014
thapelo_olopeng,Thapelo Olopeng,"",Tonota,BDP,Q859825,2014
thato_kwerepe,Thato Kwerepe,"",Ngami,BDP,Q859825,2014
tlamelo_mmatli,Tlamelo Mmatli,"",Molepolole South,UDC,Q18347306,2014
tshekedi_khama_ii,Tshekedi Khama II,Tshekedi Khama II,Serowe West,BDP,Q859825,2014
tshenolo_mabeo,Tshenolo Mabeo,Tshenolo Mabeo,Thamaga-Kumakwane,BDP,Q859825,2014
unity_dow,Unity Dow,Unity Dow,"",BDP,Q859825,2014
vincent_seretse,Vincent Seretse,"",Lentswaeletau-Mmopane,BDP,Q859825,2014
wynter_mmolotsi,Wynter Mmolotsi,"",Francistown South,AP,,2014
