id,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__ky,name__eu,name__pl,name__be,name__fr,name__ko,name__uz,name__es,name__ta,name__yo,name__ms,name__lv,name__it,name__et,name__de,name__id,name__ja,name__el,name__vi,name__sh,name__sv,name__ar,name__nl,name__pt,name__eo,name__ru,name__en,name__sr_el,name__sr_ec,name__tr,name__ca,name__fi,name__uk,name__be_tarask,name__cy,name__nn,name__cs,name__bg,name__fa,name__ka,name__az,name__tl,name__da,name__kk_arab,name__kk_cyrl,name__kk_latn,name__kk,name__sr,name__zh,name__hr,name__nb,name__qu,name__tg,name__sco,name,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ky,wikipedia__lb,wikipedia__lv,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tg,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,birth_date,identifier__freebase,name__nan,name__he,name__hu,name__br,name__tg_latn,name__cv,wikipedia__br,wikipedia__cv,wikipedia__enwikiquote,wikipedia__he,wikipedia__hu,wikipedia__simple,wikipedia__zh_min_nan,given_name,death_date,name__hy,name__la,wikipedia__hy,wikipedia__la,identifier__ISNI,identifier__LCAuth,wikipedia__pa,original_wikiname,name__pa,last_seen,wikipedia__xmf,name__xmf,wikipedia__mg,name__mg,name__kana,identifier__GTAA,identifier__bigenc_ru,occupation,wikipedia__fawikiquote,wikipedia__tt,name__tt,identifier__quora,wikipedia__eswikinews,identifier__Britannica,identifier__ne_se,identifier__NNDB,name__ur,wikipedia__ur,name__zh_cn,identifier__GND,wikipedia__ast,name__en_ca,name__en_gb,name__mk,wikipedia__hi,name__ast,name__hi,wikipedia__oc,website,name__oc,family_name,name__pt_br,name__kk_kz,name__de_ch,name__bar,wikipedia__ruwikinews
Q1101385,,,,,Байжиев Мар Ташимович,,,,,,,,,,,,,,,,,,,,,,,,,Мар Ташимович Байджиев,,,,,,,,,,,,,,,Mar Bayciyev,,,,,,,,,,,,,,Мар Ташимович Байджиев,,Mar Bayciyev,,,,,,,,,,,,,,,,,,,,,,,,,,Мар Байжиев,,,,,,,,,,"Байджиев, Мар Ташимович",,,,,,,,,,,,,,,male,,1935-03-23,,,,,,,,,,,,,,,,,,,,,,,,"Байджиев, Мар Ташимович",,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13166829,,,,,Бекешев Дастан Далабайевич,,,,,,,,,,,,,,,,,,,,,,,,,"Бекешев, Дастан Далабайевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Бекешев, Дастан Далабайевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,Бекешев Дастан Далабайевич,,,,,,,,,,"Бекешев, Дастан Далабайевич",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Dastan_Bekeshev.JPG,male,,1983-11-22,,,,,,,,,,,,,,,,,,,,,,,,"Бекешев, Дастан Далабайевич",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13170034,,,,,"Кочкоров, Улукбек Тойчубаевич",,,,,,,,,,,,,,,,,,,,,,,,,"Кочкоров, Улукбек",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Кочкоров, Улукбек",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Кочкоров, Улукбек Тойчубаевич",,,,,,,,,,"Кочкоров, Улукбек",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Улукбек_Главный_кандидат.png,male,,1974-07-24,,,,,,,,,,,,,,,,,,,,,,,,"Кочкоров, Улукбек",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13174526,,,,,"Чолпонбаев, Улан Сапарбекович",,,,Oulan Tcholponbaïev,,,,,,,,,,,,,,,,,,,,,"Чолпонбаев, Улан Сапарбекович",Ulan Saparbekovich Cholponbaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulan Saparbekovich Cholponbaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Чолпонбаев, Улан Сапарбекович",,,,,,,,,,,,,,,male,,1977-03-22,,,,,,,,,,,,,,,,2017-11-11,,,,,,,,"Чолпонбаев, Улан Сапарбекович",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13218773,,,,,"Акматов, Казат",,,,Kazat Akmatov,,,,,,,,,,,,,,,,,,Kazat Akmatov,,,"Акматов, Казат Акматович",Kazat Akmatov,,,,Kazat Akmatov,,,,Kazat Akmatov,,,,,,,,,,,,,,,,,,,,Kazat Akmatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Казат Акматов,,,,,,,,,,"Акматов, Казат Акматович",,,,,,,,,,,,,,,male,48198673,1941-12-23,,,,,,,,,,,,,,,,2015-09-13,,,,,0000 0000 3598 3730,n85131437,,"Акматов, Казат Акматович",,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15063936,,,,,"Акрамов, Эрнис Хашимович",,,,,,,,,,,,,,,,,,,,,,,,,"Акрамов, Эрнст Хашимович",Ernst Akramov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernst Akramov,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Акрамов, Эрнис Хашимович",,,,,,,,,,"Акрамов, Эрнст Хашимович",,,,,,,,,,,,,,,male,,1936-06-24,,,,,,,,,,,,,,,Ernst,,,,,,,,,"Акрамов, Эрнст Хашимович",,,,,,,,,,surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15077284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Отунбаев, Болот Исакович",Bolot Otunbayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolot Otunbayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Отунбаев, Болот Исакович",,,,,,,,,,,,,,,male,,1965-03-09,,,,,,,,,,,,,,,,,,,,,,,,"Отунбаев, Болот Исакович",,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15732364,,,,,,,,,Erkingul Imankozhoeva,,,,,,,,,,Erkingül Imankozhoeva,,,,,,,,Erkingul Imankozhoeva,,,,Erkingul Imankozhoeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erkingul Imankozhoeva,,,,,,,,,,,Erkingül Imankozhoeva,,Erkingul Imankozhoeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,1966-10-19,,,,,,,,,,,,,,,,,,,,,,,,Erkingul Imankozhoeva,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1584976,,,,,Камчыбек Ташиев,,Kamczybek Taszijew,,Kamtchybek Tachiev,,Qamchibek Tashiyev,Kamchybek Tashiev,,,,,,Kamtšõbek Tašijev,Kamtschibek Taschijew,,カムチュベク・タシーエフ,,,,,,Kamchybek Tashiev,,,Камчыбек Кыдыршаевич Ташиев,Kamchybek Tashiev,,,,,,,,,,,,,,,Kamchybek Tashiev,,,,,,,,,,,,,Kamchybek Tashiev,,,,,,,,,,,Kamtschibek Taschijew,,Kamchybek Tashiev,,Kamchybek Tashiyev,Kamtšõbek Tašijev,,,,Kamtchybek Tachiev,,,,カムチュベク・タシーエフ,,,,Камчыбек Ташиев,,,,,,,Kamczybek Taszijew,,,"Ташиев, Камчыбек Кыдыршаевич",,,,,,,Kamchybek Tashiev,,,Qamchibek Tashiyev,,,,,male,,1968-09-27,/m/0ynv6fn,,,Kamchybek Tashiev,,,,,,,,,,,,,,,,,,,,"Ташиев, Камчыбек Кыдыршаевич",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16626175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Анаркулов, Тургунбай",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Анаркулов, Тургунбай",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Анаркулов, Тургунбай",,,,,,,,,,,,,,,male,,1948-09-24,,,,,,,,,,,,,,,,,,,,,,,,"Анаркулов, Тургунбай",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
