statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1064368-C57D7E7F-C92B-48BC-9775-049792BB8D96,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1064368-BDC8DC8B-72ED-4C4B-9767-5B11E184BEB8,Q1064368,Charles Flanagan,Q6487881,Laois,Q247135,Fine Gael,2016-03-10,"",32
Q1064368-945aed36-463f-709a-22d6-34915304dd0a,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,2007-06-14,2011-02-01,30
Q10951943-7F599D0D-154D-41B1-A379-11DE91BA18D4,Q10951943,Seymour Crawford,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2007-06-14,2011-02-01,30
Q10952174-BCE904B7-C9B9-4BFA-B136-32A435147057,Q10952174,Noel Treacy,Q4568022,Galway East,Q216517,Fianna Fáil,2007-06-14,2011-02-01,30
Q10971358-2E49290C-DF5A-4673-9C84-98DE586623C2,Q10971358,Noel Harrington,Q2746787,Cork South–West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q11173726-26F261AA-E041-4056-A161-E2CE3B184543,Q11173726,Peter Power,Q6549257,Limerick East,Q216517,Fianna Fáil,2007-06-14,2011-02-01,30
Q1165622-42A71ACB-2F91-4410-946B-FB2BB84D8EB5,Q1165622,Dara Calleary,Q1869725,Mayo,Q216517,Fianna Fáil,2016-03-10,"",32
Q1165622-6EB6FF54-E3DE-48F2-919D-314136D756C4,Q1165622,Dara Calleary,Q1869725,Mayo,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q1165622-169815c7-433d-38cc-3e8c-a640eb0b53d2,Q1165622,Dara Calleary,Q1869725,Mayo,Q216517,Fianna Fáil,2007-06-14,2011-02-01,30
Q1166562-60DFC609-C7A5-4658-874B-F94C9AF28A10,Q1166562,Darragh O'Brien,Q20620587,Dublin Fingal,Q216517,Fianna Fáil,2016-03-10,"",32
Q1166562-CF0D7ED0-EFDB-464B-91AD-EFAFD5140924,Q1166562,Darragh O'Brien,Q5310945,Dublin North,Q216517,Fianna Fáil,2007-06-14,2011-02-01,30
Q1183377-FCE6D368-D873-4F3E-AC04-BD414AD914FA,Q1183377,Deirdre Clune,Q2635304,Cork South–Central,Q247135,Fine Gael,2007-06-14,2011-02-01,30
Q1237573-665B6FCB-AB3C-4260-B7DD-BF6AA7968883,Q1237573,Dominic Hannigan,Q1929591,Meath East,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q1271675-EF7C811B-C7D6-4714-9214-7A5E6D7BDDE5,Q1271675,Paschal Donohoe,Q2622823,Dublin Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q1271675-46ceeaf6-4f2b-ffd3-b55b-ccd907b4e65f,Q1271675,Paschal Donohoe,Q2622823,Dublin Central,Q247135,Fine Gael,2016-03-10,"",32
Q12849-3F52B9A6-418C-46B4-B19D-65379B74A266,Q12849,Trevor Sargent,Q5310945,Dublin North,Q831015,Green Party,2007-06-14,2011-02-01,30
Q13156969-72A313B4-5DCC-4521-A78C-4EB15AA473F7,Q13156969,Brendan Griffin,Q6394444,Kerry,Q247135,Fine Gael,2016-03-10,"",32
Q13156969-6c65c1de-4879-3153-be28-25f083f1c8cd,Q13156969,Brendan Griffin,Q2408892,Kerry South,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q13156970-BABBF589-072D-432B-8568-1B0E75FCBF51,Q13156970,Brian Walsh,Q2251639,Galway West,Q247135,Fine Gael,2011-03-09,2013-07-02,31
Q13156970-07f6eeef-4c5e-1c46-fb8f-9c7a7a92d08e,Q13156970,Brian Walsh,Q2251639,Galway West,Q327591,independent politician,2013-07-02,2014-04-30,31
Q13156970-2e3d1765-4e3c-4fb4-4f44-529315ef33aa,Q13156970,Brian Walsh,Q2251639,Galway West,Q247135,Fine Gael,2014-04-30,2016-01-14,31
Q13157455-437168CD-3635-4A38-949F-4D90436BAD56,Q13157455,Joanna Tuffy,Q2641881,Dublin Mid–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q13157455-34c28df1-48cb-8a7f-000d-236706476bb9,Q13157455,Joanna Tuffy,Q2641881,Dublin Mid–West,Q503614,Labour Party,2007-06-14,2011-02-01,30
Q13157552-EC4786A7-D548-49D9-84EF-699CEC4D75E0,Q13157552,Maureen O'Sullivan,Q2622823,Dublin Central,Q327591,independent politician,2016-03-10,"",32
