id,name__en,name,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NLA,birth_date,death_date,identifier__freebase,given_name,identifier__NTA,identifier__Muzinger,website,identifier__CiNii,identifier__NDL,birth_name,family_name,identifier__UScongress,wikipedia__en,identifier__NNDB,identifier__Munzinger,name__nb,name__it,name__de,name__nl,name__af,name__ar,name__bcl,name__bg,name__br,name__ca,name__ceb,name__cs,name__da,name__eo,name__es,name__et,name__eu,name__fa,name__fi,name__fo,name__fr,name__gl,name__he,name__hu,name__id,name__ilo,name__io,name__ja,name__ko,name__la,name__mr,name__ms,name__oc,name__pag,name__pam,name__pl,name__pt,name__ru,name__sk,name__sv,name__ta,name__th,name__tl,name__tr,name__uk,name__vi,name__war,name__zh,name__sr,name__jv,name__hr,name__de_ch,name__el,name__en_ca,name__en_gb,name__mg,name__pt_br,name__yue,name__nan,name__hy,name__arz,name__lv,name__sh,name__cbk_zam,name__nn,name__kk,name__lb,name__zh_yue,wikipedia__af,wikipedia__ar,wikipedia__arz,wikipedia__bcl,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__cbk_zam,wikipedia__ceb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__de,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__kk,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pag,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__war,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__sw,name__bn,name__ia,name__mk,name__yo,name__ka,name__lt,name__qu,name__ro,wikipedia__bn,wikipedia__ia,wikipedia__ka,wikipedia__lt,wikipedia__mk,wikipedia__qu,wikipedia__ro,wikipedia__sw,wikipedia__yo,name__be,name__zh_mo,name__zh_my,name__simple,wikipedia__be,wikipedia__plwikiquote,name__ml,name__gsw,name__co,name__fy,name__haw,name__is,name__ksh,name__nds,name__pap,name__pdc,name__pih,name__pms,name__scn,name__sco,name__sc,wikipedia__als,wikipedia__bgwikiquote,wikipedia__co,wikipedia__fy,wikipedia__haw,wikipedia__is,wikipedia__ksh,wikipedia__ml,wikipedia__nds,wikipedia__nn,wikipedia__pap,wikipedia__pdc,wikipedia__pih,wikipedia__pms,wikipedia__scn,wikipedia__sco,wikipedia__sc,name__uz,name__ga,name__az,name__an,name__lmo,name__nds_nl,name__sl,name__sq,name__wa,wikipedia__az,wikipedia__ga,wikipedia__itwikiquote,wikipedia__uz,wikipedia__eswikisource,name__pa,wikipedia__pa,name__be_tarask,wikipedia__be_x_old,original_wikiname,name__am,name__gu,name__ha,name__ht,name__ig,name__km,name__ku,name__ur,wikipedia__am,wikipedia__ha,wikipedia__ht,wikipedia__ig,wikipedia__km,wikipedia__ku,wikipedia__sq,wikipedia__ur,identifier__GTAA,identifier__FAST,name__ast,name__bar,name__cy,name__de_at,name__frp,name__fur,name__gd,name__ie,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pcd,name__rm,name__sr_el,name__vec,name__vls,name__vo,name__wo,name__zu,name__my,wikipedia__my,wikipedia__ukwikiquote,twitter
Q11845136,Lucy Torres,Lucy Torres,,female,,,,,,,nm1403695,,1974-12-11,,,Lucy,,,,,,,,,Lucy Torres,,,Lucy Torres,Lucy Torres,Lucy Torres,Lucy Torres,,,,,,Lucy Torres,Lucy Torres-Gomez,,Lucy Torres,,Lucy Torres,,,,Lucy Torres,,Lucy Torres,,,Lucy Torres,,,,,,,,,,,,Lucy Torres,Lucy Torres,,,Lucy Torres,,,Lucy Torres-Gomez,Lucy Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucy Torres-Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucy Torres-Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q123665,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,https://upload.wikimedia.org/wikipedia/commons/3/3d/Gloria_Macapagal_Arroyo.jpg,female,0000 0000 7872 6865,6047665,130800155,n00902393,,,,48220834,1947-04-05,,/m/01b1g9,Gloria,,,http://www.macapagal.com/gma,,,,,,Gloria Macapagal Arroyo,135/000098838,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,غلوريا ماكاباغال أرويو,Gloria Macapagal-Arroyo,Глория Макапагал-Оройо,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyová,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,گلوریا آرویو,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,גלוריה מקפגל ארויו,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,Gloria Macapagal-Arroyo,グロリア・アロヨ,글로리아 마카파갈아로요,Gloria Macapagal-Arroyo,ग्लोरिया मॅकापगाल-अरोयो,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Глория Макапагал-Арройо,Gloria Macapagalová-Arroyová,Gloria Arroyo,குளோரியா மகபகல்-அர்ரொயோ,กลอเรีย มาคาปากัล-อาร์โรโย,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,Глорія Арройо,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,格洛丽亚·马卡帕加尔-阿罗约,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,Γκλόρια Αρόγιο,,,,,阿羅約,Gloria Macapagal-Arroyo,,,Glorija Makapagala-Arojo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,,,Gloria Macapagal-Arroyo,غلوريا ماكاباغال أرويو,,Gloria Macapagal-Arroyo,Глория Макапагал-Оройо,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyová,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Γκλόρια Αρόγιο,Gloria Macapagal-Arroyo,Author:Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,گلوریا آرویو,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,גלוריה מקפגל ארויו,Gloria Macapagal-Arroyo,,,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,グロリア・アロヨ,Gloria Macapagal-Arroyo,,글로리아 마카파갈아로요,Gloria Macapagal-Arroyo,,Glorija Makapagala-Arojo,,ग्लोरिया मॅकापगाल-अरोयो,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,"Макапагал-Арройо, Глория",,Gloria Macapagal-Arroyo,Gloria Macapagalová-Arroyová,,Gloria Macapagal-Arroyo,குளோரியா மகபகல்-அர்ரொயோ,กลอเรีย มาคาปากัล-อาร์โรโย,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,Глорія Арройо,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,阿羅約,格洛丽亚·马卡帕加尔-阿罗约,格洛丽亚·马卡帕加尔-阿罗约,葛洛麗雅·雅羅育,格洛麗亞·阿羅約,格洛丽亚·马卡帕加尔-阿罗约,格洛丽亚·阿罗约,葛洛麗雅·雅羅育,Gloria Macapagal Arroyo,গ্লোরিয়া মাকাপাগাল আরোইয়ো,Gloria Macapagal-Arroyo,Глорија Макапагал-Аројо,Gloria Macapagal-Arroyo,გლორია მაკაპაგალ-აროიო,Gloria Macapagal-Arroyo,Gloria Macapagal,Gloria Macapagal-Arroyo,গ্লোরিয়া মাকাপাগাল আরোইয়ো,Gloria Macapagal-Arroyo,გლორია მაკაპაგალ-აროიო,Gloria Macapagal-Arroyo,Глорија Макапагал-Аројо,Gloria Macapagal,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,Gloria Macapagal-Arroyo,,,,,,,,,,,,,,,,,,,,Gloria Macapagal-Arroyo,,,,,,,,,,,,,,,,,Gloria Macapagal-Arroyo,,,,,,,,,,,,,,,,,,,,Gloria Macapagal-Arroyo,,,,,,,,,,,,,,,,,,448310,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1285526,Walden Bello,Walden Bello,https://upload.wikimedia.org/wikipedia/commons/6/65/Walden.jpg,male,0000 0001 0963 6193,33062886,128932791,n82079124,,089286839,,,1945-11-11,,/m/07b9pf,Walden,07270294X,,,,,,,,Walden Bello,,00000026193,Walden Bello,Walden Bello,Walden Bello,Walden Bello,,,,,,,,,Walden Bello,,Walden Bello,,,,,,Walden Bello,,,,Walden Bello,,,,,,,,,,,Walden Bello,,Уолден Белло,,Walden Bello,,,Walden Bello,,,,,,,,,,,,,,,,,,,,,,Walden Bello,,,,,,,,,,,,,,,,,Walden Bello,,,,,,Walden Bello,,,,,,,Walden Bello,,,,,,Walden Bello,,,Walden Bello,,,,,,,,,,,Walden Bello,,,,,Walden Bello,,"Белло, Уолден",,,,,,,,Walden Bello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walden Bello,,,,,,,,,,,,,,,,,,93796,,,,,,,,,,,,,,,,,,,,,,,,,,WaldenBello
Q12962647,Celso Lobregat,Celso Lobregat,,male,,,,,,,,,1948-03-20,,,Celso,,,,,,,,,Celso Lobregat,,,,,Celso Lobregat,Celso Lobregat,,,,,,,,,,,,,,,,,Celso Lobregat,,,,,,,,,,,,,,,,,,,,,,Celso Lobregat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celso Lobregat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celso Lobregat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12970122,Ronaldo Zamora,Ronaldo Zamora,,male,,,,,,,,,,,,Ronaldo,,,,,,,,,Ronaldo Zamora,,,,Ronaldo Zamora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronaldo Zamora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronaldo Zamora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronaldo Zamora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16149679,Sol Aragones,Sol Aragones,,female,,,,,,,,,1977-11-06,,,Sol,,,,,,,,,Sol Aragones,,,,Sol Aragones,Sol Aragones,Sol Aragones,,,,,,,,,,,,,,,,,Sol Aragones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sol Aragones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16150268,Erico Aristotle Aumentado,Erico Aristotle Aumentado,,male,,,,,,,,,1977-12-29,,,,,,,,,,,,Erico Aristotle Aumentado,,,,Erico Aristotle Aumentado,Erico Aristotle Aumentado,Erico Aristotle Aumentado,,,,,,,,,,,,,,,,,Erico Aristotle Aumentado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erico Aristotle Aumentado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16192880,Ping-Ping Tejada,Ping-Ping Tejada,,male,,,,,,,,,1958-06-10,,,,,,,,,,,,Jose I. Tejada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ping-Ping Tejada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16197189,Raneo Abu,Raneo Abu,,male,,,,,,,,,1967,,,,,,,,,,,,Raneo Abu,,,,Raneo Abu,Raneo Abu,,,,,,,,,,,,,,,,,,Raneo Abu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raneo Abu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16735147,Regina Ongsiako Reyes,Regina Ongsiako Reyes,,female,,,,,,,,,1964-07-03,,,Regina,,,,,,,,,Regina Ongsiako Reyes,,,,,Regina Ongsiako Reyes,,,,,,,,,,,,,,,,,,Regina Ongsiako Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regina Ongsiako Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
