id,name,party,faction,term,image,area,birth_date,phone,email,source
104,Mauro Guzmán Mérida,UNE,UNE,7,http://www.congreso.gob.gt/manager/images/D221CACE-08B0-1936-9A12-073BC96BB255.jpg,Huehuetenango,1960-02-04,22391096 Ext 22447878 Ext. 1283,mguzman@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=104
104,Mauro Guzmán Mérida,UNE,UNE,8,http://www.congreso.gob.gt/manager/images/263F83FA-FA2E-7CB3-9E39-5C5260C1ACBC.png,Huehuetenango,1960-02-04,,mauguzmer@hotmail.com,http://www.congreso.gob.gt/perfiles.php?id=104
105,Javier Alfonso Hernández Ovalle,"",FCN,8,http://www.congreso.gob.gt/manager/images/F40569D2-5861-CF29-084B-9DE98CB20D64.jpg,Distrito Central,1947-03-25,,jovalle@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=105
106,Mario Santiago Linares García,PP,PP,7,http://www.congreso.gob.gt/manager/images/76FB648F-7777-75DC-2AD3-9DAC81462559.jpg,Baja Verapaz,1952-07-25,Ext 22391112/22391115,mlinares@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=106
113,Félix Ovidio Monzón Pedroza.,UNE,IND,7,http://www.congreso.gob.gt/manager/images/15AEF56D-B210-6524-C8CF-6C082A56D123.jpg,Distrito Guatemala,1959-06-09,Ext 2318 / 2319,fmonzon@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=113
113,Félix Ovidio Monzón Pedroza.,UNE,TODOS,8,http://www.congreso.gob.gt/manager/images/15AEF56D-B210-6524-C8CF-6C082A56D123.jpg,Distrito Guatemala,1959-06-09,,fmonzon@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=113
120,Gustavo Arnoldo Medrano Osorio,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/8A9D5504-1C7F-9041-D9B4-073E22D9FF94.jpg,Distrito Guatemala,1975-12-11,Ext,gmedrano@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=120
120,Gustavo Arnoldo Medrano Osorio,UNE,LIDER,8,http://www.congreso.gob.gt/manager/images/8A9D5504-1C7F-9041-D9B4-073E22D9FF94.jpg,Listado Nacional,1975-12-11,,gmedrano@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=120
127,Aníbal Augusto Salguero y Salguero,PP,IND,7,http://www.congreso.gob.gt/manager/images/50473184-7CDC-1BA4-4E58-073F6DD69C70.jpg,Jutiapa,1964-04-24,Ext,asalguero@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=127
131,Humberto Leonel Sosa Mendoza,PP,LIDER,7,http://www.congreso.gob.gt/manager/images/369C2E85-74E9-181E-DB26-9DAB38410361.jpg,Suchitepéquez,1957-11-23,Ext,hsosa@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=131
134,Carlos Alberto Milián Casanova,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/71F056E2-616C-B38E-C311-0740AA42A436.jpg,Petén,1964-11-09,22447157 Ext 2457,cmilian@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=134
137,Marvin Orellana López,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/562E1E4A-5A6D-2142-3437-074183E35424.jpg,Alta Verapaz,1970-10-29,22301783 / 22301784 Ext,morellana@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=137
137,Marvin Orellana López,UNE,AC,8,http://www.congreso.gob.gt/manager/images/562E1E4A-5A6D-2142-3437-074183E35424.jpg,Alta Verapaz,1970-10-29,,morellana@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=137
138,Rudy Berner Pereira Delgado,UNE,FCN,8,http://www.congreso.gob.gt/manager/images/A1AFDB8D-3869-D8D8-AD2D-B175D078BBF5.jpg,Alta Verapaz,1971-01-04,,rpereira@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=138
139,Eduardo Genis Quej Chen,FRG,UNE,7,http://www.congreso.gob.gt/manager/images/DD561B55-289A-E40E-30D6-21F74E107D05.JPG,Alta Verapaz,1976-10-13,Ext,equej@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=139
140,Oscar Armando Quintanilla Villegas,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/C75CDB65-FF10-2EDA-DA81-074640B6C108.jpg,Retalhuleu,1979-08-18,2244-7160 Ext 2460,oquintanilla@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=140
140,Oscar Armando Quintanilla Villegas,UNE,AC,8,http://www.congreso.gob.gt/manager/images/C75CDB65-FF10-2EDA-DA81-074640B6C108.jpg,Quiché,1979-08-18,,oquintanilla@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=140
141,Thelma Elizabeth Ramírez Retana,UNE,UNE,8,http://www.congreso.gob.gt/manager/images/D23AD3E8-CA89-4F00-6EF4-689E021B60F6.jpg,Izabal,1973-11-29,,tdenajera@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=141
142,Juan Carlos Rivera Estévez,PP,LIDER,7,http://www.congreso.gob.gt/manager/images/4E8BFD16-FA14-7349-CBE9-B163EA3162D5.jpg,Distrito Guatemala,1976-02-21,2244-7878 Ext 2150,juancarlosrivera@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=142
144,Ronald Ramiro Sierra López,FRG,Reformador,8,http://www.congreso.gob.gt/manager/images/22D26937-6A69-6E5A-FEC4-E2758F54E709.jpg,Alta Verapaz,1969-11-09,,rsierra@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=144
146,José Domingo Trejo de la Roca,UNE,UNE,7,http://www.congreso.gob.gt/manager/images/B4CAFB81-B777-C8C1-A04E-E2780F2D3864.jpg,Escuintla,1968-05-17,22447011 Ext 2312,jdtrune@hotmail.com,http://www.congreso.gob.gt/perfiles.php?id=146
146,José Domingo Trejo de la Roca,UNE,FCN,8,http://www.congreso.gob.gt/manager/images/B4CAFB81-B777-C8C1-A04E-E2780F2D3864.jpg,Escuintla,1968-05-17,,jdtrune@hotmail.com,http://www.congreso.gob.gt/perfiles.php?id=146
148,Roberto Ricardo Villate Villatoro,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/B5B9428B-C53C-00C0-E528-B1720B51A328.jpg,Suchitepéquez,1960-08-26,22447156 / 22447155 Ext 2456,rvillate@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=148
148,Roberto Ricardo Villate Villatoro,UNE,LIDER,8,http://www.congreso.gob.gt/manager/images/B5B9428B-C53C-00C0-E528-B1720B51A328.jpg,Listado Nacional,1960-08-26,,rvillate@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=148
150,Juan David Alfredo Alcázar Solís,PP,IND,7,http://www.congreso.gob.gt/manager/images/ED690990-DBD9-724D-ECA2-9D30900799A6.jpg,Distrito Central,1962-06-24,Ext 2444,jalcazar@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=150
