name,party,faction,constituency,wikiname,term
Aaron Cook,Non-partisan,Non-partisan,Aiwo,"",21
Aloysius Amwano,Unknown,Unknown,Ubenide,Aloysius Amwano,19
Aloysius Amwano,Non-partisan,Non-partisan,Ubenide,Aloysius Amwano,20
Baron Waqa,Unknown,Unknown,Boe,Baron Waqa,19
Baron Waqa,Non-partisan,Non-partisan,Boe,Baron Waqa,20
Baron Waqa,Non-partisan,Non-partisan,Boe,Baron Waqa,21
Charmaine Scotty,Non-partisan,Non-partisan,Yaren,Charmaine Scotty,21
Cyril Buraman,Non-partisan,Non-partisan,Anetan,Cyril Buraman,21
Dantes Tsitsi,Unknown,Unknown,Aiwo,Dantes Tsitsi,19
David Adeang,Unknown,Unknown,Ubenide,David Adeang,19
David Adeang,Nauru First,Nauru First,Ubenide,David Adeang,20
David Adeang,Naoero Amo,Naoero Amo,Ubenide,David Adeang,21
Dominic Tabuna,Unknown,Unknown,Yaren,Dominic Tabuna,19
Dominic Tabuna,Non-partisan,Non-partisan,Yaren,Dominic Tabuna,20
Frederick Pitcher,Unknown,Unknown,Ubenide,Frederick Pitcher,19
Frederick Pitcher,Nauru First,Nauru First,Ubenide,Frederick Pitcher,20
Gabrissa Hartman,Non-partisan,Non-partisan,Ubenide,Gabrissa Hartman,21
Godfrey Thoma,Unknown,Unknown,Aiwo,Godfrey Thoma,19
Godfrey Thoma,Non-partisan,Non-partisan,Aiwo,Godfrey Thoma,20
Kieren Keke,Unknown,Unknown,Yaren,Kieren Keke,19
Kieren Keke,Nauru First,Nauru First,Yaren,Kieren Keke,20
Kieren Keke,Naoero Amo,Naoero Amo,Yaren,Kieren Keke,21
Landon Deireragea,Unknown,Unknown,Anetan,Landon Deireragea,19
Landon Deireragea,Non-partisan,Non-partisan,Anetan,Landon Deireragea,20
Ludwig Scotty,Unknown,Unknown,Anabar,Ludwig Scotty,19
Ludwig Scotty,Non-partisan,Non-partisan,Anabar,Ludwig Scotty,20
Ludwig Scotty,Non-partisan,Non-partisan,Anabar,Ludwig Scotty,21
Lyn-Wannan Kam,Non-partisan,Non-partisan,Meneng,Lyn-Wannan Kam,21
Marcus Stephen,Unknown,Unknown,Anetan,Marcus Stephen,19
Marcus Stephen,Non-partisan,Non-partisan,Anetan,Marcus Stephen,20
Marcus Stephen,Non-partisan,Non-partisan,Anetan,Marcus Stephen,21
Mathew Batsiua,Unknown,Unknown,Boe,Mathew Batsiua,19
Mathew Batsiua,Non-partisan,Non-partisan,Boe,Mathew Batsiua,20
Mathew Batsiua,Non-partisan,Non-partisan,Boe,Mathew Batsiua,21
Milton Dube,Non-partisan,Non-partisan,Aiwo,Milton Dube,20
Milton Dube,Non-partisan,Non-partisan,Aiwo,Milton Dube,21
Ranin Akua,Non-partisan,Non-partisan,Ubenide,Ranin Akua,21
Riddell Akua,Unknown,Unknown,Anabar,Riddell Akua,19
Riddell Akua,Nauru First,Nauru First,Anabar,Riddell Akua,20
Riddell Akua,Naoero Amo,Naoero Amo,Anabar,Riddell Akua,21
Roland Kun,Unknown,Unknown,Buada,Roland Kun,19
Roland Kun,Nauru First,Nauru First,Buada,Roland Kun,20
Roland Kun,Naoero Amo,Naoero Amo,Buada,Roland Kun,21
Russ J. Kun,Non-partisan,Non-partisan,Ubenide,Russell Kun,21
Rykers Solomon,Unknown,Unknown,Meneng,Rykers Solomon,19
Rykers Solomon,Non-partisan,Non-partisan,Meneng,Rykers Solomon,20
Shadlog Bernicke,Unknown,Unknown,Buada,Shadlog Bernicke,19
Shadlog Bernicke,Non-partisan,Non-partisan,Buada,Shadlog Bernicke,20
Shadlog Bernicke,Non-partisan,Non-partisan,Buada,Shadlog Bernicke,21
Sprent Dabwido,Unknown,Unknown,Meneng,Sprent Dabwido,19
Sprent Dabwido,Nauru First,Nauru First,Meneng,Sprent Dabwido,20
Sprent Dabwido,Naoero Amo,Naoero Amo,Meneng,Sprent Dabwido,21
Squire Jeremiah,Non-partisan,Non-partisan,Meneng,Squire Jeremiah,21
Valdon Dowiyogo,Unknown,Unknown,Ubenide,Valdon Dowiyogo,19
Valdon Dowiyogo,Non-partisan,Non-partisan,Ubenide,Valdon Dowiyogo,20
