id,name,constituency,party,party_id,term,start_date,start_reason,source,end_date,name_el,name__el
601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,Achmet Ilchan,Rodopi,N.D. (New Democracy),nd,11,2004-03-07,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,,Αχμέτ Σαμπρή Ιλχάν,Αχμέτ Σαμπρή Ιλχάν
601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,Achmet Ilchan,Rodopi,TO POTAMI (The River),topotami,17,2015-09-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,,Αχμέτ Σαμπρή Ιλχάν,Αχμέτ Σαμπρή Ιλχάν
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,Αδαμόπουλος Αθανασίου Γεώργιος
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,Αδαμόπουλος Αθανασίου Γεώργιος
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,7,1990-04-08,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,Αδαμόπουλος Αθανασίου Γεώργιος
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,8,1993-10-10,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,Αδαμόπουλος Αθανασίου Γεώργιος
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Larissa,PA.SO.K. (Panhellenic Socialist Movement),pasok,9,1996-09-22,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=917622ea-9d47-49b1-aa2b-616923f247e6,,Αδαμόπουλος Αθανασίου Γεώργιος,Αδαμόπουλος Αθανασίου Γεώργιος
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Athens B,N.D. (New Democracy),nd,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,Αδρακτάς Φωτίου Παναγιώτης
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Athens B,N.D. (New Democracy),nd,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,Αδρακτάς Φωτίου Παναγιώτης
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,Athens B,N.D. (New Democracy),nd,7,1990-04-08,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cd9f3107-520b-4e25-8b79-0825797bca7a,,Αδρακτάς Φωτίου Παναγιώτης,Αδρακτάς Φωτίου Παναγιώτης
