id,type,name__en,name__mr,name__hi,name__ar,name__pa,name__ta,name__as,name__bn,name__nl,identifier__quora,name__mai,name__zh_hant,name__zh_cn,name__it,name__fr,name__zh,start_date,name__te,name__ur,end_date,name__zh_hans,name__pt,name__es,name__de,name__ru,name__ko,name__ja,name__gu,name__kn,name__sa,name__fa,name__ml,identifier__viaf,name__ne,name__ms,name__en_ca,name__en_gb,name__ca,identifier__britannica,name__or,name__vi,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__eo,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__bho,identifier__geonames,identifier__bnf,identifier__gnd
Q11031937,Lok Sabha constituency,Salempur Lok Sabha constituency,सालेमपूर (लोकसभा मतदारसंघ),सलेमपुर लोक सभा निर्वाचन क्षेत्र,,ਸਲੇਮਪੁਰ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,Salempur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11032972,Lok Sabha constituency,Kanpur Lok Sabha constituency,कानपूर (लोकसभा मतदारसंघ),कानपुर लोक सभा निर्वाचन क्षेत्र,,ਕਾਨਪੁਰ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,,,कानपुर लोक सभा निर्वाचन क्षेत्र,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11059079,Lok Sabha constituency,Keonjhar Lok Sabha constituency,केओंझार (लोकसभा मतदारसंघ),क्योंझर लोक सभा निर्वाचन क्षेत्र,,,,,,Keonjhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,କେନ୍ଦୁଝର (ଲୋକସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11222818,Lok Sabha constituency,Rajkot Lok Sabha constituency,राजकोट (लोकसभा मतदारसंघ),राजकोट लोक सभा निर्वाचन क्षेत्र,,,ராஜ்கோட்,,,Rajkot,,,,,,,,,రాజ్‌కోట్ లోకసభ నియోజకవర్గం,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11679513,Lok Sabha constituency,Kandhamal Lok Sabha constituency,,कंधमाल लोक सभा निर्वाचन क्षेत्र,,,கந்தமாள் மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kandhamal,Kandhamal,,,କନ୍ଧମାଳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12413298,Lok Sabha constituency,Attingal Lok Sabha constituency,,अट्टिंगल लोक सभा निर्वाचन क्षेत्र,,,ஆற்றிங்கல் மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,ആറ്റിങ്ങൽ ലോക്‌സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12416142,Lok Sabha constituency,North Goa Lok Sabha constituency,उत्तर गोवा,उत्तर गोवा लोक सभा निर्वाचन क्षेत्र,,,வடக்கு கோவா மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12418036,Lok Sabha constituency,Kannauj Lok Sabha constituency,कन्नौज (लोकसभा मतदारसंघ),कन्नौज लोक सभा निर्वाचन क्षेत्र,,ਕੱਨੌਜ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,Kannauj,,,,,,Kannauj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12418045,Lok Sabha constituency,Kanyakumari Lok Sabha constituency,कन्याकुमारी (लोकसभा मतदारसंघ),कन्याकुमारी लोक सभा निर्वाचन क्षेत्र,,,கன்னியாகுமரி,,,Kanyakumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12418918,Lok Sabha constituency,Kanker Lok Sabha constituency,कांकेर (लोकसभा मतदारसंघ),कांकेर लोक सभा निर्वाचन क्षेत्र,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
