id,name__ja,name__pl,name__ru,name__ka,name__en,name__fr,name__nl,name__sv,name__es,name__de,name__cs,name,wikipedia__cs,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__ja,wikipedia__ka,wikipedia__pl,wikipedia__ru,wikipedia__sv,gender,birth_date,identifier__freebase,name__th,name__uk,name__pt,name__hy,wikipedia__de,wikipedia__hy,wikipedia__pt,wikipedia__th,wikipedia__uk,name__xmf,name__he,name__et,wikipedia__et,wikipedia__xmf,image,identifier__VIAF,given_name,name__fa,wikipedia__fa,name__az,wikipedia__az,death_date,wikipedia__it,name__it,original_wikiname,name__hu,last_seen,name__zh_hant,name__zh_cn,wikipedia__oc,name__oc,occupation,name__fi,name__tr,name__cy,wikipedia__fi,wikipedia__tr,identifier__LCAuth,identifier__GND,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__bigenc_ru,pseudonym,name__eo,name__id,name__zh,wikipedia__eo,wikipedia__id,identifier__FAST,wikipedia__commons,name__ko,wikipedia__ko,wikipedia__zh,wikipedia__ruwikinews,wikipedia__enwikisource,identifier__MusicBrainz,identifier__IMDB,identifier__kinopoisk,identifier__SFDb,identifier__CSFD,identifier__elonet,identifier__allmovie,name__be_tarask,name__br,wikipedia__be_x_old,wikipedia__br,name__mn,name__os,name__nb,name__nn,wikipedia__mn,name__eu,wikipedia__nl,wikipedia__he,identifier__PACE,wikipedia__no,name__en_ca,name__en_gb,name__la,name__el,name__ab,name__da,name__ro,name__bg,wikipedia__ab,wikipedia__bg,wikipedia__el,wikipedia__la,wikipedia__ro,name__lt,wikipedia__hu,wikipedia__lt,wikipedia__os,wikipedia__simple,name__gl,wikipedia__da,wikipedia__gl,wikipedia__nn,wikipedia__plwikiquote,identifier__NNDB,wikipedia__ba,name__ba,family_name
Q1101130,,,"Маградзе, Давид Элгуджаевич",დავით მაღრაძე,David Magradze,David Magradze,David Magradze,,David Magradze,David Magradze,,დავით მაღრაძე,,David Magradze,,,,დავით მაღრაძე,,"Маградзе, Давид Элгуджаевич",,male,1962-06-28,/m/03gsnsj,,,,Դավիթ Մաղրաձե,,Դավիթ Մաղրաձե,,,,,,,,,,,Dávid,,,,,,,,David Magradze,David Magradze,,,,,,poet,,,,,,,,,,,,,,,,,,,,,,,,Author:Davit Maghradze,ac23e815-b3e5-4efd-be35-f9e39150e623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1178685,ダヴィド・ズラビシュヴィリ,,,დავით ზურაბიშვილი,David Zurabishvili,David Zurabishvili,David Zurabishvili,,David Zurabishvili,Dawit Surabischwili,,დავით ზურაბიშვილი,,David Zurabishvili,,,,დავით ზურაბიშვილი,,,,male,1957-03-16,/m/09f87f,,,,,Dawit Surabischwili,,,,,,,,,,,,David,,,,,,,,David Zurabishvili,David Zurabishvili,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1178707,ダヴィト・ウスパシュヴィリ,Dawit Usupaszwili,"Усупашвили, Давид",დავით უსუფაშვილი,David Usupashvili,David Usupashvili,David Usupashvili,Davit Usupasjvili,David Usupashvili,Dawit Usupaschwili,,დავით უსუფაშვილი,,David Usupashvili,,David Oussoupachvili,,დავით უსუფაშვილი,Dawit Usupaszwili,"Усупашвили, Давид",Davit Usupasjvili,male,1968-03-05,/m/0j_1zm1,,Давід Усупашвілі,,Դավիթ Ուսուփաշվիլի,Dawit Usupaschwili,Դավիթ Ուսուփաշվիլի,,,Давід Усупашвілі,დავით უსუფაშვილი,דוד אוסופאשווילי,Davith Usuphašvili,Davith Usuphašvili,დავით უსუფაშვილი,https://upload.wikimedia.org/wikipedia/commons/c/c5/David_Usupashvili_Senate_of_Poland.JPG,310522363,David,,,,,,,,დავით უსუფაშვილი,David Usupashvili,,大衛·烏蘇帕什維利,大衛·烏苏帕什維利,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12038965,,Murman Omanidze,,,Murman Omanidze,Murman Omanidze,,,,Murman Omanidze,Murman Omanidze,Murman Omanidze,Murman Omanidze,Murman Omanidze,,,,,Murman Omanidze,,,male,1938-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,Murman Omanidze,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12861562,,,,ალექსანდრე შალამბერიძე,Alexander Shalamberidze,,,,,,,ალექსანდრე შალამბერიძე,,Alexander Shalamberidze,,,,ალექსანდრე შალამბერიძე,,,,male,1958-03-30,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Alexander_Shalamberidze.png,,Alexander,,,,,2015-07-01,,,Alexander Shalamberidze,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12864811,,,,ზურაბ ტყემალაძე,Zurab Tkemaladze,,,,,,,ზურაბ ტყემალაძე,,,,,,ზურაბ ტყემალაძე,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ზურაბ ტყემალაძე,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12867007,,,,მიხეილ მაჭავარიანი,Mikheil Machavariani,,,,,,,მიხეილ მაჭავარიანი,,Mikheil Machavariani,,,,მიხეილ მაჭავარიანი,,,,male,1968-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,Mikheil Machavariani,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12867446,,,,ნაული ჯანაშია,Nauli Janashia,,,,,,,ნაული ჯანაშია,,,,,,ნაული ჯანაშია,,,,,1947-03-01,,,,,,,,,,,,,,,,,,,,,Nauli Canaşia,Nauli Canaşia,2015-03-17,,,ნაული ჯანაშია,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12870563,,,,შალვა შავგულიძე,Shalva Shavgulidze,Shalva Shavgulidze,Shalva Shavgulidze,,,,,შალვა შავგულიძე,,,,,,შალვა შავგულიძე,,,,male,1957-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,შალვა შავგულიძე,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1325558,エルダリ・クルタニーゼ,Eldar Kurtanidze,"Куртанидзе, Эльдар",ელდარ კურტანიძე,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,Eldari Luka Kurtanidse,Eldar Kurtanydze,ელდარ კურტანიძე,Eldar Kurtanydze,Eldar Kurtanidze,Eldar Kurtanidze,Eldar Kurtanidze,エルダリ・クルタニーゼ,ელდარ კურტანიძე,Eldar Kurtanidze,"Куртанидзе, Эльдар",Eldar Kurtanidze,male,1972-04-16,/m/07s36h,,Куртанідзе Ельдар,,,Eldari Luka Kurtanidse,,,,Куртанідзе Ельдар,,,,,,,,Eldar,الدار کورتانیدزه,الدار کورتانیدزه,,,,,,ელდარ კურტანიძე,,,,,,,amateur wrestler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
