id,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__qu,name__fr,name__ru,name__en,name__es,name__yo,name__fi,name__uk,name__lv,name__it,name__ilo,name__et,name__ay,name__de,name__id,name__ka,name__nl,name__sv,name__zh,name__nb,name__da,name__nn,name__cy,name,wikipedia__ay,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__ilo,wikipedia__it,wikipedia__ka,wikipedia__lv,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,birth_date,death_date,identifier__freebase,given_name,identifier__Britannica,identifier__GTAA,identifier__FAST,original_wikiname,name__mr,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__mr,identifier__OLID,identifier__BNE,name__ro,name__nds,wikipedia__ro,identifier__ISNI,identifier__GND,identifier__BNF,identifier__NTA,identifier__CANTIC,identifier__NLAtrove,name__sco,wikipedia__sco,name__ca,name__gl,twitter,website,wikipedia__simple,family_name,name__hu,last_seen,name__ar,wikipedia__ar,second_surname,name__ja,identifier__GNC,identifier__bigenc_ru,occupation,facebook,identifier__snac,wikipedia__az,name__az,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__eo,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__ne_se,identifier__BVMC,identifier__bna,name__ko,wikipedia__enwikisource,wikipedia__ko,identifier__CERL,wikipedia__ca
Q11686655,,,,,,,,,,Juan del Granado,,Juan del Granado,Juan del Granado,,,,,,,,,Juan del Granado,,,Juan del Granado,,,,,,,Juan del Granado,,,Juan del Granado,Juan del Granado,,,,,,,,,,,,,,,,,,,male,,,,1953-03-26,,,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11703859,,,,,,,,,,Silvia Lazarte,,Silvia Lazarte,Silvia Lazarte,,,,,,,,,Silvia Lazarte,,,,,,,,,,Silvia Lazarte,,,Silvia Lazarte,Silvia Lazarte,,,,,,,,,,,,,,,,,,,female,,,,1964-01-10,,,Silvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1395155,,,,,,,,,Alcides Arguedas,Alcides Arguedas,Альсидес Аргедас,Alcides Arguedas,Alcides Arguedas,,,Альсідес Арґедас,,,,,,Alcides Arguedas,,,Alcides Arguedas,Alcides Arguedas,,Alcides Arguedas,Alcides Arguedas,Alcides Arguedas,,Alcides Arguedas,,Alcides Arguedas,Alcides Arguedas,Alcides Arguedas,,,Alcides Arguedas,,,,,,,,,Alcides Arguedas,"Аргедас, Альсидес",Alcides Arguedas,Альсідес Арґедас,,,"https://upload.wikimedia.org/wikipedia/commons/7/70/Arguedas,_Alcides_06.jpg",male,17262962,n83021461,027604365,1879-07-15,1946-05-08,/m/04hv75,Alcides,,,108992,,,,,,,,,XX1160310,Alcides Arguedas,Alcides Arguedas,Alcides Arguedas,0000 0001 0874 6892,118650068,12165329m,069807493,a10672618,857149,,,,,,,,,Alcides Arguedas,,,,,アルシデス・アルゲダス,0005092,1826709,politician,,w6r58j75,Alsides Argedas,Alsides Argedas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcides-arguedas,13011,000046383,,,,,
Q15966128,,,,,,,,,,Pedro Nuni,,Pedro Nuni,Pedro Nuni,,,,,Pedro Nuni,,,,,,,Pedro Nuni,,,,,,,Pedro Nuni,,,,Pedro Nuni,,,,,,,,,,,,,,,,,,,male,,,,1973-07-02,,,Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedro Nuni,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16301584,,,,,,,,,,Adrián Oliva Alcázar,,Adrián Oliva Alcázar,Adrián Oliva Alcázar,,,,,,,,,,,,Adrián Oliva Alcázar,,,,,,,Adrián Oliva Alcázar,,,,Adrián Oliva Alcázar,,,,,,,,,,,,,,,,,,,male,,,,1978-11-01,,,Adrián,,,,,,,,,,,,,,,,,,,,,,,,,,A_Oliva_Alcazar,,,,Adrián Oliva Alcázar,,,,,,,,politician,AdrianOlivaAlcazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16576556,Hugo San Martín,,,,,,,,,Hugo San Martín,,Hugo San Martín,Hugo San Martín,,,,,,,,,Hugo San Martín,,,Hugo San Martín,,,,,,,Hugo San Martín,,,,Hugo San Martín,,,,,,,,,,,,,,,,,,,male,,,,,,,Hugo,,,,,,,,,,,,,,,,,,,,,,,,,,sanmartinhugo,,,,Hugo San Martín,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16624862,,,,,,,,,,René Martínez Callahuanca,,René Martínez Callahuanca,René Martínez Callahuanca,,,,,,,,,,,,René Martínez Callahuanca,,,,,,,René Martínez Callahuanca,,,,René Martínez Callahuanca,,,,,,,,,,,,,,,,,,,male,,,,1959-12-12,,,René,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16941997,,,,,,,,,,Marcelo Elío Chávez,,Marcelo Elío Chávez,Marcelo Elío Chávez,,,,,,,,,,,,Marcelo Elío Chávez,,,,,,,Marcelo Elío Chávez,,,,Marcelo Elío Chávez,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Marcelo_Elío_Chávez.jpg,male,,,,1966,,,Marcelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcelo Elío Chávez,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16942236,,,,,,,,,,Belisario Salinas,,Belisario Salinas,Belisario Salinas,,,,,,,,,,,,Belisario Salinas,,,,,,,Belisario Salinas,,,,Belisario Salinas,,,,,,,,,,,,,,,,,,,male,,,,1833-02-10,1893-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belisario Salinas,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17364348,,,,,,,,,,Heriberto Gutiérrez,,Heriberto Gutiérrez,Heriberto Gutiérrez,,,,,,,,,,,,Heriberto Gutiérrez,,,,,,,Heriberto Gutiérrez,,,,Heriberto Gutiérrez,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Heriberto_Gutiérrez.JPG,male,,,,1840-07-04,1919-07-04,,Heriberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
