id,name__es,name__it,name__en,name__fr,name,wikipedia__es,image,gender,birth_date,given_name,name__nl,name__de,wikipedia__commons,wikipedia__en,wikipedia__fr,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__he,name__ru,name__oc,name__ms,name__id,name__io,name__el,name__zh,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__ms,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,name__qu,name__fi,name__ja,name__fa,name__en_gb,name__ro,wikipedia__fa,wikipedia__fi,wikipedia__ja,wikipedia__no,wikipedia__qu,name__ca,wikipedia__ca,wikipedia__nl,name__ko,name__yo,name__et,wikipedia__et,wikipedia__it,wikipedia__ko,wikipedia__yo,website,death_date,twitter,name__vmf,name__nds,family_name,name__tr,name__la,wikipedia__la,wikipedia__sv,wikipedia__tr,original_wikiname,name__cy,name__hu,last_seen,second_surname,name__cs,name__af,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__eo,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__wikitree,occupation,facebook,wikipedia__cs,identifier__google_knowledge,identifier__GND,name__ar,identifier__Britannica,name__ay,wikipedia__ay,name__ka,name__uk,name__th,wikipedia__gl,wikipedia__ka,wikipedia__plwikiquote,wikipedia__th,wikipedia__uk
Q11015795,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,https://upload.wikimedia.org/wikipedia/commons/f/f0/Verónika_Mendoza_4_(cropped).jpg,female,1980-12-09,Verónika,Verónika Mendoza,Verónika Mendoza,,Verónika Mendoza,Verónika Mendoza,,維羅妮卡·門多薩,,维罗妮卡·门多萨,,,Verónika Mendoza,Verónika Mendoza,,Вероника Мендоса,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,,薇羅尼卡·門多薩,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,,,,,,,,Verónika Mendoza,"Мендоса, Вероника",,,,,,,Verónika Mendoza,Verónika Mendoza,ベロニカ・メンドーサ,,Verónika Mendoza,Verónika Mendoza,,,,,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,,,,Verónika Mendoza,,,,,http://veromendoza.pe,,Vero_Mendoza_F,,Verónika Mendoza,Mendoza,Verónika Mendoza,,,,,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,,Frisch,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,Verónika Mendoza,,politician,veromendozaf,,/g/120xv1z5,,,,,,,,,,,,,
Q11170989,Rennan Espinoza,Rennan Espinoza Rosales,Rennan Espinoza Rosales,Rennan Espinoza Rosales,Rennan Espinoza,Rennan Espinoza Rosales,https://upload.wikimedia.org/wikipedia/commons/6/6a/Jefe_del_IPD_en_Comisión_de_Educación_(6150111237).jpg,male,1975-09-27,,,Rennan Espinoza Rosales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rennanespinoza,,,,,,,,,Rennan Espinoza Rosales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11684591,Javier Bedoya de Vivanco,,Javier Bedoya,Javier Bedoya de Vivanco,Javier Bedoya de Vivanco,Javier Bedoya de Vivanco,https://upload.wikimedia.org/wikipedia/commons/7/7b/Javier_Bedoya_de_Vivanco_2.jpg,male,1948-09-23,Javier,Javier Bedoya,Javier Bedoya,Category:Javier Bedoya de Vivanco,Javier Bedoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JavierBedoyaPPC,,,,,,,,,Javier Bedoya,,Javier Bedoya de Vivanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q1291107,Eduardo Nayap Kinin,,Eduardo Nayap Kinin,Eduardo Nayap Kinin,Eduardo Nayap Kinin,Eduardo Nayap Kinin,,male,1956-07-05,Eduardo,Eduardo Nayap Kinin,Eduardo Nayap Kinin,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Nayap Kinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EduardoNayap,,,,,,,,,Eduardo Nayap Kinin,,Eduardo Nayap Kinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Eduardo-Nayap-Kinin-405879239470853,,,,,,,,,,,,,,,
Q16298799,Juan Díaz Dios,,Juan Díaz Dios,Juan Díaz Dios,Juan Díaz Dios,Juan Díaz Dios,,male,1981-03-03,Juan,Juan Díaz Dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juanjodiazdios,,,,,,,,,Juan Díaz Dios,,Juan Díaz Dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q16301614,Carmen Omonte,Carmen Omonte,Carmen Omonte,Carmen Omonte,Carmen Omonte,Carmen Omonte,https://upload.wikimedia.org/wikipedia/commons/c/cb/Carmen_Omonte.jpg,female,1970-06-14,Carmen,Carmen Omonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CarmenOmonte,,,,,,,,,Carmen Omonte,,Carmen Omonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,carmenomontecongresista,,,,,,,,,,,,,,,
Q16301733,Carmen Rosa Núñez Campos,,Carmen Rosa Núñez Campos,Carmen Rosa Núñez Campos,Carmen Rosa Núñez Campos,Carmen Rosa Núñez Campos,,female,1954-05-11,Carmen,Carmen Rosa Núñez Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0125qgsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmen Rosa Núñez Campos,,Carmen Rosa Núñez Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q16606863,Michael Urtecho Medina,,Wilson Urtecho,Michael Urtecho Medina,Michael Urtecho Medina,Michael Urtecho Medina,https://upload.wikimedia.org/wikipedia/commons/0/03/Vicepresidente_Urtecho_declara_al_periodismo_(6881858760).jpg,male,1969-11-06,Michael,Wilson Urtecho,Wilson Urtecho,Category:Wilson Urtecho,Michael Urtecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson Urtecho,,Michael Urtecho Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q16624298,Ramón Kobashigawa Kobashigawa,,Ramón Kobashigawa Kobashigawa,Ramón Kobashigawa Kobashigawa,Ramón Kobashigawa Kobashigawa,Ramón Kobashigawa Kobashigawa,,male,1939-08-24,Ramón,Ramón Kobashigawa Kobashigawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramón Kobashigawa Kobashigawa,,Ramón Kobashigawa Kobashigawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q17620538,Luis Iberico Núñez,,Luis Iberico Núñez,Luis Iberico Núñez,Luis Iberico Núñez,Luis Iberico Núñez,https://upload.wikimedia.org/wikipedia/commons/1/1b/Luis_Iberico.JPG,male,1959-01-02,Luis,Luis Iberico Núñez,,Category:Luis Iberico,,,,,,,,,,,,,,,,,,路易斯·伊貝魯科·努涅斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Iberico Núñez,,Luis Iberico Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
