id,name__it,name__fr,name__en,name__de,name,wikipedia__it,gender,identifier__VIAF,birth_date,given_name,original_wikiname,name__nl,name__nb,name__da,name__nn,name__sv,name__eo,name__fi,wikipedia__en,identifier__ISNI,identifier__SUDOC,identifier__SBN_it,identifier__freebase,family_name,website,identifier__openpolis,name__pl,name__es,name__hu,name__zh,wikipedia__fr,wikipedia__pl,image,identifier__italian_cod,wikipedia__de,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__NTA,name__la,name__ca,name__vec,name__uk,name__ru,name__eml,wikipedia__ca,wikipedia__commons,wikipedia__eml,wikipedia__es,wikipedia__fi,wikipedia__itwikiquote,wikipedia__la,wikipedia__ru,wikipedia__uk,wikipedia__vec,name__tr,wikipedia__tr,identifier__FAST,name__yi,wikipedia__nl,wikipedia__yi,name__en_ca,name__en_gb,name__pt,name__de_ch,name__pt_br,name__fa,name__lmo,wikipedia__fa,wikipedia__lmo,wikipedia__pt,identifier__PTBNP,name__ro,wikipedia__ro,identifier__EuroparlMEP,twitter,facebook,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__he,name__ko,name__af,name__gl,name__ja,name__vi,name__el,name__ar,name__sk,name__mn,name__sr_el,name__sr_ec,name__ckb,name__th,name__cs,name__bg,name__ka,name__lt,name__sr,name__hr,name__war,name__be,name__is,name__be_tarask,name__az,name__mg,name__kk,name__hy,name__an,name__ast,name__bar,name__br,name__co,name__cy,name__de_at,name__et,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__id,name__ie,name__io,name__kg,name__lb,name__li,name__lij,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sl,name__sw,name__vls,name__vo,name__wa,name__wo,name__zu,name__sq,wikipedia__af,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ckb,wikipedia__cs,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__eu,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__is,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__lt,wikipedia__mg,wikipedia__mn,wikipedia__no,wikipedia__simple,wikipedia__sk,wikipedia__sl,wikipedia__sr,wikipedia__sv,wikipedia__th,wikipedia__vi,wikipedia__war,wikipedia__zh_min_nan,wikipedia__zh,identifier__ULAN,identifier__CiNii,identifier__NDL,identifier__NLA,identifier__OLID,identifier__NKC,identifier__BNE,identifier__NNDB,identifier__CANTIC,identifier__Munzinger,identifier__GNC,death_date,wikipedia__eo,name__bm,name__frc,name__jam,name__kab,name__lv,name__pap,name__prg,name__rgn,name__vmf,identifier__youtube,identifier__NUKAT,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__mk,wikipedia__als,wikipedia__br,wikipedia__cswikiquote,wikipedia__cy,wikipedia__eswikiquote,wikipedia__et,wikipedia__glwikiquote,wikipedia__lb,wikipedia__mk,wikipedia__nn,wikipedia__scn,identifier__IMDB,identifier__MusicBrainz,identifier__BMLO,identifier__SELIBR,identifier__NLI,identifier__senate_nl,identifier__treccani,wikipedia__plwikiquote,wikipedia__slwikiquote,identifier__GTAA,name__bi,name__fy,name__mr,name__roa_tara,name__sh,name__ta,name__uz,name__yo,name__tl,name__lad,name__jv,name__bn,name__mt,name__ml,name__tw,name__sgs,name__mi,name__mwl,name__fo,name__yue,wikipedia__bat_smg,wikipedia__bi,wikipedia__bn,wikipedia__fo,wikipedia__fy,wikipedia__gd,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__itwikisource,wikipedia__jv,wikipedia__lad,wikipedia__lv,wikipedia__mi,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mt,wikipedia__mwl,wikipedia__nap,wikipedia__nds,wikipedia__oc,wikipedia__pms,wikipedia__roa_tara,wikipedia__sco,wikipedia__sh,wikipedia__sq,wikipedia__ta,wikipedia__tl,wikipedia__tw,wikipedia__uz,wikipedia__wa,wikipedia__yo,wikipedia__zh_yue,identifier__CONOR,identifier__Britannica,name__os,wikipedia__os,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__PORT,wikipedia__itwikinews,name__cv,wikipedia__cv,identifier__britishmuseum,identifier__kinopoisk,identifier__BAV,name__pnb,name__hi,name__ht,name__ku_arab,name__ku_latn,name__ku,name__sa,name__new,name__ur,wikipedia__enwikiquote,wikipedia__ga,wikipedia__hi,wikipedia__ht,wikipedia__ku,wikipedia__new,wikipedia__pnb,wikipedia__sa,wikipedia__sw,wikipedia__ur,wikipedia__eswikinews,wikipedia__ruwikinews,wikipedia__srwikinews,identifier__parlement,name__qu,wikipedia__cawikiquote,wikipedia__qu,electoral_district,name__mzn,wikipedia__mzn,name__bcl,name__bs,name__ceb,name__ext,name__kn,name__ky,name__my,name__nov,name__vro,name__csb,name__wuu,wikipedia__an,wikipedia__bcl,wikipedia__bs,wikipedia__ceb,wikipedia__co,wikipedia__csb,wikipedia__eowikiquote,wikipedia__ext,wikipedia__fiu_vro,wikipedia__fiwikiquote,wikipedia__frwikiquote,wikipedia__hewikiquote,wikipedia__idwikiquote,wikipedia__kn,wikipedia__kowikiquote,wikipedia__ky,wikipedia__ltwikiquote,wikipedia__my,wikipedia__nov,wikipedia__nowikiquote,wikipedia__ptwikiquote,wikipedia__rm,wikipedia__ruwikiquote,wikipedia__sc,wikipedia__trwikiquote,wikipedia__ukwikiquote,wikipedia__wuu,wikipedia__zu,identifier__NLAtrove,identifier__elonet,identifier__CSFD,identifier__PACE,identifier__discogs,identifier__bigenc_ru,identifier__BIBSYS,occupation,identifier__nobel_prize,identifier__guardian_topic,identifier__nyt_topic,identifier__ORCID,name__hsb,name__dsb,name__pfl,name__frr,name__als,wikipedia__azb,name__azb,identifier__quora,identifier__snac,wikipedia__dewikinews,wikipedia__enwikinews,wikipedia__frwikinews,wikipedia__svwikinews,wikipedia__trwikinews,name__egl,identifier__wikitree,identifier__persee,wikipedia__tt,name__tt,wikipedia__am,name__am,identifier__google_plus,identifier__ne_se,identifier__songkick,identifier__ioc_athlete,identifier__NLP,identifier__LNB,wikipedia__bewikiquote,wikipedia__hsb,wikipedia__pap,instagram,name__arz,wikipedia__arz,identifier__dialnet,name__lfn,linkedin,identifier__google_knowledge,name__pa,wikipedia__pa,identifier__ssrn,identifier__TED,name__diq,name__ilo,name__tet,wikipedia__bswikiquote,wikipedia__eswikisource,wikipedia__ilo,wikipedia__itwikibooks,wikipedia__lfn,wikipedia__pmswikisource,wikipedia__tet,identifier__KLfG,identifier__DBNL,identifier__BVMC,identifier__BiblioNet,wikipedia__hrwikiquote,identifier__nlg,identifier__bna,identifier__N6I,identifier__CTHS,name__ay,wikipedia__ay,identifier__HDS,pseudonym,identifier__NPG,identifier__ODIS,wikipedia__bgwikiquote,identifier__zbMATH,identifier__MGP,name__zh_mo,name__zh_my,name__chr,name__ba,wikipedia__ba,wikipedia__chr,wikipedia__fawikiquote,identifier__JewishEnc,identifier__LAC,name__szl,name__kw,wikipedia__kw,wikipedia__szl,name__ee,name__kana,identifier__whoswho_france,identifier__italian_senate,name__te,wikipedia__nlwikinews
Q1055449,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,male,315534107,1973-03-09,Matteo,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,0000 0004 4780 2393,,,/m/05v8sl,Salvini,http://www.matteosalvini.com/,63,Matteo Salvini,Matteo Salvini,Matteo Salvini,馬泰奧·薩爾維尼,Matteo Salvini,Matteo Salvini,https://upload.wikimedia.org/wikipedia/commons/3/36/Matteo_Salvini_Viminale.jpg,302741,Matteo Salvini,106969066X,no2015030745,,,Matthaeus Salvini,Matteo Salvini,Matteo Salvini,Маттео Сальвіні,"Сальвини, Маттео",Matteo Salvini,,Category:Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matthaeus Salvini,"Сальвини, Маттео",Маттео Сальвіні,Matteo Salvini,,,,,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,ماتئو سالوینی,Matteo Salvini,ماتئو سالوینی,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,28404,matteosalvinimi,salviniofficial,,马泰奥·萨尔维尼,馬泰奧·薩爾維尼,,,,,Matteo Salvini,מתאו סלביני,마테오 살비니,Matteo Salvini,Matteo Salvini,マッテオ・サルヴェーニ,Matteo Salvini,Ματέο Σαλβίνι,ماتيو سالفيني,Matteo Salvini,,Matteo Salvini,,,,Matteo Salvini,,,,,Matteo Salvini,,Матэа Сальвіні,Matteo Salvini,,,Matteo Salvini,,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,ماتيو سالفيني,,,,Матэа Сальвіні,,,Matteo Salvini,Matteo Salvini,,Ματέο Σαλβίνι,Matteo Salvini,,מתאו סלביני,Matteo Salvini,Matteo Salvini,,Matteo Salvini,マッテオ・サルヴィーニ,,,마테오 살비니,,,,Matteo Salvini,Matteo Salvini,,Matteo Salvini,,Matteo Salvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCDjM54fZ-cD7F8uom767OhA,,,,,,,,,,Matteo Salvini,,,,Matteo Salvini,,,,,Matteo Salvini,,,,,,,,Matteo Salvini,,,,,,,,,,,,,,মাত্তেও সালভিনি,,,,,,,,,,,,,,,Matteo Salvini,Matteo Salvini,Matteo Salvini,,,,,,,,Matteo Salvini,,,,,,Matteo Salvini,,,,,,,,,,,,,,,,,,,,Categoria:Matteo Salvini,,,,,,,,,,,,,,,,,,,,,,,,,,Категория:Маттео Сальвини,,,,,,,,,,,,,,,,,,,,Matteo Salvini,,,,Matteo Salvini,,,,,,,,,,,,,,,,,,,,,Маттео Сальвіні,,,,,,,,,,politician,,,,,,,,,,,,,,,,Catégorie:Matteo Salvini,,,Matteo Salvini,,,,,,,+MatteoSalviniOfficial,,,,,,,,,matteosalviniofficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg=18&id=25407,,
Q1055587,Mario Mantovani,Mario Mantovani,Mario Mantovani,Mario Mantovani,Mario Mantovani,Mario Mantovani,male,159911120,1950-07-28,Mario,Mario Mantovani,Mario Mantovani,Mario Mantovani,Mario Mantovani,Mario Mantovani,Mario Mantovani,,,Mario Mantovani,0000 0001 1882 8728,,,/m/05v5b8,Mantovani,http://www.mariomantovani.it/,,Mario Mantovani,Mario Mantovani,Mario Mantovani,,,Mario Mantovani,https://upload.wikimedia.org/wikipedia/commons/b/be/Mario_Mantovani_datisenato_2013.jpg,,,,nb2011008690,,,,Mario Mantovani,,,,,,Category:Mario Mantovani,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Mantovani,Mario Mantovani,4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Mantovani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Mantovani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg=17&id=25208,,
Q10578186,Claudio Broglia,Claudio Broglia,Claudio Broglia,Claudio Broglia,Claudio Broglia,Claudio Broglia,male,,1961-06-28,Claudio,Claudio Broglia,Claudio Broglia,Claudio Broglia,Claudio Broglia,Claudio Broglia,Claudio Broglia,,,,,,,,Broglia,http://www.senato.it/leg/17/BGT/Schede/Attsen/00029054.htm,,,Claudio Broglia,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Claudio_Broglia_datisenato_2013.jpg,,,,,,,,Claudio Broglia,,,,,,Category:Claudio Broglia,,,,,,,,,,,,,,,,,,,,,Claudio Broglia,,Claudio Broglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Broglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Broglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1060462,Antonio De Poli,Antonio De Poli,Antonio De Poli,Antonio De Poli,Antonio De Poli,Antonio De Poli,male,,1960-10-04,Antonio,Antonio De Poli,Antonio De Poli,Antonio De Poli,Antonio De Poli,Antonio De Poli,Antonio De Poli,,,Antonio De Poli,,,,/m/05v4dn,De Poli,,,Antonio De Poli,Antonio De Poli,Antonio De Poli,,,Antonio De Poli,https://upload.wikimedia.org/wikipedia/commons/d/df/Antonio_De_Poli_datisenato_2018.jpg,302284,,,,,,,Antonio De Poli,,,,,,Category:Antonio De Poli,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio De Poli,Antonio De Poli,28417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio De Poli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio De Poli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg=15&id=22814,,
Q106446,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,female,,1966-07-23,Laura,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,,,,,,,,Garavini,http://www.senato.it/leg/18/BGT/Schede/Attsen/00025498.htm,332722,,Laura Garavini,,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Laura_Garavini_datisenato_2018.jpg,302899,Laura Garavini,,,,,,Laura Garavini,,,,,,Category:Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lauragaravini,laura.garavini.5,,,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Garavini,Laura Garavini,Laura Garavini,,,,,,,,,,Laura Garavini,,,,,,,,,,,,Laura Garavini,Laura Garavini,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1077663,Gianluca Susta,Gianluca Susta,Gianluca Susta,Gianluca Susta,Gianluca Susta,Gianluca Susta,male,232632835,1956-04-10,Gianluca,Gianluca Susta,Gianluca Susta,Gianluca Susta,Gianluca Susta,Gianluca Susta,Gianluca Susta,,,Gianluca Susta,0000 0004 1978 0588,,,/m/0dj65y,Susta,,,Gianluca Susta,Gianluca Susta,Gianluca Susta,,Gianluca Susta,Gianluca Susta,https://upload.wikimedia.org/wikipedia/commons/3/30/Gianluca_Susta_datisenato_2013.jpg,,Gianluca Susta,,,,,,Gianluca Susta,,,,,,Category:Gianluca Susta,,,,,,,,,,,,,,,,,,,,,,,,,,Gianluca Susta,Gianluca Susta,36396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianluca Susta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianluca Susta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10843324,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,female,,1968-03-29,Francesca,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,Francesca Alderisi,,,,,,,,Alderisi,http://www.senato.it/leg/18/BGT/Schede/Attsen/00032742.htm,,,Francesca Alderisi,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Francesca_Alderisi_datisenato_2018.jpg,,,,,,,,Francesca Alderisi,,,,,,Category:Francesca Alderisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesca Alderisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesca Alderisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10861968,Vito Crimi,Vito Crimi,Vito Crimi,Vito Crimi,Vito Crimi,Vito Crimi,male,,1972-04-26,Vito,Vito Crimi,Vito Crimi,Vito Crimi,Vito Crimi,Vito Crimi,Vito Crimi,,,,,,,,Crimi,,494710,,Vito Crimi,,,Vito Crimi,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Vito_Claudio_Crimi_datisenato_2018.jpg,,,,,,,,Vito Crimi,,,"Крими, Вито",,,Category:Vito Crimi,,,,Vito Crimi,,"Крими, Вито",,,,,,,,,,,,,,,Vito Crimi,,Vito Crimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vito Crimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vito Crimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1122768,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,male,233083822,1959-06-19,Alberto,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,,Alberto Balboni,,,,,,Balboni,http://www.senato.it/leg/18/BGT/Schede/Attsen/00017542.htm,,Alberto Balboni,Alberto Balboni,,,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Alberto_Balboni_datisenato_2018.jpg,,,,,,,,Alberto Balboni,,,,,,Category:Alberto Balboni,,,,,,,,,,,,,,,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,Alberto Balboni,,,,,,,Alberto Balboni,,,,,,,,,,,,Alberto Balboni,,,,Alberto Balboni,,,,,Alberto Balboni,,,,,,Alberto Balboni,,,,,,Alberto Balboni,,,,,,,,,Alberto Balboni,,,,,Alberto Balboni,,,,,,,,Alberto Balboni,,,,,,,,,,,,,Alberto Balboni,,,,,,Alberto Balboni,Alberto Balboni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Balboni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Balboni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg=18&id=17542,,
Q1145177,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,female,76391933,1952-05-13,Emma,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,,Emma Fattorini,,0000 0000 6149 6725,,,,Fattorini,http://www.senato.it/leg/17/BGT/Schede_v3/Attsen/00029094.htm,,Emma Fattorini,Emma Fattorini,,,,Emma Fattorini,https://upload.wikimedia.org/wikipedia/commons/e/e9/Emma_Fattorini_-_September_2016_(cropped).jpg,,Emma Fattorini,,nr94025114,,344345416,,Emma Fattorini,,,,,,Category:Emma Fattorini,,,,,,,,,,,,,,,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,Emma Fattorini,,Emma Fattorini,,Emma Fattorini,,,Emma Fattorini,,,,,,,,,,,,Emma Fattorini,,,,Emma Fattorini,,,,,Emma Fattorini,,,,,,Emma Fattorini,,,,,,Emma Fattorini,,,,,,,,,Emma Fattorini,,,,,Emma Fattorini,,,,,,,,Emma Fattorini,,,,,,,,,,,,,Emma Fattorini,,,,,,Emma Fattorini,Emma Fattorini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma Fattorini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma Fattorini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,36016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
