id,name,position,start_date,end_date,type
e1c78af9-95c5-4fb7-8c4a-e96f05311e4a,"Balla, Mihály",member of the European Parliament,,,other_legislatures
7559275b-e71d-41d1-b4d2-18e59ba64919,"Balog, Zoltán",Minister of Human Resources,2012-05-14,,executive
2ac33939-33eb-4586-84a7-014aae1315c9,"Bencsik, János",Mayor of Tatabánya,1990,2010,other
904ef86b-6073-4c88-9645-019e58e67bf9,"Burány, Sándor",Minister of Labour,,,executive
8f0bd1db-4a3d-45bd-99a5-2e2387a9cc6b,"Bánki, Erik",member of the European Parliament,,,other_legislatures
2d0ecbd4-d03d-49dc-8145-4893a3367178,"Dr. Fónagy, János",Minister of Transport and Water Management,2000-10-01,2002-05-27,executive
5d1c52f5-fa92-4b27-b9eb-e5e333156b3e,"Dr. Kovács, Zoltán",Secretary of State for Territorial Public Administration,2014-06,,executive
2e6f896f-a6dc-4915-9e43-ba363a27db26,"Dr. Simicskó, István",Minister of Defence of Hungary,2015-09-10,,executive
27441808-474d-4a03-80e9-d69837888cd6,"Gyurcsány, Ferenc",Prime Minister of Hungary,2004-09-29,2009-04-14,executive
27441808-474d-4a03-80e9-d69837888cd6,"Gyurcsány, Ferenc",Minister of Youth Affairs and Sports,2003-05-18,2004-09-27,executive
f68d156b-d5b3-426d-8f97-ae7107cb47ee,"Harangozó, Gábor István",member of the European Parliament,,,other_legislatures
1a7ebf9b-9090-4e6f-883d-ed950e8422f4,"Hende, Csaba",Minister of Defence of Hungary,2010-05-29,2015-09-07,executive
8dae98a0-0aef-47f2-8318-b1f88fe30dff,"Kövér, László",member of the European Parliament,,,other_legislatures
8dae98a0-0aef-47f2-8318-b1f88fe30dff,"Kövér, László",President of Hungary,2012-04-02,2012-05-09,executive
8dae98a0-0aef-47f2-8318-b1f88fe30dff,"Kövér, László",Speaker of the National Assembly of Hungary,,,self
8dae98a0-0aef-47f2-8318-b1f88fe30dff,"Kövér, László",Minister of Civilian Intelligence Services,,,executive
b8ae6795-0323-418a-a81d-58ebcac51143,"Manninger, Jenő",member of the European Parliament,,,other_legislatures
57fa740e-e466-4913-a56a-48c2337575ab,"Németh, Zsolt",member of the European Parliament,,,other_legislatures
e12324bb-f3f2-41a7-9aa7-c730553cdfb4,"Orbán, Viktor",Prime Minister of Hungary,2010-05-29,,executive
e12324bb-f3f2-41a7-9aa7-c730553cdfb4,"Orbán, Viktor",Prime Minister of Hungary,1998-07-08,2002-05-27,executive
