id,name,honorific_prefix,image,party,email,source,term
Ardwell.Irion,Ardwell M.R. Irion,"",http://www.sxmparliament.org/images/irion.jpg,National Alliance,Ardwell.Irion@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Christophe.Emmanuel,Christophe T. Emmanuel,"",http://www.sxmparliament.org/images/c-emmanuel.jpg,National Alliance,Christophe.Emmanuel@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Egbert.Doran,Egbert J. Doran,"",http://www.sxmparliament.org/images/MP-E.-Doran.jpg,National Alliance,Egbert.Doran@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Frans.Richardson,Frans G. Richardson,"",http://www.sxmparliament.org/images/f-richardson.jpg,United St. Maarten Party,Frans.Richardson@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Luc.Mercelina,Luc F.E. Mercelina,"",http://www.sxmparliament.org/images/MP-L.-Mercelina.jpg,United Democrats,Luc.Mercelina@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Rolando.Brison,Rolando Brison,"",http://www.sxmparliament.org/images/MP-R.-Brison.jpg,United St. Maarten Party,Rolando.Brison@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Sidharth.Bijlani,Sidharth M. Bijlani,"",http://www.sxmparliament.org/images/cookie.jpg,United Democrats,Sidharth.Bijlani@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
Silveria.Jacobs,Silveria E. Jacobs,"",http://www.sxmparliament.org/images/MP-S-Jacobs.jpg,National Alliance,Silveria.Jacobs@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
William.Marlin,William V. Marlin,"",http://www.sxmparliament.org/images/w-marlin.jpg,National Alliance,William.Marlin@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
chanel.brownbill,Chanel E. Brownbill,"",http://www.sxmparliament.org/images/browbill.jpg,United Democrats,chanel.brownbill@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
claude.peterson,Claude A.H. Peterson,"",http://www.sxmparliament.org/images/cpeterson.jpg,Sint Maarten Christian Party,claude.peterson@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
franklin.meyers,Franklin A. Meyers,"",http://www.sxmparliament.org/images/fmeyers.jpg,United Democrats,franklin.meyers@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
sarah.wescot-williams,Sarah A. Wescot-Williams,"",http://www.sxmparliament.org/images/s-williams.jpg,United Democrats,sarah.wescot-williams@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
tamara.leonard,Tamara E. Leonard,"",http://www.sxmparliament.org/images/tamara.jpg,United Democrats,tamara.leonard@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
theodore.heyliger,Theodore E. Heyliger,"",http://www.sxmparliament.org/images/t-heyliger.jpg,United Democrats,theodore.heyliger@sxmparliament.org,http://www.sxmparliament.org/organization/members-of-parliament.html,4
