id,name,given_name,family_name,sort_name,name__mn,image,email,website,facebook,twitter,source
10,BAYARTSOGT Sangajav,BAYARTSOGT,Sangajav,Sangajav BAYARTSOGT,Сангажавын Баярцогт,http://www.parliament.mn/en/files/images/663-7864481.jpg,bayartsogt@parliament.mn,http://bayartsogt.parliament.mn,,,http://www.parliament.mn/en/who?type=3&cid=10
11,TSOG Log,TSOG,Log,Log TSOG,Логийн Цог,http://www.parliament.mn/en/files/images/667-7864481.jpg,tsog@parliament.mn,http://tsog.parliament.mn,,,http://www.parliament.mn/en/who?type=3&cid=11
12,ENKHTUVSHIN Ulziisaikhan,ENKHTUVSHIN,Ulziisaikhan,Ulziisaikhan ENKHTUVSHIN,Өлзийсайханы Энхтүвшин,http://www.parliament.mn/en/files/images/669-7864481.jpg,enkhtuvshin@parliament.mn,http://enkhtuvshin.parliament.mn,,,http://www.parliament.mn/en/who?type=3&cid=12
13,ALTANKHUYAG Norov,ALTANKHUYAG,Norov,Norov ALTANKHUYAG,Норовын Алтанхуяг,http://www.parliament.mn/en/files/images/672-7864481.jpg,altankhuyag@parliament.mn,http://altankhuyag.parliament.mn,https://www.facebook.com/altankhuyag.norov,https://twitter.com/altankhuyag_mn,http://www.parliament.mn/en/who?type=3&cid=13
14,BAYANSELENGE Zangad,BAYANSELENGE,Zangad,Zangad BAYANSELENGE,Зангадын Баянсэлэнгэ,http://www.parliament.mn/en/files/images/675-7864481.jpg,bayanselenge@parliament.mn,http://bayanselenge.parliament.mn,,,http://www.parliament.mn/en/who?type=3&cid=14
15,AMARJARGAL Rinchinnyam,AMARJARGAL,Rinchinnyam,Rinchinnyam AMARJARGAL,Ринчиннямын Амаржаргал,http://www.parliament.mn/en/files/images/703-7864481.jpg,arinchin@parliament.mn,,https://www.facebook.com/amarjargalorg,https://twitter.com/AmarjargalR,http://www.parliament.mn/en/who?type=3&cid=15
16,BAASANKHUU Octyaber,BAASANKHUU,Octyaber,Octyaber BAASANKHUU,Октябрийн Баасанхүү,http://www.parliament.mn/en/files/images/705-7864481.jpg,baasankhuu@parliament.mn,http://baasankhuu.parliament.mn,https://www.facebook.com/О.Баасанхүү /УИХ-ын гишүүн/,https://twitter.com/baasankhuu_o,http://www.parliament.mn/en/who?type=3&cid=16
17,BAKEI Agipar,BAKEI,Agipar,Agipar BAKEI,Агипарын Бакей,http://www.parliament.mn/en/files/images/709-7864481.jpg,bakei@parliament.mn,http://bakei.parliament.mn,https://www.facebook.com/bakey.agipar,https://twitter.com/BakeyAgipar,http://www.parliament.mn/en/who?type=3&cid=17
18,BAT-ERDENE Dashdemberel,BAT-ERDENE,Dashdemberel,Dashdemberel BAT-ERDENE,Дашдэмбэрэлийн Бат-Эрдэнэ,http://www.parliament.mn/en/files/images/711-7864481.jpg,baterdened@parliament.mn,http://baterdened.parliament.mn,http://www.facebook.com/BaterdeneDashdemberel,http://twitter.com/d_baterdene,http://www.parliament.mn/en/who?type=3&cid=18
19,BAT-ERDENE Badmaanyambuu,BAT-ERDENE,Badmaanyambuu,Badmaanyambuu BAT-ERDENE,Бадмаанямбуугийн Бат-Эрдэнэ,http://www.parliament.mn/en/files/images/713-7864481.jpg,baterdeneb@parliament.mn,http://baterdeneb.parliament.mn,,,http://www.parliament.mn/en/who?type=3&cid=19
