id,name__bg,name__pl,name__uk,name__en,name__fr,name,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__pl,wikipedia__uk,gender,birth_date,given_name,name__mk,name__nl,wikipedia__en,wikipedia__mk,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__SUDOC,name__lb,name__zh,name__he,name__ko,name__es,name__oc,name__ie,name__yo,name__hu,name__it,name__gl,name__et,name__de,name__ja,name__el,name__sv,name__pt,name__eo,name__ru,name__sr,name__tr,name__ro,name__fi,name__la,name__cs,name__io,name__az,name__hr,name__nb,name__ml,name__pt_br,name__ar,name__sh,name__ca,name__de_ch,name__en_ca,name__en_gb,name__pam,name__cy,name__fa,name__ku,name__da,name__nn,name__vi,name__be,name__id,name__bs,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eowikiquote,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__trwikiquote,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__LCAuth,identifier__freebase,identifier__NKC,identifier__Munzinger,identifier__parlement,twitter,name__sk,name__sr_el,name__sr_ec,name__sl,wikipedia__dewikiquote,wikipedia__sk,wikipedia__sl,identifier__EuroparlMEP,facebook,identifier__BNF,death_date,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__se,name__be_tarask,name__lt,name__sq,wikipedia__be_x_old,wikipedia__da,wikipedia__lt,wikipedia__nn,wikipedia__se,wikipedia__sq,name__kk,wikipedia__kk,identifier__IMDB,name__mn,wikipedia__mn,identifier__NTA,family_name,wikipedia__ukwikiquote,name__is,wikipedia__is,name__mg,wikipedia__mg,name__sco,wikipedia__sco,name__lv,name__cu,name__ka,name__hy,wikipedia__bs,wikipedia__cu,wikipedia__hy,wikipedia__ka,wikipedia__lv,identifier__NNDB,name__gd,name__br,name__ast,name__mr,name__qu,name__uz,wikipedia__ast,wikipedia__br,wikipedia__gd,wikipedia__mr,wikipedia__qu,wikipedia__uz,name__ms,name__bn,name__ckb,name__te,wikipedia__bn,wikipedia__ckb,wikipedia__ms,identifier__IIAF,website,original_wikiname,identifier__FAST,identifier__OLID,last_seen,identifier__PACE,wikipedia__hsb,name__hsb,identifier__Britannica,wikipedia__fawikiquote,name__bar,occupation,identifier__nlg,identifier__NLI,identifier__NUKAT,identifier__NLP,name__tt,wikipedia__frwikinews,wikipedia__arwikinews,identifier__google_plus,identifier__quora,identifier__ioc_athlete,wikipedia__eu,name__eu,identifier__google_knowledge,name__an,name__ang,name__th,name__nds,name__os,wikipedia__ang,wikipedia__an,wikipedia__nds,wikipedia__os,wikipedia__plwikiquote,wikipedia__th
Q1060355,Симеон Сакскобургготски,Symeon II,Симеон II,Simeon Saxe-Coburg-Gotha,Siméon II de Bulgarie,Симеон Сакскобургготски,Симеон Сакскобургготски,Симеон Сакскобургготски,Symeon II,Симеон II,male,1937-06-16,Simeon,Симеон ІІ,Simeon van Saksen-Coburg en Gotha,Simeon Saxe-Coburg-Gotha,Симеон ІІ,0000 0001 1507 0907,51739490,11909973X,077902904,,西美昂·萨克森-科堡-哥达斯基,סימאון סקסקובורגותסקי,시메온 2세,Simeón de Bulgaria,,,,II. Simeon bolgár cár,Simeone II di Bulgaria,Simeón II de Bulgaria,Simeon II,Simeon Sakskoburggotski,シメオン・サクスコブルクゴツキ,Συμεών Β΄ της Βουλγαρίας,Simeon Sachsen-Coburg-Gotha,Simeão II da Bulgária,Simeono la 2-a,Симеон II,Симеон II од Бугарске,Simeon Sakskoburggotski,Simeon al II-lea al Bulgariei,Simeon Sakskoburggotski,Simeon II,Simeon II.,Simeon Saxe-Coburg-Gotha,,,Simeon av Sachsen-Coburg-Gotha,,Simeão II da Bulgária,سيميون الثاني ملك بلغاريا,,Simeó II de Bulgària,Simeon Sakskoburggotski,Simeon Saxe-Coburg-Gotha,Simeon Saxe-Coburg-Gotha,,,سیمئون زاکسن-کبورگ و گوتا,,Simeon Sachsen-Coburg-Gotha,,,Сімяон II,Simeon Sakskoburggotski,,سيميون الثاني ملك بلغاريا,,Сімяон II,Simeó II de Bulgària,Category:Simeon II of Bulgaria,Simeon II.,,Simeon Sakskoburggotski,Συμεών Σαξ Κόμπουργκ Γκότα,,Simeono la 2-a (Bulgario),,Simeón de Bulgaria,Simeon II,سیمئون زاکس-کبورگ و گوتا,Simeon Sakskoburggotski,Siméon II (roi de Bulgarie),Simeón II de Bulgaria,סימאון סקסקובורגותסקי,,II. Simeon bolgár cár,Simeon Sakskoburggotski,,Simeon Saxe-Coburg-Gotha,Simeone II di Bulgaria,,シメオン・サクスコブルクゴツキ,시메온 2세,,Simeon II (rex Bulgariae),,,Simeon van Saksen-Coburg en Gotha,Simeon av Sachsen-Coburg-Gotha,,,Simeão II da Bulgária,Simeon de Saxa-Coburg-Gotha,Симеон II,,,Simeon Saxe-Coburg-Gotha,Симеон II од Бугарске,Simeon Sachsen-Coburg-Gotha,Simeon Sakskoburggotski,,,,西美昂·萨克森-科堡-哥达斯基,https://upload.wikimedia.org/wikipedia/commons/d/de/Simeon_II_of_Bulgaria.jpg,n85228732,/m/025s8jc,,00000000468,,,Simeon II.,,,Simeon Saxe-Coburg-Gotha,,Simeon II.,Simeon Saxe-Coburg-Gotha,,,12215594r,,,,,,,,,,,,,Simeon Sachsen-Coburg-Gotha,,,,,,,,,,,,,,,,,Simeon Saxe-Coburg-Gotha,Simeon Saxe-Coburg-Gotha,Simeons Sakskoburgotskis,,,,,,,,Simeons Sakskoburgotskis,,,,,सिमिओन सॅक्स-कोबर्ग-गोथा,,,,,,सिमिओन सॅक्स-कोबर्ग-गोथा,,,,,,,,,,,http://kingsimeon.bg,Симеон Сакскобургготски,1732828,,,,,,biography/Simeon-Saxecoburggotski,,,politician,,,,,,,,,,,Simeon II.a Bulgariakoa,Simeon II.a Bulgariakoa,,Simeón II de Bulgaria,Simeon II Pulgara Cyning,พระเจ้าซาร์ซีโมนที่ 2 แห่งบัลแกเรีย,Simeon II.,"Сакскобургготский, Симеон Борисов",Simeon II Pulgara Cyning,Simeón II de Bulgaria,Simeon II.,"Сакскобургготский, Симеон Борисов",Symeon II,ซีโมน แซ็กซ์-โคบูร์ก-ก็อตธา
Q11202691,Борис Велчев,Boris Wełczew,,Boris Velchev,,Борис Велчев,Борис Велчев (юрист),Борис Велчев,Boris Wełczew,,male,1962-04-26,Boris,,Boris Velchev,Boris Velchev,,,,,,,,,,,,,,,Boris Velchev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/BorisVelchev.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Борис Велчев (юрист),,,,,,,,,,judge,,,,,,,,,,,,,/g/121z20d9,,,,,,,,,,,
Q11692807,Даниел Вълчев,Daniel Wyłczew,,,,Даниел Вълчев,Даниел Вълчев,Даниел Вълчев,Danieł Wyłczew,,male,1962-08-10,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/DValtchev.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Даниел Вълчев,,,,,,,,,,docent,,,,,,,,,,,,,,,,,,,,,,,,
Q11696414,Екатерина Михайлова,Ekaterina Michajłowa,,Ekaterina Mihaylova,Ekaterina Mihaylova,Екатерина Михайлова,Екатерина Михайлова,Екатерина Михайлова,Ekaterina Michajłowa,,female,1956-10-24,Ekaterina,,Ekaterina Mihaylova,Ekaterina Mihaylova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Екатерина Михайлова,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,
Q11699668,Георги Петканов,Georgi Petkanow,,Georgi Petkanow,Georgi Petkanow,Георги Петканов,Георги Петканов,Георги Петканов,Georgi Petkanow,,male,1947-11-01,Georgi,,Georgi Petkanow,,,,,,,,,,,,,,,,,,,Georgi Petkanow,,,,,,,,,,,,,,,,,,,,,,,,,,Georgi Petkanow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Георги Петканов,,,,,,,,,,jurist,,,,,,,,,,,,,,,,,,,,,,,,
Q11699699,Гергана Паси,Gergana Pasi,,,,Гергана Паси,Гергана Паси,,Gergana Pasi,,female,1973-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Gergana_Grancharova.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гергана Паси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728233,Йордан Нихризов,Jordan Nichrizow,,,,Йордан Нихризов,Йордан Нихризов,,Jordan Nichrizow,,male,1953-10-08,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/55/Jordan.nihrizov.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Йордан Нихризов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11776956,Меглена Плугчиева,Meglena Pługcziewa,,,,Меглена Плугчиева,Меглена Плугчиева,,Meglena Pługcziewa,,female,1956-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Меглена Плугчиева,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11778487,Михаил Миков,Michaił Mikow,Міхаіл Міков,Mihail Mikov,Mihaïl Mikov,Михаил Миков,Михаил Миков,Михаил Миков,Michaił Mikow,Михаїл Міков,male,1960-06-16,Michail,,Michail Mikov,Mihail Mikov,,,,,,,,,,Mihail Mikov,,,,Mihail Mikov,,,,,ミハイル・ミコフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaïl Mikov,,,,,,,,,,,,,,,,Michail Mikov,,,,,,"Миков, Михаил",,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/MihailMikov3.jpg,,/m/0vxgnr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Михаил Миков,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,
Q11816052,Петър Берон,Petyr Beron,Петар Берон,Petar Beron,Petʺr Beron,Петър Берон,Петър Берон (политик),Петър Берон (политик),Petyr Beron,,male,1940-03-14,Petar,,Petar Beron,Petar Beron (politician),,0000 0000 3768 5534,19797604,118656600,026723174,,,,,,,,,,,,,Petar Beron,,,,,,,,,,,,,,,,,,,,,,,,,,,پیتر بران,,,,,,,,,,,,,,,,,,,,,,پیتر بران (سیاست‌مدار),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Peter-Kirilov-Beron-20101116.jpg,n87923160,,,,,,,,,,,,,,,12589756p,,,,,,,,,,,,,,,,,,,,,,,303222654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Петър Берон (политик),,,,,,,,,,zoologist,,002215208,n2012167379,A23464227,,,,,,,,,,,,,,,,,,,,
