id,name__bg,name__pt,name__en,name__de,name__nb,name__da,name__nn,name__sv,name,wikipedia__bg,wikipedia__pt,gender,given_name,original_wikiname,name__es,name__nl,name__fr,wikipedia__commons,wikipedia__en,wikipedia__es,birth_date,identifier__freebase,image,name__it,name__pt_br,wikipedia__de,wikipedia__fr,name__tw,name__la,name__war,wikipedia__it,wikipedia__la,wikipedia__tw,wikipedia__war,identifier__VIAF,name__he,name__yue,wikipedia__he,wikipedia__zh_yue,website,family_name,identifier__BNF,identifier__SUDOC,identifier__FAST,name__eo,wikipedia__eo,name__pl,wikipedia__pl,wikipedia__sv,wikipedia__ptwikiquote,identifier__LCAuth,name__ru,name__yo,wikipedia__ru,wikipedia__yo,name__fa,wikipedia__fa,name__ca,name__gl,name__ja,name__fi,name__cs,wikipedia__cs,wikipedia__fi,wikipedia__ja,wikipedia__no,name__eml,name__lmo,wikipedia__eml,wikipedia__gl,wikipedia__lmo,identifier__IMDB,identifier__MusicBrainz,name__sw,wikipedia__nl,wikipedia__simple,wikipedia__sw,identifier__ISNI,identifier__GND,identifier__allmovie,name__el,name__hu,last_seen,name__ko,twitter,instagram,name__sco,wikipedia__sco,wikipedia__eowikiquote,second_surname,name__zh,name__ro,name__id,name__lt,name__ar,wikipedia__ar,wikipedia__ca,wikipedia__id,wikipedia__lt,wikipedia__ro,name__cy,death_date,name__mwl,wikipedia__mwl,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__qu,name__be,name__lv,name__bn,name__vi,name__sk,name__mn,name__sr_el,name__sr_ec,name__tr,name__th,name__uk,name__sl,name__sgs,name__ka,name__az,name__hr,name__sr,name__br,name__mg,name__sh,name__io,name__de_ch,name__en_ca,name__en_gb,name__hy,name__ms,wikipedia__az,wikipedia__bat_smg,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__cswikiquote,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__eswikiquote,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__io,wikipedia__itwikiquote,wikipedia__ka,wikipedia__ko,wikipedia__lv,wikipedia__mg,wikipedia__mn,wikipedia__ms,wikipedia__nn,wikipedia__plwikiquote,wikipedia__qu,wikipedia__sh,wikipedia__sk,wikipedia__sl,wikipedia__slwikiquote,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,facebook,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__de_at,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__BNE,identifier__filmportal_de,identifier__OLID,identifier__AlloCine,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__NNDB,wikipedia__hywikiquote,occupation,wikipedia__et,name__is,identifier__quora,identifier__google_knowledge,identifier__songkick,wikipedia__mk,name__mk
Q10261640,,Cristiano José Rodrigues de Souza,Cristiano José Rodrigues de Souza,Cristiano José Rodrigues de Souza,,Cristiano José Rodrigues de Souza,,Cristiano José Rodrigues de Souza,Cristiano José Rodrigues de Souza,,Cristiano José Rodrigues de Souza,male,Cristiano,Cristiano José Rodrigues de Souza,,Cristiano José Rodrigues de Souza,Cristiano José Rodrigues de Souza,,,,1978-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,Cristiano José Rodrigues de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10262997,,Cândido Vaccarezza,Cândido Vaccarezza,Cândido Vaccarezza,Cândido Vaccarezza,Cândido Vaccarezza,Cândido Vaccarezza,Cândido Vaccarezza,Cândido Vaccarezza,,Cândido Vaccarezza,male,Cândido,Cândido Vaccarezza,,Cândido Vaccarezza,Cândido Vaccarezza,Category:Cândido Vaccarezza,Cândido Vaccarezza,,1955-09-26,,https://upload.wikimedia.org/wikipedia/commons/3/33/Cândido_Vaccarezza.jpg,,,,,,,,,,,,,,,,,,,,,,,,Cândido Vaccarezza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10263110,,César Colnago,César Colnago,César Colnago,César Colnago,César Colnago,César Colnago,César Colnago,César Colnago,,César Colnago,male,César,César Colnago,,César Colnago,César Colnago,,,,1958-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,César Colnago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10263709,,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,Dagoberto Nogueira Filho,,Dagoberto Nogueira Filho,male,,Dagoberto Nogueira,Dagoberto Nogueira Filho,,Dagoberto Nogueira Filho,,,,1955-07-21,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Dagoberto_Nogueira_Filho.jpg,Dagoberto Nogueira Filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10263803,,Dalva Figueiredo,Dalva Figueiredo,Dalva Figueiredo,Dalva Figueiredo,Dalva Figueiredo,Dalva Figueiredo,Dalva Figueiredo,Dalva Figueiredo,,Dalva Figueiredo,female,,Dalva Figueiredo,,,Dalva Figueiredo,,,,1961-04-25,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Dalva_Figueiredo.jpg,Dalva Figueiredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10263827,,Damião Feliciano,Damião Feliciano,Damião Feliciano,Damião Feliciano,Damião Feliciano,Damião Feliciano,Damião Feliciano,Damião Feliciano,,Damião Feliciano,male,Damião,Damião Feliciano da Silva,,Damião Feliciano,Damião Feliciano,,,,1952-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,Damião Feliciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,
Q10263907,,Daniel Almeida,Daniel Almeida,Daniel Almeida,Daniel Almeida,Daniel Almeida,Daniel Almeida,Daniel Almeida,Daniel Almeida,,Daniel Almeida,male,Daniel,Daniel Almeida,,Daniel Almeida,Daniel Almeida,,,,1955-01-21,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Daniel_Almeida_-_Deputado_Federal.jpg,Daniel Almeida,,,,,,,,,,,,,,,,,,,,,,,Daniel Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10263927,,Daniel Coelho,Daniel Coelho,Daniel Coelho,Daniel Coelho,Daniel Coelho,Daniel Coelho,Daniel Coelho,Daniel Coelho,,Daniel Coelho,male,Daniel,Daniel Coelho,,,Daniel Coelho,,,,1978-11-04,,,Daniel Coelho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10264196,,Darci Pompeo de Mattos,Darci Pompeo de Mattos,Darci Pompeo de Mattos,,,,,Darci Pompeo de Mattos,,Pompeo de Mattos,male,Darci,Pompeo de Mattos,,,Darci Pompeo de Mattos,Category:Pompeo de Mattos,,,1958-07-12,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Pompeo_de_mattos.jpg,Darci Pompeo de Mattos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q10264359,,Davi Alcolumbre,Davi Alcolumbre,Davi Alcolumbre,Davi Alcolumbre,Davi Alcolumbre,Davi Alcolumbre,Davi Alcolumbre,Davi Alcolumbre,,Davi Alcolumbre,male,Davi,David Samuel Alcolumbre Tobelem,,Davi Alcolumbre,Davi Alcolumbre,,Davi Alcolumbre,,1977-06-19,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Foto_oficial_de_Davi_Alcolumbre.jpg,Davi Alcolumbre,,,,,,,,,,,,,,,,,,,,,,,Davi Alcolumbre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
