id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
54d2a508273a394ad5db98b6,Alexander Slafkovský,alexander_slafkovsky@nrsr.sk,,Klub SDKÚ-DS,54d2a6ec273a394ad5dbb2ac,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a508273a394ad5db98b6/image.jpeg,male
54d2a4a7273a394ad5db97b3,Anna Belousovová,anna_belousovova@nrsr.sk,,Klub SNS,54d2a6ef273a394ad5dbb326,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a4a7273a394ad5db97b3/image.jpeg,female
54d2a6a9273a394ad5dbad3e,Anna Szögedi,anna_szogedi@nrsr.sk,,Klub SMK-MKP,54d2a6f0273a394ad5dbb35e,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a6a9273a394ad5dbad3e/image.jpeg,female
54d2a640273a394ad5dbac9c,Anton Bobrík,anton_bobrik@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2006-08-01,2006-11-08,http://files.parldata.eu/sk/nrsr/people/54d2a640273a394ad5dbac9c/image.jpeg,male
54d2a640273a394ad5dbac9c,Anton Bobrík,anton_bobrik@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2007-02-01,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a640273a394ad5dbac9c/image.jpeg,male
54d2a66e273a394ad5dbace0,Anton Korba,anton_korba@nrsr.sk,,Klub SNS,54d2a6ef273a394ad5dbb326,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a66e273a394ad5dbace0/image.jpeg,male
54d2a6a1273a394ad5dbad32,Beata Sániová,beata_saniova@nrsr.sk,,Klub ĽS-HZDS,54d2a6f2273a394ad5dbb394,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a6a1273a394ad5dbad32/image.jpeg,female
54d2a661273a394ad5dbaccc,Boris Hradecký,,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2007-05-10,2008-08-26,http://files.parldata.eu/sk/nrsr/people/54d2a661273a394ad5dbaccc/image.jpeg,male
54d2a661273a394ad5dbaccc,Boris Hradecký,,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2008-08-26,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a661273a394ad5dbaccc/image.jpeg,male
54d2a489273a394ad5db959c,Boris Zala,boris_zala@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2009-07-14,http://files.parldata.eu/sk/nrsr/people/54d2a489273a394ad5db959c/image.jpeg,male
54d2a63a273a394ad5dbac96,Branislav Bačík,branislav_bacik@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2006-08-01,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a63a273a394ad5dbac96/image.jpeg,male
54d2a438273a394ad5db9295,Béla Bugár,bela_bugar@nrsr.sk,,Klub MOST-HÍD,54d2a87f273a394ad5dbc864,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a438273a394ad5db9295/image.jpeg,male
54d2a438273a394ad5db9295,Béla Bugár,bela_bugar@nrsr.sk,,Klub SMK-MKP,54d2a6f0273a394ad5dbb35e,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2009-04-22,http://files.parldata.eu/sk/nrsr/people/54d2a438273a394ad5db9295/image.jpeg,male
54d2a5a4273a394ad5dba0a4,Daniel Lipšic,daniel_lipsic@nrsr.sk,,Klub KDH,54d2a6ee273a394ad5dbb300,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a5a4273a394ad5dba0a4/image.jpeg,male
54d2a580273a394ad5dba060,Darina Gabániová,darina_gabaniova@nrsr.sk,,Klub SMER-SD,54d2a87a273a394ad5dbc780,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a580273a394ad5dba060/image.jpeg,female
54d2a580273a394ad5dba060,Darina Gabániová,darina_gabaniova@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a580273a394ad5dba060/image.jpeg,female
54d2a656273a394ad5dbacb4,Dušan Galis,dusan_galis@nrsr.sk,,Klub SMER-SD,54d2a87a273a394ad5dbc780,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a656273a394ad5dbacb4/image.jpeg,male
54d2a656273a394ad5dbacb4,Dušan Galis,dusan_galis@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a656273a394ad5dbacb4/image.jpeg,male
54d2a4d3273a394ad5db984e,Dušan Jarjabek,dusan_jarjabek@nrsr.sk,,Klub SMER-SD,54d2a87a273a394ad5dbc780,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984e/image.jpeg,male
54d2a4d3273a394ad5db984e,Dušan Jarjabek,dusan_jarjabek@nrsr.sk,,Klub SMER-SD,54d2a6ea273a394ad5dbb212,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2010-06-12,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984e/image.jpeg,male
54d2a5b3273a394ad5dba0c4,Dušan Muňko,dusan_munko@nrsr.sk,,Klub SMER-SD,54d2a87a273a394ad5dbc780,,Národná rada,54d2a637273a394ad5dbac90,2006-07-04,2008-08-20,http://files.parldata.eu/sk/nrsr/people/54d2a5b3273a394ad5dba0c4/image.jpeg,male
