id,name__en,name,wikipedia__en,gender,birth_date,given_name,image,identifier__freebase,name__de,name__nl,name__it,name__fr,name__es,wikipedia__fr,name__zh,wikipedia__zh,name__lb,name__pt,name__pl,name__sm,name__ru,name__tr,name__yo,name__fi,name__gl,name__et,name__id,name__ja,name__el,name__sh,name__lt,name__sv,name__sr,name__hr,name__nb,name__da,name__nn,name__ko,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sm,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__yo,orig,original_wikiname,wikipedia__vi,wikipedia__cy,name__hu
Q4646813,A'eau Peniamina,A'eau Peniamina,A'eau Peniamina,male,,,,,A'eau Peniamina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'eau Peniamina,,,
Q4827954,Aveau Niko Palamo,Aveau Niko Palamo,Aveau Niko Palamo,male,,,,,Aveau Niko Palamo,Aveau Niko Palamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aveau Niko Palamo,,,
Q16107028,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,male,1945-09-19,,,,Faumuina Tiatia Liuga,,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faumuina Tiatia Liuga,,,
Q5446290,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,female,,Naomi,,,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,,Naomi Mata'afa,Fiame Naomi Mata'afa,Naomi Mata'afa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiame Naomi Mata'afa,,,Fiame Naomi Mata'afa
Q5527465,Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,female,,,,,,Gatoloaifaana Amataga Alesana-Gidlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gatoloaifaana Amataga Alesana-Gidlow,,,
Q16734600,Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,male,,,,,Laauli Leuatea Polataivao,,Laauli Leuatea Polataivao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laauli Leuatea Polataivao,,,
Q16875144,Le Mamea Ropati,Le Mamea Ropati,Le Mamea Ropati,male,,,,,Le Mamea Ropati,,Le Mamea Ropati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Mamea Ropati,,,
Q6509359,Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,male,,,,,Lealailepule Rimoni Aiafi,,Lealailepule Rimoni Aiafi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lealailepule Rimoni Aiafi,,,
Q16731362,Lefau Harry Schuster,Lefau Harry Schuster,Lefau Harry Schuster,male,,,,,Lefau Harry Schuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lefau Harry Schuster,,,
Q6930668,Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,male,,,,,Muagututagata Peter Ah Him,,Muagututagata Peter Ah Him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muagututagata Peter Ah Him,,,
Q11041329,Niko Lee Hang,Niko Lee Hang,Niko Lee Hang,male,,Niko,,,Niko Lee Hang,,,,,,尼科·李航,尼科·李航,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niko Lee Hang,,,
Q7128848,Palusalue Fa’apo II,Palusalue Fa’apo II,Palusalue Fa’apo II,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palusalue Fa’apo II,,,
Q7814479,Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,male,,,,,Tolofuaivalelei Falemoe Lei’ataua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolofuaivalelei Falemoe Lei’ataua,,,
Q57723,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,male,1945-04-14,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Tuilaepa_Sailele_Malielegaoi.jpg,/m/08jzgq,Sailele Tuilaʻepa Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,Sailele Malielegaoi,图伊拉埃帕·萨伊莱莱·马利埃莱额奥伊,图伊拉埃帕·萨伊莱莱·马利埃莱额奥伊,Sailele Tuila'epa Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,"Малиелегаои, Туилаэпа Аионо Саилеле",Tuila'epa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuila’epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,トゥイラエパ・サイレレ・マリエレガオイ,Τουιλαέπα Σαϊλέλε Μαλιελεγκαόι,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Sailele Malielegaoi Tuila'epa,Туилаепа Аионо Саилеле Малијелегаои,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,투일라에파 사일렐레 말리엘레가오이,Sailele Tuilaʻepa Malielegaoi,Τουιλαέπα Σαϊλέλε Μαλιελεγκαόι,Tuila'epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuila’epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,トゥイラエパ・サイレレ・マリエレガオイ,투일라에파 사일렐레 말리엘레가오이,Sailele Tuila'epa Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,"Малиелегаои, Туилаэпа Аионо Саилеле",Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Туилаепа Аионо Саилеле Малијелегаои,Tuilaepa Aiono Sailele Malielegaoi,Tuila'epa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,
Q16886220,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,male,,,,,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuitama Talalelei Tuitama,,,
Q7857077,Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,male,,,,,Tuu'u Anasi'i Leota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuu'u Anasi'i Leota,,,
Q7907779,Va'ai Papu Vailupe,Va'ai Papu Vailupe,Va'ai Papu Vailupe,male,,,,,Va'ai Papu Vailupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Va'ai Papu Vailupe,,,
