id,name__sr,name__fr,name__el,name__en,name__de,name__sh,name__nl,name,wikipedia__commons,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,gender,birth_date,given_name,original_wikiname,name__ru,name__cs,name__nb,name__da,name__nn,name__sv,wikipedia__cswikiquote,wikipedia__de,wikipedia__ru,identifier__MusicBrainz,family_name,name__ja,name__es,name__it,wikipedia__es,wikipedia__it,wikipedia__ja,identifier__freebase,name__pl,name__ie,name__hr,name__uk,wikipedia__cs,wikipedia__hr,wikipedia__ie,wikipedia__pl,wikipedia__uk,identifier__ISNI,identifier__VIAF,identifier__LCAuth,name__hu,name__ca,name__sr_ec,name__sr_el,name__en_ca,name__en_gb,name__bs,name__de_ch,name__lb,name__tr,name__lmo,name__la,name__sl,name__et,name__he,name__fi,name__vi,name__ka,name__gl,name__zh,wikipedia__bs,wikipedia__bswikiquote,wikipedia__ca,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__itwikiquote,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__slwikiquote,wikipedia__srwikiquote,wikipedia__tr,wikipedia__vi,wikipedia__zh,wikipedia__sv,name__mk,wikipedia__mk,name__ro,death_date,identifier__BNF,name__mg,wikipedia__mg,wikipedia__ro,identifier__GND,identifier__SUDOC,name__sq,wikipedia__sq,name__bg,name__io,name__be,name__oc,wikipedia__bg,wikipedia__da,wikipedia__io,name__cy,wikipedia__sl,website,identifier__NKC,identifier__NTA,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__id,name__ar,name__pt,name__sk,name__hy,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__hy,wikipedia__id,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__sk,identifier__FIFA,wikipedia__be,twitter,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__rm,identifier__Munzinger,identifier__Britannica,facebook,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__CSFD
Q10482245,,Nebojša Petrović,,Nebojša Petrović,,,Nebojša Petrović,Nebojša Petrović,,,Nebojša Petrović,,,,,male,,Nebojša,Nebojša Petrović,,,,,,,,,,,,,Nebojša Petrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11074974,Александар Вулин,Aleksandar Vulin,Αλεξάνταρ Βουλίν,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Category:Aleksandar Vulin,Αλεξάνταρ Βουλίν,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Александар Вулин,https://upload.wikimedia.org/wikipedia/commons/c/ce/Aleksandar_Vulin_Crop.jpg,male,1972-10-02,Aleksandar,Aleksandar Vulin,,Aleksandar Vulin,,,,,,,,,,,Aleksandar Vulin,Aleksandar Vulin,,Aleksandar Vulin,,/m/0r8lf11,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Александар Вулін,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Александар Вулін,0000 0000 5370 9313,19409915,no2005043543,Aleksandar Vulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1192059,Славица Ђукић Дејановић,Slavica Đukić Dejanović,,Slavica Đukić Dejanović,,Slavica Đukić-Dejanović,Slavica Đukić Dejanović,Slavica Đukić Dejanović,Category:Slavica Đukić-Dejanović,,Slavica Đukić Dejanović,Slavica Đukić Dejanović,Slavica Đukić-Dejanović,Славица Ђукић Дејановић,https://upload.wikimedia.org/wikipedia/commons/c/c0/Slavica_Djukic_Dejanovic_(1).jpg,female,1951-07-04,,Slavica Đukić Dejanović,"Джукич-Деянович, Славица",Slavica Djukićová Dejanovićová,Slavica Đukić-Dejanović,Slavica Đukić-Dejanović,Slavica Đukić-Dejanović,Slavica Đukić-Dejanović,,,"Джукич-Деянович, Славица",,,,,Slavica Đukić Dejanović,,Slavica Đukić Dejanović,,/m/04cqlxs,Slavica Đukić-Dejanović,,Slavica Đukić-Dejanović,,Slavica Djukićová Dejanovićová,Slavica Đukić-Dejanović,,Slavica Đukić-Dejanović,,,,,,,Славица Ђукић Дејановић,Slavica Đukić Dejanović,,,,,,Slavica Đukić Dejanović,,,,,,,,სლავიცა ჯუკიჩ-დეიანოვიჩი,,,,,,,,,,,,სლავიცა ჯუკიჩ-დეიანოვიჩი,,,,Slavica Đukić Dejanović,,,,,Slavica Đukić Dejanović,,,,,,,,,,,,,,,,,,Славіца Джукіч-Дэянавіч,,,,,,,,,,,,,,,,,슬라비차 주키치 데야노비치,,,,,,,,,,,슬라비차 주키치 데야노비치,,,,,Славіца Джукіч-Дэянавіч,predsednicaNSRS,,,,,,,,,,,
Q123937,Владимир Петковић,Vladimir Petković,,Vladimir Petković,Vladimir Petković,,Vladimir Petković,Vladimir Petković,Category:Vladimir Petković,,Vladimir Petković,Vladimir Petković,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Vladimir_Petkovic_2009.jpg,male,1963-08-15,Vladimir,Vladimir Petković,"Петкович, Владимир",,Vladimir Petković,Vladimir Petković,Vladimir Petković,Vladimir Petković,,Vladimir Petković,"Петкович, Владимир",,,ヴラディミル・ペトコヴィッチ,Vladimir Petković,Vladimir Petković,Vladimir Petković,Vladimir Petković,ヴラディミル・ペトコヴィッチ,/m/04yb31b,Vladimir Petković,,Vladimir Petković,,,Vladimir Petković,,Vladimir Petković,,,,,,,,,,,,,,Vladimir Petković,,,,,,Vladimir Petković,,,,,,,,,Vladimir Petković,,,,Vladimir Petković,,,,,Vladimir Petković,,,,,Vladimir Petković,,,,,,,,,Vladimir Petković,Vladimir Petković,,,,,,Владимир Петкович,,,,Владимир Петкович,,,,,,,,,,,,,,,블라디미르 페트코비치,Vladimir Petković,,Vladimir Petković,,,,,,,Vladimir Petković,블라디미르 페트코비치,Vladimir Petković,,,,,,,,,Vladimir Petković,,,,,,,
Q1252153,Драган Марковић Палма,Dragan Marković,,Dragan Marković,Dragan Marković,Dragan Marković,Dragan Marković,Dragan Marković,,,Dragan Marković,Dragan Marković,Dragan Marković,Драган Марковић Палма,https://upload.wikimedia.org/wikipedia/commons/5/55/Dragan_Marković_Palma_&_Boris_Tadić.jpg,male,1960-05-02,Dragan,Dragan Marković (politician),,,Dragan Marković,Dragan Marković,Dragan Marković,Dragan Marković,,,,,Marković,,,,,,,,Dragan Marković,,Dragan Marković,,,Dragan Marković (političar),,Dragan Marković,,,,,,,Драган Марковић Палма,Dragan Marković Palma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Драган Марковић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1252375,Маријан Ристичевић,Marijan Rističević,,Marijan Rističević,,Marijan Rističević,Marijan Rističević,Marijan Rističević,,,Marijan Rističević,Marijan Rističević,Marijan Rističević,Маријан Ристичевић,,male,1958-03-01,Marijan,Marijan Rističević,,,,,,,,,,,,,,,,,,/m/035m3w,Marijan Rističević,,,,,,,Marijan Rističević,,,,,,,Маријан Ристичевић,Marijan Rističević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254664,Драган Шутановац,Dragan Šutanovac,Ντράγκαν Σουτάνοβατς,Dragan Šutanovac,Dragan Šutanovac,,Dragan Šutanovac,Dragan Šutanovac,,Ντράγκαν Σουτάνοβατς,Dragan Šutanovac,Dragan Šutanovac,,Драган Шутановац,https://upload.wikimedia.org/wikipedia/commons/c/c5/Dragan_Šutanovac_091201-D-9880W-025.jpg,male,1968-07-24,Dragan,Dragan Šutanovac,,,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,,Dragan Šutanovac,,,,,,,,,,/m/02r5g78,Dragan Šutanovac,,Dragan Šutanovac,,,Dragan Šutanovac,,Dragan Šutanovac,,,,,,,,,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,,,,,,,,,,,,,Dragan Šutanovac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254775,Драгољуб Мићуновић,Dragoljub Mićunović,,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Category:Dragoljub Mićunović,,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Драгољуб Мићуновић,https://upload.wikimedia.org/wikipedia/commons/1/1b/Dragoljub_Mićunović_profile_photo.jpg,male,1930-06-14,,Dragoljub Mićunović,,,,,,,,Dragoljub Mićunović,,,,,Dragoljub Mićunović,,,,,/m/0gbx1b,Dragoljub Mićunović,,Dragoljub Mićunović,,,Dragoljub Mićunović,,Dragoljub Mićunović,,,79135853,n91033473,Dragoljub Mićunović,,Драгољуб Мићуновић,Dragoljub Mićunović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12968831n,,,,127195629,118440241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12749332,Бранко Ружић,,,Branko Ružić,,Branko Ružić,,Branko Ružić,,,Branko Ružić,,Branko Ružić (skulptor),Бранко Ружић (вајар),https://upload.wikimedia.org/wikipedia/commons/6/6e/Branko-ruzic.jpg,male,1919-03-04,,Branko Ružić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branko Ruzic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branko Ruzic,1997-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1280390,Маја Гојковић,Maja Gojković,,Maja Gojković,,Maja Gojković,Maja Gojković,Maja Gojković,Category:Maja Gojković,,Maja Gojković,Maja Gojković,Maja Gojković,Маја Гојковић,https://upload.wikimedia.org/wikipedia/commons/0/0d/Maja_Gojković.jpg,female,1963-05-22,Maja,Maja Gojković,,,,,,,,,,,,,Maja Gojković,,,,,/m/053grp,Maja Gojković,,Maja Gojković,Майя Гойкович,,Maja Gojković,,Maja Gojković,Майя Гойкович,,42651100,,Maja Gojković,,Маја Гојковић,Maja Gojković,,,Maja Gojković,,,,,,,,,,,,,,Maja Gojković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.majagojkovic.rs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
