id,party_id,party,constituency,birth_date,gender,name,family_name,given_name,sort_name,website,email,facebook,twitter,linkedin,image,source,start_date,end_date,term,substitute,death_date,identifier__riksdagen
0237055280513,KD,Kristdemokraterna,Västra Götalands läns västra,1951,male,Roland Utbult,Utbult,Roland,Roland,"",roland.utbult@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0237055280513_max.jpg,http://data.riksdagen.se/person/0237055280513,2016-04-25,2018-09-24,2014,,,0237055280513
0251617324715,S,Socialdemokraterna,Västerbottens län,1954,female,Katarina Köhler,Köhler,Katarina,Katarina,http://www.socialdemokraterna.se/katarinakohler,katarina.kohler@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0251617324715_max.jpg,http://data.riksdagen.se/person/0251617324715,2016-05-01,2018-09-24,2014,,,0251617324715
049290762318,S,Socialdemokraterna,Kronobergs län,1962,male,ClasGöran Carlsson,Carlsson,ClasGöran,ClasGöran,http://www.socialdemokraterna.se/clas-gorancarlsson,clas-goran.carlsson@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/049290762318_max.jpg,http://data.riksdagen.se/person/049290762318,2010-10-04,2014-09-29,2010,,,049290762318
069309987221,M,Moderata samlingspartiet,Kronobergs län,1985,male,Johan Hultberg,Hultberg,Johan,Johan,http://www.johanhultberg.se,johan.hultberg@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/069309987221_max.jpg,http://data.riksdagen.se/person/069309987221,2017-02-27,2018-09-24,2014,,,069309987221
069309987221,M,Moderata samlingspartiet,Kronobergs län,1985,male,Johan Hultberg,Hultberg,Johan,Johan,http://www.johanhultberg.se,johan.hultberg@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/069309987221_max.jpg,http://data.riksdagen.se/person/069309987221,2014-09-29,2016-09-11,2014,,,069309987221
069309987221,M,Moderata samlingspartiet,Kronobergs län,1985,male,Johan Hultberg,Hultberg,Johan,Johan,http://www.johanhultberg.se,johan.hultberg@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/069309987221_max.jpg,http://data.riksdagen.se/person/069309987221,2010-10-04,2014-09-29,2010,,,069309987221
0859721748313,M,Moderata samlingspartiet,Kalmar län,1966,male,Jörgen Andersson,Andersson,Jörgen,Jörgen,"",jorgen.andersson@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0859721748313_max.jpg,http://data.riksdagen.se/person/0859721748313,2014-09-29,2018-09-24,2014,,,0859721748313
0859721748313,M,Moderata samlingspartiet,Kalmar län,1966,male,Jörgen Andersson,Andersson,Jörgen,Jörgen,"",jorgen.andersson@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0859721748313_max.jpg,http://data.riksdagen.se/person/0859721748313,2010-10-04,2014-09-29,2010,,,0859721748313
0412148992926,S,Socialdemokraterna,Gotlands län,1981,female,Hanna Westerén,Westerén,Hanna,Hanna,"",hanna.westeren@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0412148992926_max.jpg,http://data.riksdagen.se/person/0412148992926,2015-02-01,2018-09-24,2014,,,0412148992926
0879014196003,SD,Sverigedemokraterna,Västmanlands län,1949,male,Jonas Åkerlund,Åkerlund,Jonas,Jonas,"",jonas.akerlund@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0879014196003_max.jpg,http://data.riksdagen.se/person/0879014196003,2014-09-29,2018-09-24,2014,,,0879014196003
0879014196003,SD,Sverigedemokraterna,Västmanlands län,1949,male,Jonas Åkerlund,Åkerlund,Jonas,Jonas,"",jonas.akerlund@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0879014196003_max.jpg,http://data.riksdagen.se/person/0879014196003,2010-10-04,2014-09-29,2010,,,0879014196003
0211757295524,SD,Sverigedemokraterna,Uppsala län,1978,male,Josef Fransson,Fransson,Josef,Josef,"",josef.fransson@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0211757295524_max.jpg,http://data.riksdagen.se/person/0211757295524,2014-09-29,2018-09-24,2014,,,0211757295524
0211757295524,SD,Sverigedemokraterna,Uppsala län,1978,male,Josef Fransson,Fransson,Josef,Josef,"",josef.fransson@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0211757295524_max.jpg,http://data.riksdagen.se/person/0211757295524,2010-10-04,2014-09-29,2010,,,0211757295524
0706916743101,C,Centerpartiet,"",1928,female,Karin Söder,Söder,Karin,Karin,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0706916743101_max.jpg,http://data.riksdagen.se/person/0706916743101,1988-10-03,1991-09-30,1988,,2015-12-19,0706916743101
0706916743101,C,Centerpartiet,"",1928,female,Karin Söder,Söder,Karin,Karin,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0706916743101_max.jpg,http://data.riksdagen.se/person/0706916743101,1985-09-30,1988-10-03,1985,,2015-12-19,0706916743101
0706916743101,C,Centerpartiet,"",1928,female,Karin Söder,Söder,Karin,Karin,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0706916743101_max.jpg,http://data.riksdagen.se/person/0706916743101,1982-10-04,1985-09-30,1982,,2015-12-19,0706916743101
0706916743101,C,Centerpartiet,"",1928,female,Karin Söder,Söder,Karin,Karin,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0706916743101_max.jpg,http://data.riksdagen.se/person/0706916743101,1979-10-01,1982-10-04,1979,,2015-12-19,0706916743101
0706916743101,C,Centerpartiet,"",1928,female,Karin Söder,Söder,Karin,Karin,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0706916743101_max.jpg,http://data.riksdagen.se/person/0706916743101,1976-10-04,1979-10-01,1976,,2015-12-19,0706916743101
0979018047922,M,Moderata samlingspartiet,Malmö kommun,1983,female,Kajsa Lunderquist,Lunderquist,Kajsa,Kajsa,"",kajsa.lunderquist@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0979018047922_max.jpg,http://data.riksdagen.se/person/0979018047922,2012-07-01,2014-02-23,2010,Tobias Billström,,0979018047922
0979018047922,M,Moderata samlingspartiet,Malmö kommun,1983,female,Kajsa Lunderquist,Lunderquist,Kajsa,Kajsa,"",kajsa.lunderquist@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0979018047922_max.jpg,http://data.riksdagen.se/person/0979018047922,2010-10-04,2011-12-12,2010,Tobias Billström,,0979018047922
0266627143525,MP,Miljöpartiet de gröna,Skåne läns västra,1978,male,Magnus Ehrencrona,Ehrencrona,Magnus,Magnus,http://www.mp.se/magnusehrencrona,magnus.ehrencrona@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0266627143525_max.jpg,http://data.riksdagen.se/person/0266627143525,2010-10-04,2014-09-29,2010,,,0266627143525
0861447317415,M,Moderata samlingspartiet,Skåne läns västra,1954,male,Thomas Finnborg,Finnborg,Thomas,Thomas,"",thomas.finnborg@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0861447317415_max.jpg,http://data.riksdagen.se/person/0861447317415,2014-09-29,2018-09-24,2014,,,0861447317415
0861447317415,M,Moderata samlingspartiet,Skåne läns västra,1954,male,Thomas Finnborg,Finnborg,Thomas,Thomas,"",thomas.finnborg@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0861447317415_max.jpg,http://data.riksdagen.se/person/0861447317415,2010-10-04,2014-09-29,2010,,,0861447317415
0768605712423,V,Vänsterpartiet,Malmö kommun,1976,male,Daniel Sestrajcic,Sestrajcic,Daniel,Daniel,"",daniel.sestrajcic@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0768605712423_max.jpg,http://data.riksdagen.se/person/0768605712423,2014-09-29,2018-09-24,2014,,,0768605712423
0693341580004,SD,Sverigedemokraterna,Västra Götalands läns västra,1939,male,Tony Wiklander,Wiklander,Tony,Tony,"",tony.wiklander@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0693341580004_max.jpg,http://data.riksdagen.se/person/0693341580004,2014-09-29,2018-09-24,2014,,,0693341580004
0693341580004,SD,Sverigedemokraterna,Västra Götalands läns västra,1939,male,Tony Wiklander,Wiklander,Tony,Tony,"",tony.wiklander@riksdagen.se,"","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0693341580004_max.jpg,http://data.riksdagen.se/person/0693341580004,2010-10-04,2014-09-29,2010,,,0693341580004
