id,name__sv,name__it,name__fr,name__en,name,wikipedia__sv,gender,birth_date,given_name,identifier__Riksdagen,original_wikiname,name__nl,name__de,wikipedia__commons,wikipedia__en,image,name__nb,name__uk,name__da,name__nn,name__fi,name__pl,name__pt,name__ru,wikipedia__da,wikipedia__fi,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__uk,identifier__VIAF,identifier__SELIBR,name__es,wikipedia__de,identifier__freebase,name__sco,name__id,wikipedia__fr,wikipedia__id,wikipedia__sco,identifier__ISNI,identifier__LCAuth,family_name,name__mg,wikipedia__mg,name__af,name__an,name__ar,name__az,name__be,name__bg,name__bn,name__br,name__bs,name__ca,name__cs,name__de_ch,name__el,name__en_ca,name__en_gb,name__eo,name__et,name__gl,name__he,name__hi,name__hu,name__io,name__is,name__ja,name__ka,name__ko,name__la,name__lb,name__lt,name__lv,name__mn,name__mr,name__ms,name__oc,name__pt_br,name__qu,name__se,name__sq,name__sr,name__sw,name__tr,name__vi,name__yo,name__zh,name__hr,name__fa,name__fo,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ca,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fiwikiquote,wikipedia__fo,wikipedia__frwikiquote,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__qu,wikipedia__se,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__sw,wikipedia__tr,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__parlement,name__be_tarask,wikipedia__be_x_old,website,name__ro,wikipedia__ro,identifier__EuroparlMEP,name__nds,name__vmf,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,name__fit,name__ta,name__sh,name__mk,name__hy,name__ur,wikipedia__cswikiquote,wikipedia__hy,wikipedia__sh,wikipedia__ta,wikipedia__ur,facebook,name__gsw,twitter,identifier__BIBSYS,identifier__BNF,name__ie,wikipedia__ie,name__ast,name__bar,name__co,name__cy,name__eu,name__fur,name__ga,name__gd,name__li,name__lij,name__lmo,name__nap,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sk,name__sl,name__vec,name__vls,name__wa,identifier__FAST,identifier__PACE,identifier__NTA,name__th,wikipedia__th,identifier__GTAA,death_date,identifier__OLID,wikipedia__nds,wikipedia__etwikiquote,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__NNDB,name__sah,wikipedia__sah,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__sk,wikipedia__mk,wikipedia__plwikiquote,birth_name,name__ckb,wikipedia__ckb,identifier__SFDb,wikipedia__eu,last_seen,identifier__elonet,identifier__PORT,identifier__DNF,name__ty,identifier__NLI,wikipedia__gd,wikipedia__hsb,name__hsb,identifier__kinopoisk,identifier__Britannica,identifier__kansallisbiografia,identifier__wikitree,name__bm,name__de_at,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__min,name__nrm,name__pap,name__prg,name__rgn,name__sr_el,name__vo,name__wo,name__zu,identifier__CSFD,weblog,wikipedia__fawikiquote,occupation,identifier__ne_se,name__dsb,name__pfl,name__frr,identifier__snac,identifier__NLAtrove,identifier__CSPAN,identifier__politifact,identifier__quora,wikipedia__ml,name__kl,name__ml,identifier__omni,name__aa,name__ace,name__ak,name__ang,name__ay,name__bcl,name__bi,name__bjn,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dtp,name__ee,name__egl,name__eml,name__ext,name__ff,name__fj,name__fy,name__gag,name__gn,name__gv,name__ha,name__hak,name__hif_latn,name__hil,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__jv,name__kaa,name__ki,name__kk_latn,name__kk_tr,name__ksh,name__lad,name__nah,name__rup,name__sn,name__su,name__tl,name__tpi,name__uz,name__war,name__zea,wikipedia__itwikiquote,name__te,identifier__LAC,linkedin,wikipedia__ruwikinews,identifier__bigenc_ru,instagram,name__sje,name__sma,name__smj,identifier__NUKAT,wikipedia__ukwikiquote,identifier__dialnet,identifier__CANTIC,wikipedia__ast,name__kn,email,identifier__google_knowledge,identifier__BAV,wikipedia__nlwikinews,identifier__NLA,identifier__NLP,identifier__LNB,identifier__PTBNP,name__als,wikipedia__fy,name__pdc,name__stq,name__ba,wikipedia__ba,identifier__GNC,wikipedia__cy,name__lfn,wikipedia__uz,wikipedia__azb,noble_title,identifier__BNE,name__azb,name__no,identifier__CONOR,wikipedia__wuu,name__wuu,identifier__DBNL,identifier__NDL,wikipedia__eswikiquote,identifier__NKC,identifier__youtube,name__tt,wikipedia__tt,identifier__NSK
Q1040479,Carl Schlyter,Carl Schlyter,Carl Schlyter,Carl Schlyter,Carl Schlyter,Carl Schlyter,male,1968-01-07,Carl,0954072997110,,Carl Schlyter,Carl Schlyter,Category:Carl Schlyter,Carl Schlyter,https://upload.wikimedia.org/wikipedia/commons/4/46/Carl_Schlyter.jpg,Carl Schlyter,,Carl Schlyter,Carl Schlyter,Carl Schlyter,Carl Schlyter,,,Carl Schlyter,Carl Schlyter,,Carl Schlyter,,,,,,,Carl Schlyter,Carl Schlyter,/m/054f52,,,Carl Schlyter,,,,,Schlyter,,,,,,,,,,,,Carl Schlyter,,,,,,Carl Schlyter,,,,,Carl Schlyter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Schlyter,,,,,,,,,,,,,,Carl Schlyter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.europarl.europa.eu/meps/it/28139/CARL_SCHLYTER_home.html,Carl Schlyter,Carl Schlyter,28139,,,,,,,,,,,,,,,,,,,Carl Schlyter,CarlSchlyter,,,,,Carl Schlyter,,,,,,,,,,,,,,,,,,,Carl Schlyter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10575345,Magnus Sjödahl,,Magnus Sjödahl,Magnus Sjödahl,Magnus Sjödahl,Magnus Sjödahl,male,1958-08-13,Magnus,0534948028412,,Magnus Sjödahl,,,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Magnus_Sjödahl_01.JPG,,,,,Magnus Sjödahl,,,,,,,,,,,,,,,,,,,,,,,,Sjödahl,,,,,,,,,,,,Magnus Sjödahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnus Sjödahl,,,,,,,,,,,,,,,,,,,Magnus Sjödahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10578332,Mathias Sundin,Mathias Sundin,Mathias Sundin,Mathias Sundin,Mathias Sundin,Mathias Sundin,male,1978-03-31,Mathias,0456066032422,,Mathias Sundin,,Category:Mathias Sundin,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Mathias_Sundin.jpg,,,,,Mathias Sundin,,,Матиас Сундин,,,,,,,,,,,Mathias Sundin,,,,,,,,,,Sundin,,,,,,,,,,,,Mathias Sundin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathias Sundin,,,,,,,,,,,,,,,,,,,Mathias Sundin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10667542,Sigge Godin,Sigge Godin,Sigge Godin,Sigge Godin,Sigge Godin,Sigge Godin,male,1938-01-23,Sigge,0108070243108,,Sigge Godin,,,,,,,,,Sigge Godin,,,,,,,,,,,,,,Sigge Godin,,,,,,,,,,Godin,,,,,,,,,,,,Sigge Godin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigge Godin,,,,,,,,,,,,,,,,,,,Sigge Godin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10720409,Wivi-Anne Cederqvist,,Wivi-Anne Cederqvist,Wivi-Anne Cederqvist,Wivi-Anne Cederqvist,Wivi-Anne Cederqvist,female,1932-12-10,Wivi-Anne,0150538503507,,Wivi-Anne Cederqvist,,,,,,,,,Wivi-Anne Cederqvist,,,,,,,,,,,,,,Wivi-Anne Cederqvist,,,,,,,,,,Cederqvist,,,,,,,,,,,,Wivi-Anne Cederqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wivi-Anne Cederqvist,,,,,,,,,,,,,,,,,,,Wivi-Anne Cederqvist,,,,,,,,,,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1357206,Gunnar Hökmark,Gunnar Hökmark,Gunnar Hökmark,Gunnar Hökmark,Gunnar Hökmark,Gunnar Hökmark,male,1952-09-19,Gunnar,0584386800218,,Gunnar Hökmark,Gunnar Hökmark,Category:Gunnar Hökmark,Gunnar Hökmark,https://upload.wikimedia.org/wikipedia/commons/9/90/Gunnar_Hökmark_01.JPG,Gunnar Hökmark,Гуннар Гокмарк,Gunnar Hökmark,Gunnar Hökmark,Gunnar Hökmark,Gunnar Hökmark,,"Хёкмарк, Гуннар",Gunnar Hökmark,Gunnar Hökmark,,Gunnar Hökmark,,"Хёкмарк, Гуннар",,Гуннар Гокмарк,48100092,,Gunnar Hökmark,Gunnar Hökmark,/m/054v_1,,,Gunnar Hökmark,,,0000 0000 5487 8194,n82022422,,,,,,,,,,,,,Gunnar Hökmark,,,,,,,Gunnar Hökmark,,,,Gunnar Hökmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnar Hökmark,,,,,,,,,,,,Gunnar Hökmark,,,,,,,,,,,,,,,,,,,,,,,,1100328777,,,,,,,http://www.europarl.europa.eu/meps/it/28124/GUNNAR_HOKMARK_home.html,Gunnar Hökmark,Gunnar Hökmark,28124,,,,,,,,,,,,,,,,,,ghokmark,,ghokmark,,,,,Gunnar Hökmark,,,,,,,,,,,,,,,,,,,Gunnar Hökmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,063b710c1534c3a81d7cbe0dd0f6dc8537d1a169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghokmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1375199,Per Westerberg,,Per Westerberg,Per Westerberg,Per Westerberg,Per Westerberg,male,1951-08-02,Per,031005479013,,Per Westerberg,Per Westerberg,Category:Per Westerberg,Per Westerberg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Per_Westerberg.jpg,Per Westerberg,Пер Вестерберг,Per Westerberg,Per Westerberg,Per Westerberg,Per Westerberg,,Пер Вестерберг,,Per Westerberg,Per Westerberg,Per Westerberg,,"Вестерберг, Пер",,Пер Вестерберг,270178277,,Per Westerberg,Per Westerberg,/m/09ld3c,,,Per Westerberg,,,,,Westerberg,,,,,,,,,,,,Per Westerberg,,,,,,Per Westerberg,,,,,Per Westerberg,,,,,,,,,,,,,,,,,,,,,,,佩爾·韋斯特貝里,,,,,,,,,,,,,,,,,Per Westerberg,,,,,,,,,,,,,,,,,,,,,,,,,Per Westerberg,,,,,,,Per Westerberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90116409,,,,Per Westerberg,,,,,,,,,,,,,,,,,,,Per Westerberg,,,,,4905,,,,,,,,,,,,,,,,佩尔·韦斯特贝里,佩爾·韋斯特貝里,,佩尔·韦斯特贝里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15713809,Johan Johansson i Boden,,Johan Johansson,Johan Johansson,Johan Johansson,Johan Johansson i Boden,male,1969-07-11,Johan,0957513768616,,Johan Johansson,,,,,,,,,Johan Johansson i Boden,,,Йохан Юханссон,,,,,,,,,34437237,,Johan Johansson,,,,,,,,0000 0000 5380 6500,,Johansson,,,,,يوحنا يوهانسون,,,,,,,Johan Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johan Johansson,,,,,,,,,,,,,,,,,,,Johan Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1593545,Olof Lavesson,,Olof Lavesson,Olof Lavesson,Olof Lavesson,Olof Lavesson,male,1976,Olof,0448155122323,,Olof Lavesson,Olof Lavesson,Category:Olof Lavesson,Olof Lavesson,https://upload.wikimedia.org/wikipedia/commons/c/c4/Olof_Lavesson_01.JPG,Olof Lavesson,,Olof Lavesson,Olof Lavesson,Olof Lavesson,,,,,,,,,,,,,,Olof Lavesson,Olof Lavesson,/m/02w3867,,,,,,,,,,,,,,,,,,,,Olof Lavesson,,,,,,,,,,,Olof Lavesson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olof Lavesson,,,,,,,,,,,,,,,,,,,Olof Lavesson,,,,,7367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15963975,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,male,1983-10-19,Adam,0831039938224,,Adam Marttinen,Adam Marttinen,,,,Adam Marttinen,,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,,,,,,,,,,,,Adam Marttinen,,,Adam Marttinen,,,,,,,Marttinen,,,Adam Marttinen,Adam Marttinen,,,,,,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,,,,,Adam Marttinen,Adam Marttinen,Adam Marttinen,,,Adam Marttinen,,Adam Marttinen,,,,,Adam Marttinen,Adam Marttinen,,,,,,,,,Adam Marttinen,,,Adam Marttinen,,,,Adam Marttinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Marttinen,,,Adam Marttinen,,,,,,,,,,,,,,,,,,Adam Marttinen,,,,,,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,Adam Marttinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
