name,id
Al Franken,87d22fc4-d899-4b36-94ae-a39ab26659e2
Alan Cranston,6c88d819-ee9f-440b-90f0-3ca840311ed2
Alan Dixon,5cb4b68f-0c17-4ff5-9080-365896197683
Alan Simpson,bc89f57e-4aba-46c5-8206-11b9dd48c355
"Albert Gore, Jr.",1c23bd5a-fc18-4643-b2e2-82d92ef14fb6
Alfonse D'Amato,c55555cb-d9c9-46ae-9c0a-0ef59c8795ff
Amy Klobuchar,3a693497-a392-4364-9a2f-2a2baf5dbb5c
Angus King,95249908-df85-41ee-bfed-df8bea712149
"Angus S. King, Jr.",95249908-df85-41ee-bfed-df8bea712149
Arlen Specter,51cc9767-e66c-44a0-9787-7f3a1c3d068d
Barack Obama,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Baracus Obama,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Barak Obama,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Baraks Obama,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Baraq Husseyın Obama II,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Barbara A. Mikulski,3d89c619-69d4-4d2e-a130-13eadbbc1452
Barbara Boxer,2d872983-7aa9-4f67-82bc-39098aa50d4d
Barry Goldwater,443ddc59-8344-49fe-bd7a-521427d275c5
Ben Campbell,ad3dc040-dcbf-4ef4-920e-7bbbc5e6cff3
Ben Nelson,e00ba2f5-68ad-4986-8579-a436a241ce8b
Ben Sasse,70b18fa9-4cf1-4d10-ae2e-0f99f6cd23d4
Benjamin L. Cardin,211e6af3-3bde-44d7-83d0-d5d661d7ba26
Bennett Johnston,bab0e03f-8555-4e7f-8b25-52801a51aa6d
"Bennett Johnston, Jr.",bab0e03f-8555-4e7f-8b25-52801a51aa6d
Bernard Sanders,be2c04a8-a31f-4860-b8c9-de90112bdf01
Bill Bradley,6953cec3-7c0a-4573-9b8c-245c4276260c
Bill Cassidy,31041902-2763-45ee-b880-b05d00e61c94
Bill Frist,c120e232-6bc0-496c-b256-6722304dc837
Bill Nelson,460e722d-e6bd-4a1f-8fbe-aef53ab0145a
Blanche Lincoln,a1b3c251-e302-4987-b319-ccdc49cdfd39
Bob Corker,e4a39b45-1d1a-479d-ae89-4c81a7fb160b
Bob Graham,1a95f106-e4e9-49c1-8b43-38ada6042f5e
Bob Smith,bc1b54e7-3484-4f5e-8e3d-3191560b9cbe
Brian Schatz,e01cf03e-5cf5-4c66-a0f8-e79de6ddee41
Brock Adams,b3998088-ff9c-4c99-8ef3-e105a3395915
byRAK.obamas,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Byron Dorgan,78984ec3-b3e1-4035-8a96-403b9c49e10a
Bă-lăk Ĕu-bă-mā,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Carl Levin,dc2b0f95-6c1c-475b-b70d-05332fce060c
Carol Moseley Braun,b989506c-c131-4d1f-90b5-249dfed6b011
Carte Goodwin,4dee720e-a16b-4366-9c65-6df2dfbb1736
Charles E. Schumer,60ae8ebc-b581-44ee-91d7-47e5822d1858
"Charles Mathias, Jr.",c089390f-e336-4000-a492-2c808b95c4d0
Charles Percy,37a1afc3-5272-4fee-a83c-f2fc55df288d
Charles Robb,80dbe917-a765-46d2-8dd8-f90e4df0c6de
Chic Hecht,10cad133-272e-4a1a-985b-e841c28eddf3
Christopher A. Coons,3f65daaa-9539-4104-bf88-4a40e3b93726
Christopher Dodd,db2b9dab-bfab-49cd-9699-217d23a7f2e5
Christopher Murphy,2a078b6c-0f3b-4319-aa4b-6f4d0fe6b80f
Chuck Grassley,0629dcb1-352f-4028-9c36-f162cf6d98bd
Chuck Hagel,880ac811-b00d-46d7-9e52-757271bbe1a9
Claiborne Pell,e5ac1fca-68c9-431e-93bd-87dc3f6a9634
Claire McCaskill,d6f0d765-97ae-460c-b186-dbc6ab976d25
Connie Mack III,81a70d8e-235b-44ce-865d-5b484450bb2c
"Connie Mack, III",81a70d8e-235b-44ce-865d-5b484450bb2c
Conrad Burns,d70510c2-3a7d-4abe-a29e-584f77ee22b9
Cory A. Booker,7b1f119a-8c22-4f04-b860-cd748cefd1d3
Cory Booker,7b1f119a-8c22-4f04-b860-cd748cefd1d3
Cory Gardner,1673c8f8-146c-4f15-969c-2142308c89cd
Craig Thomas,28b0afb1-35f7-4473-9d97-5ca919f4ed52
Dale Bumpers,7040d835-7b5e-454c-b4eb-8f2c93dc239a
Dan Quayle,e0e7de04-865c-48e5-820c-0fe68264fbcf
Daniel Coats,685acbe5-736d-43b0-99f3-ece63fe22a4d
Daniel Evans,31f70f08-4b62-4fff-b705-95b078f7e08e
Daniel K. Akaka,54930735-859d-4165-aa33-14795592e219
Daniel K. Inouye,0d69087e-f098-460b-9232-ec8f9448b8ef
Daniel Moynihan,2f97a5bb-0245-44d1-877b-77c2d9f672fa
Daniel Sullivan,74bc69a6-7ee0-4595-ba64-a0c044ae3ca4
David Boren,14622cc3-289a-4091-8e5f-00bab79c9444
David Durenberger,47a41793-8278-4900-a2f1-55076942485d
David Karnes,60fbb4cf-32c7-4c0a-8722-d5b14b503324
David Perdue,eb75e927-3ca4-4eaa-a5c5-0acb2199ccda
David Pryor,5799ab28-f95d-470f-8137-3a33d635ee3a
David Vitter,82a99ecc-56a4-43f7-9248-d376a5f18a24
Dean Barkley,728620f5-948a-4806-9479-6f5efbf46f16
Dean Heller,c4a8103b-8a28-4772-80cd-1d6f3ac97b56
Deb Fischer,9cbb4be1-b97c-4c75-b601-98b0c00d761b
Debbie Stabenow,bcffa780-e0b1-4a9c-b6fc-7362e8bb6a98
Dee Huddleston,a2936f6c-0f06-48ea-85dd-2171a76ee33a
Dennis DeConcini,6e085ab5-3c2d-4d04-bcb5-97614fd3159c
Dianne Feinstein,a37bc380-4490-4012-bc6a-6c617b6845e4
Dirk Kempthorne,2d4a32cc-e16f-4bee-bed5-659114c6d81a
Don Nickles,161b2f43-20bf-4aa2-97b5-739886a4d413
"Donald Riegle, Jr.",9cf943d3-11ac-40a3-86ed-6a4d4aec5ece
Džordž Vojnovič,16cec705-b36a-4ef8-95df-77f6268f0713
Edward J. Markey,ebfb31f5-f5ce-4432-894a-d902e07ab86c
Edward Kaufman,bacc8fd7-01be-483a-8581-75ec2500563b
Edward Zorinsky,c8e67636-a340-4785-9e1b-2e0027fa82ac
Elizabeth Dole,f8ecb342-6ebd-4f95-814e-8fe1e586814a
Elizabeth Warren,918dbfb4-d3f1-437b-a65a-bb1c89ec0118
Ernest Hollings,c6e3d587-c3c2-42b3-8edf-555470699067
Evan Bayh,1e98203a-d09f-414b-8c97-3e64e345093b
Frank Murkowski,8db50340-5d64-489f-aba3-e0b349837673
Frank R. Lautenberg,31d9536f-3335-4672-a204-6022fcf69898
Fred Thompson,0fcf1022-8066-42f7-86ec-d9d450f69a0e
Fritz Hollings,c6e3d587-c3c2-42b3-8edf-555470699067
Gary Hart,d650e525-60e8-4f00-ba79-aa34bfbda7f7
Gary Peters,b70474ad-0b14-4495-8447-be2902dfeda1
George Allen,c8e57f79-6cbf-41c2-b6a5-ebb42e0cc398
George LeMieux,56610bcd-46d1-4e59-8bb4-112847674ab1
George Mitchell,5769570f-1b64-4b4f-ac3e-2383932e2b3f
George Voinovich,16cec705-b36a-4ef8-95df-77f6268f0713
Gordon Humphrey,e625f259-2bcb-4860-af74-33e9d1d0147d
Gordon Smith,d821d229-3948-4172-bf84-d5cd3766405b
Hank Brown,8ada7d88-5251-4b2e-b6d5-e856824d52f5
Harlan Mathews,890c85de-205c-4ad6-b2c6-89e60b42f185
Harris Wofford,ad971876-fcf1-4e0b-be76-a8c58ad5f232
Harrison Schmitt,a5fbe3c0-2aca-489a-900e-5931d3a1a141
"Harrison Williams, Jr.",f57cd308-f302-40a3-a5bc-4c6194245356
"Harry Byrd, Jr.",6d1650f8-60d3-41b6-8b5c-754a61f29e57
Harry Reid,ffbbfde4-bd1e-45fb-bc4d-1f47163d4295
Hastiin alą́ąjįʼ dahsidáhígíí Barack Obama,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Heidi Heitkamp,840fdec6-c724-4de4-b6d9-67ed14308808
"Henry Heinz, III",ba6c9389-72f9-4314-b3c7-956c2232857f
Henry Jackson,9073ee02-f8e1-4fdc-92b1-6a8c0b02f2d1
Henry M. Jackson,9073ee02-f8e1-4fdc-92b1-6a8c0b02f2d1
Herb Kohl,cdef9716-ed50-4848-b21a-317da0d3a3ff
Herbert Kohl,cdef9716-ed50-4848-b21a-317da0d3a3ff
Hilaria Clinton,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hilarija Klintone,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hilarė Klėntuon,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hillari Klinton,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hillary Clinton,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hillary Clintonová,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hillary Rodham Clinton,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
Hillary Rodhamová-Clintonová,58e1e2e3-e958-4e75-b950-ff34fd8fe8aa
"Howard Baker, Jr.",469db047-a6ac-4ea3-b86e-c0817d500771
Howard Cannon,7a5fffeb-3796-42bd-b8ba-3c38cdea376b
Howard Metzenbaum,1b5e9c07-41fe-4e1a-bb87-8a517951b71b
Howell Heflin,0b13dcf2-9d38-4ef2-b42d-220847dffa20
Ioannes Davison Rockefeller,2f165168-e1fc-4275-9fe8-6a2bcaf14c5f
Iohannes Isakson,b0dde5ba-e9d6-4ea9-9e2c-876a4d8edc01
J. Bennett Johnston,bab0e03f-8555-4e7f-8b25-52801a51aa6d
"J. Bennett Johnston, Jr.",bab0e03f-8555-4e7f-8b25-52801a51aa6d
Jack Reed,5888412d-2ce1-496a-a485-e8bb6373ee12
Jacob Hecht,10cad133-272e-4a1a-985b-e841c28eddf3
Jake Garn,f183a786-3ff1-4cdf-ba64-e6e05a0f0c50
James Abdnor,08350181-3e92-4544-8e85-5eda4dac3082
James Broyhill,9fe0cde2-96a5-4bab-992a-0de04e48df05
James E. Risch,7b56fba2-9662-475b-8630-6fe8e1faca97
James Exon,b8571031-9c90-4b51-8cff-1c79c48b6548
James Jeffords,00f69880-a0e7-4092-9220-3d5e0fce871a
James Lankford,4741a5fc-02ab-423a-bc2e-fcad951b9bdb
James M. Inhofe,81205eb2-7fbf-4c1e-9389-fd60182edb36
James McClure,fe1a2206-a451-4303-9ed4-46d09da387dc
James Sanford,d4e137cc-5de7-40b5-807d-e8d821611af4
James Sasser,e7024b82-1bd6-4a59-b19f-97ab023ff15a
Jay Rockefeller,2f165168-e1fc-4275-9fe8-6a2bcaf14c5f
Jean Carnahan,c25e2742-8831-4114-9c33-d1e2a900a65b
Jeanne Shaheen,ff9541bb-6a1e-44e3-924c-acb354d611c8
Jeff Bingaman,595bf9c2-8863-4ee1-bae3-7ee69c22a2ee
Jeff Chiesa,8ec7844a-cc18-4ed4-b1f9-9eb7a2f3e4e4
Jeff Flake,a5f33bdc-7084-465f-a891-607b7d810486
Jeff Merkley,0338f0ea-52d0-493e-8a21-b9eef903d7d8
Jeff Sessions,2fdbbff7-046c-43b5-9cfc-801f15a3b8bf
Jennings Randolph,257ac6ee-c470-4891-bf42-34a9c3c9bb9e
"Jeremiah Denton, Jr.",551b22c6-1ba9-4666-b8f6-fb3ad2db41db
Jerry Moran,29ddd46b-7096-4bdb-b0cb-21df78097f09
Jesse Helms,e48ee131-36c2-405f-8198-25cc613a6b06
Jim Broyhill,9fe0cde2-96a5-4bab-992a-0de04e48df05
Jim Bunning,3105fdf8-3fc3-40c8-89cf-53700865d426
Jim DeMint,d227bb5c-0f5d-47fa-892d-a4b59b54f329
Jim Jeffords,00f69880-a0e7-4092-9220-3d5e0fce871a
Jim Sasser,e7024b82-1bd6-4a59-b19f-97ab023ff15a
Jim Talent,1ee43bde-eebf-45f1-ab1d-67a018172a83
Jim Webb,dd2dd8ff-e6b2-42f5-a962-e0eeeec2b6c9
Jocelyn Burdick,ba6836e5-30d9-4bc3-b027-c614656037da
Joe Donnelly,b7e8d905-4681-450a-b129-dc1e79ab0338
"Joe Manchin, III",b02cc537-374e-409e-8738-d850922475e6
John Ashcroft,37609c39-6cea-4cd6-ae07-c91e440f23f6
John Barrasso,40bd653f-fc86-4ed1-88fe-4950ff9ba8c4
John Boozman,d5f0dd2c-fc84-490c-9413-2a60588b2af2
John Breaux,f6b98df3-ad75-4c3b-8fbc-880c74d6224f
John Chafee,d15af2a0-abd5-46d5-a341-90b43795f249
John Cornyn,66f7cd3c-55ce-4891-b500-23cf2ab645e4
"John D. Rockefeller, IV",2f165168-e1fc-4275-9fe8-6a2bcaf14c5f
John Danforth,063bbcb6-b1cb-41d9-b779-86b41d0e19b4
John E. Walsh,f0029bce-b551-4431-8ec5-de49380ac9c2
John East,b6a97236-5b00-4ff9-bdc4-0af21c2fe16b
John Edwards,8db4b527-e838-4e79-8d6c-eda332c60e83
John Ensign,cc996fcc-5dc7-4faf-801f-382655f8bf78
John F. Kerry,e6d1ede4-fe76-4b96-b912-abd27ae4dbd7
"John Glenn, Jr.",919659a0-2945-4d3a-a0a8-f4bce47a54d0
John Hoeven,8bb73265-c80d-4bf3-863f-f3af0c6760f4
"John Johnston, Jr.",bab0e03f-8555-4e7f-8b25-52801a51aa6d
John McCain,96324d91-c6e4-401a-b43e-a526dabe40a8
John Melcher,f4ffa304-15f8-42bc-a845-c4a4f8d547d0
John Seymour,344fac18-4afc-48e8-9fa3-b4947bab4f28
John Stennis,bca019e3-4d90-4a75-8ff8-691171674467
John Sununu,66cfd5c8-60ef-4924-95e6-fa6c6c8ee88f
John Thune,78c74815-5d54-4e9d-b962-372954131087
John Tower,201a9a0b-61d5-45f3-b336-a84f9cbc22d2
John Walsh,f0029bce-b551-4431-8ec5-de49380ac9c2
John Warner,f38c8878-2ec6-4fb5-a67a-538d1a36a384
Johnny Isakson,b0dde5ba-e9d6-4ea9-9e2c-876a4d8edc01
Jon Corzine,f7153a33-6243-41a8-8521-d6d90c448e26
Jon Kyl,5ca3f081-5699-4827-bc3a-a74e02d0cea0
Jon Tester,10ec1319-9205-4161-884e-8dd08cadac74
Joni Ernst,99707c77-83bd-49a3-af03-2fce82d000f1
"Joseph Biden, Jr.",64239edf-8e06-4d2d-acc0-33d96bc79774
Joseph I. Lieberman,ca28a62e-aff0-4040-94c7-7be1bf19aed3
Judd Gregg,835f8433-e2a4-401e-a433-68a3df972d5e
J・ベネット・ジョンストン・ジュニア,bab0e03f-8555-4e7f-8b25-52801a51aa6d
Kay Bailey Hutchison,3a5390d1-1d2b-4494-b29e-d063e9e2c787
Kay R. Hagan,322becbe-fcf7-4c81-b772-a279789a76db
Kelly Ayotte,85e26925-b2d4-4586-b782-f65ba75153b0
Ken Salazar,6db49606-bbd7-40cd-9614-9b73b65967f5
Kent Conrad,4699c442-cf8b-4346-ab45-6fdd36cb282b
Kirsten E. Gillibrand,27b4ce08-a79d-4dee-9b8f-a7a709e94b58
Kit Bond,c0cb7058-e8f0-413a-8606-0a4151f93c80
Lamar Alexander,24ea1bbe-c595-4da4-b9e1-483294d49b67
Larry Craig,070d4b8f-33c6-47e4-a7d1-514f30f755cc
Larry Pressler,706482b4-1b9d-435f-858b-2699bbb65cba
Lauch Faircloth,22bc404e-6d62-49fc-bc84-452f55e1903c
"Lawton Chiles, Jr.",65b0cb93-cf61-408d-8c84-c1ad0a7c2f77
Lincoln Chafee,721becdb-1f0b-4d93-ac48-56c2c1d03eda
Lindsey Graham,c5551db4-c26c-4dc8-94ee-c9172a79a864
Lisa Murkowski,d2acb787-73ea-472e-9817-9c22cdfd894c
Lloyd Bentsen,7ddb3bc5-392f-4d81-9ace-f7496172ae32
"Lloyd Bentsen, Jr.",7ddb3bc5-392f-4d81-9ace-f7496172ae32
"Lowell Weicker, Jr.",cec2c248-3cdf-49d2-8e81-2b28a5336984
Mack Mattingly,70bf3ea2-a2cc-43f0-b3c7-eef12bffe445
Malcolm Wallop,feb45da6-c75a-4e9d-96e2-6341a3eb59e6
Marco Rubio,a9188b04-84c2-4821-9748-3b4a4fb3ec52
Marcus Robertus Warner,56949a33-87ed-4073-8d57-58c9ffa96688
Maria Cantwell,0145d3ca-8f4d-4e24-a5d6-34df24ee3f16
Mark Andrews,c1e50e83-9eff-4e89-ad91-48085c92ebf2
Mark Begich,652912a6-330a-418d-b51b-4609245c110e
Mark Dayton,8281ce70-aeaa-44ba-b5e4-5ebc0d4d2844
Mark Hatfield,eef9a527-d329-430a-a082-56f9aa8c6c19
Mark Kirk,0b33d8fd-b46d-4e67-86ec-d30fadc4dc80
Mark L. Pryor,e4471cfd-4eab-48c4-baee-9248dc0d7dcb
Mark R. Warner,56949a33-87ed-4073-8d57-58c9ffa96688
Mark Udall,b4f31142-26c9-4172-9adc-5644f5bf2ec6
Mark Warner,56949a33-87ed-4073-8d57-58c9ffa96688
Martin Heinrich,ed33f0f7-fda1-41e6-9ca5-b6ba0d7751b3
Mary L. Landrieu,08648a3e-172d-4b0a-b3f9-3ab96c135a1d
Max Baucus,736931aa-5247-4dab-b28f-2aa93fb6f5e1
Maxwell Cleland,a6658b89-fb23-4166-bcc2-d08009a4a607
Mazie K. Hirono,d6655e29-a727-43ec-8b7d-154faf7d3878
Mel Martinez,a9a9a086-248c-418e-b364-674a08a2477f
Michael B. Enzi,b774e2f1-80ec-47ba-b2b8-403508d57854
Michael Enzi,b774e2f1-80ec-47ba-b2b8-403508d57854
Michael F. Bennet,0c29758b-e52d-4538-9e18-d0a1adb23198
Mike Crapo,94734d28-86bb-4f6b-afb9-93988473ea9f
Mike DeWine,b6cb47e1-6929-469c-abc8-a4e2b2fcc509
Mike Enzi,b774e2f1-80ec-47ba-b2b8-403508d57854
Mike Johanns,8ee1051e-582c-499d-98c7-dfafd43e24f0
Mike Lee,1ea4bac8-1572-4ede-ae4c-0bb09295178d
Mike Rounds,dc87cc05-15e7-4432-bb4f-b47d07042eaa
Mitch McConnell,f9048135-fc31-47ac-bce7-4239585e7edf
Nancy Kassebaum,c87c21f8-e147-4e11-bb28-995fcdb891bf
Nicholas Brady,f770eef5-15b0-43f7-9aba-6c3f357b6000
Norm Coleman,ab588454-3646-4749-a4f9-c6b329b743ce
Obama Barak,de09bde1-80a2-48ee-b03a-76ca71a0bb0d
Olympia J. Snowe,803a8d02-667c-423e-b735-b4d1bddf2e00
Orrin G. Hatch,2ca9f594-5208-497b-99f4-a9d94e15086a
Pat Roberts,84d74610-583d-496e-926d-6a04bb50d04f
Patrick J. Leahy,79c66dfb-dd5e-420b-9229-fed2c8d1c2c7
Patrick J. Toomey,72cefb2c-e7c2-481a-820f-de90d3735f7c
Patty Murray,ac875fb4-afbc-4465-a064-bdbe17a92743
Paul Coverdell,6c893969-3539-4428-a3a9-abf3b0b63e68
"Paul Kirk, Jr.",cd624779-aae4-4114-8bfd-4b13e9a5a135
Paul Laxalt,44f0bce4-3c43-4738-a547-3938637f7e19
Paul Sarbanes,17f59c1f-9d80-48ca-90d7-2db4bf9d6054
Paul Simon,d70f7401-022e-4cba-9867-09a6a1029837
"Paul Trible, Jr.",506b65a8-488f-4a1f-8234-fcc5f29fa932
Paul Tsongas,e4923055-2dbf-4033-85b9-e7302e117b25
Paul Wellstone,988e2fec-ed7c-4bfb-9a7f-fa72873f36ce
Paula Hawkins,ed055b07-ac82-48db-9368-8d6acf1f5212
Pete Domenici,35755695-fce9-4a16-89f7-a606ef3d5e14
Pete Wilson,3fe9aa10-1ac0-46f6-856f-302f0669a687
Peter Fitzgerald,5704093a-78cf-4a86-bb0e-6407f41c725a
Petrus Barton Wilson,3fe9aa10-1ac0-46f6-856f-302f0669a687
Phil Gramm,03c78641-f4ca-49c1-8931-1960f6472ad5
Quentin Burdick,183fbf3a-9c79-4751-ab26-c38d68eb1d37
Rand Paul,025093e4-e646-43d0-8de5-f1a88aca3a98
Richard Blumenthal,c1d19c22-316f-4864-bec2-3b924eb38cd4
Richard Bryan,def24ef9-e1fe-4fba-967c-ea0a97fa8404
Richard Burr,e55dfe24-a4e6-4236-b9d3-a7089c6d9f3a
