id,name__ko,name,wikipedia__ko,original_wikiname,name__zh,birth_date,name__en,gender,occupation,family_name,name__ja,wikipedia__en,name__pt,name__fr,name__nl,wikipedia__ja,wikipedia__pt,wikipedia__zh,twitter,name__en_ca,name__en_gb,name__es,name__hu,name__zh_hant,name__zh_cn,name__it,image,identifier__IMDB,identifier__KMDb,name__de,given_name,identifier__kinopoisk,name__sv,name__fa,name__nb,wikipedia__de,wikipedia__es,wikipedia__fa,wikipedia__fr,wikipedia__no,wikipedia__sv,identifier__freebase,name__zh_hans,name__zh_tw,name__ca,name__oc,name__ru,name__lt,name__vi,name__id,name__mg,name__ar,name__th,wikipedia__ar,wikipedia__commons,wikipedia__id,wikipedia__it,wikipedia__kowikiquote,wikipedia__kowikisource,wikipedia__lt,wikipedia__mg,wikipedia__ru,wikipedia__ruwikinews,wikipedia__th,wikipedia__vi,name__yue,name__zh_hk,name__zh_mo,name__zh_my,name__zh_sg,name__kana,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,website,facebook,name__eo,wikipedia__eo,wikipedia__simple,identifier__NDL,identifier__FAST,death_date,name__pl,wikipedia__pl,name__tr,instagram,name__ka,name__he,name__bg,name__bn,name__cs,name__cy,name__da,name__de_ch,name__fi,name__lb,name__lv,name__ml,name__mn,name__ms,name__my,name__pt_br,name__ro,name__sco,name__sh,name__sr,name__uk,name__xmf,name__yo,name__nn,name__la,name__tl,name__mr,name__et,name__az,name__hr,name__kk,name__af,name__fo,name__io,name__nan,name__arz,name__sgs,name__hy,name__el,name__qu,name__hak,name__ne,name__cdo,name__ast,name__sk,name__wuu,name__ie,name__eu,name__ga,wikipedia__af,wikipedia__arz,wikipedia__ast,wikipedia__az,wikipedia__bat_smg,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__cdo,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__fo,wikipedia__ga,wikipedia__hak,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__ie,wikipedia__io,wikipedia__ka,wikipedia__kk,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__ml,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__plwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__wuu,wikipedia__xmf,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zhwikiquote,identifier__GND,name__gl,name__bcl,wikipedia__bcl,wikipedia__gl,weblog,wikipedia__oc,identifier__CiNii,identifier__google_knowledge,identifier__ISNI,wikipedia__bi,name__bi,identifier__nyt_topic,wikipedia__cawikiquote
Q10855142,강창일,강창일,강창일,강창일,,1952-01-28,,male,,,姜昌一,,,,,姜昌一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カン・チャンイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10855898,김진표,김진표,김진표 (정치인),김진표 (정치인),金振杓,1947-05-04,,,politician,,金振杓,,,,,金振杓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10855915,김한길,김한길,김한길,김한길,金汉吉,1953-09-17,Kim Han-gil,male,novelist,,金ハンギル,Kim Han-gil,Kim Han-gil,Kim Han-gil,Kim Han-gil,金ハンギル,,金汉吉,,,,Kim Han-gil,Kim Han-gil,,,Kim Han-gil,https://upload.wikimedia.org/wikipedia/commons/7/77/Kim_Han-Gil_(cropped).jpg,,,Kim Han-gil,,,,,,,,,,,,,,,Kim Han-gil,,"Киму, Хангиру",,,,,,,,,,,,,,,,,,,,,,,,キム・ハンギル,23598778,n85333318,,,,,,,,,,Kim Han-gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA15117497,,,,,,
Q11255427,심상정,심상정,심상정,심상정,沈相奵,1959-02-20,Sim Sang-jung,female,politician,,沈相ジョン,Sim Sang-jung,,Sim Sang-jung,Sim Sang-jung,沈相ジョン,,沈相奵,sangjungsim,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Sim_Sangjung_and_Moon_Jaein_in_2015_(cropped_to_Sim).jpg,,,,,,,,,,,,Sim Sang-jung,,,/m/0nbgy3t,,,,,,,,,,,,,,,,,저자:심상정,,,,,,,,,,,,,,,,http://www.minsim.or.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11263813,원혜영,원혜영,원혜영,원혜영,,1951-09-27,,male,politician,,元恵栄,,,,,元恵栄,,,wonhyeyoung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11266541,이인제,이인제,이인제,이인제,李仁濟,1948-12-11,Lee In-je,male,politician,,李仁済,Lee In-je,,Lee In-je,Lee In-je,李仁済,,,,,,,,李仁濟,李仁济,,https://upload.wikimedia.org/wikipedia/commons/9/9a/2006년_11월_9일_국회의원_이인제.jpg,,,,,,,,,,,,,,,,李仁济,李仁濟,,,Ли Индже,,,,,,,,Category:Lee Inje,,,,,,,Ли Индже,,,,李仁濟,李仁濟,李仁濟,李仁济,李仁济,イ・インジェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11270093,정세균,정세균,정세균,정세균,丁世均,1950-09-26,Chung Sye-kyun,,politician,,丁世均,Chung Sye-kyun,,,,丁世均,,丁世均,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Chung_Sye-kyun.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95145375906783681169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11274387,추미애,추미애,추미애,추미애,,1958-10-23,Choo Mi-ae,female,politician,,秋美愛,Choo Mi-ae,,,Choo Mi-ae,秋美愛,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Choo_Mi-ae_2015_panel.jpg,,,,,,,,,,,,,,,,,,,,,,,Choo Mi-ae,,,,,,Choo Mi-ae,,,,,,,,,,,,,,,,691144928061754341491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11521597,박영선,박영선,박영선 (1960년),박영선 (1960년),,1960-01-22,Park Young-sun,female,journalist,,朴映宣,Park Young-sun,,Park Young-sun,Park Young-sun,朴映宣,,,Park_youngsun,,,,,,,,,,,,,,,,,,,,,,,/m/0nbh9rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11986047,박맹우,박맹우,박맹우 (1951년),박맹우 (1951년),,1951-12-06,Bak Maeng-woo,male,politician,,,Bak Maeng-woo,,Bak Maeng-woo,Bak Maeng-woo,,,,,,,Bak Maeng-woo,Bak Maeng-woo,樸孟雨,朴孟雨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
