id,name__la,name__de,name__cs,name__pl,name__fr,name__en,name__fi,name__it,name__nl,name__es,name__hu,name__nb,name__da,name__nn,name__sv,name__ar,name,wikipedia__ar,wikipedia__cs,wikipedia__de,wikipedia__en,wikipedia__fi,wikipedia__fr,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__pl,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,birth_date,identifier__freebase,identifier__NKC,given_name,identifier__NTA,identifier__Munzinger,identifier__FAST,original_wikiname,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cy,name__eo,name__et,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,wikipedia__cswikiquote,wikipedia__commons,name__hsb,wikipedia__hsb,wikipedia__sk,name__ru,wikipedia__ro,wikipedia__ru,identifier__EuroparlMEP,identifier__PACE,name__he,name__be,name__sr,name__uk,name__ja,name__bg,name__zh,name__oc,name__be_tarask,name__vi,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__dewikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ruwikinews,wikipedia__sl,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,noble_title,identifier__BNF,identifier__NDL,website,death_date,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__yo,name__id,name__el,name__sh,name__sr_el,name__sr_ec,name__io,name__lv,name__mg,name__fa,wikipedia__ast,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__fa,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__ko,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__nn,wikipedia__oc,wikipedia__sco,wikipedia__sh,wikipedia__yo,identifier__NNDB,name__de_ch,name__en_ca,name__en_gb,identifier__NLP,wikipedia__enwikiquote,wikipedia__itwikiquote,identifier__parlement,name__eml,name__fo,name__frr,name__min,name__pt_br,family_name,wikipedia__als,wikipedia__simple,identifier__MusicBrainz,wikipedia__bs,twitter,facebook,name__ie,wikipedia__ie,identifier__IMDB,identifier__CSFD,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__PORT,identifier__kinopoisk,identifier__filmportal_de,name__szl,name__rue,wikipedia__eu,wikipedia__rue,wikipedia__szl,name__ur,name__ka,name__ms,name__pam,name__ps,name__tl,name__hy,name__az,name__mr,wikipedia__az,wikipedia__cswikisource,wikipedia__gd,wikipedia__hy,wikipedia__ka,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__pam,wikipedia__ps,wikipedia__tl,wikipedia__ur,identifier__GTAA,identifier__CSPAN,identifier__NUKAT,name__qu,name__uz,name__yi,name__mn,name__nov,name__ilo,name__dsb,name__jv,name__kk,wikipedia__dsb,wikipedia__eowikiquote,wikipedia__ilo,wikipedia__jv,wikipedia__kk,wikipedia__lmo,wikipedia__ltwikiquote,wikipedia__mn,wikipedia__nov,wikipedia__qu,wikipedia__sq,wikipedia__uz,wikipedia__yi,identifier__NLA,identifier__BNE,identifier__CANTIC,identifier__Britannica,identifier__goodreads,wikipedia__skwikiquote,name__vo,wikipedia__vo,identifier__elonet,name__ml,wikipedia__ml,identifier__NLI,wikipedia__ga,identifier__GNC,identifier__discogs,occupation,identifier__wikitree
Q10379783,,,Adam Rykala,,Adam Rykala,Adam Rykala,,,Adam Rykala,,,,,,,,Adam Rykala,,Adam Rykala,,,,,,,,,,male,,,,,,1986-09-03,,,Adam,,,,Adam Rykala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q10389200,,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,,Vojtěch Adam,,Vojtěch Adam,,Vojtěch Adam,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Vojtěch_Adam.jpg,male,,128341887,,,,1950-09-12,,,Vojtěch,,,,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,Vojtěch Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,
Q10389271,,,Jan Babor,,Jan Babor,Jan Babor,,,Jan Babor,,,,,,,,Jan Babor,,Jan Babor,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Jan_Babor.JPG,male,,,,,,1948-11-04,,,Jan,,,,Jan Babor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q10498553,,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,,Štěpánka Fraňková,,Štěpánka Fraňková,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Fraňková_Štěpánka.jpg,female,,144741791,,,,1965-06-30,,pag2010588724,Štěpánka,,,,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,Štěpánka Fraňková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,
Q10545470,,Jiří Karas,Jiří Karas,Jiři Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,,Jiří Karas,,Jiří Karas (politik),,,,,,,,Jiří Karas,https://upload.wikimedia.org/wikipedia/commons/c/cd/Jiří_Karas.jpg,male,,28208650,,,,1942-07-30,,js20051114008,Jiří,,,,Jiří Karas (politik),Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,Jiří Karas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,
Q10545658,,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,,Jaroslav Plachý,,Jaroslav Plachý,,,,,,,,,,male,,,,,,1952-03-04,,,Jaroslav,,,,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,Jaroslav Plachý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q10769611,,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,,Alena Páralová,,Alena Páralová,,,,,,,,,,female,,85425706,,,,1948-08-11,,,,,,,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,Alena Páralová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q10769647,,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,,Alena Svobodová,,Alena Svobodová,,,,,,,,,,female,,85927230,,,,1948-01-04,,,,,,,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,Alena Svobodová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,educationist,
Q10771346,,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,,Alexander Černý,,Alexander Černý,,,,,,,,,,male,,84953418,,,,1953-05-21,,,Alexander,,,,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,Alexander Černý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q10774355,,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,,Aleš Rozehnal,,Aleš Rozehnal (politik),,,,,,,,,,male,,84140072,,,,1952-11-27,,,Aleš,,,,Aleš Rozehnal (politik),Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,Aleš Rozehnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
