id,name__de,name__uk,name__en,name__nl,name__fr,name,wikipedia__de,wikipedia__en,wikipedia__uk,gender,birth_date,given_name,original_wikiname,wikipedia__fr,name__it,identifier__VIAF,name__nb,name__da,name__nn,name__sv,identifier__SUDOC,name__rm,name__ru,wikipedia__ru,name__es,name__pt,image,name__cy,death_date,identifier__GND,identifier__LCAuth,name__sh,wikipedia__sh,identifier__freebase,name__hu,last_seen,name__ja,family_name,occupation,name__ms,name__bar,name__cs,name__id,name__se,name__sk,name__sl,name__ro,name__sc,name__tr,name__af,name__an,name__ast,name__br,name__ceb,name__co,name__ca,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__gd,name__ga,name__fur,name__frp,name__gl,name__gsw,name__hr,name__ia,name__ie,name__is,name__io,name__kg,name__li,name__lb,name__lij,name__lt,name__de_formal,name__pl,name__nl_informal,name__bs,name__fy,name__pt_br,name__eml,name__dsb,name__mt,name__hsb,name__min,name__lv,name__nds,name__jam,name__frr,name__scn,name__fo,name__sco,name__sq,name__tl,name__vls,name__wa,name__vi,name__uz,name__hif,name__mg,name__ht,name__jv,name__la,name__oc,name__pcd,name__ang,name__su,name__ay,identifier__PACE,email,name__mk,name__aa,name__ak,name__aln,name__arn,name__az,name__bcl,name__bi,name__bjn,name__bm,name__brh,name__cbk_zam,name__cdo,name__ch,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dtp,name__ee,name__ext,name__ff,name__fit,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__hz,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__iu,name__jbo,name__kaa,name__kab,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kl,name__kr,name__krj,name__ksh,name__ku,name__lad,name__lg,name__lmo,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mus,name__mwl,name__na,name__nah,name__nap,name__nds_nl,name__ng,name__nov,name__nrm,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdc,name__pdt,name__pfl,name__pih,name__pms,name__qu,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__sr_el,name__srn,name__st,name__stq,name__sw,name__szl,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__ve,name__vec,name__vep,name__vmf,name__vo,name__vot,name__war,name__wo,name__xh,name__yo,name__za,name__zea,name__zu
Q1078901,Christian Batliner,,Christian Batliner,Christian Batliner,Christian Batliner,Christian Batliner,Christian Batliner,,,male,1968-09-07,Christian,Christian Batliner,Christian Batliner,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1097495,Claudia Heeb-Fleck,,Claudia Heeb-Fleck,Claudia Heeb-Fleck,Claudia Heeb-Fleck,Claudia Heeb-Fleck,Claudia Heeb-Fleck,,,female,"",Claudia,Claudia Heeb-Fleck,,,237748011,Claudia Heeb-Fleck,Claudia Heeb-Fleck,Claudia Heeb-Fleck,Claudia Heeb-Fleck,,,,,Claudia Heeb-Fleck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1208835,Diana Hilti,,Diana Hilti,Diana Hilti,Diana Hilti,Diana Hilti,Diana Hilti,,,female,1973-08-30,Diana,Diana Hilti,,Diana Hilti,,Diana Hilti,Diana Hilti,Diana Hilti,Diana Hilti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1245115,Doris Beck,,Doris Beck,Doris Beck,Doris Beck,Doris Beck,Doris Beck,,,female,1961-04-05,Doris,Doris Beck,Doris Beck,,,Doris Beck,Doris Beck,Doris Beck,Doris Beck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1245153,Doris Frommelt,,Doris Frommelt,Doris Frommelt,Doris Frommelt,Doris Frommelt,Doris Frommelt,,,female,1946-07-11,Doris,Doris Frommelt,,Doris Frommelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1301159,Jürgen Beck,,Jürgen Beck,Jürgen Beck,Jürgen Beck,Jürgen Beck,Jürgen Beck (Politiker),,,male,1961-07-22,Jürgen,Jürgen Beck (Politiker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1332757,Elmar Kindle,,Elmar Kindle,Elmar Kindle,Elmar Kindle,Elmar Kindle,Elmar Kindle,,,male,1968-02-21,Elmar,Elmar Kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1359488,Wolfgang Marxer,,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,,,male,1960-11-04,Wolfgang,Wolfgang Marxer,,,,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1412079,Franz J. Heeb,,Franz Josef Heeb,Franz Josef Heeb,Franz Josef Heeb,Franz J. Heeb,Franz J. Heeb,,,male,1948-06-18,Franz,Franz J. Heeb,,,20510841,Franz J. Heeb,Franz J. Heeb,Franz J. Heeb,Franz J. Heeb,,,,,Franz Josef Heeb,,,,,120392771,n99014823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1418548,Gerold Büchel,,Gerold Büchel,Gerold Büchel,Gerold Büchel,Gerold Büchel,Gerold Büchel,,,male,1974-06-14,Gerold,Gerold Büchel,,,,Gerold Büchel,Gerold Büchel,Gerold Büchel,Gerold Büchel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
